Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ALiX	2	6	0	0	0.5
emp	ALiX	2	6	1e-04	0	0.5
CG2678	ALiX	2	6	0	0	0.5
crc	ALiX	2	6	1e-04	0	0.5
pros	ALiX	2	6	0	0	0.5
neur	ALiX	2	6	6e-04	0	0.5
Rab5	ALiX	2	6	0	0	0.5
Rab7	ALiX	2	6	0	0	0.5
Mmp2	ALiX	2	6	0	0	0.5
W	ALiX	2	6	2e-04	0	0.5
bowl	ALiX	2	6	0	0	0.5
fd59A	ALiX	2	6	0	0	0.5
e	ALiX	2	6	2e-04	0	0.5
ben	ALiX	2	6	0.001	0	0.5
rdo	ALiX	2	6	0.0014	0	0.5
lin	ALiX	2	6	0	0	0.5
tra	ALiX	2	6	2e-04	0	0.5
tra2	ALiX	2	6	0.0017	0	0.5
cathD	ALiX	2	6	8e-04	0	0.5
d	ALiX	2	6	0	0	0.5
lva	ALiX	2	6	0	0	0.5
pbl	ALiX	2	6	0	0	0.5
CG33205	ALiX	2	6	0	0	0.5
da	ALiX	2	6	6e-04	0	0.5
cactin	ALiX	2	6	0	0	0.5
hpo	ALiX	2	6	0	0	0.5
Sema.2a	ALiX	2	6	7e-04	0	0.5
Eip74EF	ALiX	2	6	0	0	0.5
eg	ALiX	2	6	0	0	0.5
Arc42	ALiX	2	6	0	0	0.5
toy	ALiX	2	6	1e-04	0	0.5
Galpha73B	ALiX	2	6	0	0	0.5
RhoGAPp190	ALiX	2	6	5e-04	0	0.5
MED11	ALiX	2	6	1e-04	0	0.5
cher	ALiX	2	6	0	0	0.5
BicD	ALiX	2	6	8e-04	0	0.5
MYPT.75D	ALiX	2	6	1e-04	0	0.5
mus304	ALiX	2	6	4e-04	0	0.5
CdsA	ALiX	2	6	1e-04	0	0.5
btl	ALiX	2	6	0	0	0.5
Cyt.c.d	ALiX	2	6	1e-04	0	0.5
tok	ALiX	2	6	1e-04	0	0.5
ttk	ALiX	2	6	6e-04	0	0.5
tamo	ALiX	2	6	0	0	0.5
CG6416	ALiX	2	6	0	0	0.5
flfl	ALiX	2	6	0	0	0.5
Pvr	ALiX	2	6	0	0	0.5
kay	ALiX	2	6	3e-04	0	0.5
Jra	ALiX	2	6	7e-04	0	0.5
msk	ALiX	2	6	0	0	0.5
tll	ALiX	2	6	0	0	0.5
Tm1	ALiX	2	6	0	0	0.5
srp	ALiX	2	6	9e-04	0	0.5
Btk29A	ALiX	2	6	2e-04	0	0.5
fred	ALiX	2	6	2e-04	0	0.5
Src64B	ALiX	2	6	2e-04	0	0.5
Mmp1	ALiX	2	6	6e-04	0	0.5
sll	ALiX	2	6	0.0011	0	0.5
Hmgs	ALiX	2	6	0	0	0.5
caps	ALiX	2	6	0	0	0.5
Su.var.2.10	ALiX	2	6	0	0	0.5
CycB	ALiX	2	6	3e-04	0	0.5
spir	ALiX	2	6	0	0	0.5
spn.A	ALiX	2	6	0	0	0.5
Ptpmeg	ALiX	2	6	0	0	0.5
qua	ALiX	2	6	0	0	0.5
msn	ALiX	2	6	0	0	0.5
ena	ALiX	2	6	6e-04	0	0.5
spen	ALiX	2	6	0	0	0.5
emc	ALiX	2	6	0	0	0.5
tsh	ALiX	2	6	0	0	0.5
Dat	ALiX	2	6	0	0	0.5
Lac	ALiX	2	6	7e-04	0	0.5
dup	ALiX	2	6	0.001	0	0.5
CG3075	ALiX	2	6	0	0	0.5
Akap200	ALiX	2	6	0.0026	0	0.5
CG18369	ALiX	2	6	0	0	0.5
bnl	ALiX	2	6	0	0	0.5
sec23	ALiX	2	6	8e-04	0	0.5
Pde8	ALiX	2	6	0	0	0.5
Arp66B	ALiX	2	6	9e-04	0	0.5
cos	ALiX	2	6	0	0	0.5
Borr	ALiX	2	6	3e-04	0	0.5
X140up	ALiX	2	6	0	0	0.5
Dhc64C	ALiX	2	6	0.0017	0	0.5
Not1	ALiX	2	6	5e-04	0	0.5
CG9520	ALiX	2	6	4e-04	0	0.5
bib	ALiX	2	6	1e-04	0	0.5
mib1	ALiX	2	6	4e-04	0	0.5
cas	ALiX	2	6	2e-04	0	0.5
Abi	ALiX	2	6	2e-04	0	0.5
betaTub56D	ALiX	2	6	0	0	0.5
nej	ALiX	2	6	3e-04	0	0.5
dlg1	ALiX	2	6	0	0	0.5
Lcp65Ag1	ALiX	2	6	0	0	0.5
Es2	ALiX	2	6	2e-04	0	0.5
MED24	ALiX	2	6	2e-04	0	0.5
Vhl	ALiX	2	6	0	0	0.5
tral	ALiX	2	6	1e-04	0	0.5
sns	ALiX	2	6	8e-04	0	0.5
mbl	ALiX	2	6	0	0	0.5
