Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Abd.B	2	6	0	0	0.5
emp	Abd.B	2	6	0	0	0.5
CG2678	Abd.B	2	6	0.0025	0	0.5
crc	Abd.B	2	6	0	0	0.5
pros	Abd.B	2	6	0	0	0.5
neur	Abd.B	2	6	0.0039	0	0.5
Rab5	Abd.B	2	6	0.0012	0	0.5
Rab7	Abd.B	2	6	0.0047	0	0.5
Mmp2	Abd.B	2	6	8e-04	0	0.5
W	Abd.B	2	6	0	0	0.5
bowl	Abd.B	2	6	0	0	0.5
fd59A	Abd.B	2	6	0.0011	0	0.5
e	Abd.B	2	6	0	0	0.5
ben	Abd.B	2	6	3e-04	0	0.5
rdo	Abd.B	2	6	0.0019	0	0.5
lin	Abd.B	2	6	1e-04	0	0.5
tra	Abd.B	2	6	2e-04	0	0.5
tra2	Abd.B	2	6	8e-04	0	0.5
cathD	Abd.B	2	6	5e-04	0	0.5
d	Abd.B	2	6	7e-04	0	0.5
lva	Abd.B	2	6	0	0	0.5
pbl	Abd.B	2	6	5e-04	0	0.5
CG33205	Abd.B	2	6	8e-04	0	0.5
da	Abd.B	2	6	0.0138	0	0.5
cactin	Abd.B	2	6	3e-04	0	0.5
hpo	Abd.B	2	6	0.0122	0	0.5
Sema.2a	Abd.B	2	6	0	0	0.5
Eip74EF	Abd.B	2	6	8e-04	0	0.5
eg	Abd.B	2	6	7e-04	0	0.5
Arc42	Abd.B	2	6	0	0	0.5
toy	Abd.B	2	6	3e-04	0	0.5
Galpha73B	Abd.B	2	6	2e-04	0	0.5
RhoGAPp190	Abd.B	2	6	0.0012	0	0.5
MED11	Abd.B	2	6	0	0	0.5
cher	Abd.B	2	6	0.0027	0	0.5
BicD	Abd.B	2	6	0	0	0.5
MYPT.75D	Abd.B	2	6	0.0012	0	0.5
mus304	Abd.B	2	6	0	0	0.5
CdsA	Abd.B	2	6	0.0011	0	0.5
btl	Abd.B	2	6	9e-04	0	0.5
Cyt.c.d	Abd.B	2	6	0.0011	0	0.5
tok	Abd.B	2	6	0.0033	0	0.5
ttk	Abd.B	2	6	2e-04	0	0.5
tamo	Abd.B	2	6	0.002	0	0.5
CG6416	Abd.B	2	6	0.001	0	0.5
flfl	Abd.B	2	6	5e-04	0	0.5
Pvr	Abd.B	2	6	1e-04	0	0.5
kay	Abd.B	2	6	0.0021	0	0.5
Jra	Abd.B	2	6	2e-04	0	0.5
msk	Abd.B	2	6	5e-04	0	0.5
tll	Abd.B	2	6	5e-04	0	0.5
Tm1	Abd.B	2	6	0	0	0.5
srp	Abd.B	2	6	7e-04	0	0.5
Btk29A	Abd.B	2	6	4e-04	0	0.5
fred	Abd.B	2	6	3e-04	0	0.5
Src64B	Abd.B	2	6	4e-04	0	0.5
Mmp1	Abd.B	2	6	0	0	0.5
sll	Abd.B	2	6	0.001	0	0.5
Hmgs	Abd.B	2	6	0.0013	0	0.5
caps	Abd.B	2	6	0.0012	0	0.5
Su.var.2.10	Abd.B	2	6	0	0	0.5
CycB	Abd.B	2	6	8e-04	0	0.5
spir	Abd.B	2	6	0.002	0	0.5
spn.A	Abd.B	2	6	0	0	0.5
Ptpmeg	Abd.B	2	6	4e-04	0	0.5
qua	Abd.B	2	6	0	0	0.5
msn	Abd.B	2	6	8e-04	0	0.5
ena	Abd.B	2	6	0	0	0.5
spen	Abd.B	2	6	5e-04	0	0.5
emc	Abd.B	2	6	5e-04	0	0.5
tsh	Abd.B	2	6	0	0	0.5
Dat	Abd.B	2	6	3e-04	0	0.5
Lac	Abd.B	2	6	0	0	0.5
dup	Abd.B	2	6	4e-04	0	0.5
CG3075	Abd.B	2	6	4e-04	0	0.5
Akap200	Abd.B	2	6	0.3855	0	0.5
CG18369	Abd.B	2	6	0.0088	0	0.5
bnl	Abd.B	2	6	0	0	0.5
sec23	Abd.B	2	6	3e-04	0	0.5
Pde8	Abd.B	2	6	0.0096	0	0.5
Arp66B	Abd.B	2	6	0.0016	0	0.5
cos	Abd.B	2	6	0	0	0.5
Borr	Abd.B	2	6	0.0012	0	0.5
X140up	Abd.B	2	6	4e-04	0	0.5
Dhc64C	Abd.B	2	6	2e-04	0	0.5
Not1	Abd.B	2	6	0	0	0.5
CG9520	Abd.B	2	6	0	0	0.5
bib	Abd.B	2	6	0	0	0.5
mib1	Abd.B	2	6	0	0	0.5
cas	Abd.B	2	6	1e-04	0	0.5
Abi	Abd.B	2	6	0.0014	0	0.5
betaTub56D	Abd.B	2	6	0.001	0	0.5
nej	Abd.B	2	6	8e-04	0	0.5
dlg1	Abd.B	2	6	0	0	0.5
Lcp65Ag1	Abd.B	2	6	0.0015	0	0.5
Es2	Abd.B	2	6	1e-04	0	0.5
MED24	Abd.B	2	6	1e-04	0	0.5
Vhl	Abd.B	2	6	0.0011	0	0.5
tral	Abd.B	2	6	2e-04	0	0.5
sns	Abd.B	2	6	0	0	0.5
mbl	Abd.B	2	6	0.0016	0	0.5
sav	Abd.B	2	6	2e-04	0	0.5
lola	Abd.B	2	6	3e-04	0	0.5
robo	Abd.B	2	6	4e-04	0	0.5
CG32486	Abd.B	2	6	1e-04	0	0.5
santa.maria	Abd.B	2	6	0.0016	0	0.5
stumps	Abd.B	2	6	5e-04	0	0.5
abd.A	Abd.B	2	6	3e-04	0	0.5
dock	Abd.B	2	6	1e-04	0	0.5
Lar	Abd.B	2	6	2e-04	0	0.5
l.1.G0289	Abd.B	2	6	5e-04	0	0.5
Abl	Abd.B	2	6	0	0	0.5
Syb	Abd.B	2	6	5e-04	0	0.5
dome	Abd.B	2	6	4e-04	0	0.5
ofs	Abd.B	2	6	0.0011	0	0.5
MED4	Abd.B	2	6	0	0	0.5
scrib	Abd.B	2	6	2e-04	0	0.5
siz	Abd.B	2	6	0	0	0.5
cbx	Abd.B	2	6	3e-04	0	0.5
dsx	Abd.B	2	6	0	0	0.5
Sb	Abd.B	2	6	0.0019	0	0.5
sax	Abd.B	2	6	3e-04	0	0.5
foxo	Abd.B	2	6	6e-04	0	0.5
Cyp1	Abd.B	2	6	3e-04	0	0.5
brm	Abd.B	2	6	0.0024	0	0.5
rad50	Abd.B	2	6	0	0	0.5
chico	Abd.B	2	6	0	0	0.5
cp309	Abd.B	2	6	7e-04	0	0.5
hdc	Abd.B	2	6	6e-04	0	0.5
Axn	Abd.B	2	6	3e-04	0	0.5
Apc2	Abd.B	2	6	0.0148	0	0.5
PhKgamma	Abd.B	2	6	3e-04	0	0.5
eya	Abd.B	2	6	0	0	0.5
sktl	Abd.B	2	6	0.0014	0	0.5
sqd	Abd.B	2	6	3e-04	0	0.5
Akt1	Abd.B	2	6	8e-04	0	0.5
scyl	Abd.B	2	6	7e-04	0	0.5
cnk	Abd.B	2	6	6e-04	0	0.5
CG8149	Abd.B	2	6	0.0014	0	0.5
CG34379	Abd.B	2	6	0	0	0.5
Yp1	Abd.B	2	6	0.001	0	0.5
yrt	Abd.B	2	6	4e-04	0	0.5
bap	Abd.B	2	6	1e-04	0	0.5
tud	Abd.B	2	6	1e-04	0	0.5
ct	Abd.B	2	6	4e-04	0	0.5
tup	Abd.B	2	6	0	0	0.5
G.ialpha65A	Abd.B	2	6	2e-04	0	0.5
knrl	Abd.B	2	6	7e-04	0	0.5
Pkn	Abd.B	2	6	0	0	0.5
Sry.delta	Abd.B	2	6	0	0	0.5
Alh	Abd.B	2	6	2e-04	0	0.5
pnut	Abd.B	2	6	3e-04	0	0.5
phyl	Abd.B	2	6	1e-04	0	0.5
