Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Abi	2	6	0.0129	0	0.5
emp	Abi	2	6	0	0	0.5
CG2678	Abi	2	6	0	0	0.5
crc	Abi	2	6	4e-04	0	0.5
pros	Abi	2	6	3e-04	0	0.5
neur	Abi	2	6	0	0	0.5
Rab5	Abi	2	6	0	0	0.5
Rab7	Abi	2	6	0	0	0.5
Mmp2	Abi	2	6	4e-04	0	0.5
W	Abi	2	6	3e-04	0	0.5
bowl	Abi	2	6	1e-04	0	0.5
fd59A	Abi	2	6	3e-04	0	0.5
e	Abi	2	6	1e-04	0	0.5
ben	Abi	2	6	0.0019	0	0.5
rdo	Abi	2	6	1e-04	0	0.5
lin	Abi	2	6	3e-04	0	0.5
tra	Abi	2	6	0.0013	0	0.5
tra2	Abi	2	6	4e-04	0	0.5
cathD	Abi	2	6	0	0	0.5
d	Abi	2	6	0	0	0.5
lva	Abi	2	6	4e-04	0	0.5
pbl	Abi	2	6	1e-04	0	0.5
CG33205	Abi	2	6	7e-04	0	0.5
da	Abi	2	6	6e-04	0	0.5
cactin	Abi	2	6	4e-04	0	0.5
hpo	Abi	2	6	0	0	0.5
Sema.2a	Abi	2	6	0.0011	0	0.5
Eip74EF	Abi	2	6	3e-04	0	0.5
eg	Abi	2	6	1e-04	0	0.5
Arc42	Abi	2	6	0	0	0.5
toy	Abi	2	6	0	0	0.5
Galpha73B	Abi	2	6	3e-04	0	0.5
RhoGAPp190	Abi	2	6	2e-04	0	0.5
MED11	Abi	2	6	1e-04	0	0.5
cher	Abi	2	6	5e-04	0	0.5
BicD	Abi	2	6	1e-04	0	0.5
MYPT.75D	Abi	2	6	0	0	0.5
mus304	Abi	2	6	0	0	0.5
CdsA	Abi	2	6	7e-04	0	0.5
btl	Abi	2	6	5e-04	0	0.5
Cyt.c.d	Abi	2	6	0	0	0.5
tok	Abi	2	6	0	0	0.5
ttk	Abi	2	6	0	0	0.5
tamo	Abi	2	6	7e-04	0	0.5
CG6416	Abi	2	6	0.002	0	0.5
flfl	Abi	2	6	9e-04	0	0.5
Pvr	Abi	2	6	0	0	0.5
kay	Abi	2	6	0	0	0.5
Jra	Abi	2	6	9e-04	0	0.5
msk	Abi	2	6	0	0	0.5
tll	Abi	2	6	6e-04	0	0.5
Tm1	Abi	2	6	0	0	0.5
srp	Abi	2	6	0	0	0.5
Btk29A	Abi	2	6	0.0032	0	0.5
fred	Abi	2	6	9e-04	0	0.5
Src64B	Abi	2	6	3e-04	0	0.5
Mmp1	Abi	2	6	0.001	0	0.5
sll	Abi	2	6	5e-04	0	0.5
Hmgs	Abi	2	6	2e-04	0	0.5
caps	Abi	2	6	0	0	0.5
Su.var.2.10	Abi	2	6	1e-04	0	0.5
CycB	Abi	2	6	2e-04	0	0.5
spir	Abi	2	6	5e-04	0	0.5
spn.A	Abi	2	6	1e-04	0	0.5
Ptpmeg	Abi	2	6	9e-04	0	0.5
qua	Abi	2	6	0	0	0.5
msn	Abi	2	6	0.0237	0	0.5
ena	Abi	2	6	0	0	0.5
spen	Abi	2	6	3e-04	0	0.5
emc	Abi	2	6	2e-04	0	0.5
tsh	Abi	2	6	7e-04	0	0.5
Dat	Abi	2	6	0	0	0.5
Lac	Abi	2	6	0.0015	0	0.5
dup	Abi	2	6	5e-04	0	0.5
CG3075	Abi	2	6	7e-04	0	0.5
Akap200	Abi	2	6	0	0	0.5
CG18369	Abi	2	6	0	0	0.5
bnl	Abi	2	6	0	0	0.5
sec23	Abi	2	6	1e-04	0	0.5
Pde8	Abi	2	6	1e-04	0	0.5
Arp66B	Abi	2	6	3e-04	0	0.5
cos	Abi	2	6	3e-04	0	0.5
Borr	Abi	2	6	3e-04	0	0.5
X140up	Abi	2	6	3e-04	0	0.5
Dhc64C	Abi	2	6	0.0013	0	0.5
Not1	Abi	2	6	4e-04	0	0.5
CG9520	Abi	2	6	0	0	0.5
bib	Abi	2	6	6e-04	0	0.5
mib1	Abi	2	6	0.0028	0	0.5
cas	Abi	2	6	1e-04	0	0.5
Abi	Abi	2	6	0.0014	0	0.5
betaTub56D	Abi	2	6	3e-04	0	0.5
nej	Abi	2	6	4e-04	0	0.5
dlg1	Abi	2	6	5e-04	0	0.5
Lcp65Ag1	Abi	2	6	8e-04	0	0.5
Es2	Abi	2	6	0	0	0.5
MED24	Abi	2	6	0	0	0.5
Vhl	Abi	2	6	0	0	0.5
tral	Abi	2	6	0	0	0.5
sns	Abi	2	6	9e-04	0	0.5
mbl	Abi	2	6	6e-04	0	0.5
sav	Abi	2	6	0.0018	0	0.5
lola	Abi	2	6	6e-04	0	0.5
robo	Abi	2	6	1e-04	0	0.5
CG32486	Abi	2	6	0	0	0.5
santa.maria	Abi	2	6	0	0	0.5
stumps	Abi	2	6	3e-04	0	0.5
abd.A	Abi	2	6	3e-04	0	0.5
dock	Abi	2	6	3e-04	0	0.5
Lar	Abi	2	6	4e-04	0	0.5
l.1.G0289	Abi	2	6	0	0	0.5
Abl	Abi	2	6	5e-04	0	0.5
Syb	Abi	2	6	0	0	0.5
dome	Abi	2	6	7e-04	0	0.5
ofs	Abi	2	6	0	0	0.5
