Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Akap200	2	6	0.0214	0	0.5
emp	Akap200	2	6	1e-04	0	0.5
CG2678	Akap200	2	6	4e-04	0	0.5
crc	Akap200	2	6	0.0147	0	0.5
pros	Akap200	2	6	3e-04	0	0.5
neur	Akap200	2	6	5e-04	0	0.5
Rab5	Akap200	2	6	5e-04	0	0.5
Rab7	Akap200	2	6	1e-04	0	0.5
Mmp2	Akap200	2	6	1e-04	0	0.5
W	Akap200	2	6	2e-04	0	0.5
bowl	Akap200	2	6	2e-04	0	0.5
fd59A	Akap200	2	6	1e-04	0	0.5
e	Akap200	2	6	0.0013	0	0.5
ben	Akap200	2	6	5e-04	0	0.5
rdo	Akap200	2	6	0	0	0.5
lin	Akap200	2	6	2e-04	0	0.5
tra	Akap200	2	6	4e-04	0	0.5
tra2	Akap200	2	6	8e-04	0	0.5
cathD	Akap200	2	6	0	0	0.5
d	Akap200	2	6	3e-04	0	0.5
lva	Akap200	2	6	5e-04	0	0.5
pbl	Akap200	2	6	1e-04	0	0.5
CG33205	Akap200	2	6	0.001	0	0.5
da	Akap200	2	6	6e-04	0	0.5
cactin	Akap200	2	6	2e-04	0	0.5
hpo	Akap200	2	6	4e-04	0	0.5
Sema.2a	Akap200	2	6	8e-04	0	0.5
Eip74EF	Akap200	2	6	3e-04	0	0.5
eg	Akap200	2	6	2e-04	0	0.5
Arc42	Akap200	2	6	9e-04	0	0.5
toy	Akap200	2	6	0	0	0.5
Galpha73B	Akap200	2	6	6e-04	0	0.5
RhoGAPp190	Akap200	2	6	0	0	0.5
MED11	Akap200	2	6	0	0	0.5
cher	Akap200	2	6	0.0069	0	0.5
BicD	Akap200	2	6	4e-04	0	0.5
MYPT.75D	Akap200	2	6	0.0017	0	0.5
mus304	Akap200	2	6	7e-04	0	0.5
CdsA	Akap200	2	6	0.0015	0	0.5
btl	Akap200	2	6	5e-04	0	0.5
Cyt.c.d	Akap200	2	6	7e-04	0	0.5
tok	Akap200	2	6	7e-04	0	0.5
ttk	Akap200	2	6	0	0	0.5
tamo	Akap200	2	6	4e-04	0	0.5
CG6416	Akap200	2	6	1e-04	0	0.5
flfl	Akap200	2	6	6e-04	0	0.5
Pvr	Akap200	2	6	2e-04	0	0.5
