Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Ald	2	6	0	0	0.5
emp	Ald	2	6	3e-04	0	0.5
CG2678	Ald	2	6	0.0015	0	0.5
crc	Ald	2	6	3e-04	0	0.5
pros	Ald	2	6	0	0	0.5
neur	Ald	2	6	3e-04	0	0.5
Rab5	Ald	2	6	9e-04	0	0.5
Rab7	Ald	2	6	9e-04	0	0.5
Mmp2	Ald	2	6	0	0	0.5
W	Ald	2	6	0	0	0.5
bowl	Ald	2	6	0	0	0.5
fd59A	Ald	2	6	0	0	0.5
e	Ald	2	6	0	0	0.5
ben	Ald	2	6	0	0	0.5
rdo	Ald	2	6	0	0	0.5
lin	Ald	2	6	2e-04	0	0.5
tra	Ald	2	6	0	0	0.5
tra2	Ald	2	6	0	0	0.5
cathD	Ald	2	6	2e-04	0	0.5
d	Ald	2	6	0	0	0.5
lva	Ald	2	6	0.0012	0	0.5
pbl	Ald	2	6	8e-04	0	0.5
CG33205	Ald	2	6	0.0015	0	0.5
da	Ald	2	6	0.2791	0	0.5
cactin	Ald	2	6	1e-04	0	0.5
hpo	Ald	2	6	0	0	0.5
Sema.2a	Ald	2	6	6e-04	0	0.5
Eip74EF	Ald	2	6	5e-04	0	0.5
eg	Ald	2	6	0	0	0.5
Arc42	Ald	2	6	0	0	0.5
toy	Ald	2	6	0	0	0.5
Galpha73B	Ald	2	6	0	0	0.5
RhoGAPp190	Ald	2	6	2e-04	0	0.5
MED11	Ald	2	6	0	0	0.5
cher	Ald	2	6	0	0	0.5
BicD	Ald	2	6	0	0	0.5
MYPT.75D	Ald	2	6	0	0	0.5
mus304	Ald	2	6	7e-04	0	0.5
CdsA	Ald	2	6	2e-04	0	0.5
btl	Ald	2	6	0	0	0.5
Cyt.c.d	Ald	2	6	0	0	0.5
tok	Ald	2	6	0	0	0.5
ttk	Ald	2	6	1e-04	0	0.5
tamo	Ald	2	6	0	0	0.5
CG6416	Ald	2	6	0	0	0.5
flfl	Ald	2	6	0	0	0.5
Pvr	Ald	2	6	0	0	0.5
kay	Ald	2	6	0	0	0.5
Jra	Ald	2	6	0	0	0.5
msk	Ald	2	6	2e-04	0	0.5
tll	Ald	2	6	2e-04	0	0.5
Tm1	Ald	2	6	0	0	0.5
srp	Ald	2	6	0	0	0.5
Btk29A	Ald	2	6	1e-04	0	0.5
fred	Ald	2	6	0.0013	0	0.5
Src64B	Ald	2	6	5e-04	0	0.5
Mmp1	Ald	2	6	2e-04	0	0.5
sll	Ald	2	6	0	0	0.5
Hmgs	Ald	2	6	0	0	0.5
caps	Ald	2	6	5e-04	0	0.5
Su.var.2.10	Ald	2	6	2e-04	0	0.5
CycB	Ald	2	6	0	0	0.5
spir	Ald	2	6	0	0	0.5
spn.A	Ald	2	6	0	0	0.5
Ptpmeg	Ald	2	6	6e-04	0	0.5
qua	Ald	2	6	0	0	0.5
msn	Ald	2	6	0	0	0.5
ena	Ald	2	6	0.0011	0	0.5
spen	Ald	2	6	0	0	0.5
emc	Ald	2	6	0	0	0.5
tsh	Ald	2	6	0	0	0.5
Dat	Ald	2	6	5e-04	0	0.5
Lac	Ald	2	6	1e-04	0	0.5
dup	Ald	2	6	2e-04	0	0.5
CG3075	Ald	2	6	0	0	0.5
Akap200	Ald	2	6	0	0	0.5
CG18369	Ald	2	6	0	0	0.5
bnl	Ald	2	6	0	0	0.5
sec23	Ald	2	6	3e-04	0	0.5
Pde8	Ald	2	6	5e-04	0	0.5
Arp66B	Ald	2	6	0	0	0.5
cos	Ald	2	6	7e-04	0	0.5
Borr	Ald	2	6	2e-04	0	0.5
X140up	Ald	2	6	0	0	0.5
Dhc64C	Ald	2	6	0	0	0.5
Not1	Ald	2	6	0	0	0.5
CG9520	Ald	2	6	1e-04	0	0.5
bib	Ald	2	6	0	0	0.5
mib1	Ald	2	6	0	0	0.5
cas	Ald	2	6	0	0	0.5
Abi	Ald	2	6	0	0	0.5
betaTub56D	Ald	2	6	0	0	0.5
nej	Ald	2	6	0	0	0.5
dlg1	Ald	2	6	0.0013	0	0.5
Lcp65Ag1	Ald	2	6	0	0	0.5
Es2	Ald	2	6	0	0	0.5
MED24	Ald	2	6	2e-04	0	0.5
