Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Alh	2	6	0	0	0.5
emp	Alh	2	6	0	0	0.5
CG2678	Alh	2	6	3e-04	0	0.5
crc	Alh	2	6	0	0	0.5
pros	Alh	2	6	0	0	0.5
neur	Alh	2	6	5e-04	0	0.5
Rab5	Alh	2	6	0	0	0.5
Rab7	Alh	2	6	0	0	0.5
Mmp2	Alh	2	6	0	0	0.5
W	Alh	2	6	3e-04	0	0.5
bowl	Alh	2	6	0	0	0.5
fd59A	Alh	2	6	3e-04	0	0.5
e	Alh	2	6	0	0	0.5
ben	Alh	2	6	0	0	0.5
rdo	Alh	2	6	0	0	0.5
lin	Alh	2	6	0	0	0.5
tra	Alh	2	6	0	0	0.5
tra2	Alh	2	6	0	0	0.5
cathD	Alh	2	6	0	0	0.5
d	Alh	2	6	0	0	0.5
lva	Alh	2	6	0	0	0.5
pbl	Alh	2	6	0	0	0.5
CG33205	Alh	2	6	0	0	0.5
da	Alh	2	6	0	0	0.5
cactin	Alh	2	6	0	0	0.5
hpo	Alh	2	6	0	0	0.5
Sema.2a	Alh	2	6	3e-04	0	0.5
Eip74EF	Alh	2	6	0	0	0.5
eg	Alh	2	6	0	0	0.5
Arc42	Alh	2	6	0	0	0.5
toy	Alh	2	6	0	0	0.5
Galpha73B	Alh	2	6	0	0	0.5
RhoGAPp190	Alh	2	6	0	0	0.5
MED11	Alh	2	6	6e-04	0	0.5
cher	Alh	2	6	0	0	0.5
BicD	Alh	2	6	0	0	0.5
MYPT.75D	Alh	2	6	0	0	0.5
mus304	Alh	2	6	0	0	0.5
CdsA	Alh	2	6	0	0	0.5
btl	Alh	2	6	3e-04	0	0.5
Cyt.c.d	Alh	2	6	1e-04	0	0.5
tok	Alh	2	6	0	0	0.5
ttk	Alh	2	6	0	0	0.5
tamo	Alh	2	6	0	0	0.5
CG6416	Alh	2	6	8e-04	0	0.5
flfl	Alh	2	6	0	0	0.5
Pvr	Alh	2	6	0	0	0.5
kay	Alh	2	6	0	0	0.5
Jra	Alh	2	6	0	0	0.5
msk	Alh	2	6	1e-04	0	0.5
tll	Alh	2	6	0	0	0.5
Tm1	Alh	2	6	0	0	0.5
srp	Alh	2	6	0	0	0.5
Btk29A	Alh	2	6	0	0	0.5
fred	Alh	2	6	2e-04	0	0.5
Src64B	Alh	2	6	2e-04	0	0.5
Mmp1	Alh	2	6	0	0	0.5
sll	Alh	2	6	0	0	0.5
Hmgs	Alh	2	6	0	0	0.5
caps	Alh	2	6	0	0	0.5
Su.var.2.10	Alh	2	6	0	0	0.5
