Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Alk	2	6	1e-04	0	0.5
emp	Alk	2	6	9e-04	0	0.5
CG2678	Alk	2	6	4e-04	0	0.5
crc	Alk	2	6	2e-04	0	0.5
pros	Alk	2	6	0	0	0.5
neur	Alk	2	6	3e-04	0	0.5
Rab5	Alk	2	6	3e-04	0	0.5
Rab7	Alk	2	6	0	0	0.5
Mmp2	Alk	2	6	0.0014	0	0.5
W	Alk	2	6	5e-04	0	0.5
bowl	Alk	2	6	0.0053	0	0.5
fd59A	Alk	2	6	0	0	0.5
e	Alk	2	6	1e-04	0	0.5
ben	Alk	2	6	5e-04	0	0.5
rdo	Alk	2	6	9e-04	0	0.5
lin	Alk	2	6	4e-04	0	0.5
tra	Alk	2	6	4e-04	0	0.5
tra2	Alk	2	6	2e-04	0	0.5
cathD	Alk	2	6	2e-04	0	0.5
d	Alk	2	6	2e-04	0	0.5
lva	Alk	2	6	2e-04	0	0.5
pbl	Alk	2	6	6e-04	0	0.5
CG33205	Alk	2	6	2e-04	0	0.5
da	Alk	2	6	5e-04	0	0.5
cactin	Alk	2	6	1e-04	0	0.5
hpo	Alk	2	6	1e-04	0	0.5
Sema.2a	Alk	2	6	0	0	0.5
Eip74EF	Alk	2	6	0.0013	0	0.5
eg	Alk	2	6	4e-04	0	0.5
Arc42	Alk	2	6	0.0018	0	0.5
toy	Alk	2	6	1e-04	0	0.5
Galpha73B	Alk	2	6	3e-04	0	0.5
RhoGAPp190	Alk	2	6	1e-04	0	0.5
MED11	Alk	2	6	0	0	0.5
cher	Alk	2	6	3e-04	0	0.5
BicD	Alk	2	6	4e-04	0	0.5
MYPT.75D	Alk	2	6	3e-04	0	0.5
mus304	Alk	2	6	0.6512	0.99481	0.5
CdsA	Alk	2	6	8e-04	0	0.5
btl	Alk	2	6	0	0	0.5
Cyt.c.d	Alk	2	6	0	0	0.5
tok	Alk	2	6	0.001	0	0.5
ttk	Alk	2	6	6e-04	0	0.5
tamo	Alk	2	6	1e-04	0	0.5
CG6416	Alk	2	6	0.0011	0	0.5
flfl	Alk	2	6	0.002	0	0.5
Pvr	Alk	2	6	0	0	0.5
kay	Alk	2	6	0	0	0.5
Jra	Alk	2	6	2e-04	0	0.5
msk	Alk	2	6	0.0015	0	0.5
tll	Alk	2	6	0	0	0.5
Tm1	Alk	2	6	2e-04	0	0.5
srp	Alk	2	6	1e-04	0	0.5
Btk29A	Alk	2	6	1e-04	0	0.5
fred	Alk	2	6	0.0053	0	0.5
Src64B	Alk	2	6	3e-04	0	0.5
Mmp1	Alk	2	6	0	0	0.5
sll	Alk	2	6	0.004	0	0.5
Hmgs	Alk	2	6	3e-04	0	0.5
caps	Alk	2	6	0	0	0.5
Su.var.2.10	Alk	2	6	5e-04	0	0.5
CycB	Alk	2	6	9e-04	0	0.5
spir	Alk	2	6	0	0	0.5
spn.A	Alk	2	6	9e-04	0	0.5
Ptpmeg	Alk	2	6	3e-04	0	0.5
qua	Alk	2	6	0	0	0.5
msn	Alk	2	6	0.0011	0	0.5
ena	Alk	2	6	0.0017	0	0.5
