Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Apc	2	6	0	0	0.5
emp	Apc	2	6	0	0	0.5
CG2678	Apc	2	6	0	0	0.5
crc	Apc	2	6	3e-04	0	0.5
pros	Apc	2	6	0	0	0.5
neur	Apc	2	6	3e-04	0	0.5
Rab5	Apc	2	6	0	0	0.5
Rab7	Apc	2	6	0	0	0.5
Mmp2	Apc	2	6	0	0	0.5
W	Apc	2	6	0	0	0.5
bowl	Apc	2	6	0	0	0.5
fd59A	Apc	2	6	0	0	0.5
e	Apc	2	6	0	0	0.5
ben	Apc	2	6	9e-04	0	0.5
rdo	Apc	2	6	1e-04	0	0.5
lin	Apc	2	6	0	0	0.5
tra	Apc	2	6	0	0	0.5
tra2	Apc	2	6	0	0	0.5
cathD	Apc	2	6	0	0	0.5
d	Apc	2	6	0	0	0.5
lva	Apc	2	6	0	0	0.5
pbl	Apc	2	6	0	0	0.5
CG33205	Apc	2	6	0	0	0.5
da	Apc	2	6	6e-04	0	0.5
cactin	Apc	2	6	0	0	0.5
hpo	Apc	2	6	1e-04	0	0.5
Sema.2a	Apc	2	6	5e-04	0	0.5
Eip74EF	Apc	2	6	2e-04	0	0.5
eg	Apc	2	6	0	0	0.5
Arc42	Apc	2	6	0	0	0.5
toy	Apc	2	6	0	0	0.5
Galpha73B	Apc	2	6	0	0	0.5
RhoGAPp190	Apc	2	6	0	0	0.5
MED11	Apc	2	6	0	0	0.5
cher	Apc	2	6	0	0	0.5
BicD	Apc	2	6	0	0	0.5
MYPT.75D	Apc	2	6	7e-04	0	0.5
mus304	Apc	2	6	0	0	0.5
CdsA	Apc	2	6	3e-04	0	0.5
btl	Apc	2	6	4e-04	0	0.5
Cyt.c.d	Apc	2	6	4e-04	0	0.5
tok	Apc	2	6	0	0	0.5
ttk	Apc	2	6	1e-04	0	0.5
tamo	Apc	2	6	4e-04	0	0.5
CG6416	Apc	2	6	2e-04	0	0.5
flfl	Apc	2	6	0	0	0.5
Pvr	Apc	2	6	1e-04	0	0.5
kay	Apc	2	6	0	0	0.5
Jra	Apc	2	6	0	0	0.5
msk	Apc	2	6	0	0	0.5
tll	Apc	2	6	0	0	0.5
Tm1	Apc	2	6	0	0	0.5
srp	Apc	2	6	0	0	0.5
Btk29A	Apc	2	6	0	0	0.5
fred	Apc	2	6	0.001	0	0.5
Src64B	Apc	2	6	0	0	0.5
Mmp1	Apc	2	6	0	0	0.5
sll	Apc	2	6	0	0	0.5
Hmgs	Apc	2	6	0	0	0.5
caps	Apc	2	6	0	0	0.5
Su.var.2.10	Apc	2	6	0	0	0.5
CycB	Apc	2	6	0	0	0.5
spir	Apc	2	6	0	0	0.5
spn.A	Apc	2	6	0	0	0.5
Ptpmeg	Apc	2	6	6e-04	0	0.5
qua	Apc	2	6	0	0	0.5
msn	Apc	2	6	5e-04	0	0.5
ena	Apc	2	6	0	0	0.5
spen	Apc	2	6	0	0	0.5
emc	Apc	2	6	0	0	0.5
tsh	Apc	2	6	1e-04	0	0.5
Dat	Apc	2	6	2e-04	0	0.5
Lac	Apc	2	6	0	0	0.5
dup	Apc	2	6	6e-04	0	0.5
CG3075	Apc	2	6	0	0	0.5
Akap200	Apc	2	6	1e-04	0	0.5
CG18369	Apc	2	6	9e-04	0	0.5
bnl	Apc	2	6	0	0	0.5
sec23	Apc	2	6	0	0	0.5
Pde8	Apc	2	6	0	0	0.5
Arp66B	Apc	2	6	0	0	0.5
cos	Apc	2	6	0	0	0.5
Borr	Apc	2	6	0	0	0.5
X140up	Apc	2	6	8e-04	0	0.5
Dhc64C	Apc	2	6	0	0	0.5
Not1	Apc	2	6	5e-04	0	0.5
