Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Apc2	2	6	5e-04	0	0.5
emp	Apc2	2	6	3e-04	0	0.5
CG2678	Apc2	2	6	0.0017	0	0.5
crc	Apc2	2	6	0.003	0	0.5
pros	Apc2	2	6	0	0	0.5
neur	Apc2	2	6	7e-04	0	0.5
Rab5	Apc2	2	6	7e-04	0	0.5
Rab7	Apc2	2	6	0.0012	0	0.5
Mmp2	Apc2	2	6	3e-04	0	0.5
W	Apc2	2	6	0.0012	0	0.5
bowl	Apc2	2	6	9e-04	0	0.5
fd59A	Apc2	2	6	2e-04	0	0.5
e	Apc2	2	6	1e-04	0	0.5
ben	Apc2	2	6	4e-04	0	0.5
rdo	Apc2	2	6	0.0013	0	0.5
lin	Apc2	2	6	1e-04	0	0.5
tra	Apc2	2	6	0	0	0.5
tra2	Apc2	2	6	0.0023	0	0.5
cathD	Apc2	2	6	8e-04	0	0.5
d	Apc2	2	6	0	0	0.5
lva	Apc2	2	6	0.0032	0	0.5
pbl	Apc2	2	6	3e-04	0	0.5
CG33205	Apc2	2	6	4e-04	0	0.5
da	Apc2	2	6	9e-04	0	0.5
cactin	Apc2	2	6	2e-04	0	0.5
hpo	Apc2	2	6	6e-04	0	0.5
Sema.2a	Apc2	2	6	4e-04	0	0.5
Eip74EF	Apc2	2	6	5e-04	0	0.5
eg	Apc2	2	6	5e-04	0	0.5
Arc42	Apc2	2	6	0.0078	0	0.5
toy	Apc2	2	6	2e-04	0	0.5
Galpha73B	Apc2	2	6	0.002	0	0.5
RhoGAPp190	Apc2	2	6	0.0839	0	0.5
MED11	Apc2	2	6	4e-04	0	0.5
cher	Apc2	2	6	5e-04	0	0.5
BicD	Apc2	2	6	9e-04	0	0.5
MYPT.75D	Apc2	2	6	0	0	0.5
mus304	Apc2	2	6	0.0043	0	0.5
CdsA	Apc2	2	6	1e-04	0	0.5
btl	Apc2	2	6	5e-04	0	0.5
Cyt.c.d	Apc2	2	6	1e-04	0	0.5
tok	Apc2	2	6	0.0016	0	0.5
ttk	Apc2	2	6	0.0014	0	0.5
tamo	Apc2	2	6	6e-04	0	0.5
CG6416	Apc2	2	6	0	0	0.5
flfl	Apc2	2	6	5e-04	0	0.5
Pvr	Apc2	2	6	0.0031	0	0.5
kay	Apc2	2	6	9e-04	0	0.5
Jra	Apc2	2	6	7e-04	0	0.5
msk	Apc2	2	6	4e-04	0	0.5
tll	Apc2	2	6	4e-04	0	0.5
Tm1	Apc2	2	6	0	0	0.5
srp	Apc2	2	6	1e-04	0	0.5
Btk29A	Apc2	2	6	2e-04	0	0.5
fred	Apc2	2	6	0.0027	0	0.5
Src64B	Apc2	2	6	1e-04	0	0.5
Mmp1	Apc2	2	6	4e-04	0	0.5
sll	Apc2	2	6	7e-04	0	0.5
Hmgs	Apc2	2	6	6e-04	0	0.5
caps	Apc2	2	6	5e-04	0	0.5
Su.var.2.10	Apc2	2	6	5e-04	0	0.5
CycB	Apc2	2	6	1e-04	0	0.5
spir	Apc2	2	6	0	0	0.5
spn.A	Apc2	2	6	0.0013	0	0.5
Ptpmeg	Apc2	2	6	2e-04	0	0.5
qua	Apc2	2	6	1e-04	0	0.5
msn	Apc2	2	6	1e-04	0	0.5
ena	Apc2	2	6	1e-04	0	0.5
spen	Apc2	2	6	6e-04	0	0.5
emc	Apc2	2	6	5e-04	0	0.5
tsh	Apc2	2	6	1e-04	0	0.5
Dat	Apc2	2	6	4e-04	0	0.5
Lac	Apc2	2	6	5e-04	0	0.5
dup	Apc2	2	6	2e-04	0	0.5
CG3075	Apc2	2	6	1e-04	0	0.5
Akap200	Apc2	2	6	4e-04	0	0.5
CG18369	Apc2	2	6	9e-04	0	0.5
bnl	Apc2	2	6	5e-04	0	0.5
sec23	Apc2	2	6	0.0011	0	0.5
Pde8	Apc2	2	6	2e-04	0	0.5
Arp66B	Apc2	2	6	1e-04	0	0.5
cos	Apc2	2	6	6e-04	0	0.5
Borr	Apc2	2	6	3e-04	0	0.5
X140up	Apc2	2	6	1e-04	0	0.5
Dhc64C	Apc2	2	6	3e-04	0	0.5
Not1	Apc2	2	6	5e-04	0	0.5
CG9520	Apc2	2	6	3e-04	0	0.5
bib	Apc2	2	6	2e-04	0	0.5
mib1	Apc2	2	6	2e-04	0	0.5
cas	Apc2	2	6	1e-04	0	0.5
Abi	Apc2	2	6	0	0	0.5
betaTub56D	Apc2	2	6	5e-04	0	0.5
nej	Apc2	2	6	0.0011	0	0.5
dlg1	Apc2	2	6	2e-04	0	0.5
Lcp65Ag1	Apc2	2	6	4e-04	0	0.5
Es2	Apc2	2	6	0.001	0	0.5
MED24	Apc2	2	6	1e-04	0	0.5
Vhl	Apc2	2	6	2e-04	0	0.5
tral	Apc2	2	6	3e-04	0	0.5
sns	Apc2	2	6	4e-04	0	0.5
mbl	Apc2	2	6	8e-04	0	0.5
sav	Apc2	2	6	0.001	0	0.5
lola	Apc2	2	6	3e-04	0	0.5
robo	Apc2	2	6	7e-04	0	0.5
CG32486	Apc2	2	6	2e-04	0	0.5
santa.maria	Apc2	2	6	5e-04	0	0.5
stumps	Apc2	2	6	1e-04	0	0.5
abd.A	Apc2	2	6	2e-04	0	0.5
dock	Apc2	2	6	1e-04	0	0.5
Lar	Apc2	2	6	0.001	0	0.5
l.1.G0289	Apc2	2	6	0	0	0.5
Abl	Apc2	2	6	4e-04	0	0.5
Syb	Apc2	2	6	2e-04	0	0.5
dome	Apc2	2	6	1e-04	0	0.5
ofs	Apc2	2	6	2e-04	0	0.5
MED4	Apc2	2	6	4e-04	0	0.5
scrib	Apc2	2	6	0.0097	0	0.5
siz	Apc2	2	6	2e-04	0	0.5
cbx	Apc2	2	6	0	0	0.5
dsx	Apc2	2	6	1e-04	0	0.5
Sb	Apc2	2	6	1e-04	0	0.5
sax	Apc2	2	6	0.0011	0	0.5
foxo	Apc2	2	6	2e-04	0	0.5
Cyp1	Apc2	2	6	1e-04	0	0.5
brm	Apc2	2	6	4e-04	0	0.5
rad50	Apc2	2	6	1e-04	0	0.5
chico	Apc2	2	6	4e-04	0	0.5
cp309	Apc2	2	6	1e-04	0	0.5
hdc	Apc2	2	6	0.0019	0	0.5
Axn	Apc2	2	6	6e-04	0	0.5
Apc2	Apc2	2	6	5e-04	0	0.5
PhKgamma	Apc2	2	6	3e-04	0	0.5
eya	Apc2	2	6	7e-04	0	0.5
sktl	Apc2	2	6	7e-04	0	0.5
sqd	Apc2	2	6	1e-04	0	0.5
Akt1	Apc2	2	6	1e-04	0	0.5
scyl	Apc2	2	6	0.001	0	0.5
cnk	Apc2	2	6	1e-04	0	0.5
CG8149	Apc2	2	6	2e-04	0	0.5
CG34379	Apc2	2	6	3e-04	0	0.5
Yp1	Apc2	2	6	0	0	0.5
yrt	Apc2	2	6	5e-04	0	0.5
bap	Apc2	2	6	2e-04	0	0.5
tud	Apc2	2	6	6e-04	0	0.5
ct	Apc2	2	6	1e-04	0	0.5
tup	Apc2	2	6	1e-04	0	0.5
G.ialpha65A	Apc2	2	6	0	0	0.5
knrl	Apc2	2	6	2e-04	0	0.5
Pkn	Apc2	2	6	5e-04	0	0.5
Sry.delta	Apc2	2	6	5e-04	0	0.5
Alh	Apc2	2	6	8e-04	0	0.5
pnut	Apc2	2	6	5e-04	0	0.5
phyl	Apc2	2	6	0	0	0.5
CG17739	Apc2	2	6	0	0	0.5
B4	Apc2	2	6	0.0017	0	0.5
CG2681	Apc2	2	6	6e-04	0	0.5
tow	Apc2	2	6	0	0	0.5
hkl	Apc2	2	6	5e-04	0	0.5
sina	Apc2	2	6	5e-04	0	0.5
ry	Apc2	2	6	0.0012	0	0.5
rux	Apc2	2	6	0	0	0.5
boss	Apc2	2	6	3e-04	0	0.5
Mkp3	Apc2	2	6	5e-04	0	0.5
inaC	Apc2	2	6	7e-04	0	0.5
sno	Apc2	2	6	6e-04	0	0.5
jagn	Apc2	2	6	2e-04	0	0.5
dpn	Apc2	2	6	5e-04	0	0.5
wrapper	Apc2	2	6	0.0013	0	0.5
Ca.alpha1D	Apc2	2	6	1e-04	0	0.5
E2f	Apc2	2	6	1e-04	0	0.5
Dp	Apc2	2	6	9e-04	0	0.5
l.2.efl	Apc2	2	6	5e-04	0	0.5
cnc	Apc2	2	6	5e-04	0	0.5
Atg5	Apc2	2	6	1e-04	0	0.5
acj6	Apc2	2	6	3e-04	0	0.5
Trl	Apc2	2	6	1e-04	0	0.5
d4	Apc2	2	6	4e-04	0	0.5
CG16719	Apc2	2	6	7e-04	0	0.5
CadN	Apc2	2	6	0	0	0.5
gro	Apc2	2	6	4e-04	0	0.5
sec13	Apc2	2	6	5e-04	0	0.5
klar	Apc2	2	6	0	0	0.5
Rack1	Apc2	2	6	3e-04	0	0.5
Sobp	Apc2	2	6	9e-04	0	0.5
ash1	Apc2	2	6	4e-04	0	0.5
inv	Apc2	2	6	4e-04	0	0.5
shot	Apc2	2	6	8e-04	0	0.5
Oseg1	Apc2	2	6	2e-04	0	0.5
Spred	Apc2	2	6	8e-04	0	0.5
puc	Apc2	2	6	4e-04	0	0.5
