Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Arc.p34	2	6	0	0	0.5
emp	Arc.p34	2	6	0	0	0.5
CG2678	Arc.p34	2	6	1e-04	0	0.5
crc	Arc.p34	2	6	0	0	0.5
pros	Arc.p34	2	6	2e-04	0	0.5
neur	Arc.p34	2	6	5e-04	0	0.5
Rab5	Arc.p34	2	6	4e-04	0	0.5
Rab7	Arc.p34	2	6	0	0	0.5
Mmp2	Arc.p34	2	6	0	0	0.5
W	Arc.p34	2	6	0	0	0.5
bowl	Arc.p34	2	6	1e-04	0	0.5
fd59A	Arc.p34	2	6	0	0	0.5
e	Arc.p34	2	6	8e-04	0	0.5
ben	Arc.p34	2	6	0	0	0.5
rdo	Arc.p34	2	6	0	0	0.5
lin	Arc.p34	2	6	0	0	0.5
tra	Arc.p34	2	6	0	0	0.5
tra2	Arc.p34	2	6	2e-04	0	0.5
cathD	Arc.p34	2	6	0	0	0.5
d	Arc.p34	2	6	2e-04	0	0.5
lva	Arc.p34	2	6	0	0	0.5
pbl	Arc.p34	2	6	0.386	0	0.5
CG33205	Arc.p34	2	6	4e-04	0	0.5
da	Arc.p34	2	6	0	0	0.5
cactin	Arc.p34	2	6	0	0	0.5
hpo	Arc.p34	2	6	0	0	0.5
Sema.2a	Arc.p34	2	6	0	0	0.5
Eip74EF	Arc.p34	2	6	0	0	0.5
eg	Arc.p34	2	6	0	0	0.5
Arc42	Arc.p34	2	6	0	0	0.5
toy	Arc.p34	2	6	0	0	0.5
Galpha73B	Arc.p34	2	6	0	0	0.5
RhoGAPp190	Arc.p34	2	6	1e-04	0	0.5
MED11	Arc.p34	2	6	0	0	0.5
cher	Arc.p34	2	6	0	0	0.5
BicD	Arc.p34	2	6	2e-04	0	0.5
MYPT.75D	Arc.p34	2	6	0	0	0.5
mus304	Arc.p34	2	6	3e-04	0	0.5
CdsA	Arc.p34	2	6	0	0	0.5
btl	Arc.p34	2	6	0	0	0.5
Cyt.c.d	Arc.p34	2	6	0	0	0.5
tok	Arc.p34	2	6	1e-04	0	0.5
ttk	Arc.p34	2	6	0	0	0.5
tamo	Arc.p34	2	6	0	0	0.5
CG6416	Arc.p34	2	6	2e-04	0	0.5
flfl	Arc.p34	2	6	0	0	0.5
Pvr	Arc.p34	2	6	0	0	0.5
kay	Arc.p34	2	6	0	0	0.5
Jra	Arc.p34	2	6	0	0	0.5
msk	Arc.p34	2	6	0	0	0.5
tll	Arc.p34	2	6	0	0	0.5
Tm1	Arc.p34	2	6	0	0	0.5
srp	Arc.p34	2	6	0	0	0.5
Btk29A	Arc.p34	2	6	0	0	0.5
fred	Arc.p34	2	6	0	0	0.5
Src64B	Arc.p34	2	6	0	0	0.5
Mmp1	Arc.p34	2	6	0	0	0.5
sll	Arc.p34	2	6	2e-04	0	0.5
Hmgs	Arc.p34	2	6	1e-04	0	0.5
caps	Arc.p34	2	6	0	0	0.5
Su.var.2.10	Arc.p34	2	6	0	0	0.5
CycB	Arc.p34	2	6	0	0	0.5
spir	Arc.p34	2	6	0	0	0.5
spn.A	Arc.p34	2	6	2e-04	0	0.5
Ptpmeg	Arc.p34	2	6	1e-04	0	0.5
qua	Arc.p34	2	6	1e-04	0	0.5
msn	Arc.p34	2	6	0	0	0.5
ena	Arc.p34	2	6	0	0	0.5
spen	Arc.p34	2	6	0	0	0.5
emc	Arc.p34	2	6	0	0	0.5
tsh	Arc.p34	2	6	0	0	0.5
Dat	Arc.p34	2	6	5e-04	0	0.5
Lac	Arc.p34	2	6	0	0	0.5
dup	Arc.p34	2	6	0	0	0.5
CG3075	Arc.p34	2	6	6e-04	0	0.5
Akap200	Arc.p34	2	6	0	0	0.5
CG18369	Arc.p34	2	6	0	0	0.5
bnl	Arc.p34	2	6	0	0	0.5
sec23	Arc.p34	2	6	0	0	0.5
Pde8	Arc.p34	2	6	0	0	0.5
Arp66B	Arc.p34	2	6	0	0	0.5
cos	Arc.p34	2	6	5e-04	0	0.5
Borr	Arc.p34	2	6	0	0	0.5
X140up	Arc.p34	2	6	0	0	0.5
Dhc64C	Arc.p34	2	6	1e-04	0	0.5
Not1	Arc.p34	2	6	0	0	0.5
CG9520	Arc.p34	2	6	0	0	0.5
bib	Arc.p34	2	6	0	0	0.5
mib1	Arc.p34	2	6	0	0	0.5
cas	Arc.p34	2	6	1e-04	0	0.5
Abi	Arc.p34	2	6	0	0	0.5
betaTub56D	Arc.p34	2	6	0	0	0.5
nej	Arc.p34	2	6	0	0	0.5
dlg1	Arc.p34	2	6	0	0	0.5
Lcp65Ag1	Arc.p34	2	6	0	0	0.5
Es2	Arc.p34	2	6	0	0	0.5
MED24	Arc.p34	2	6	0	0	0.5
Vhl	Arc.p34	2	6	0	0	0.5
tral	Arc.p34	2	6	0	0	0.5
sns	Arc.p34	2	6	0	0	0.5
mbl	Arc.p34	2	6	2e-04	0	0.5
sav	Arc.p34	2	6	0	0	0.5
lola	Arc.p34	2	6	0	0	0.5
robo	Arc.p34	2	6	0	0	0.5
CG32486	Arc.p34	2	6	0	0	0.5
santa.maria	Arc.p34	2	6	0	0	0.5
stumps	Arc.p34	2	6	0	0	0.5
abd.A	Arc.p34	2	6	1e-04	0	0.5
dock	Arc.p34	2	6	0	0	0.5
Lar	Arc.p34	2	6	0	0	0.5
l.1.G0289	Arc.p34	2	6	0	0	0.5
Abl	Arc.p34	2	6	0	0	0.5
Syb	Arc.p34	2	6	0	0	0.5
dome	Arc.p34	2	6	0	0	0.5
ofs	Arc.p34	2	6	8e-04	0	0.5
MED4	Arc.p34	2	6	0	0	0.5
scrib	Arc.p34	2	6	0	0	0.5
siz	Arc.p34	2	6	0	0	0.5
cbx	Arc.p34	2	6	0	0	0.5
dsx	Arc.p34	2	6	0	0	0.5
Sb	Arc.p34	2	6	0	0	0.5
sax	Arc.p34	2	6	0	0	0.5
foxo	Arc.p34	2	6	0	0	0.5
