Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Ark	2	6	2e-04	0	0.5
emp	Ark	2	6	0	0	0.5
CG2678	Ark	2	6	0	0	0.5
crc	Ark	2	6	2e-04	0	0.5
pros	Ark	2	6	2e-04	0	0.5
neur	Ark	2	6	2e-04	0	0.5
Rab5	Ark	2	6	0.001	0	0.5
Rab7	Ark	2	6	4e-04	0	0.5
Mmp2	Ark	2	6	6e-04	0	0.5
W	Ark	2	6	9e-04	0	0.5
bowl	Ark	2	6	0	0	0.5
fd59A	Ark	2	6	0	0	0.5
e	Ark	2	6	0.0039	0	0.5
ben	Ark	2	6	0.0015	0	0.5
rdo	Ark	2	6	0	0	0.5
lin	Ark	2	6	3e-04	0	0.5
tra	Ark	2	6	5e-04	0	0.5
tra2	Ark	2	6	1e-04	0	0.5
cathD	Ark	2	6	0	0	0.5
d	Ark	2	6	0	0	0.5
lva	Ark	2	6	0	0	0.5
pbl	Ark	2	6	3e-04	0	0.5
CG33205	Ark	2	6	0	0	0.5
da	Ark	2	6	0.0016	0	0.5
cactin	Ark	2	6	0	0	0.5
hpo	Ark	2	6	1e-04	0	0.5
Sema.2a	Ark	2	6	0.0018	0	0.5
Eip74EF	Ark	2	6	3e-04	0	0.5
eg	Ark	2	6	5e-04	0	0.5
Arc42	Ark	2	6	5e-04	0	0.5
toy	Ark	2	6	2e-04	0	0.5
Galpha73B	Ark	2	6	4e-04	0	0.5
RhoGAPp190	Ark	2	6	0	0	0.5
MED11	Ark	2	6	7e-04	0	0.5
cher	Ark	2	6	9e-04	0	0.5
BicD	Ark	2	6	1e-04	0	0.5
MYPT.75D	Ark	2	6	1e-04	0	0.5
mus304	Ark	2	6	2e-04	0	0.5
CdsA	Ark	2	6	0.0059	0	0.5
btl	Ark	2	6	2e-04	0	0.5
Cyt.c.d	Ark	2	6	1e-04	0	0.5
tok	Ark	2	6	0	0	0.5
ttk	Ark	2	6	4e-04	0	0.5
tamo	Ark	2	6	3e-04	0	0.5
CG6416	Ark	2	6	1e-04	0	0.5
flfl	Ark	2	6	0	0	0.5
Pvr	Ark	2	6	5e-04	0	0.5
kay	Ark	2	6	3e-04	0	0.5
Jra	Ark	2	6	0.0028	0	0.5
msk	Ark	2	6	2e-04	0	0.5
tll	Ark	2	6	3e-04	0	0.5
Tm1	Ark	2	6	0.001	0	0.5
srp	Ark	2	6	4e-04	0	0.5
Btk29A	Ark	2	6	1e-04	0	0.5
fred	Ark	2	6	0	0	0.5
Src64B	Ark	2	6	5e-04	0	0.5
Mmp1	Ark	2	6	5e-04	0	0.5
sll	Ark	2	6	1e-04	0	0.5
Hmgs	Ark	2	6	9e-04	0	0.5
caps	Ark	2	6	8e-04	0	0.5
Su.var.2.10	Ark	2	6	1e-04	0	0.5
CycB	Ark	2	6	2e-04	0	0.5
spir	Ark	2	6	0	0	0.5
spn.A	Ark	2	6	0	0	0.5
Ptpmeg	Ark	2	6	6e-04	0	0.5
qua	Ark	2	6	0.0016	0	0.5
msn	Ark	2	6	0	0	0.5
ena	Ark	2	6	2e-04	0	0.5
spen	Ark	2	6	7e-04	0	0.5
emc	Ark	2	6	0.0016	0	0.5
tsh	Ark	2	6	1e-04	0	0.5
Dat	Ark	2	6	8e-04	0	0.5
Lac	Ark	2	6	3e-04	0	0.5
dup	Ark	2	6	8e-04	0	0.5
CG3075	Ark	2	6	0.0013	0	0.5
Akap200	Ark	2	6	0	0	0.5
CG18369	Ark	2	6	0	0	0.5
bnl	Ark	2	6	2e-04	0	0.5
sec23	Ark	2	6	1e-04	0	0.5
Pde8	Ark	2	6	2e-04	0	0.5
Arp66B	Ark	2	6	4e-04	0	0.5
cos	Ark	2	6	1e-04	0	0.5
Borr	Ark	2	6	3e-04	0	0.5
X140up	Ark	2	6	2e-04	0	0.5
Dhc64C	Ark	2	6	0.0012	0	0.5
Not1	Ark	2	6	1e-04	0	0.5
CG9520	Ark	2	6	0	0	0.5
bib	Ark	2	6	0.0013	0	0.5
mib1	Ark	2	6	8e-04	0	0.5
cas	Ark	2	6	1e-04	0	0.5
Abi	Ark	2	6	2e-04	0	0.5
betaTub56D	Ark	2	6	4e-04	0	0.5
nej	Ark	2	6	0	0	0.5
dlg1	Ark	2	6	5e-04	0	0.5
Lcp65Ag1	Ark	2	6	0.0024	0	0.5
Es2	Ark	2	6	4e-04	0	0.5
MED24	Ark	2	6	2e-04	0	0.5
Vhl	Ark	2	6	5e-04	0	0.5
tral	Ark	2	6	9e-04	0	0.5
sns	Ark	2	6	5e-04	0	0.5
mbl	Ark	2	6	2e-04	0	0.5
sav	Ark	2	6	8e-04	0	0.5
lola	Ark	2	6	2e-04	0	0.5
robo	Ark	2	6	0	0	0.5
CG32486	Ark	2	6	4e-04	0	0.5
santa.maria	Ark	2	6	0	0	0.5
