Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Atg6	2	6	4e-04	0	0.5
emp	Atg6	2	6	0	0	0.5
CG2678	Atg6	2	6	0	0	0.5
crc	Atg6	2	6	0	0	0.5
pros	Atg6	2	6	0	0	0.5
neur	Atg6	2	6	0	0	0.5
Rab5	Atg6	2	6	0	0	0.5
Rab7	Atg6	2	6	0	0	0.5
Mmp2	Atg6	2	6	2e-04	0	0.5
W	Atg6	2	6	0	0	0.5
bowl	Atg6	2	6	0	0	0.5
fd59A	Atg6	2	6	0	0	0.5
e	Atg6	2	6	0	0	0.5
ben	Atg6	2	6	0	0	0.5
rdo	Atg6	2	6	1e-04	0	0.5
lin	Atg6	2	6	0	0	0.5
tra	Atg6	2	6	0	0	0.5
tra2	Atg6	2	6	0	0	0.5
cathD	Atg6	2	6	0	0	0.5
d	Atg6	2	6	0	0	0.5
lva	Atg6	2	6	7e-04	0	0.5
pbl	Atg6	2	6	0	0	0.5
CG33205	Atg6	2	6	0	0	0.5
da	Atg6	2	6	0	0	0.5
cactin	Atg6	2	6	0	0	0.5
hpo	Atg6	2	6	0	0	0.5
Sema.2a	Atg6	2	6	1e-04	0	0.5
Eip74EF	Atg6	2	6	0	0	0.5
eg	Atg6	2	6	0	0	0.5
Arc42	Atg6	2	6	0	0	0.5
toy	Atg6	2	6	0	0	0.5
Galpha73B	Atg6	2	6	0	0	0.5
RhoGAPp190	Atg6	2	6	2e-04	0	0.5
MED11	Atg6	2	6	0	0	0.5
cher	Atg6	2	6	0	0	0.5
BicD	Atg6	2	6	0	0	0.5
MYPT.75D	Atg6	2	6	0	0	0.5
mus304	Atg6	2	6	0	0	0.5
CdsA	Atg6	2	6	0	0	0.5
btl	Atg6	2	6	0	0	0.5
Cyt.c.d	Atg6	2	6	0	0	0.5
tok	Atg6	2	6	1e-04	0	0.5
ttk	Atg6	2	6	1e-04	0	0.5
tamo	Atg6	2	6	0	0	0.5
CG6416	Atg6	2	6	7e-04	0	0.5
flfl	Atg6	2	6	4e-04	0	0.5
Pvr	Atg6	2	6	0	0	0.5
kay	Atg6	2	6	0	0	0.5
Jra	Atg6	2	6	0	0	0.5
msk	Atg6	2	6	1e-04	0	0.5
tll	Atg6	2	6	0	0	0.5
Tm1	Atg6	2	6	1e-04	0	0.5
srp	Atg6	2	6	0	0	0.5
Btk29A	Atg6	2	6	0	0	0.5
fred	Atg6	2	6	0	0	0.5
Src64B	Atg6	2	6	0	0	0.5
Mmp1	Atg6	2	6	0	0	0.5
sll	Atg6	2	6	1e-04	0	0.5
Hmgs	Atg6	2	6	0	0	0.5
caps	Atg6	2	6	0	0	0.5
Su.var.2.10	Atg6	2	6	0	0	0.5
