Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Atpalpha	2	6	4e-04	0	0.5
emp	Atpalpha	2	6	1e-04	0	0.5
CG2678	Atpalpha	2	6	1e-04	0	0.5
crc	Atpalpha	2	6	7e-04	0	0.5
pros	Atpalpha	2	6	1e-04	0	0.5
neur	Atpalpha	2	6	3e-04	0	0.5
Rab5	Atpalpha	2	6	0	0	0.5
Rab7	Atpalpha	2	6	5e-04	0	0.5
Mmp2	Atpalpha	2	6	1e-04	0	0.5
W	Atpalpha	2	6	5e-04	0	0.5
bowl	Atpalpha	2	6	0.0012	0	0.5
fd59A	Atpalpha	2	6	0.0012	0	0.5
e	Atpalpha	2	6	0	0	0.5
ben	Atpalpha	2	6	3e-04	0	0.5
rdo	Atpalpha	2	6	0	0	0.5
lin	Atpalpha	2	6	7e-04	0	0.5
tra	Atpalpha	2	6	1e-04	0	0.5
tra2	Atpalpha	2	6	3e-04	0	0.5
cathD	Atpalpha	2	6	8e-04	0	0.5
d	Atpalpha	2	6	1e-04	0	0.5
lva	Atpalpha	2	6	5e-04	0	0.5
pbl	Atpalpha	2	6	0	0	0.5
CG33205	Atpalpha	2	6	9e-04	0	0.5
da	Atpalpha	2	6	1e-04	0	0.5
cactin	Atpalpha	2	6	0.0014	0	0.5
hpo	Atpalpha	2	6	2e-04	0	0.5
Sema.2a	Atpalpha	2	6	0.0016	0	0.5
Eip74EF	Atpalpha	2	6	1e-04	0	0.5
eg	Atpalpha	2	6	0.0013	0	0.5
Arc42	Atpalpha	2	6	2e-04	0	0.5
toy	Atpalpha	2	6	1e-04	0	0.5
Galpha73B	Atpalpha	2	6	8e-04	0	0.5
RhoGAPp190	Atpalpha	2	6	2e-04	0	0.5
MED11	Atpalpha	2	6	3e-04	0	0.5
cher	Atpalpha	2	6	5e-04	0	0.5
BicD	Atpalpha	2	6	7e-04	0	0.5
MYPT.75D	Atpalpha	2	6	4e-04	0	0.5
mus304	Atpalpha	2	6	0.0021	0	0.5
CdsA	Atpalpha	2	6	0.0079	0	0.5
btl	Atpalpha	2	6	4e-04	0	0.5
Cyt.c.d	Atpalpha	2	6	4e-04	0	0.5
tok	Atpalpha	2	6	4e-04	0	0.5
ttk	Atpalpha	2	6	0.0252	0	0.5
tamo	Atpalpha	2	6	3e-04	0	0.5
CG6416	Atpalpha	2	6	1e-04	0	0.5
flfl	Atpalpha	2	6	0.0013	0	0.5
Pvr	Atpalpha	2	6	0.0025	0	0.5
kay	Atpalpha	2	6	0	0	0.5
Jra	Atpalpha	2	6	4e-04	0	0.5
msk	Atpalpha	2	6	2e-04	0	0.5
tll	Atpalpha	2	6	2e-04	0	0.5
Tm1	Atpalpha	2	6	1e-04	0	0.5
srp	Atpalpha	2	6	0	0	0.5
Btk29A	Atpalpha	2	6	4e-04	0	0.5
fred	Atpalpha	2	6	9e-04	0	0.5
Src64B	Atpalpha	2	6	0.0017	0	0.5
Mmp1	Atpalpha	2	6	2e-04	0	0.5
sll	Atpalpha	2	6	9e-04	0	0.5
Hmgs	Atpalpha	2	6	5e-04	0	0.5
caps	Atpalpha	2	6	3e-04	0	0.5
Su.var.2.10	Atpalpha	2	6	1e-04	0	0.5
CycB	Atpalpha	2	6	5e-04	0	0.5
spir	Atpalpha	2	6	2e-04	0	0.5
