Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Atx2	2	6	0	0	0.5
emp	Atx2	2	6	0	0	0.5
CG2678	Atx2	2	6	7e-04	0	0.5
crc	Atx2	2	6	1e-04	0	0.5
pros	Atx2	2	6	6e-04	0	0.5
neur	Atx2	2	6	2e-04	0	0.5
Rab5	Atx2	2	6	2e-04	0	0.5
Rab7	Atx2	2	6	3e-04	0	0.5
Mmp2	Atx2	2	6	0	0	0.5
W	Atx2	2	6	1e-04	0	0.5
bowl	Atx2	2	6	0	0	0.5
fd59A	Atx2	2	6	6e-04	0	0.5
e	Atx2	2	6	1e-04	0	0.5
ben	Atx2	2	6	0	0	0.5
rdo	Atx2	2	6	2e-04	0	0.5
lin	Atx2	2	6	0	0	0.5
tra	Atx2	2	6	3e-04	0	0.5
tra2	Atx2	2	6	0	0	0.5
cathD	Atx2	2	6	3e-04	0	0.5
d	Atx2	2	6	1e-04	0	0.5
lva	Atx2	2	6	1e-04	0	0.5
pbl	Atx2	2	6	0	0	0.5
CG33205	Atx2	2	6	0	0	0.5
da	Atx2	2	6	2e-04	0	0.5
cactin	Atx2	2	6	0.0012	0	0.5
hpo	Atx2	2	6	2e-04	0	0.5
Sema.2a	Atx2	2	6	6e-04	0	0.5
Eip74EF	Atx2	2	6	0	0	0.5
eg	Atx2	2	6	0	0	0.5
Arc42	Atx2	2	6	0	0	0.5
toy	Atx2	2	6	0	0	0.5
Galpha73B	Atx2	2	6	5e-04	0	0.5
RhoGAPp190	Atx2	2	6	1e-04	0	0.5
MED11	Atx2	2	6	1e-04	0	0.5
cher	Atx2	2	6	0	0	0.5
BicD	Atx2	2	6	0	0	0.5
MYPT.75D	Atx2	2	6	0	0	0.5
mus304	Atx2	2	6	2e-04	0	0.5
CdsA	Atx2	2	6	0	0	0.5
btl	Atx2	2	6	0	0	0.5
Cyt.c.d	Atx2	2	6	2e-04	0	0.5
tok	Atx2	2	6	0	0	0.5
ttk	Atx2	2	6	0.001	0	0.5
tamo	Atx2	2	6	0	0	0.5
CG6416	Atx2	2	6	0	0	0.5
flfl	Atx2	2	6	0	0	0.5
Pvr	Atx2	2	6	1e-04	0	0.5
kay	Atx2	2	6	3e-04	0	0.5
Jra	Atx2	2	6	9e-04	0	0.5
msk	Atx2	2	6	0	0	0.5
tll	Atx2	2	6	0	0	0.5
Tm1	Atx2	2	6	0	0	0.5
srp	Atx2	2	6	0	0	0.5
Btk29A	Atx2	2	6	0	0	0.5
fred	Atx2	2	6	0	0	0.5
Src64B	Atx2	2	6	0	0	0.5
Mmp1	Atx2	2	6	2e-04	0	0.5
sll	Atx2	2	6	0	0	0.5
Hmgs	Atx2	2	6	3e-04	0	0.5
caps	Atx2	2	6	0.0015	0	0.5
Su.var.2.10	Atx2	2	6	0	0	0.5
CycB	Atx2	2	6	0	0	0.5
spir	Atx2	2	6	0	0	0.5
spn.A	Atx2	2	6	0	0	0.5
Ptpmeg	Atx2	2	6	0	0	0.5
qua	Atx2	2	6	3e-04	0	0.5
msn	Atx2	2	6	0	0	0.5
ena	Atx2	2	6	0	0	0.5
spen	Atx2	2	6	0	0	0.5
emc	Atx2	2	6	0	0	0.5
tsh	Atx2	2	6	0	0	0.5
Dat	Atx2	2	6	0	0	0.5
Lac	Atx2	2	6	4e-04	0	0.5
dup	Atx2	2	6	0	0	0.5
CG3075	Atx2	2	6	1e-04	0	0.5
Akap200	Atx2	2	6	7e-04	0	0.5
CG18369	Atx2	2	6	0	0	0.5
bnl	Atx2	2	6	1e-04	0	0.5
sec23	Atx2	2	6	0	0	0.5
Pde8	Atx2	2	6	0	0	0.5
Arp66B	Atx2	2	6	0	0	0.5
cos	Atx2	2	6	0	0	0.5
Borr	Atx2	2	6	0	0	0.5
X140up	Atx2	2	6	1e-04	0	0.5
Dhc64C	Atx2	2	6	0	0	0.5
Not1	Atx2	2	6	0	0	0.5
CG9520	Atx2	2	6	0	0	0.5
bib	Atx2	2	6	0	0	0.5
mib1	Atx2	2	6	0.0014	0	0.5
cas	Atx2	2	6	8e-04	0	0.5
Abi	Atx2	2	6	1e-04	0	0.5
betaTub56D	Atx2	2	6	0	0	0.5
nej	Atx2	2	6	4e-04	0	0.5
dlg1	Atx2	2	6	6e-04	0	0.5
Lcp65Ag1	Atx2	2	6	0	0	0.5
