Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Axn	2	6	0	0	0.5
emp	Axn	2	6	0	0	0.5
CG2678	Axn	2	6	0	0	0.5
crc	Axn	2	6	7e-04	0	0.5
pros	Axn	2	6	0	0	0.5
neur	Axn	2	6	7e-04	0	0.5
Rab5	Axn	2	6	0	0	0.5
Rab7	Axn	2	6	4e-04	0	0.5
Mmp2	Axn	2	6	2e-04	0	0.5
W	Axn	2	6	9e-04	0	0.5
bowl	Axn	2	6	0	0	0.5
fd59A	Axn	2	6	0	0	0.5
e	Axn	2	6	0	0	0.5
ben	Axn	2	6	0	0	0.5
rdo	Axn	2	6	4e-04	0	0.5
lin	Axn	2	6	0	0	0.5
tra	Axn	2	6	4e-04	0	0.5
tra2	Axn	2	6	0	0	0.5
cathD	Axn	2	6	0	0	0.5
d	Axn	2	6	0	0	0.5
lva	Axn	2	6	0	0	0.5
pbl	Axn	2	6	8e-04	0	0.5
CG33205	Axn	2	6	2e-04	0	0.5
da	Axn	2	6	0	0	0.5
cactin	Axn	2	6	0	0	0.5
hpo	Axn	2	6	0	0	0.5
Sema.2a	Axn	2	6	9e-04	0	0.5
Eip74EF	Axn	2	6	0	0	0.5
eg	Axn	2	6	0	0	0.5
Arc42	Axn	2	6	0	0	0.5
toy	Axn	2	6	0	0	0.5
Galpha73B	Axn	2	6	0	0	0.5
RhoGAPp190	Axn	2	6	0	0	0.5
MED11	Axn	2	6	0	0	0.5
cher	Axn	2	6	1e-04	0	0.5
BicD	Axn	2	6	0	0	0.5
MYPT.75D	Axn	2	6	0	0	0.5
mus304	Axn	2	6	1e-04	0	0.5
CdsA	Axn	2	6	0	0	0.5
btl	Axn	2	6	0	0	0.5
Cyt.c.d	Axn	2	6	2e-04	0	0.5
tok	Axn	2	6	0.1272	0	0.5
ttk	Axn	2	6	0	0	0.5
tamo	Axn	2	6	0	0	0.5
CG6416	Axn	2	6	6e-04	0	0.5
flfl	Axn	2	6	1e-04	0	0.5
Pvr	Axn	2	6	0	0	0.5
kay	Axn	2	6	5e-04	0	0.5
Jra	Axn	2	6	0	0	0.5
msk	Axn	2	6	1e-04	0	0.5
tll	Axn	2	6	0	0	0.5
Tm1	Axn	2	6	1e-04	0	0.5
srp	Axn	2	6	0	0	0.5
Btk29A	Axn	2	6	0	0	0.5
fred	Axn	2	6	0	0	0.5
Src64B	Axn	2	6	0	0	0.5
Mmp1	Axn	2	6	0.0014	0	0.5
sll	Axn	2	6	0	0	0.5
Hmgs	Axn	2	6	1e-04	0	0.5
caps	Axn	2	6	0	0	0.5
Su.var.2.10	Axn	2	6	0	0	0.5
CycB	Axn	2	6	1	0.99882	0.5
spir	Axn	2	6	0	0	0.5
spn.A	Axn	2	6	0	0	0.5
Ptpmeg	Axn	2	6	2e-04	0	0.5
qua	Axn	2	6	0	0	0.5
msn	Axn	2	6	1e-04	0	0.5
ena	Axn	2	6	2e-04	0	0.5
spen	Axn	2	6	0	0	0.5
emc	Axn	2	6	0	0	0.5
tsh	Axn	2	6	1e-04	0	0.5
Dat	Axn	2	6	0	0	0.5
Lac	Axn	2	6	0	0	0.5
dup	Axn	2	6	0	0	0.5
CG3075	Axn	2	6	1e-04	0	0.5
Akap200	Axn	2	6	0	0	0.5
CG18369	Axn	2	6	0	0	0.5
bnl	Axn	2	6	1e-04	0	0.5
sec23	Axn	2	6	0	0	0.5
Pde8	Axn	2	6	0	0	0.5
Arp66B	Axn	2	6	3e-04	0	0.5
cos	Axn	2	6	0	0	0.5
Borr	Axn	2	6	0	0	0.5
X140up	Axn	2	6	0	0	0.5
Dhc64C	Axn	2	6	5e-04	0	0.5
Not1	Axn	2	6	1	0.99852	0.5
CG9520	Axn	2	6	0	0	0.5
bib	Axn	2	6	0	0	0.5
mib1	Axn	2	6	0.0011	0	0.5
cas	Axn	2	6	0	0	0.5
Abi	Axn	2	6	0	0	0.5
betaTub56D	Axn	2	6	0	0	0.5
nej	Axn	2	6	0	0	0.5
dlg1	Axn	2	6	0	0	0.5
Lcp65Ag1	Axn	2	6	3e-04	0	0.5
Es2	Axn	2	6	6e-04	0	0.5
MED24	Axn	2	6	0	0	0.5
Vhl	Axn	2	6	0	0	0.5
tral	Axn	2	6	0	0	0.5
sns	Axn	2	6	0	0	0.5
mbl	Axn	2	6	1e-04	0	0.5
sav	Axn	2	6	0	0	0.5
lola	Axn	2	6	0	0	0.5
robo	Axn	2	6	5e-04	0	0.5
CG32486	Axn	2	6	1e-04	0	0.5
santa.maria	Axn	2	6	0	0	0.5
stumps	Axn	2	6	1e-04	0	0.5
abd.A	Axn	2	6	0	0	0.5
dock	Axn	2	6	0	0	0.5
Lar	Axn	2	6	6e-04	0	0.5
l.1.G0289	Axn	2	6	0	0	0.5
Abl	Axn	2	6	0	0	0.5
Syb	Axn	2	6	6e-04	0	0.5
dome	Axn	2	6	0	0	0.5
ofs	Axn	2	6	0	0	0.5
MED4	Axn	2	6	0	0	0.5
scrib	Axn	2	6	0.001	0	0.5
siz	Axn	2	6	0	0	0.5
cbx	Axn	2	6	0	0	0.5
dsx	Axn	2	6	0	0	0.5
Sb	Axn	2	6	8e-04	0	0.5
sax	Axn	2	6	0	0	0.5
foxo	Axn	2	6	0	0	0.5
Cyp1	Axn	2	6	0	0	0.5
brm	Axn	2	6	2e-04	0	0.5
rad50	Axn	2	6	2e-04	0	0.5
chico	Axn	2	6	0	0	0.5
cp309	Axn	2	6	0	0	0.5
hdc	Axn	2	6	0	0	0.5
Axn	Axn	2	6	0	0	0.5
Apc2	Axn	2	6	0	0	0.5
PhKgamma	Axn	2	6	0	0	0.5
eya	Axn	2	6	0	0	0.5
sktl	Axn	2	6	0	0	0.5
sqd	Axn	2	6	0.0014	0	0.5
Akt1	Axn	2	6	3e-04	0	0.5
scyl	Axn	2	6	8e-04	0	0.5
cnk	Axn	2	6	0	0	0.5
CG8149	Axn	2	6	0	0	0.5
CG34379	Axn	2	6	0	0	0.5
Yp1	Axn	2	6	3e-04	0	0.5
yrt	Axn	2	6	0	0	0.5
bap	Axn	2	6	0	0	0.5
tud	Axn	2	6	5e-04	0	0.5
ct	Axn	2	6	0	0	0.5
tup	Axn	2	6	0	0	0.5
G.ialpha65A	Axn	2	6	0	0	0.5
knrl	Axn	2	6	1e-04	0	0.5
Pkn	Axn	2	6	0	0	0.5
Sry.delta	Axn	2	6	0	0	0.5
Alh	Axn	2	6	3e-04	0	0.5
pnut	Axn	2	6	0	0	0.5
phyl	Axn	2	6	3e-04	0	0.5
CG17739	Axn	2	6	0	0	0.5
B4	Axn	2	6	5e-04	0	0.5
CG2681	Axn	2	6	0	0	0.5
tow	Axn	2	6	0	0	0.5
hkl	Axn	2	6	0	0	0.5
sina	Axn	2	6	0	0	0.5
ry	Axn	2	6	0	0	0.5
rux	Axn	2	6	2e-04	0	0.5
boss	Axn	2	6	0	0	0.5
Mkp3	Axn	2	6	0	0	0.5
inaC	Axn	2	6	0	0	0.5
sno	Axn	2	6	0	0	0.5
jagn	Axn	2	6	0	0	0.5
dpn	Axn	2	6	0	0	0.5
wrapper	Axn	2	6	0	0	0.5
Ca.alpha1D	Axn	2	6	0	0	0.5
E2f	Axn	2	6	0	0	0.5
Dp	Axn	2	6	4e-04	0	0.5
l.2.efl	Axn	2	6	0	0	0.5
cnc	Axn	2	6	0	0	0.5
Atg5	Axn	2	6	5e-04	0	0.5
acj6	Axn	2	6	0	0	0.5
Trl	Axn	2	6	0	0	0.5
d4	Axn	2	6	9e-04	0	0.5
CG16719	Axn	2	6	2e-04	0	0.5
CadN	Axn	2	6	0	0	0.5
gro	Axn	2	6	0	0	0.5
sec13	Axn	2	6	0	0	0.5
klar	Axn	2	6	0	0	0.5
Rack1	Axn	2	6	0	0	0.5
Sobp	Axn	2	6	4e-04	0	0.5
ash1	Axn	2	6	4e-04	0	0.5
inv	Axn	2	6	0	0	0.5
shot	Axn	2	6	2e-04	0	0.5
Oseg1	Axn	2	6	0	0	0.5
Spred	Axn	2	6	0	0	0.5
puc	Axn	2	6	7e-04	0	0.5
Atg6	Axn	2	6	6e-04	0	0.5
CG3829	Axn	2	6	0	0	0.5
sle	Axn	2	6	2e-04	0	0.5
Cka	Axn	2	6	0	0	0.5
form3	Axn	2	6	0	0	0.5
Pk61C	Axn	2	6	0	0	0.5
Pcaf	Axn	2	6	0	0	0.5
sbb	Axn	2	6	0	0	0.5
Ef1gamma	Axn	2	6	5e-04	0	0.5
FKBP59	Axn	2	6	0	0	0.5
Eip71CD	Axn	2	6	0	0	0.5
xmas.2	Axn	2	6	7e-04	0	0.5
ppan	Axn	2	6	0	0	0.5
Iswi	Axn	2	6	0	0	0.5
ine	Axn	2	6	0.0011	0	0.5
Tina.1	Axn	2	6	5e-04	0	0.5
bon	Axn	2	6	0	0	0.5
pot	Axn	2	6	0	0	0.5
chic	Axn	2	6	1e-04	0	0.5
Hem	Axn	2	6	1e-04	0	0.5
chif	Axn	2	6	0	0	0.5
S6kII	Axn	2	6	1e-04	0	0.5
wal	Axn	2	6	5e-04	0	0.5
wls	Axn	2	6	0	0	0.5
Ddx1	Axn	2	6	0	0	0.5
Sulf1	Axn	2	6	9e-04	0	0.5
CG3987	Axn	2	6	0	0	0.5
Abd.B	Axn	2	6	0	0	0.5
Uba1	Axn	2	6	0	0	0.5
bigmax	Axn	2	6	0	0	0.5
NAT1	Axn	2	6	0	0	0.5
wupA	Axn	2	6	0	0	0.5
Vps28	Axn	2	6	2e-04	0	0.5
G.oalpha47A	Axn	2	6	0	0	0.5
G.salpha60A	Axn	2	6	0	0	0.5
dsf	Axn	2	6	3e-04	0	0.5
Khc	Axn	2	6	4e-04	0	0.5
CG10641	Axn	2	6	0	0	0.5
Alk	Axn	2	6	0	0	0.5
ey	Axn	2	6	1e-04	0	0.5
noc	Axn	2	6	0	0	0.5
ix	Axn	2	6	0	0	0.5
Optix	Axn	2	6	1e-04	0	0.5
sdt	Axn	2	6	0	0	0.5
Sxl	Axn	2	6	0.0011	0	0.5
rib	Axn	2	6	0	0	0.5
sas	Axn	2	6	0	0	0.5
Scgdelta	Axn	2	6	0	0	0.5
sw	Axn	2	6	1e-04	0	0.5
fal	Axn	2	6	0	0	0.5
ea	Axn	2	6	0	0	0.5
Ice	Axn	2	6	0	0	0.5
cic	Axn	2	6	0	0	0.5
Dok	Axn	2	6	0	0	0.5
rhea	Axn	2	6	0	0	0.5
Glycogenin	Axn	2	6	1e-04	0	0.5
cin	Axn	2	6	0	0	0.5
chp	Axn	2	6	2e-04	0	0.5
Dlic2	Axn	2	6	0	0	0.5
Pk92B	Axn	2	6	0	0	0.5
Pak	Axn	2	6	0	0	0.5
Lim1	Axn	2	6	0	0	0.5
CG34450	Axn	2	6	0	0	0.5
Su.H.	Axn	2	6	0	0	0.5
CG12301	Axn	2	6	0	0	0.5
lilli	Axn	2	6	4e-04	0	0.5
toe	Axn	2	6	0	0	0.5
qkr58E.3	Axn	2	6	0	0	0.5
up	Axn	2	6	4e-04	0	0.5
hep	Axn	2	6	0	0	0.5
Dap160	Axn	2	6	3e-04	0	0.5
l.2.gd1	Axn	2	6	0	0	0.5
hkb	Axn	2	6	6e-04	0	0.5
beta4GalNAcTA	Axn	2	6	4e-04	0	0.5
Mer	Axn	2	6	0	0	0.5
Mtl	Axn	2	6	0	0	0.5
spin	Axn	2	6	0	0	0.5
mfas	Axn	2	6	0	0	0.5
frc	Axn	2	6	0.0017	0	0.5
Krn	Axn	2	6	0	0	0.5
mam	Axn	2	6	0	0	0.5
