Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Bap60	2	6	0	0	0.5
emp	Bap60	2	6	0	0	0.5
CG2678	Bap60	2	6	0	0	0.5
crc	Bap60	2	6	0	0	0.5
pros	Bap60	2	6	2e-04	0	0.5
neur	Bap60	2	6	0	0	0.5
Rab5	Bap60	2	6	1e-04	0	0.5
Rab7	Bap60	2	6	0	0	0.5
Mmp2	Bap60	2	6	0	0	0.5
W	Bap60	2	6	0	0	0.5
bowl	Bap60	2	6	0	0	0.5
fd59A	Bap60	2	6	1e-04	0	0.5
e	Bap60	2	6	0	0	0.5
ben	Bap60	2	6	0	0	0.5
rdo	Bap60	2	6	0	0	0.5
lin	Bap60	2	6	1e-04	0	0.5
tra	Bap60	2	6	0	0	0.5
tra2	Bap60	2	6	3e-04	0	0.5
cathD	Bap60	2	6	0	0	0.5
d	Bap60	2	6	0	0	0.5
lva	Bap60	2	6	0	0	0.5
pbl	Bap60	2	6	0	0	0.5
CG33205	Bap60	2	6	0	0	0.5
da	Bap60	2	6	4e-04	0	0.5
cactin	Bap60	2	6	1e-04	0	0.5
hpo	Bap60	2	6	0	0	0.5
Sema.2a	Bap60	2	6	0	0	0.5
Eip74EF	Bap60	2	6	5e-04	0	0.5
eg	Bap60	2	6	0	0	0.5
Arc42	Bap60	2	6	0	0	0.5
toy	Bap60	2	6	0	0	0.5
Galpha73B	Bap60	2	6	0	0	0.5
RhoGAPp190	Bap60	2	6	0	0	0.5
MED11	Bap60	2	6	1e-04	0	0.5
cher	Bap60	2	6	2e-04	0	0.5
BicD	Bap60	2	6	0	0	0.5
MYPT.75D	Bap60	2	6	3e-04	0	0.5
mus304	Bap60	2	6	0	0	0.5
CdsA	Bap60	2	6	0	0	0.5
btl	Bap60	2	6	4e-04	0	0.5
Cyt.c.d	Bap60	2	6	0	0	0.5
tok	Bap60	2	6	0	0	0.5
ttk	Bap60	2	6	0	0	0.5
tamo	Bap60	2	6	0	0	0.5
CG6416	Bap60	2	6	3e-04	0	0.5
flfl	Bap60	2	6	0	0	0.5
Pvr	Bap60	2	6	0	0	0.5
kay	Bap60	2	6	0	0	0.5
Jra	Bap60	2	6	1e-04	0	0.5
msk	Bap60	2	6	0	0	0.5
tll	Bap60	2	6	1e-04	0	0.5
Tm1	Bap60	2	6	7e-04	0	0.5
srp	Bap60	2	6	0	0	0.5
Btk29A	Bap60	2	6	1e-04	0	0.5
fred	Bap60	2	6	2e-04	0	0.5
Src64B	Bap60	2	6	0	0	0.5
Mmp1	Bap60	2	6	1e-04	0	0.5
sll	Bap60	2	6	0	0	0.5
Hmgs	Bap60	2	6	0	0	0.5
caps	Bap60	2	6	0	0	0.5
Su.var.2.10	Bap60	2	6	0	0	0.5
CycB	Bap60	2	6	0	0	0.5
spir	Bap60	2	6	0	0	0.5
spn.A	Bap60	2	6	1e-04	0	0.5
Ptpmeg	Bap60	2	6	0	0	0.5
qua	Bap60	2	6	0	0	0.5
msn	Bap60	2	6	0	0	0.5
ena	Bap60	2	6	0	0	0.5
spen	Bap60	2	6	0	0	0.5
emc	Bap60	2	6	0	0	0.5
tsh	Bap60	2	6	0	0	0.5
Dat	Bap60	2	6	0	0	0.5
Lac	Bap60	2	6	0	0	0.5
dup	Bap60	2	6	0	0	0.5
CG3075	Bap60	2	6	0	0	0.5
Akap200	Bap60	2	6	0	0	0.5
CG18369	Bap60	2	6	0	0	0.5
bnl	Bap60	2	6	0	0	0.5
sec23	Bap60	2	6	0	0	0.5
Pde8	Bap60	2	6	1e-04	0	0.5
Arp66B	Bap60	2	6	0	0	0.5
cos	Bap60	2	6	0	0	0.5
Borr	Bap60	2	6	1e-04	0	0.5
X140up	Bap60	2	6	0	0	0.5
Dhc64C	Bap60	2	6	0	0	0.5
Not1	Bap60	2	6	0	0	0.5
CG9520	Bap60	2	6	0	0	0.5
bib	Bap60	2	6	0	0	0.5
mib1	Bap60	2	6	0	0	0.5
cas	Bap60	2	6	0	0	0.5
Abi	Bap60	2	6	0	0	0.5
betaTub56D	Bap60	2	6	0	0	0.5
nej	Bap60	2	6	0	0	0.5
dlg1	Bap60	2	6	1e-04	0	0.5
Lcp65Ag1	Bap60	2	6	0	0	0.5
Es2	Bap60	2	6	3e-04	0	0.5
MED24	Bap60	2	6	0	0	0.5
Vhl	Bap60	2	6	0	0	0.5
tral	Bap60	2	6	0	0	0.5
sns	Bap60	2	6	0	0	0.5
mbl	Bap60	2	6	0	0	0.5
sav	Bap60	2	6	0	0	0.5
lola	Bap60	2	6	1e-04	0	0.5
robo	Bap60	2	6	0	0	0.5
CG32486	Bap60	2	6	2e-04	0	0.5
santa.maria	Bap60	2	6	0	0	0.5
