Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Borr	2	6	1e-04	0	0.5
emp	Borr	2	6	0.1274	0	0.5
CG2678	Borr	2	6	0	0	0.5
crc	Borr	2	6	5e-04	0	0.5
pros	Borr	2	6	2e-04	0	0.5
neur	Borr	2	6	0	0	0.5
Rab5	Borr	2	6	1e-04	0	0.5
Rab7	Borr	2	6	0.0014	0	0.5
Mmp2	Borr	2	6	0	0	0.5
W	Borr	2	6	0	0	0.5
bowl	Borr	2	6	0	0	0.5
fd59A	Borr	2	6	0	0	0.5
e	Borr	2	6	1e-04	0	0.5
ben	Borr	2	6	0	0	0.5
rdo	Borr	2	6	0	0	0.5
lin	Borr	2	6	0	0	0.5
tra	Borr	2	6	0	0	0.5
tra2	Borr	2	6	0	0	0.5
cathD	Borr	2	6	0	0	0.5
d	Borr	2	6	0	0	0.5
lva	Borr	2	6	0	0	0.5
pbl	Borr	2	6	0	0	0.5
CG33205	Borr	2	6	0	0	0.5
da	Borr	2	6	2e-04	0	0.5
cactin	Borr	2	6	0.0122	0	0.5
hpo	Borr	2	6	0	0	0.5
Sema.2a	Borr	2	6	0	0	0.5
Eip74EF	Borr	2	6	0	0	0.5
eg	Borr	2	6	0	0	0.5
Arc42	Borr	2	6	0	0	0.5
toy	Borr	2	6	0	0	0.5
Galpha73B	Borr	2	6	1e-04	0	0.5
RhoGAPp190	Borr	2	6	6e-04	0	0.5
MED11	Borr	2	6	5e-04	0	0.5
cher	Borr	2	6	0	0	0.5
BicD	Borr	2	6	0	0	0.5
MYPT.75D	Borr	2	6	0	0	0.5
mus304	Borr	2	6	1e-04	0	0.5
CdsA	Borr	2	6	0	0	0.5
btl	Borr	2	6	0	0	0.5
Cyt.c.d	Borr	2	6	2e-04	0	0.5
tok	Borr	2	6	0.3856	0	0.5
ttk	Borr	2	6	0	0	0.5
tamo	Borr	2	6	0	0	0.5
CG6416	Borr	2	6	0	0	0.5
flfl	Borr	2	6	0	0	0.5
Pvr	Borr	2	6	0	0	0.5
kay	Borr	2	6	0	0	0.5
Jra	Borr	2	6	0	0	0.5
msk	Borr	2	6	3e-04	0	0.5
tll	Borr	2	6	1e-04	0	0.5
Tm1	Borr	2	6	7e-04	0	0.5
srp	Borr	2	6	1e-04	0	0.5
Btk29A	Borr	2	6	1e-04	0	0.5
fred	Borr	2	6	0	0	0.5
Src64B	Borr	2	6	0	0	0.5
Mmp1	Borr	2	6	8e-04	0	0.5
sll	Borr	2	6	0	0	0.5
Hmgs	Borr	2	6	0	0	0.5
caps	Borr	2	6	1e-04	0	0.5
Su.var.2.10	Borr	2	6	0	0	0.5
CycB	Borr	2	6	4e-04	0	0.5
spir	Borr	2	6	0	0	0.5
spn.A	Borr	2	6	0	0	0.5
Ptpmeg	Borr	2	6	0	0	0.5
qua	Borr	2	6	0	0	0.5
