Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Btk29A	2	6	0.0585	0	0.5
emp	Btk29A	2	6	1e-04	0	0.5
CG2678	Btk29A	2	6	0.0022	0	0.5
crc	Btk29A	2	6	0	0	0.5
pros	Btk29A	2	6	5e-04	0	0.5
neur	Btk29A	2	6	0.0011	0	0.5
Rab5	Btk29A	2	6	3e-04	0	0.5
Rab7	Btk29A	2	6	5e-04	0	0.5
Mmp2	Btk29A	2	6	1e-04	0	0.5
W	Btk29A	2	6	0.0015	0	0.5
bowl	Btk29A	2	6	4e-04	0	0.5
fd59A	Btk29A	2	6	6e-04	0	0.5
e	Btk29A	2	6	3e-04	0	0.5
ben	Btk29A	2	6	1e-04	0	0.5
rdo	Btk29A	2	6	0	0	0.5
lin	Btk29A	2	6	4e-04	0	0.5
tra	Btk29A	2	6	0.005	0	0.5
tra2	Btk29A	2	6	0.0058	0	0.5
cathD	Btk29A	2	6	0.001	0	0.5
d	Btk29A	2	6	8e-04	0	0.5
lva	Btk29A	2	6	3e-04	0	0.5
pbl	Btk29A	2	6	6e-04	0	0.5
CG33205	Btk29A	2	6	0.0033	0	0.5
da	Btk29A	2	6	2e-04	0	0.5
cactin	Btk29A	2	6	0	0	0.5
hpo	Btk29A	2	6	3e-04	0	0.5
Sema.2a	Btk29A	2	6	4e-04	0	0.5
Eip74EF	Btk29A	2	6	2e-04	0	0.5
eg	Btk29A	2	6	0	0	0.5
Arc42	Btk29A	2	6	4e-04	0	0.5
toy	Btk29A	2	6	0	0	0.5
Galpha73B	Btk29A	2	6	1e-04	0	0.5
RhoGAPp190	Btk29A	2	6	3e-04	0	0.5
MED11	Btk29A	2	6	0	0	0.5
cher	Btk29A	2	6	1e-04	0	0.5
BicD	Btk29A	2	6	0	0	0.5
MYPT.75D	Btk29A	2	6	0.0044	0	0.5
mus304	Btk29A	2	6	0.0013	0	0.5
CdsA	Btk29A	2	6	6e-04	0	0.5
btl	Btk29A	2	6	5e-04	0	0.5
Cyt.c.d	Btk29A	2	6	2e-04	0	0.5
tok	Btk29A	2	6	9e-04	0	0.5
ttk	Btk29A	2	6	4e-04	0	0.5
tamo	Btk29A	2	6	0.0143	0	0.5
CG6416	Btk29A	2	6	9e-04	0	0.5
flfl	Btk29A	2	6	4e-04	0	0.5
Pvr	Btk29A	2	6	0	0	0.5
kay	Btk29A	2	6	0.0077	0	0.5
Jra	Btk29A	2	6	0.0218	0	0.5
msk	Btk29A	2	6	3e-04	0	0.5
tll	Btk29A	2	6	5e-04	0	0.5
Tm1	Btk29A	2	6	2e-04	0	0.5
srp	Btk29A	2	6	2e-04	0	0.5
Btk29A	Btk29A	2	6	0.0016	0	0.5
fred	Btk29A	2	6	6e-04	0	0.5
Src64B	Btk29A	2	6	2e-04	0	0.5
Mmp1	Btk29A	2	6	2e-04	0	0.5
sll	Btk29A	2	6	6e-04	0	0.5
Hmgs	Btk29A	2	6	0	0	0.5
caps	Btk29A	2	6	4e-04	0	0.5
Su.var.2.10	Btk29A	2	6	3e-04	0	0.5
CycB	Btk29A	2	6	1e-04	0	0.5
spir	Btk29A	2	6	7e-04	0	0.5
spn.A	Btk29A	2	6	1e-04	0	0.5
Ptpmeg	Btk29A	2	6	0.0114	0	0.5
qua	Btk29A	2	6	0	0	0.5
msn	Btk29A	2	6	0.001	0	0.5
ena	Btk29A	2	6	0.0013	0	0.5
spen	Btk29A	2	6	0	0	0.5
emc	Btk29A	2	6	2e-04	0	0.5
tsh	Btk29A	2	6	6e-04	0	0.5
Dat	Btk29A	2	6	7e-04	0	0.5
Lac	Btk29A	2	6	1e-04	0	0.5
dup	Btk29A	2	6	0.0023	0	0.5
CG3075	Btk29A	2	6	0	0	0.5
Akap200	Btk29A	2	6	0.001	0	0.5
CG18369	Btk29A	2	6	1e-04	0	0.5
bnl	Btk29A	2	6	7e-04	0	0.5
sec23	Btk29A	2	6	4e-04	0	0.5
Pde8	Btk29A	2	6	5e-04	0	0.5
Arp66B	Btk29A	2	6	2e-04	0	0.5
cos	Btk29A	2	6	0	0	0.5
Borr	Btk29A	2	6	3e-04	0	0.5
X140up	Btk29A	2	6	4e-04	0	0.5
Dhc64C	Btk29A	2	6	0	0	0.5
Not1	Btk29A	2	6	1e-04	0	0.5
CG9520	Btk29A	2	6	3e-04	0	0.5
bib	Btk29A	2	6	0.0017	0	0.5
mib1	Btk29A	2	6	3e-04	0	0.5
cas	Btk29A	2	6	8e-04	0	0.5
Abi	Btk29A	2	6	8e-04	0	0.5
betaTub56D	Btk29A	2	6	3e-04	0	0.5
nej	Btk29A	2	6	1e-04	0	0.5
dlg1	Btk29A	2	6	0	0	0.5
Lcp65Ag1	Btk29A	2	6	0.0918	0	0.5
Es2	Btk29A	2	6	6e-04	0	0.5
MED24	Btk29A	2	6	0.0019	0	0.5
Vhl	Btk29A	2	6	0.001	0	0.5
tral	Btk29A	2	6	6e-04	0	0.5
sns	Btk29A	2	6	0.0022	0	0.5
mbl	Btk29A	2	6	1e-04	0	0.5
sav	Btk29A	2	6	0	0	0.5
lola	Btk29A	2	6	7e-04	0	0.5
robo	Btk29A	2	6	3e-04	0	0.5
CG32486	Btk29A	2	6	0	0	0.5
santa.maria	Btk29A	2	6	4e-04	0	0.5
stumps	Btk29A	2	6	4e-04	0	0.5
abd.A	Btk29A	2	6	2e-04	0	0.5
dock	Btk29A	2	6	6e-04	0	0.5
Lar	Btk29A	2	6	0.0536	0	0.5
l.1.G0289	Btk29A	2	6	0.0011	0	0.5
Abl	Btk29A	2	6	0	0	0.5
Syb	Btk29A	2	6	5e-04	0	0.5
dome	Btk29A	2	6	0.0014	0	0.5
ofs	Btk29A	2	6	7e-04	0	0.5
MED4	Btk29A	2	6	0	0	0.5
scrib	Btk29A	2	6	0	0	0.5
siz	Btk29A	2	6	0	0	0.5
cbx	Btk29A	2	6	0.0011	0	0.5
dsx	Btk29A	2	6	2e-04	0	0.5
Sb	Btk29A	2	6	0.0012	0	0.5
sax	Btk29A	2	6	0	0	0.5
foxo	Btk29A	2	6	1e-04	0	0.5
Cyp1	Btk29A	2	6	1e-04	0	0.5
brm	Btk29A	2	6	0.0029	0	0.5
rad50	Btk29A	2	6	0.0013	0	0.5
chico	Btk29A	2	6	4e-04	0	0.5
cp309	Btk29A	2	6	9e-04	0	0.5
hdc	Btk29A	2	6	0.0019	0	0.5
Axn	Btk29A	2	6	0.0027	0	0.5
Apc2	Btk29A	2	6	0	0	0.5
PhKgamma	Btk29A	2	6	4e-04	0	0.5
eya	Btk29A	2	6	2e-04	0	0.5
sktl	Btk29A	2	6	2e-04	0	0.5
