Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	CG9104	2	6	0.0016	0	0.5
emp	CG9104	2	6	0.0013	0	0.5
CG2678	CG9104	2	6	0.0056	0	0.5
crc	CG9104	2	6	0	0	0.5
pros	CG9104	2	6	4e-04	0	0.5
neur	CG9104	2	6	5e-04	0	0.5
Rab5	CG9104	2	6	1e-04	0	0.5
Rab7	CG9104	2	6	0.0015	0	0.5
Mmp2	CG9104	2	6	3e-04	0	0.5
W	CG9104	2	6	0.0174	0	0.5
bowl	CG9104	2	6	0.0015	0	0.5
fd59A	CG9104	2	6	5e-04	0	0.5
e	CG9104	2	6	3e-04	0	0.5
ben	CG9104	2	6	0.001	0	0.5
rdo	CG9104	2	6	0.0037	0	0.5
lin	CG9104	2	6	5e-04	0	0.5
tra	CG9104	2	6	5e-04	0	0.5
tra2	CG9104	2	6	2e-04	0	0.5
cathD	CG9104	2	6	0.0012	0	0.5
d	CG9104	2	6	4e-04	0	0.5
lva	CG9104	2	6	4e-04	0	0.5
pbl	CG9104	2	6	0.0016	0	0.5
CG33205	CG9104	2	6	9e-04	0	0.5
da	CG9104	2	6	4e-04	0	0.5
cactin	CG9104	2	6	5e-04	0	0.5
hpo	CG9104	2	6	3e-04	0	0.5
Sema.2a	CG9104	2	6	2e-04	0	0.5
Eip74EF	CG9104	2	6	6e-04	0	0.5
eg	CG9104	2	6	4e-04	0	0.5
Arc42	CG9104	2	6	0.001	0	0.5
toy	CG9104	2	6	8e-04	0	0.5
Galpha73B	CG9104	2	6	0.0012	0	0.5
RhoGAPp190	CG9104	2	6	6e-04	0	0.5
MED11	CG9104	2	6	9e-04	0	0.5
cher	CG9104	2	6	6e-04	0	0.5
BicD	CG9104	2	6	0.0097	0	0.5
MYPT.75D	CG9104	2	6	1e-04	0	0.5
mus304	CG9104	2	6	0.0015	0	0.5
CdsA	CG9104	2	6	0.0011	0	0.5
btl	CG9104	2	6	5e-04	0	0.5
Cyt.c.d	CG9104	2	6	6e-04	0	0.5
tok	CG9104	2	6	0.001	0	0.5
ttk	CG9104	2	6	3e-04	0	0.5
tamo	CG9104	2	6	4e-04	0	0.5
CG6416	CG9104	2	6	0.0012	0	0.5
flfl	CG9104	2	6	0.001	0	0.5
Pvr	CG9104	2	6	0.0022	0	0.5
kay	CG9104	2	6	3e-04	0	0.5
Jra	CG9104	2	6	0.0034	0	0.5
msk	CG9104	2	6	0.0011	0	0.5
tll	CG9104	2	6	0	0	0.5
Tm1	CG9104	2	6	2e-04	0	0.5
srp	CG9104	2	6	3e-04	0	0.5
Btk29A	CG9104	2	6	8e-04	0	0.5
fred	CG9104	2	6	0.0011	0	0.5
Src64B	CG9104	2	6	0.0031	0	0.5
Mmp1	CG9104	2	6	0.0013	0	0.5
sll	CG9104	2	6	2e-04	0	0.5
Hmgs	CG9104	2	6	0	0	0.5
caps	CG9104	2	6	2e-04	0	0.5
Su.var.2.10	CG9104	2	6	8e-04	0	0.5
CycB	CG9104	2	6	9e-04	0	0.5
spir	CG9104	2	6	2e-04	0	0.5
spn.A	CG9104	2	6	0.0011	0	0.5
Ptpmeg	CG9104	2	6	0.0016	0	0.5
qua	CG9104	2	6	5e-04	0	0.5
msn	CG9104	2	6	3e-04	0	0.5
ena	CG9104	2	6	0.0011	0	0.5
spen	CG9104	2	6	2e-04	0	0.5
emc	CG9104	2	6	2e-04	0	0.5
tsh	CG9104	2	6	4e-04	0	0.5
Dat	CG9104	2	6	5e-04	0	0.5
Lac	CG9104	2	6	4e-04	0	0.5
dup	CG9104	2	6	0.0045	0	0.5
CG3075	CG9104	2	6	5e-04	0	0.5
Akap200	CG9104	2	6	2e-04	0	0.5
CG18369	CG9104	2	6	8e-04	0	0.5
bnl	CG9104	2	6	1e-04	0	0.5
sec23	CG9104	2	6	7e-04	0	0.5
Pde8	CG9104	2	6	3e-04	0	0.5
Arp66B	CG9104	2	6	0.0076	0	0.5
cos	CG9104	2	6	5e-04	0	0.5
Borr	CG9104	2	6	0.0048	0	0.5
X140up	CG9104	2	6	3e-04	0	0.5
Dhc64C	CG9104	2	6	3e-04	0	0.5
Not1	CG9104	2	6	7e-04	0	0.5
CG9520	CG9104	2	6	4e-04	0	0.5
bib	CG9104	2	6	3e-04	0	0.5
mib1	CG9104	2	6	4e-04	0	0.5
cas	CG9104	2	6	1e-04	0	0.5
Abi	CG9104	2	6	2e-04	0	0.5
betaTub56D	CG9104	2	6	4e-04	0	0.5
nej	CG9104	2	6	3e-04	0	0.5
dlg1	CG9104	2	6	6e-04	0	0.5
Lcp65Ag1	CG9104	2	6	0.0043	0	0.5
Es2	CG9104	2	6	0.0015	0	0.5
MED24	CG9104	2	6	0.0361	0	0.5
Vhl	CG9104	2	6	1e-04	0	0.5
tral	CG9104	2	6	1e-04	0	0.5
sns	CG9104	2	6	0.001	0	0.5
mbl	CG9104	2	6	0.0131	0	0.5
sav	CG9104	2	6	0.0025	0	0.5
lola	CG9104	2	6	0.0136	0	0.5
robo	CG9104	2	6	6e-04	0	0.5
CG32486	CG9104	2	6	1e-04	0	0.5
santa.maria	CG9104	2	6	3e-04	0	0.5
stumps	CG9104	2	6	3e-04	0	0.5
abd.A	CG9104	2	6	4e-04	0	0.5
dock	CG9104	2	6	2e-04	0	0.5
Lar	CG9104	2	6	6e-04	0	0.5
l.1.G0289	CG9104	2	6	0.001	0	0.5
Abl	CG9104	2	6	7e-04	0	0.5
Syb	CG9104	2	6	6e-04	0	0.5
dome	CG9104	2	6	2e-04	0	0.5
ofs	CG9104	2	6	0.0017	0	0.5
MED4	CG9104	2	6	1e-04	0	0.5
scrib	CG9104	2	6	3e-04	0	0.5
siz	CG9104	2	6	5e-04	0	0.5
cbx	CG9104	2	6	0.001	0	0.5
dsx	CG9104	2	6	3e-04	0	0.5
Sb	CG9104	2	6	0.001	0	0.5
sax	CG9104	2	6	2e-04	0	0.5
foxo	CG9104	2	6	5e-04	0	0.5
Cyp1	CG9104	2	6	7e-04	0	0.5
brm	CG9104	2	6	9e-04	0	0.5
rad50	CG9104	2	6	1e-04	0	0.5
chico	CG9104	2	6	3e-04	0	0.5
cp309	CG9104	2	6	3e-04	0	0.5
hdc	CG9104	2	6	0.0026	0	0.5
Axn	CG9104	2	6	9e-04	0	0.5
Apc2	CG9104	2	6	3e-04	0	0.5
PhKgamma	CG9104	2	6	5e-04	0	0.5
eya	CG9104	2	6	0.0012	0	0.5
sktl	CG9104	2	6	0.001	0	0.5
sqd	CG9104	2	6	8e-04	0	0.5
Akt1	CG9104	2	6	0.0012	0	0.5
scyl	CG9104	2	6	4e-04	0	0.5
cnk	CG9104	2	6	0.0013	0	0.5
CG8149	CG9104	2	6	0.0013	0	0.5
CG34379	CG9104	2	6	7e-04	0	0.5
Yp1	CG9104	2	6	6e-04	0	0.5
yrt	CG9104	2	6	3e-04	0	0.5
bap	CG9104	2	6	7e-04	0	0.5
tud	CG9104	2	6	0.0015	0	0.5
ct	CG9104	2	6	1e-04	0	0.5
tup	CG9104	2	6	4e-04	0	0.5
G.ialpha65A	CG9104	2	6	8e-04	0	0.5
knrl	CG9104	2	6	7e-04	0	0.5
Pkn	CG9104	2	6	0.001	0	0.5
Sry.delta	CG9104	2	6	7e-04	0	0.5
Alh	CG9104	2	6	3e-04	0	0.5
pnut	CG9104	2	6	1e-04	0	0.5
phyl	CG9104	2	6	5e-04	0	0.5
CG17739	CG9104	2	6	0.0012	0	0.5
B4	CG9104	2	6	0.0016	0	0.5
CG2681	CG9104	2	6	7e-04	0	0.5
tow	CG9104	2	6	0.0151	0	0.5
hkl	CG9104	2	6	3e-04	0	0.5
sina	CG9104	2	6	6e-04	0	0.5
ry	CG9104	2	6	4e-04	0	0.5
rux	CG9104	2	6	6e-04	0	0.5
boss	CG9104	2	6	2e-04	0	0.5
Mkp3	CG9104	2	6	1e-04	0	0.5
inaC	CG9104	2	6	1e-04	0	0.5
sno	CG9104	2	6	4e-04	0	0.5
jagn	CG9104	2	6	4e-04	0	0.5
dpn	CG9104	2	6	4e-04	0	0.5
wrapper	CG9104	2	6	8e-04	0	0.5
Ca.alpha1D	CG9104	2	6	6e-04	0	0.5
E2f	CG9104	2	6	7e-04	0	0.5
Dp	CG9104	2	6	0.0025	0	0.5
l.2.efl	CG9104	2	6	2e-04	0	0.5
cnc	CG9104	2	6	5e-04	0	0.5
Atg5	CG9104	2	6	8e-04	0	0.5
acj6	CG9104	2	6	2e-04	0	0.5
Trl	CG9104	2	6	8e-04	0	0.5
d4	CG9104	2	6	0.001	0	0.5
CG16719	CG9104	2	6	2e-04	0	0.5
CadN	CG9104	2	6	0.0028	0	0.5
gro	CG9104	2	6	3e-04	0	0.5
sec13	CG9104	2	6	0.0012	0	0.5
klar	CG9104	2	6	7e-04	0	0.5
