Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	CSN4	2	6	5e-04	0	0.5
emp	CSN4	2	6	5e-04	0	0.5
CG2678	CSN4	2	6	3e-04	0	0.5
crc	CSN4	2	6	9e-04	0	0.5
pros	CSN4	2	6	9e-04	0	0.5
neur	CSN4	2	6	1e-04	0	0.5
Rab5	CSN4	2	6	0	0	0.5
Rab7	CSN4	2	6	0.001	0	0.5
Mmp2	CSN4	2	6	2e-04	0	0.5
W	CSN4	2	6	2e-04	0	0.5
bowl	CSN4	2	6	0	0	0.5
fd59A	CSN4	2	6	2e-04	0	0.5
e	CSN4	2	6	9e-04	0	0.5
ben	CSN4	2	6	0.0011	0	0.5
rdo	CSN4	2	6	0	0	0.5
lin	CSN4	2	6	6e-04	0	0.5
tra	CSN4	2	6	8e-04	0	0.5
tra2	CSN4	2	6	2e-04	0	0.5
cathD	CSN4	2	6	2e-04	0	0.5
d	CSN4	2	6	5e-04	0	0.5
lva	CSN4	2	6	5e-04	0	0.5
pbl	CSN4	2	6	7e-04	0	0.5
CG33205	CSN4	2	6	5e-04	0	0.5
da	CSN4	2	6	0	0	0.5
cactin	CSN4	2	6	1e-04	0	0.5
hpo	CSN4	2	6	5e-04	0	0.5
Sema.2a	CSN4	2	6	0	0	0.5
Eip74EF	CSN4	2	6	5e-04	0	0.5
eg	CSN4	2	6	5e-04	0	0.5
Arc42	CSN4	2	6	2e-04	0	0.5
toy	CSN4	2	6	2e-04	0	0.5
Galpha73B	CSN4	2	6	0	0	0.5
RhoGAPp190	CSN4	2	6	0.0014	0	0.5
MED11	CSN4	2	6	2e-04	0	0.5
cher	CSN4	2	6	1e-04	0	0.5
BicD	CSN4	2	6	0.001	0	0.5
MYPT.75D	CSN4	2	6	4e-04	0	0.5
mus304	CSN4	2	6	3e-04	0	0.5
CdsA	CSN4	2	6	1e-04	0	0.5
btl	CSN4	2	6	0	0	0.5
Cyt.c.d	CSN4	2	6	2e-04	0	0.5
tok	CSN4	2	6	2e-04	0	0.5
ttk	CSN4	2	6	0	0	0.5
tamo	CSN4	2	6	0	0	0.5
CG6416	CSN4	2	6	9e-04	0	0.5
flfl	CSN4	2	6	0.0017	0	0.5
Pvr	CSN4	2	6	2e-04	0	0.5
kay	CSN4	2	6	1e-04	0	0.5
Jra	CSN4	2	6	0	0	0.5
msk	CSN4	2	6	4e-04	0	0.5
tll	CSN4	2	6	0.0021	0	0.5
Tm1	CSN4	2	6	0	0	0.5
srp	CSN4	2	6	7e-04	0	0.5
Btk29A	CSN4	2	6	9e-04	0	0.5
fred	CSN4	2	6	0.001	0	0.5
Src64B	CSN4	2	6	0	0	0.5
Mmp1	CSN4	2	6	0	0	0.5
sll	CSN4	2	6	0	0	0.5
Hmgs	CSN4	2	6	4e-04	0	0.5
caps	CSN4	2	6	2e-04	0	0.5
Su.var.2.10	CSN4	2	6	5e-04	0	0.5
CycB	CSN4	2	6	5e-04	0	0.5
spir	CSN4	2	6	1e-04	0	0.5
spn.A	CSN4	2	6	6e-04	0	0.5
Ptpmeg	CSN4	2	6	0	0	0.5
qua	CSN4	2	6	2e-04	0	0.5
msn	CSN4	2	6	2e-04	0	0.5
ena	CSN4	2	6	6e-04	0	0.5
spen	CSN4	2	6	1e-04	0	0.5
emc	CSN4	2	6	4e-04	0	0.5
tsh	CSN4	2	6	2e-04	0	0.5
Dat	CSN4	2	6	3e-04	0	0.5
Lac	CSN4	2	6	0.4873	0	0.5
dup	CSN4	2	6	4e-04	0	0.5
CG3075	CSN4	2	6	0.0025	0	0.5
Akap200	CSN4	2	6	9e-04	0	0.5
CG18369	CSN4	2	6	0.0017	0	0.5
bnl	CSN4	2	6	2e-04	0	0.5
sec23	CSN4	2	6	2e-04	0	0.5
Pde8	CSN4	2	6	0	0	0.5
Arp66B	CSN4	2	6	0	0	0.5
