Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Ca.alpha1D	2	6	0	0	0.5
emp	Ca.alpha1D	2	6	0	0	0.5
CG2678	Ca.alpha1D	2	6	4e-04	0	0.5
crc	Ca.alpha1D	2	6	1e-04	0	0.5
pros	Ca.alpha1D	2	6	0	0	0.5
neur	Ca.alpha1D	2	6	1e-04	0	0.5
Rab5	Ca.alpha1D	2	6	0	0	0.5
Rab7	Ca.alpha1D	2	6	9e-04	0	0.5
Mmp2	Ca.alpha1D	2	6	0	0	0.5
W	Ca.alpha1D	2	6	0	0	0.5
bowl	Ca.alpha1D	2	6	0	0	0.5
fd59A	Ca.alpha1D	2	6	0	0	0.5
e	Ca.alpha1D	2	6	0	0	0.5
ben	Ca.alpha1D	2	6	0	0	0.5
rdo	Ca.alpha1D	2	6	3e-04	0	0.5
lin	Ca.alpha1D	2	6	0	0	0.5
tra	Ca.alpha1D	2	6	0	0	0.5
tra2	Ca.alpha1D	2	6	0	0	0.5
cathD	Ca.alpha1D	2	6	0	0	0.5
d	Ca.alpha1D	2	6	0	0	0.5
lva	Ca.alpha1D	2	6	0	0	0.5
pbl	Ca.alpha1D	2	6	0	0	0.5
CG33205	Ca.alpha1D	2	6	3e-04	0	0.5
da	Ca.alpha1D	2	6	9e-04	0	0.5
cactin	Ca.alpha1D	2	6	0	0	0.5
hpo	Ca.alpha1D	2	6	0	0	0.5
Sema.2a	Ca.alpha1D	2	6	0	0	0.5
Eip74EF	Ca.alpha1D	2	6	6e-04	0	0.5
eg	Ca.alpha1D	2	6	6e-04	0	0.5
Arc42	Ca.alpha1D	2	6	0	0	0.5
toy	Ca.alpha1D	2	6	0	0	0.5
Galpha73B	Ca.alpha1D	2	6	0.0013	0	0.5
RhoGAPp190	Ca.alpha1D	2	6	2e-04	0	0.5
MED11	Ca.alpha1D	2	6	8e-04	0	0.5
cher	Ca.alpha1D	2	6	1e-04	0	0.5
BicD	Ca.alpha1D	2	6	0	0	0.5
MYPT.75D	Ca.alpha1D	2	6	0	0	0.5
mus304	Ca.alpha1D	2	6	8e-04	0	0.5
CdsA	Ca.alpha1D	2	6	0	0	0.5
btl	Ca.alpha1D	2	6	0	0	0.5
Cyt.c.d	Ca.alpha1D	2	6	3e-04	0	0.5
tok	Ca.alpha1D	2	6	0	0	0.5
ttk	Ca.alpha1D	2	6	0	0	0.5
tamo	Ca.alpha1D	2	6	0	0	0.5
CG6416	Ca.alpha1D	2	6	6e-04	0	0.5
flfl	Ca.alpha1D	2	6	0	0	0.5
Pvr	Ca.alpha1D	2	6	2e-04	0	0.5
kay	Ca.alpha1D	2	6	0	0	0.5
Jra	Ca.alpha1D	2	6	3e-04	0	0.5
