Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	CadN	2	6	8e-04	0	0.5
emp	CadN	2	6	5e-04	0	0.5
CG2678	CadN	2	6	3e-04	0	0.5
crc	CadN	2	6	4e-04	0	0.5
pros	CadN	2	6	7e-04	0	0.5
neur	CadN	2	6	0	0	0.5
Rab5	CadN	2	6	5e-04	0	0.5
Rab7	CadN	2	6	1e-04	0	0.5
Mmp2	CadN	2	6	9e-04	0	0.5
W	CadN	2	6	4e-04	0	0.5
bowl	CadN	2	6	0.0016	0	0.5
fd59A	CadN	2	6	1e-04	0	0.5
e	CadN	2	6	6e-04	0	0.5
ben	CadN	2	6	1e-04	0	0.5
rdo	CadN	2	6	1e-04	0	0.5
lin	CadN	2	6	1e-04	0	0.5
tra	CadN	2	6	0.0022	0	0.5
tra2	CadN	2	6	2e-04	0	0.5
cathD	CadN	2	6	1e-04	0	0.5
d	CadN	2	6	2e-04	0	0.5
lva	CadN	2	6	4e-04	0	0.5
pbl	CadN	2	6	4e-04	0	0.5
CG33205	CadN	2	6	1e-04	0	0.5
da	CadN	2	6	4e-04	0	0.5
cactin	CadN	2	6	1e-04	0	0.5
hpo	CadN	2	6	7e-04	0	0.5
Sema.2a	CadN	2	6	0.0012	0	0.5
Eip74EF	CadN	2	6	5e-04	0	0.5
eg	CadN	2	6	0.0028	0	0.5
Arc42	CadN	2	6	3e-04	0	0.5
toy	CadN	2	6	2e-04	0	0.5
Galpha73B	CadN	2	6	6e-04	0	0.5
RhoGAPp190	CadN	2	6	4e-04	0	0.5
MED11	CadN	2	6	3e-04	0	0.5
cher	CadN	2	6	1e-04	0	0.5
BicD	CadN	2	6	0.0015	0	0.5
MYPT.75D	CadN	2	6	8e-04	0	0.5
mus304	CadN	2	6	0.0022	0	0.5
CdsA	CadN	2	6	0.1792	0	0.5
btl	CadN	2	6	1e-04	0	0.5
Cyt.c.d	CadN	2	6	7e-04	0	0.5
tok	CadN	2	6	2e-04	0	0.5
ttk	CadN	2	6	0.0015	0	0.5
tamo	CadN	2	6	7e-04	0	0.5
CG6416	CadN	2	6	2e-04	0	0.5
flfl	CadN	2	6	0.001	0	0.5
Pvr	CadN	2	6	1e-04	0	0.5
kay	CadN	2	6	3e-04	0	0.5
Jra	CadN	2	6	5e-04	0	0.5
msk	CadN	2	6	0.0017	0	0.5
tll	CadN	2	6	5e-04	0	0.5
Tm1	CadN	2	6	3e-04	0	0.5
srp	CadN	2	6	6e-04	0	0.5
Btk29A	CadN	2	6	1e-04	0	0.5
fred	CadN	2	6	3e-04	0	0.5
Src64B	CadN	2	6	0	0	0.5
Mmp1	CadN	2	6	5e-04	0	0.5
sll	CadN	2	6	0.0015	0	0.5
Hmgs	CadN	2	6	7e-04	0	0.5
caps	CadN	2	6	1e-04	0	0.5
Su.var.2.10	CadN	2	6	7e-04	0	0.5
CycB	CadN	2	6	2e-04	0	0.5
spir	CadN	2	6	0	0	0.5
spn.A	CadN	2	6	0	0	0.5
Ptpmeg	CadN	2	6	0	0	0.5
qua	CadN	2	6	0.0011	0	0.5
msn	CadN	2	6	4e-04	0	0.5
ena	CadN	2	6	3e-04	0	0.5
spen	CadN	2	6	0.0022	0	0.5
emc	CadN	2	6	9e-04	0	0.5
tsh	CadN	2	6	6e-04	0	0.5
Dat	CadN	2	6	0	0	0.5
Lac	CadN	2	6	6e-04	0	0.5
dup	CadN	2	6	3e-04	0	0.5
CG3075	CadN	2	6	0	0	0.5
Akap200	CadN	2	6	0.0017	0	0.5
CG18369	CadN	2	6	0.0022	0	0.5
bnl	CadN	2	6	3e-04	0	0.5
sec23	CadN	2	6	0.0013	0	0.5
Pde8	CadN	2	6	5e-04	0	0.5
Arp66B	CadN	2	6	5e-04	0	0.5
cos	CadN	2	6	2e-04	0	0.5
Borr	CadN	2	6	0	0	0.5
X140up	CadN	2	6	9e-04	0	0.5
Dhc64C	CadN	2	6	0	0	0.5
Not1	CadN	2	6	0.001	0	0.5
CG9520	CadN	2	6	2e-04	0	0.5
bib	CadN	2	6	0.0018	0	0.5
mib1	CadN	2	6	8e-04	0	0.5
cas	CadN	2	6	1e-04	0	0.5
Abi	CadN	2	6	8e-04	0	0.5
betaTub56D	CadN	2	6	3e-04	0	0.5
nej	CadN	2	6	5e-04	0	0.5
dlg1	CadN	2	6	6e-04	0	0.5
Lcp65Ag1	CadN	2	6	0	0	0.5
Es2	CadN	2	6	0.0012	0	0.5
MED24	CadN	2	6	7e-04	0	0.5
Vhl	CadN	2	6	1e-04	0	0.5
tral	CadN	2	6	8e-04	0	0.5
sns	CadN	2	6	5e-04	0	0.5
mbl	CadN	2	6	5e-04	0	0.5
sav	CadN	2	6	0.0015	0	0.5
lola	CadN	2	6	2e-04	0	0.5
robo	CadN	2	6	9e-04	0	0.5
CG32486	CadN	2	6	4e-04	0	0.5
santa.maria	CadN	2	6	9e-04	0	0.5
