Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Chc	2	6	0	0	0.5
emp	Chc	2	6	8e-04	0	0.5
CG2678	Chc	2	6	3e-04	0	0.5
crc	Chc	2	6	0	0	0.5
pros	Chc	2	6	0	0	0.5
neur	Chc	2	6	0	0	0.5
Rab5	Chc	2	6	0	0	0.5
Rab7	Chc	2	6	0	0	0.5
Mmp2	Chc	2	6	0.0012	0	0.5
W	Chc	2	6	0	0	0.5
bowl	Chc	2	6	3e-04	0	0.5
fd59A	Chc	2	6	1e-04	0	0.5
e	Chc	2	6	5e-04	0	0.5
ben	Chc	2	6	0	0	0.5
rdo	Chc	2	6	0.001	0	0.5
lin	Chc	2	6	0.004	0	0.5
tra	Chc	2	6	3e-04	0	0.5
tra2	Chc	2	6	5e-04	0	0.5
cathD	Chc	2	6	0	0	0.5
d	Chc	2	6	0.0027	0	0.5
lva	Chc	2	6	0	0	0.5
pbl	Chc	2	6	0	0	0.5
CG33205	Chc	2	6	0	0	0.5
da	Chc	2	6	0	0	0.5
cactin	Chc	2	6	3e-04	0	0.5
hpo	Chc	2	6	0	0	0.5
Sema.2a	Chc	2	6	1e-04	0	0.5
Eip74EF	Chc	2	6	1e-04	0	0.5
eg	Chc	2	6	1e-04	0	0.5
Arc42	Chc	2	6	1e-04	0	0.5
toy	Chc	2	6	7e-04	0	0.5
Galpha73B	Chc	2	6	0	0	0.5
RhoGAPp190	Chc	2	6	0	0	0.5
MED11	Chc	2	6	1e-04	0	0.5
cher	Chc	2	6	2e-04	0	0.5
BicD	Chc	2	6	5e-04	0	0.5
MYPT.75D	Chc	2	6	3e-04	0	0.5
mus304	Chc	2	6	0	0	0.5
CdsA	Chc	2	6	3e-04	0	0.5
btl	Chc	2	6	4e-04	0	0.5
Cyt.c.d	Chc	2	6	6e-04	0	0.5
tok	Chc	2	6	9e-04	0	0.5
ttk	Chc	2	6	0	0	0.5
tamo	Chc	2	6	1e-04	0	0.5
CG6416	Chc	2	6	1e-04	0	0.5
flfl	Chc	2	6	9e-04	0	0.5
Pvr	Chc	2	6	0.002	0	0.5
kay	Chc	2	6	4e-04	0	0.5
Jra	Chc	2	6	0	0	0.5
msk	Chc	2	6	2e-04	0	0.5
tll	Chc	2	6	1e-04	0	0.5
Tm1	Chc	2	6	1e-04	0	0.5
srp	Chc	2	6	0.0019	0	0.5
Btk29A	Chc	2	6	1e-04	0	0.5
fred	Chc	2	6	0	0	0.5
Src64B	Chc	2	6	0.0248	0	0.5
Mmp1	Chc	2	6	2e-04	0	0.5
sll	Chc	2	6	4e-04	0	0.5
Hmgs	Chc	2	6	1e-04	0	0.5
caps	Chc	2	6	0	0	0.5
Su.var.2.10	Chc	2	6	0.0013	0	0.5
CycB	Chc	2	6	4e-04	0	0.5
spir	Chc	2	6	0	0	0.5
spn.A	Chc	2	6	2e-04	0	0.5
Ptpmeg	Chc	2	6	7e-04	0	0.5
qua	Chc	2	6	9e-04	0	0.5
msn	Chc	2	6	1e-04	0	0.5
ena	Chc	2	6	5e-04	0	0.5
spen	Chc	2	6	9e-04	0	0.5
emc	Chc	2	6	1e-04	0	0.5
tsh	Chc	2	6	5e-04	0	0.5
Dat	Chc	2	6	7e-04	0	0.5
Lac	Chc	2	6	0	0	0.5
dup	Chc	2	6	0.0037	0	0.5
CG3075	Chc	2	6	0	0	0.5
