Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Cks30A	2	6	1e-04	0	0.5
emp	Cks30A	2	6	1e-04	0	0.5
CG2678	Cks30A	2	6	2e-04	0	0.5
crc	Cks30A	2	6	4e-04	0	0.5
pros	Cks30A	2	6	6e-04	0	0.5
neur	Cks30A	2	6	2e-04	0	0.5
Rab5	Cks30A	2	6	3e-04	0	0.5
Rab7	Cks30A	2	6	6e-04	0	0.5
Mmp2	Cks30A	2	6	6e-04	0	0.5
W	Cks30A	2	6	2e-04	0	0.5
bowl	Cks30A	2	6	3e-04	0	0.5
fd59A	Cks30A	2	6	8e-04	0	0.5
e	Cks30A	2	6	2e-04	0	0.5
ben	Cks30A	2	6	3e-04	0	0.5
rdo	Cks30A	2	6	2e-04	0	0.5
lin	Cks30A	2	6	0	0	0.5
tra	Cks30A	2	6	2e-04	0	0.5
tra2	Cks30A	2	6	0	0	0.5
cathD	Cks30A	2	6	1e-04	0	0.5
d	Cks30A	2	6	9e-04	0	0.5
lva	Cks30A	2	6	1e-04	0	0.5
pbl	Cks30A	2	6	2e-04	0	0.5
CG33205	Cks30A	2	6	2e-04	0	0.5
da	Cks30A	2	6	3e-04	0	0.5
cactin	Cks30A	2	6	2e-04	0	0.5
hpo	Cks30A	2	6	1e-04	0	0.5
Sema.2a	Cks30A	2	6	0	0	0.5
Eip74EF	Cks30A	2	6	3e-04	0	0.5
eg	Cks30A	2	6	5e-04	0	0.5
Arc42	Cks30A	2	6	4e-04	0	0.5
toy	Cks30A	2	6	0	0	0.5
Galpha73B	Cks30A	2	6	5e-04	0	0.5
RhoGAPp190	Cks30A	2	6	0.0594	0	0.5
MED11	Cks30A	2	6	1e-04	0	0.5
cher	Cks30A	2	6	8e-04	0	0.5
BicD	Cks30A	2	6	2e-04	0	0.5
MYPT.75D	Cks30A	2	6	0	0	0.5
mus304	Cks30A	2	6	1e-04	0	0.5
CdsA	Cks30A	2	6	7e-04	0	0.5
btl	Cks30A	2	6	8e-04	0	0.5
Cyt.c.d	Cks30A	2	6	2e-04	0	0.5
tok	Cks30A	2	6	4e-04	0	0.5
ttk	Cks30A	2	6	2e-04	0	0.5
tamo	Cks30A	2	6	2e-04	0	0.5
CG6416	Cks30A	2	6	3e-04	0	0.5
flfl	Cks30A	2	6	6e-04	0	0.5
Pvr	Cks30A	2	6	1e-04	0	0.5
kay	Cks30A	2	6	3e-04	0	0.5
Jra	Cks30A	2	6	0.0021	0	0.5
msk	Cks30A	2	6	1e-04	0	0.5
tll	Cks30A	2	6	2e-04	0	0.5
Tm1	Cks30A	2	6	0	0	0.5
srp	Cks30A	2	6	0.0011	0	0.5
Btk29A	Cks30A	2	6	6e-04	0	0.5
fred	Cks30A	2	6	7e-04	0	0.5
Src64B	Cks30A	2	6	8e-04	0	0.5
Mmp1	Cks30A	2	6	1e-04	0	0.5
sll	Cks30A	2	6	3e-04	0	0.5
Hmgs	Cks30A	2	6	3e-04	0	0.5
caps	Cks30A	2	6	0	0	0.5
Su.var.2.10	Cks30A	2	6	5e-04	0	0.5
CycB	Cks30A	2	6	1e-04	0	0.5
spir	Cks30A	2	6	6e-04	0	0.5
spn.A	Cks30A	2	6	1e-04	0	0.5
Ptpmeg	Cks30A	2	6	0.0015	0	0.5
qua	Cks30A	2	6	1e-04	0	0.5
msn	Cks30A	2	6	4e-04	0	0.5
ena	Cks30A	2	6	0	0	0.5
spen	Cks30A	2	6	0	0	0.5
emc	Cks30A	2	6	2e-04	0	0.5
tsh	Cks30A	2	6	4e-04	0	0.5
Dat	Cks30A	2	6	1e-04	0	0.5
Lac	Cks30A	2	6	3e-04	0	0.5
dup	Cks30A	2	6	8e-04	0	0.5
CG3075	Cks30A	2	6	2e-04	0	0.5
Akap200	Cks30A	2	6	0	0	0.5
CG18369	Cks30A	2	6	3e-04	0	0.5
bnl	Cks30A	2	6	2e-04	0	0.5
sec23	Cks30A	2	6	2e-04	0	0.5
Pde8	Cks30A	2	6	1e-04	0	0.5
Arp66B	Cks30A	2	6	1e-04	0	0.5
cos	Cks30A	2	6	4e-04	0	0.5
Borr	Cks30A	2	6	1e-04	0	0.5
X140up	Cks30A	2	6	8e-04	0	0.5
Dhc64C	Cks30A	2	6	1e-04	0	0.5
Not1	Cks30A	2	6	3e-04	0	0.5
CG9520	Cks30A	2	6	3e-04	0	0.5
bib	Cks30A	2	6	2e-04	0	0.5
mib1	Cks30A	2	6	0.006	0	0.5
cas	Cks30A	2	6	1e-04	0	0.5
Abi	Cks30A	2	6	0	0	0.5
betaTub56D	Cks30A	2	6	1e-04	0	0.5
nej	Cks30A	2	6	3e-04	0	0.5
dlg1	Cks30A	2	6	0	0	0.5
Lcp65Ag1	Cks30A	2	6	5e-04	0	0.5
Es2	Cks30A	2	6	0.003	0	0.5
MED24	Cks30A	2	6	3e-04	0	0.5
Vhl	Cks30A	2	6	0.0021	0	0.5
tral	Cks30A	2	6	5e-04	0	0.5
sns	Cks30A	2	6	1e-04	0	0.5
mbl	Cks30A	2	6	4e-04	0	0.5
sav	Cks30A	2	6	0.0011	0	0.5
lola	Cks30A	2	6	1e-04	0	0.5
robo	Cks30A	2	6	9e-04	0	0.5
CG32486	Cks30A	2	6	2e-04	0	0.5
santa.maria	Cks30A	2	6	2e-04	0	0.5
stumps	Cks30A	2	6	7e-04	0	0.5
abd.A	Cks30A	2	6	2e-04	0	0.5
dock	Cks30A	2	6	1e-04	0	0.5
Lar	Cks30A	2	6	1e-04	0	0.5
