Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Crk	2	6	0	0	0.5
emp	Crk	2	6	0	0	0.5
CG2678	Crk	2	6	0	0	0.5
crc	Crk	2	6	2e-04	0	0.5
pros	Crk	2	6	0	0	0.5
neur	Crk	2	6	0	0	0.5
Rab5	Crk	2	6	0	0	0.5
Rab7	Crk	2	6	0	0	0.5
Mmp2	Crk	2	6	0	0	0.5
W	Crk	2	6	0	0	0.5
bowl	Crk	2	6	0	0	0.5
fd59A	Crk	2	6	0.0013	0	0.5
e	Crk	2	6	0	0	0.5
ben	Crk	2	6	7e-04	0	0.5
rdo	Crk	2	6	0	0	0.5
lin	Crk	2	6	9e-04	0	0.5
tra	Crk	2	6	0	0	0.5
tra2	Crk	2	6	0	0	0.5
cathD	Crk	2	6	0	0	0.5
d	Crk	2	6	0	0	0.5
lva	Crk	2	6	0	0	0.5
pbl	Crk	2	6	0	0	0.5
CG33205	Crk	2	6	0	0	0.5
da	Crk	2	6	0	0	0.5
cactin	Crk	2	6	1e-04	0	0.5
hpo	Crk	2	6	0.001	0	0.5
Sema.2a	Crk	2	6	0.001	0	0.5
Eip74EF	Crk	2	6	0.0019	0	0.5
eg	Crk	2	6	0	0	0.5
Arc42	Crk	2	6	0	0	0.5
toy	Crk	2	6	3e-04	0	0.5
Galpha73B	Crk	2	6	0	0	0.5
RhoGAPp190	Crk	2	6	0.0017	0	0.5
MED11	Crk	2	6	0	0	0.5
cher	Crk	2	6	0	0	0.5
BicD	Crk	2	6	0	0	0.5
MYPT.75D	Crk	2	6	0	0	0.5
mus304	Crk	2	6	0	0	0.5
CdsA	Crk	2	6	0	0	0.5
btl	Crk	2	6	0	0	0.5
Cyt.c.d	Crk	2	6	0	0	0.5
tok	Crk	2	6	0	0	0.5
ttk	Crk	2	6	8e-04	0	0.5
tamo	Crk	2	6	0	0	0.5
CG6416	Crk	2	6	0	0	0.5
flfl	Crk	2	6	3e-04	0	0.5
Pvr	Crk	2	6	3e-04	0	0.5
kay	Crk	2	6	0	0	0.5
Jra	Crk	2	6	0	0	0.5
msk	Crk	2	6	0	0	0.5
tll	Crk	2	6	0	0	0.5
Tm1	Crk	2	6	5e-04	0	0.5
srp	Crk	2	6	0	0	0.5
Btk29A	Crk	2	6	0	0	0.5
fred	Crk	2	6	0	0	0.5
Src64B	Crk	2	6	1e-04	0	0.5
Mmp1	Crk	2	6	4e-04	0	0.5
sll	Crk	2	6	0	0	0.5
Hmgs	Crk	2	6	1e-04	0	0.5
caps	Crk	2	6	0	0	0.5
Su.var.2.10	Crk	2	6	0	0	0.5
CycB	Crk	2	6	0	0	0.5
spir	Crk	2	6	0.001	0	0.5
spn.A	Crk	2	6	4e-04	0	0.5
Ptpmeg	Crk	2	6	1e-04	0	0.5
qua	Crk	2	6	5e-04	0	0.5
msn	Crk	2	6	0	0	0.5
ena	Crk	2	6	1e-04	0	0.5
spen	Crk	2	6	9e-04	0	0.5
emc	Crk	2	6	0	0	0.5
tsh	Crk	2	6	0	0	0.5
Dat	Crk	2	6	0	0	0.5
Lac	Crk	2	6	0	0	0.5
dup	Crk	2	6	0	0	0.5
CG3075	Crk	2	6	1e-04	0	0.5
Akap200	Crk	2	6	0	0	0.5
CG18369	Crk	2	6	0	0	0.5
bnl	Crk	2	6	3e-04	0	0.5
sec23	Crk	2	6	6e-04	0	0.5
Pde8	Crk	2	6	7e-04	0	0.5
Arp66B	Crk	2	6	0	0	0.5
cos	Crk	2	6	0	0	0.5
Borr	Crk	2	6	0	0	0.5
