Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	CtBP	2	6	0	0	0.5
emp	CtBP	2	6	0	0	0.5
CG2678	CtBP	2	6	0	0	0.5
crc	CtBP	2	6	0	0	0.5
pros	CtBP	2	6	0	0	0.5
neur	CtBP	2	6	0	0	0.5
Rab5	CtBP	2	6	0	0	0.5
Rab7	CtBP	2	6	0	0	0.5
Mmp2	CtBP	2	6	0	0	0.5
W	CtBP	2	6	0	0	0.5
bowl	CtBP	2	6	0	0	0.5
fd59A	CtBP	2	6	0	0	0.5
e	CtBP	2	6	0	0	0.5
ben	CtBP	2	6	0	0	0.5
rdo	CtBP	2	6	1e-04	0	0.5
lin	CtBP	2	6	0	0	0.5
tra	CtBP	2	6	0	0	0.5
tra2	CtBP	2	6	1e-04	0	0.5
cathD	CtBP	2	6	2e-04	0	0.5
d	CtBP	2	6	0	0	0.5
lva	CtBP	2	6	0	0	0.5
pbl	CtBP	2	6	0	0	0.5
CG33205	CtBP	2	6	0	0	0.5
da	CtBP	2	6	0	0	0.5
cactin	CtBP	2	6	0	0	0.5
hpo	CtBP	2	6	0	0	0.5
Sema.2a	CtBP	2	6	0	0	0.5
Eip74EF	CtBP	2	6	2e-04	0	0.5
eg	CtBP	2	6	0	0	0.5
Arc42	CtBP	2	6	0	0	0.5
toy	CtBP	2	6	1e-04	0	0.5
Galpha73B	CtBP	2	6	0	0	0.5
RhoGAPp190	CtBP	2	6	0	0	0.5
MED11	CtBP	2	6	0	0	0.5
cher	CtBP	2	6	0	0	0.5
BicD	CtBP	2	6	4e-04	0	0.5
MYPT.75D	CtBP	2	6	1e-04	0	0.5
mus304	CtBP	2	6	0	0	0.5
CdsA	CtBP	2	6	0	0	0.5
btl	CtBP	2	6	0	0	0.5
Cyt.c.d	CtBP	2	6	4e-04	0	0.5
tok	CtBP	2	6	0	0	0.5
ttk	CtBP	2	6	0	0	0.5
tamo	CtBP	2	6	0	0	0.5
CG6416	CtBP	2	6	0	0	0.5
flfl	CtBP	2	6	0	0	0.5
Pvr	CtBP	2	6	0	0	0.5
