Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	CycB	2	6	0	0	0.5
emp	CycB	2	6	3e-04	0	0.5
CG2678	CycB	2	6	0	0	0.5
crc	CycB	2	6	0	0	0.5
pros	CycB	2	6	0	0	0.5
neur	CycB	2	6	1e-04	0	0.5
Rab5	CycB	2	6	0	0	0.5
Rab7	CycB	2	6	0	0	0.5
Mmp2	CycB	2	6	0	0	0.5
W	CycB	2	6	2e-04	0	0.5
bowl	CycB	2	6	0	0	0.5
fd59A	CycB	2	6	0	0	0.5
e	CycB	2	6	0	0	0.5
ben	CycB	2	6	0	0	0.5
rdo	CycB	2	6	0	0	0.5
lin	CycB	2	6	0	0	0.5
tra	CycB	2	6	0	0	0.5
tra2	CycB	2	6	2e-04	0	0.5
cathD	CycB	2	6	1e-04	0	0.5
d	CycB	2	6	0	0	0.5
lva	CycB	2	6	0	0	0.5
pbl	CycB	2	6	0	0	0.5
CG33205	CycB	2	6	5e-04	0	0.5
da	CycB	2	6	0	0	0.5
cactin	CycB	2	6	1e-04	0	0.5
hpo	CycB	2	6	1e-04	0	0.5
Sema.2a	CycB	2	6	1e-04	0	0.5
Eip74EF	CycB	2	6	0	0	0.5
eg	CycB	2	6	0	0	0.5
Arc42	CycB	2	6	0	0	0.5
toy	CycB	2	6	1e-04	0	0.5
Galpha73B	CycB	2	6	0	0	0.5
RhoGAPp190	CycB	2	6	0	0	0.5
MED11	CycB	2	6	4e-04	0	0.5
cher	CycB	2	6	5e-04	0	0.5
BicD	CycB	2	6	0	0	0.5
MYPT.75D	CycB	2	6	0	0	0.5
mus304	CycB	2	6	0	0	0.5
CdsA	CycB	2	6	0	0	0.5
btl	CycB	2	6	0	0	0.5
Cyt.c.d	CycB	2	6	0	0	0.5
tok	CycB	2	6	0	0	0.5
ttk	CycB	2	6	4e-04	0	0.5
tamo	CycB	2	6	0	0	0.5
CG6416	CycB	2	6	0	0	0.5
flfl	CycB	2	6	1e-04	0	0.5
Pvr	CycB	2	6	0	0	0.5
kay	CycB	2	6	0	0	0.5
Jra	CycB	2	6	1e-04	0	0.5
msk	CycB	2	6	1e-04	0	0.5
tll	CycB	2	6	0	0	0.5
Tm1	CycB	2	6	0	0	0.5
srp	CycB	2	6	2e-04	0	0.5
Btk29A	CycB	2	6	0	0	0.5
fred	CycB	2	6	0	0	0.5
Src64B	CycB	2	6	0	0	0.5
Mmp1	CycB	2	6	0	0	0.5
sll	CycB	2	6	0	0	0.5
