Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Cyp1	2	6	5e-04	0	0.5
emp	Cyp1	2	6	0	0	0.5
CG2678	Cyp1	2	6	0	0	0.5
crc	Cyp1	2	6	0	0	0.5
pros	Cyp1	2	6	0	0	0.5
neur	Cyp1	2	6	0	0	0.5
Rab5	Cyp1	2	6	0	0	0.5
Rab7	Cyp1	2	6	0	0	0.5
Mmp2	Cyp1	2	6	0	0	0.5
W	Cyp1	2	6	0	0	0.5
bowl	Cyp1	2	6	1e-04	0	0.5
fd59A	Cyp1	2	6	0	0	0.5
e	Cyp1	2	6	0	0	0.5
ben	Cyp1	2	6	7e-04	0	0.5
rdo	Cyp1	2	6	0	0	0.5
lin	Cyp1	2	6	0	0	0.5
tra	Cyp1	2	6	0	0	0.5
tra2	Cyp1	2	6	0	0	0.5
cathD	Cyp1	2	6	0	0	0.5
d	Cyp1	2	6	0	0	0.5
lva	Cyp1	2	6	0	0	0.5
pbl	Cyp1	2	6	1e-04	0	0.5
CG33205	Cyp1	2	6	0	0	0.5
da	Cyp1	2	6	6e-04	0	0.5
cactin	Cyp1	2	6	1e-04	0	0.5
hpo	Cyp1	2	6	0	0	0.5
Sema.2a	Cyp1	2	6	0	0	0.5
Eip74EF	Cyp1	2	6	0	0	0.5
eg	Cyp1	2	6	0	0	0.5
Arc42	Cyp1	2	6	2e-04	0	0.5
toy	Cyp1	2	6	6e-04	0	0.5
Galpha73B	Cyp1	2	6	0	0	0.5
RhoGAPp190	Cyp1	2	6	0	0	0.5
MED11	Cyp1	2	6	0	0	0.5
cher	Cyp1	2	6	0	0	0.5
BicD	Cyp1	2	6	0	0	0.5
MYPT.75D	Cyp1	2	6	5e-04	0	0.5
mus304	Cyp1	2	6	0	0	0.5
CdsA	Cyp1	2	6	1e-04	0	0.5
btl	Cyp1	2	6	0	0	0.5
Cyt.c.d	Cyp1	2	6	0	0	0.5
tok	Cyp1	2	6	0	0	0.5
ttk	Cyp1	2	6	0	0	0.5
tamo	Cyp1	2	6	0	0	0.5
CG6416	Cyp1	2	6	0	0	0.5
flfl	Cyp1	2	6	0.0011	0	0.5
Pvr	Cyp1	2	6	0	0	0.5
kay	Cyp1	2	6	0	0	0.5
Jra	Cyp1	2	6	0	0	0.5
msk	Cyp1	2	6	0	0	0.5
tll	Cyp1	2	6	1e-04	0	0.5
Tm1	Cyp1	2	6	0	0	0.5
srp	Cyp1	2	6	0	0	0.5
Btk29A	Cyp1	2	6	5e-04	0	0.5
fred	Cyp1	2	6	0	0	0.5
Src64B	Cyp1	2	6	0	0	0.5
Mmp1	Cyp1	2	6	0	0	0.5
sll	Cyp1	2	6	0	0	0.5
Hmgs	Cyp1	2	6	0	0	0.5
caps	Cyp1	2	6	0	0	0.5
Su.var.2.10	Cyp1	2	6	0	0	0.5
CycB	Cyp1	2	6	0	0	0.5
spir	Cyp1	2	6	0	0	0.5
spn.A	Cyp1	2	6	0	0	0.5
Ptpmeg	Cyp1	2	6	0	0	0.5
qua	Cyp1	2	6	0	0	0.5
msn	Cyp1	2	6	0	0	0.5
ena	Cyp1	2	6	0	0	0.5
spen	Cyp1	2	6	0	0	0.5
emc	Cyp1	2	6	7e-04	0	0.5
tsh	Cyp1	2	6	0	0	0.5
Dat	Cyp1	2	6	0	0	0.5
Lac	Cyp1	2	6	0	0	0.5
dup	Cyp1	2	6	0	0	0.5
CG3075	Cyp1	2	6	1e-04	0	0.5
Akap200	Cyp1	2	6	0	0	0.5
CG18369	Cyp1	2	6	0	0	0.5
bnl	Cyp1	2	6	0	0	0.5
sec23	Cyp1	2	6	0	0	0.5
Pde8	Cyp1	2	6	2e-04	0	0.5
Arp66B	Cyp1	2	6	0	0	0.5
cos	Cyp1	2	6	4e-04	0	0.5
Borr	Cyp1	2	6	0	0	0.5
X140up	Cyp1	2	6	0	0	0.5
Dhc64C	Cyp1	2	6	1e-04	0	0.5
Not1	Cyp1	2	6	0	0	0.5
CG9520	Cyp1	2	6	2e-04	0	0.5
bib	Cyp1	2	6	0	0	0.5
mib1	Cyp1	2	6	0	0	0.5
cas	Cyp1	2	6	0	0	0.5
Abi	Cyp1	2	6	0	0	0.5
betaTub56D	Cyp1	2	6	1e-04	0	0.5
nej	Cyp1	2	6	0	0	0.5
dlg1	Cyp1	2	6	0	0	0.5
Lcp65Ag1	Cyp1	2	6	0	0	0.5
Es2	Cyp1	2	6	6e-04	0	0.5
