Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Cyt.c.d	2	6	0	0	0.5
emp	Cyt.c.d	2	6	0	0	0.5
CG2678	Cyt.c.d	2	6	0	0	0.5
crc	Cyt.c.d	2	6	2e-04	0	0.5
pros	Cyt.c.d	2	6	0	0	0.5
neur	Cyt.c.d	2	6	0	0	0.5
Rab5	Cyt.c.d	2	6	0	0	0.5
Rab7	Cyt.c.d	2	6	0	0	0.5
Mmp2	Cyt.c.d	2	6	0	0	0.5
W	Cyt.c.d	2	6	0	0	0.5
bowl	Cyt.c.d	2	6	0	0	0.5
fd59A	Cyt.c.d	2	6	0	0	0.5
e	Cyt.c.d	2	6	0	0	0.5
ben	Cyt.c.d	2	6	2e-04	0	0.5
rdo	Cyt.c.d	2	6	0	0	0.5
lin	Cyt.c.d	2	6	7e-04	0	0.5
tra	Cyt.c.d	2	6	0	0	0.5
tra2	Cyt.c.d	2	6	0	0	0.5
cathD	Cyt.c.d	2	6	5e-04	0	0.5
d	Cyt.c.d	2	6	0	0	0.5
lva	Cyt.c.d	2	6	4e-04	0	0.5
pbl	Cyt.c.d	2	6	1e-04	0	0.5
CG33205	Cyt.c.d	2	6	0	0	0.5
da	Cyt.c.d	2	6	0	0	0.5
cactin	Cyt.c.d	2	6	0	0	0.5
hpo	Cyt.c.d	2	6	1e-04	0	0.5
Sema.2a	Cyt.c.d	2	6	3e-04	0	0.5
Eip74EF	Cyt.c.d	2	6	0	0	0.5
eg	Cyt.c.d	2	6	0	0	0.5
Arc42	Cyt.c.d	2	6	0	0	0.5
toy	Cyt.c.d	2	6	0	0	0.5
Galpha73B	Cyt.c.d	2	6	2e-04	0	0.5
RhoGAPp190	Cyt.c.d	2	6	0	0	0.5
MED11	Cyt.c.d	2	6	0	0	0.5
cher	Cyt.c.d	2	6	3e-04	0	0.5
BicD	Cyt.c.d	2	6	0	0	0.5
MYPT.75D	Cyt.c.d	2	6	1e-04	0	0.5
mus304	Cyt.c.d	2	6	0	0	0.5
CdsA	Cyt.c.d	2	6	0	0	0.5
btl	Cyt.c.d	2	6	0	0	0.5
Cyt.c.d	Cyt.c.d	2	6	0	0	0.5
tok	Cyt.c.d	2	6	1e-04	0	0.5
ttk	Cyt.c.d	2	6	0	0	0.5
tamo	Cyt.c.d	2	6	0	0	0.5
CG6416	Cyt.c.d	2	6	0	0	0.5
flfl	Cyt.c.d	2	6	2e-04	0	0.5
Pvr	Cyt.c.d	2	6	3e-04	0	0.5
kay	Cyt.c.d	2	6	1e-04	0	0.5
Jra	Cyt.c.d	2	6	0	0	0.5
msk	Cyt.c.d	2	6	0	0	0.5
tll	Cyt.c.d	2	6	0	0	0.5
Tm1	Cyt.c.d	2	6	6e-04	0	0.5
srp	Cyt.c.d	2	6	0	0	0.5
Btk29A	Cyt.c.d	2	6	0	0	0.5
fred	Cyt.c.d	2	6	0	0	0.5
Src64B	Cyt.c.d	2	6	1e-04	0	0.5
Mmp1	Cyt.c.d	2	6	0	0	0.5
sll	Cyt.c.d	2	6	0	0	0.5
Hmgs	Cyt.c.d	2	6	1e-04	0	0.5
caps	Cyt.c.d	2	6	0	0	0.5
Su.var.2.10	Cyt.c.d	2	6	0	0	0.5
CycB	Cyt.c.d	2	6	0	0	0.5
spir	Cyt.c.d	2	6	0	0	0.5
spn.A	Cyt.c.d	2	6	0	0	0.5
Ptpmeg	Cyt.c.d	2	6	1e-04	0	0.5
qua	Cyt.c.d	2	6	0	0	0.5
msn	Cyt.c.d	2	6	0	0	0.5
ena	Cyt.c.d	2	6	0	0	0.5
spen	Cyt.c.d	2	6	0	0	0.5
emc	Cyt.c.d	2	6	2e-04	0	0.5
tsh	Cyt.c.d	2	6	0	0	0.5
Dat	Cyt.c.d	2	6	0	0	0.5
Lac	Cyt.c.d	2	6	0	0	0.5
dup	Cyt.c.d	2	6	0	0	0.5
CG3075	Cyt.c.d	2	6	0	0	0.5
Akap200	Cyt.c.d	2	6	0	0	0.5
CG18369	Cyt.c.d	2	6	1e-04	0	0.5
bnl	Cyt.c.d	2	6	0	0	0.5
sec23	Cyt.c.d	2	6	0	0	0.5
Pde8	Cyt.c.d	2	6	0	0	0.5
Arp66B	Cyt.c.d	2	6	0	0	0.5
cos	Cyt.c.d	2	6	2e-04	0	0.5
Borr	Cyt.c.d	2	6	0	0	0.5
X140up	Cyt.c.d	2	6	0	0	0.5
Dhc64C	Cyt.c.d	2	6	3e-04	0	0.5
Not1	Cyt.c.d	2	6	0	0	0.5
CG9520	Cyt.c.d	2	6	0	0	0.5
bib	Cyt.c.d	2	6	0	0	0.5
mib1	Cyt.c.d	2	6	0	0	0.5
cas	Cyt.c.d	2	6	0	0	0.5
Abi	Cyt.c.d	2	6	0	0	0.5
betaTub56D	Cyt.c.d	2	6	0	0	0.5
nej	Cyt.c.d	2	6	0	0	0.5
dlg1	Cyt.c.d	2	6	7e-04	0	0.5
Lcp65Ag1	Cyt.c.d	2	6	0	0	0.5
Es2	Cyt.c.d	2	6	0	0	0.5
MED24	Cyt.c.d	2	6	0	0	0.5
Vhl	Cyt.c.d	2	6	0	0	0.5
tral	Cyt.c.d	2	6	0	0	0.5
sns	Cyt.c.d	2	6	4e-04	0	0.5
mbl	Cyt.c.d	2	6	0	0	0.5
sav	Cyt.c.d	2	6	0	0	0.5
lola	Cyt.c.d	2	6	0	0	0.5
robo	Cyt.c.d	2	6	4e-04	0	0.5
CG32486	Cyt.c.d	2	6	0	0	0.5
santa.maria	Cyt.c.d	2	6	0	0	0.5
stumps	Cyt.c.d	2	6	0	0	0.5
abd.A	Cyt.c.d	2	6	1e-04	0	0.5
dock	Cyt.c.d	2	6	0	0	0.5
Lar	Cyt.c.d	2	6	0	0	0.5
l.1.G0289	Cyt.c.d	2	6	0	0	0.5
Abl	Cyt.c.d	2	6	0	0	0.5
Syb	Cyt.c.d	2	6	0	0	0.5
dome	Cyt.c.d	2	6	0.001	0	0.5
ofs	Cyt.c.d	2	6	1e-04	0	0.5
MED4	Cyt.c.d	2	6	0	0	0.5
scrib	Cyt.c.d	2	6	1e-04	0	0.5
siz	Cyt.c.d	2	6	0	0	0.5
cbx	Cyt.c.d	2	6	0	0	0.5
dsx	Cyt.c.d	2	6	0	0	0.5
Sb	Cyt.c.d	2	6	0	0	0.5
sax	Cyt.c.d	2	6	1e-04	0	0.5
foxo	Cyt.c.d	2	6	0	0	0.5
Cyp1	Cyt.c.d	2	6	0	0	0.5
brm	Cyt.c.d	2	6	3e-04	0	0.5
rad50	Cyt.c.d	2	6	0	0	0.5
chico	Cyt.c.d	2	6	0	0	0.5
cp309	Cyt.c.d	2	6	0	0	0.5
hdc	Cyt.c.d	2	6	6e-04	0	0.5
Axn	Cyt.c.d	2	6	7e-04	0	0.5
Apc2	Cyt.c.d	2	6	0	0	0.5
PhKgamma	Cyt.c.d	2	6	0	0	0.5
eya	Cyt.c.d	2	6	0	0	0.5
sktl	Cyt.c.d	2	6	0	0	0.5
sqd	Cyt.c.d	2	6	0	0	0.5
Akt1	Cyt.c.d	2	6	0	0	0.5
scyl	Cyt.c.d	2	6	3e-04	0	0.5
cnk	Cyt.c.d	2	6	0	0	0.5
CG8149	Cyt.c.d	2	6	5e-04	0	0.5
CG34379	Cyt.c.d	2	6	5e-04	0	0.5
Yp1	Cyt.c.d	2	6	0	0	0.5
yrt	Cyt.c.d	2	6	0	0	0.5
bap	Cyt.c.d	2	6	0	0	0.5
tud	Cyt.c.d	2	6	0	0	0.5
ct	Cyt.c.d	2	6	0	0	0.5
tup	Cyt.c.d	2	6	1e-04	0	0.5
G.ialpha65A	Cyt.c.d	2	6	1e-04	0	0.5
knrl	Cyt.c.d	2	6	1e-04	0	0.5
Pkn	Cyt.c.d	2	6	0	0	0.5
Sry.delta	Cyt.c.d	2	6	0	0	0.5
Alh	Cyt.c.d	2	6	0	0	0.5
pnut	Cyt.c.d	2	6	0	0	0.5
phyl	Cyt.c.d	2	6	0	0	0.5
CG17739	Cyt.c.d	2	6	0	0	0.5
B4	Cyt.c.d	2	6	0	0	0.5
CG2681	Cyt.c.d	2	6	2e-04	0	0.5
tow	Cyt.c.d	2	6	1e-04	0	0.5
hkl	Cyt.c.d	2	6	0	0	0.5
sina	Cyt.c.d	2	6	1e-04	0	0.5
ry	Cyt.c.d	2	6	0	0	0.5
rux	Cyt.c.d	2	6	0	0	0.5
boss	Cyt.c.d	2	6	0	0	0.5
Mkp3	Cyt.c.d	2	6	2e-04	0	0.5
inaC	Cyt.c.d	2	6	9e-04	0	0.5
sno	Cyt.c.d	2	6	0	0	0.5
jagn	Cyt.c.d	2	6	2e-04	0	0.5
dpn	Cyt.c.d	2	6	0	0	0.5
wrapper	Cyt.c.d	2	6	5e-04	0	0.5
Ca.alpha1D	Cyt.c.d	2	6	0	0	0.5
E2f	Cyt.c.d	2	6	0	0	0.5
Dp	Cyt.c.d	2	6	0	0	0.5
l.2.efl	Cyt.c.d	2	6	1e-04	0	0.5
cnc	Cyt.c.d	2	6	0	0	0.5
Atg5	Cyt.c.d	2	6	0	0	0.5
acj6	Cyt.c.d	2	6	0	0	0.5
Trl	Cyt.c.d	2	6	0	0	0.5
d4	Cyt.c.d	2	6	0	0	0.5
CG16719	Cyt.c.d	2	6	1e-04	0	0.5
CadN	Cyt.c.d	2	6	0	0	0.5
gro	Cyt.c.d	2	6	0	0	0.5
sec13	Cyt.c.d	2	6	0	0	0.5
klar	Cyt.c.d	2	6	0.001	0	0.5
Rack1	Cyt.c.d	2	6	1e-04	0	0.5
Sobp	Cyt.c.d	2	6	0	0	0.5
ash1	Cyt.c.d	2	6	0	0	0.5
inv	Cyt.c.d	2	6	0	0	0.5
shot	Cyt.c.d	2	6	0	0	0.5
Oseg1	Cyt.c.d	2	6	0	0	0.5
Spred	Cyt.c.d	2	6	1	-0.99843	0.5
puc	Cyt.c.d	2	6	0	0	0.5
Atg6	Cyt.c.d	2	6	0	0	0.5
CG3829	Cyt.c.d	2	6	0	0	0.5
sle	Cyt.c.d	2	6	0	0	0.5
Cka	Cyt.c.d	2	6	5e-04	0	0.5
form3	Cyt.c.d	2	6	2e-04	0	0.5
Pk61C	Cyt.c.d	2	6	0	0	0.5
Pcaf	Cyt.c.d	2	6	1e-04	0	0.5
sbb	Cyt.c.d	2	6	0	0	0.5
