Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dad	2	6	1e-04	0	0.5
emp	Dad	2	6	0	0	0.5
CG2678	Dad	2	6	0	0	0.5
crc	Dad	2	6	0	0	0.5
pros	Dad	2	6	0	0	0.5
neur	Dad	2	6	0	0	0.5
Rab5	Dad	2	6	0	0	0.5
Rab7	Dad	2	6	0	0	0.5
Mmp2	Dad	2	6	0	0	0.5
W	Dad	2	6	0	0	0.5
bowl	Dad	2	6	3e-04	0	0.5
fd59A	Dad	2	6	0	0	0.5
e	Dad	2	6	9e-04	0	0.5
ben	Dad	2	6	0	0	0.5
rdo	Dad	2	6	4e-04	0	0.5
lin	Dad	2	6	0	0	0.5
tra	Dad	2	6	2e-04	0	0.5
tra2	Dad	2	6	0	0	0.5
cathD	Dad	2	6	0	0	0.5
d	Dad	2	6	0	0	0.5
lva	Dad	2	6	0	0	0.5
pbl	Dad	2	6	0	0	0.5
CG33205	Dad	2	6	0	0	0.5
da	Dad	2	6	3e-04	0	0.5
cactin	Dad	2	6	1e-04	0	0.5
hpo	Dad	2	6	0	0	0.5
Sema.2a	Dad	2	6	0	0	0.5
Eip74EF	Dad	2	6	0	0	0.5
eg	Dad	2	6	1e-04	0	0.5
Arc42	Dad	2	6	0	0	0.5
toy	Dad	2	6	0	0	0.5
Galpha73B	Dad	2	6	2e-04	0	0.5
RhoGAPp190	Dad	2	6	0	0	0.5
MED11	Dad	2	6	0	0	0.5
cher	Dad	2	6	3e-04	0	0.5
BicD	Dad	2	6	0	0	0.5
MYPT.75D	Dad	2	6	4e-04	0	0.5
mus304	Dad	2	6	0	0	0.5
CdsA	Dad	2	6	0	0	0.5
btl	Dad	2	6	1e-04	0	0.5
Cyt.c.d	Dad	2	6	2e-04	0	0.5
tok	Dad	2	6	0	0	0.5
ttk	Dad	2	6	6e-04	0	0.5
tamo	Dad	2	6	0	0	0.5
CG6416	Dad	2	6	0	0	0.5
flfl	Dad	2	6	5e-04	0	0.5
Pvr	Dad	2	6	6e-04	0	0.5
kay	Dad	2	6	2e-04	0	0.5
Jra	Dad	2	6	5e-04	0	0.5
msk	Dad	2	6	0	0	0.5
tll	Dad	2	6	1e-04	0	0.5
Tm1	Dad	2	6	0	0	0.5
srp	Dad	2	6	6e-04	0	0.5
Btk29A	Dad	2	6	0	0	0.5
fred	Dad	2	6	0	0	0.5
Src64B	Dad	2	6	0	0	0.5
Mmp1	Dad	2	6	0	0	0.5
sll	Dad	2	6	0	0	0.5
Hmgs	Dad	2	6	1e-04	0	0.5
caps	Dad	2	6	0	0	0.5
Su.var.2.10	Dad	2	6	0	0	0.5
CycB	Dad	2	6	3e-04	0	0.5
spir	Dad	2	6	3e-04	0	0.5
spn.A	Dad	2	6	0	0	0.5
Ptpmeg	Dad	2	6	0	0	0.5
qua	Dad	2	6	0	0	0.5
msn	Dad	2	6	0	0	0.5
ena	Dad	2	6	4e-04	0	0.5
spen	Dad	2	6	0	0	0.5
emc	Dad	2	6	0	0	0.5
tsh	Dad	2	6	0	0	0.5
Dat	Dad	2	6	0	0	0.5
Lac	Dad	2	6	0	0	0.5
dup	Dad	2	6	0.001	0	0.5
CG3075	Dad	2	6	0	0	0.5
Akap200	Dad	2	6	0	0	0.5
CG18369	Dad	2	6	2e-04	0	0.5
bnl	Dad	2	6	0	0	0.5
sec23	Dad	2	6	0	0	0.5
Pde8	Dad	2	6	0	0	0.5
Arp66B	Dad	2	6	0	0	0.5
cos	Dad	2	6	1e-04	0	0.5
Borr	Dad	2	6	0	0	0.5
X140up	Dad	2	6	5e-04	0	0.5
Dhc64C	Dad	2	6	0	0	0.5
Not1	Dad	2	6	0	0	0.5
CG9520	Dad	2	6	0	0	0.5
bib	Dad	2	6	0	0	0.5
mib1	Dad	2	6	1e-04	0	0.5
cas	Dad	2	6	0	0	0.5
Abi	Dad	2	6	5e-04	0	0.5
betaTub56D	Dad	2	6	0	0	0.5
nej	Dad	2	6	0	0	0.5
dlg1	Dad	2	6	3e-04	0	0.5
Lcp65Ag1	Dad	2	6	0	0	0.5
Es2	Dad	2	6	0	0	0.5
MED24	Dad	2	6	0	0	0.5
Vhl	Dad	2	6	0	0	0.5
tral	Dad	2	6	0	0	0.5
sns	Dad	2	6	6e-04	0	0.5
mbl	Dad	2	6	0	0	0.5
