Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dap160	2	6	0	0	0.5
emp	Dap160	2	6	0	0	0.5
CG2678	Dap160	2	6	4e-04	0	0.5
crc	Dap160	2	6	0	0	0.5
pros	Dap160	2	6	0.0011	0	0.5
neur	Dap160	2	6	2e-04	0	0.5
Rab5	Dap160	2	6	4e-04	0	0.5
Rab7	Dap160	2	6	0	0	0.5
Mmp2	Dap160	2	6	0.0016	0	0.5
W	Dap160	2	6	0	0	0.5
bowl	Dap160	2	6	0	0	0.5
fd59A	Dap160	2	6	0	0	0.5
e	Dap160	2	6	1e-04	0	0.5
ben	Dap160	2	6	0	0	0.5
rdo	Dap160	2	6	2e-04	0	0.5
lin	Dap160	2	6	0	0	0.5
tra	Dap160	2	6	1e-04	0	0.5
tra2	Dap160	2	6	0	0	0.5
cathD	Dap160	2	6	2e-04	0	0.5
d	Dap160	2	6	2e-04	0	0.5
lva	Dap160	2	6	0	0	0.5
pbl	Dap160	2	6	3e-04	0	0.5
CG33205	Dap160	2	6	5e-04	0	0.5
da	Dap160	2	6	2e-04	0	0.5
cactin	Dap160	2	6	0	0	0.5
hpo	Dap160	2	6	0	0	0.5
Sema.2a	Dap160	2	6	0	0	0.5
Eip74EF	Dap160	2	6	0	0	0.5
eg	Dap160	2	6	1e-04	0	0.5
Arc42	Dap160	2	6	0	0	0.5
toy	Dap160	2	6	4e-04	0	0.5
Galpha73B	Dap160	2	6	0	0	0.5
RhoGAPp190	Dap160	2	6	0	0	0.5
MED11	Dap160	2	6	0	0	0.5
cher	Dap160	2	6	0	0	0.5
BicD	Dap160	2	6	1e-04	0	0.5
MYPT.75D	Dap160	2	6	0	0	0.5
mus304	Dap160	2	6	0	0	0.5
CdsA	Dap160	2	6	0	0	0.5
btl	Dap160	2	6	0	0	0.5
Cyt.c.d	Dap160	2	6	1e-04	0	0.5
tok	Dap160	2	6	0	0	0.5
ttk	Dap160	2	6	0	0	0.5
tamo	Dap160	2	6	2e-04	0	0.5
CG6416	Dap160	2	6	5e-04	0	0.5
flfl	Dap160	2	6	1e-04	0	0.5
Pvr	Dap160	2	6	0	0	0.5
kay	Dap160	2	6	0	0	0.5
Jra	Dap160	2	6	0	0	0.5
msk	Dap160	2	6	0	0	0.5
tll	Dap160	2	6	0	0	0.5
Tm1	Dap160	2	6	0	0	0.5
srp	Dap160	2	6	3e-04	0	0.5
Btk29A	Dap160	2	6	0	0	0.5
fred	Dap160	2	6	0	0	0.5
Src64B	Dap160	2	6	0	0	0.5
Mmp1	Dap160	2	6	0	0	0.5
sll	Dap160	2	6	2e-04	0	0.5
Hmgs	Dap160	2	6	0.001	0	0.5
caps	Dap160	2	6	0	0	0.5
Su.var.2.10	Dap160	2	6	0	0	0.5
CycB	Dap160	2	6	0	0	0.5
spir	Dap160	2	6	0	0	0.5
spn.A	Dap160	2	6	0	0	0.5
Ptpmeg	Dap160	2	6	0	0	0.5
qua	Dap160	2	6	1e-04	0	0.5
msn	Dap160	2	6	0	0	0.5
ena	Dap160	2	6	0	0	0.5
spen	Dap160	2	6	1e-04	0	0.5
emc	Dap160	2	6	0	0	0.5
tsh	Dap160	2	6	0	0	0.5
Dat	Dap160	2	6	1e-04	0	0.5
Lac	Dap160	2	6	1e-04	0	0.5
dup	Dap160	2	6	0	0	0.5
CG3075	Dap160	2	6	4e-04	0	0.5
Akap200	Dap160	2	6	0	0	0.5
CG18369	Dap160	2	6	0	0	0.5
bnl	Dap160	2	6	0	0	0.5
sec23	Dap160	2	6	1e-04	0	0.5
Pde8	Dap160	2	6	0	0	0.5
Arp66B	Dap160	2	6	0	0	0.5
cos	Dap160	2	6	0	0	0.5
Borr	Dap160	2	6	8e-04	0	0.5
X140up	Dap160	2	6	1e-04	0	0.5
Dhc64C	Dap160	2	6	2e-04	0	0.5
Not1	Dap160	2	6	0	0	0.5
CG9520	Dap160	2	6	0	0	0.5
bib	Dap160	2	6	0.0015	0	0.5
mib1	Dap160	2	6	0	0	0.5
cas	Dap160	2	6	0	0	0.5
Abi	Dap160	2	6	0	0	0.5
betaTub56D	Dap160	2	6	0	0	0.5
