Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dcp.1	2	6	0	0	0.5
emp	Dcp.1	2	6	0	0	0.5
CG2678	Dcp.1	2	6	3e-04	0	0.5
crc	Dcp.1	2	6	0	0	0.5
pros	Dcp.1	2	6	0	0	0.5
neur	Dcp.1	2	6	0	0	0.5
Rab5	Dcp.1	2	6	3e-04	0	0.5
Rab7	Dcp.1	2	6	1e-04	0	0.5
Mmp2	Dcp.1	2	6	0	0	0.5
W	Dcp.1	2	6	5e-04	0	0.5
bowl	Dcp.1	2	6	0	0	0.5
fd59A	Dcp.1	2	6	0	0	0.5
e	Dcp.1	2	6	0	0	0.5
ben	Dcp.1	2	6	0	0	0.5
rdo	Dcp.1	2	6	0	0	0.5
lin	Dcp.1	2	6	0	0	0.5
tra	Dcp.1	2	6	0	0	0.5
tra2	Dcp.1	2	6	0	0	0.5
cathD	Dcp.1	2	6	0	0	0.5
d	Dcp.1	2	6	0	0	0.5
lva	Dcp.1	2	6	0	0	0.5
pbl	Dcp.1	2	6	0	0	0.5
CG33205	Dcp.1	2	6	4e-04	0	0.5
da	Dcp.1	2	6	0	0	0.5
cactin	Dcp.1	2	6	0	0	0.5
hpo	Dcp.1	2	6	0	0	0.5
Sema.2a	Dcp.1	2	6	5e-04	0	0.5
Eip74EF	Dcp.1	2	6	4e-04	0	0.5
eg	Dcp.1	2	6	0	0	0.5
Arc42	Dcp.1	2	6	0	0	0.5
toy	Dcp.1	2	6	0	0	0.5
Galpha73B	Dcp.1	2	6	0	0	0.5
RhoGAPp190	Dcp.1	2	6	0	0	0.5
MED11	Dcp.1	2	6	9e-04	0	0.5
cher	Dcp.1	2	6	0	0	0.5
BicD	Dcp.1	2	6	0.0012	0	0.5
MYPT.75D	Dcp.1	2	6	0	0	0.5
mus304	Dcp.1	2	6	0	0	0.5
CdsA	Dcp.1	2	6	2e-04	0	0.5
btl	Dcp.1	2	6	2e-04	0	0.5
Cyt.c.d	Dcp.1	2	6	8e-04	0	0.5
tok	Dcp.1	2	6	3e-04	0	0.5
ttk	Dcp.1	2	6	0	0	0.5
tamo	Dcp.1	2	6	0	0	0.5
CG6416	Dcp.1	2	6	0	0	0.5
flfl	Dcp.1	2	6	0	0	0.5
Pvr	Dcp.1	2	6	2e-04	0	0.5
kay	Dcp.1	2	6	0	0	0.5
Jra	Dcp.1	2	6	0.0012	0	0.5
msk	Dcp.1	2	6	0	0	0.5
tll	Dcp.1	2	6	0	0	0.5
Tm1	Dcp.1	2	6	2e-04	0	0.5
srp	Dcp.1	2	6	0	0	0.5
Btk29A	Dcp.1	2	6	2e-04	0	0.5
fred	Dcp.1	2	6	3e-04	0	0.5
Src64B	Dcp.1	2	6	0	0	0.5
Mmp1	Dcp.1	2	6	7e-04	0	0.5
sll	Dcp.1	2	6	0	0	0.5
Hmgs	Dcp.1	2	6	0	0	0.5
caps	Dcp.1	2	6	0	0	0.5
Su.var.2.10	Dcp.1	2	6	0	0	0.5
CycB	Dcp.1	2	6	4e-04	0	0.5
spir	Dcp.1	2	6	0	0	0.5
spn.A	Dcp.1	2	6	0	0	0.5
Ptpmeg	Dcp.1	2	6	0	0	0.5
qua	Dcp.1	2	6	0	0	0.5
msn	Dcp.1	2	6	0	0	0.5
ena	Dcp.1	2	6	0	0	0.5
spen	Dcp.1	2	6	0	0	0.5
emc	Dcp.1	2	6	0	0	0.5
tsh	Dcp.1	2	6	0.6524	0.42613	0.5
Dat	Dcp.1	2	6	7e-04	0	0.5
Lac	Dcp.1	2	6	0	0	0.5
dup	Dcp.1	2	6	5e-04	0	0.5
CG3075	Dcp.1	2	6	0	0	0.5
Akap200	Dcp.1	2	6	0	0	0.5
CG18369	Dcp.1	2	6	1e-04	0	0.5
bnl	Dcp.1	2	6	1e-04	0	0.5
sec23	Dcp.1	2	6	0.071	0	0.5
Pde8	Dcp.1	2	6	0	0	0.5
Arp66B	Dcp.1	2	6	0	0	0.5
cos	Dcp.1	2	6	0	0	0.5
Borr	Dcp.1	2	6	0	0	0.5
X140up	Dcp.1	2	6	0	0	0.5
Dhc64C	Dcp.1	2	6	1e-04	0	0.5
Not1	Dcp.1	2	6	0	0	0.5
CG9520	Dcp.1	2	6	2e-04	0	0.5
bib	Dcp.1	2	6	0	0	0.5
mib1	Dcp.1	2	6	0	0	0.5
cas	Dcp.1	2	6	0	0	0.5
Abi	Dcp.1	2	6	4e-04	0	0.5
betaTub56D	Dcp.1	2	6	0	0	0.5
nej	Dcp.1	2	6	0	0	0.5
dlg1	Dcp.1	2	6	0	0	0.5
Lcp65Ag1	Dcp.1	2	6	0	0	0.5
Es2	Dcp.1	2	6	0	0	0.5
MED24	Dcp.1	2	6	5e-04	0	0.5
Vhl	Dcp.1	2	6	3e-04	0	0.5
tral	Dcp.1	2	6	0	0	0.5
sns	Dcp.1	2	6	9e-04	0	0.5
mbl	Dcp.1	2	6	0	0	0.5
sav	Dcp.1	2	6	0	0	0.5
lola	Dcp.1	2	6	0	0	0.5
robo	Dcp.1	2	6	0	0	0.5
CG32486	Dcp.1	2	6	7e-04	0	0.5
santa.maria	Dcp.1	2	6	0	0	0.5
stumps	Dcp.1	2	6	1e-04	0	0.5
abd.A	Dcp.1	2	6	0	0	0.5
dock	Dcp.1	2	6	7e-04	0	0.5
Lar	Dcp.1	2	6	0	0	0.5
l.1.G0289	Dcp.1	2	6	0	0	0.5
Abl	Dcp.1	2	6	0	0	0.5
Syb	Dcp.1	2	6	0	0	0.5
dome	Dcp.1	2	6	1e-04	0	0.5
ofs	Dcp.1	2	6	0	0	0.5
MED4	Dcp.1	2	6	0	0	0.5
scrib	Dcp.1	2	6	0	0	0.5
siz	Dcp.1	2	6	0	0	0.5
cbx	Dcp.1	2	6	1e-04	0	0.5
dsx	Dcp.1	2	6	0	0	0.5
Sb	Dcp.1	2	6	0	0	0.5
sax	Dcp.1	2	6	1e-04	0	0.5
foxo	Dcp.1	2	6	0.2878	0	0.5
Cyp1	Dcp.1	2	6	0.0015	0	0.5
brm	Dcp.1	2	6	0	0	0.5
rad50	Dcp.1	2	6	3e-04	0	0.5
chico	Dcp.1	2	6	0	0	0.5
cp309	Dcp.1	2	6	0	0	0.5
hdc	Dcp.1	2	6	0	0	0.5
Axn	Dcp.1	2	6	0.001	0	0.5
Apc2	Dcp.1	2	6	1e-04	0	0.5
PhKgamma	Dcp.1	2	6	1e-04	0	0.5
eya	Dcp.1	2	6	3e-04	0	0.5
sktl	Dcp.1	2	6	0	0	0.5
sqd	Dcp.1	2	6	6e-04	0	0.5
Akt1	Dcp.1	2	6	0	0	0.5
scyl	Dcp.1	2	6	0	0	0.5
cnk	Dcp.1	2	6	6e-04	0	0.5
CG8149	Dcp.1	2	6	0	0	0.5
CG34379	Dcp.1	2	6	0	0	0.5
Yp1	Dcp.1	2	6	0	0	0.5
yrt	Dcp.1	2	6	0.0013	0	0.5
bap	Dcp.1	2	6	0	0	0.5
tud	Dcp.1	2	6	1e-04	0	0.5
ct	Dcp.1	2	6	0	0	0.5
tup	Dcp.1	2	6	0.3478	0	0.5
G.ialpha65A	Dcp.1	2	6	0	0	0.5
knrl	Dcp.1	2	6	0	0	0.5
Pkn	Dcp.1	2	6	0	0	0.5
Sry.delta	Dcp.1	2	6	7e-04	0	0.5
Alh	Dcp.1	2	6	0	0	0.5
pnut	Dcp.1	2	6	0	0	0.5
phyl	Dcp.1	2	6	0	0	0.5
CG17739	Dcp.1	2	6	0	0	0.5
B4	Dcp.1	2	6	0	0	0.5
CG2681	Dcp.1	2	6	0	0	0.5
tow	Dcp.1	2	6	5e-04	0	0.5
hkl	Dcp.1	2	6	0	0	0.5
sina	Dcp.1	2	6	4e-04	0	0.5
ry	Dcp.1	2	6	0	0	0.5
rux	Dcp.1	2	6	0	0	0.5
boss	Dcp.1	2	6	0	0	0.5
Mkp3	Dcp.1	2	6	0	0	0.5
inaC	Dcp.1	2	6	0	0	0.5
sno	Dcp.1	2	6	0	0	0.5
jagn	Dcp.1	2	6	0	0	0.5
dpn	Dcp.1	2	6	0	0	0.5
