Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dhc64C	2	6	1e-04	0	0.5
emp	Dhc64C	2	6	0	0	0.5
CG2678	Dhc64C	2	6	0	0	0.5
crc	Dhc64C	2	6	0	0	0.5
pros	Dhc64C	2	6	0	0	0.5
neur	Dhc64C	2	6	7e-04	0	0.5
Rab5	Dhc64C	2	6	0	0	0.5
Rab7	Dhc64C	2	6	0	0	0.5
Mmp2	Dhc64C	2	6	0	0	0.5
W	Dhc64C	2	6	0	0	0.5
bowl	Dhc64C	2	6	0	0	0.5
fd59A	Dhc64C	2	6	1e-04	0	0.5
e	Dhc64C	2	6	0	0	0.5
ben	Dhc64C	2	6	3e-04	0	0.5
rdo	Dhc64C	2	6	0	0	0.5
lin	Dhc64C	2	6	0	0	0.5
tra	Dhc64C	2	6	0	0	0.5
tra2	Dhc64C	2	6	0	0	0.5
cathD	Dhc64C	2	6	0	0	0.5
d	Dhc64C	2	6	4e-04	0	0.5
lva	Dhc64C	2	6	2e-04	0	0.5
pbl	Dhc64C	2	6	5e-04	0	0.5
CG33205	Dhc64C	2	6	2e-04	0	0.5
da	Dhc64C	2	6	3e-04	0	0.5
cactin	Dhc64C	2	6	0	0	0.5
hpo	Dhc64C	2	6	0	0	0.5
Sema.2a	Dhc64C	2	6	0	0	0.5
Eip74EF	Dhc64C	2	6	5e-04	0	0.5
eg	Dhc64C	2	6	0	0	0.5
Arc42	Dhc64C	2	6	2e-04	0	0.5
toy	Dhc64C	2	6	0	0	0.5
Galpha73B	Dhc64C	2	6	0	0	0.5
RhoGAPp190	Dhc64C	2	6	0	0	0.5
MED11	Dhc64C	2	6	0	0	0.5
cher	Dhc64C	2	6	0	0	0.5
BicD	Dhc64C	2	6	1e-04	0	0.5
MYPT.75D	Dhc64C	2	6	0	0	0.5
mus304	Dhc64C	2	6	0	0	0.5
CdsA	Dhc64C	2	6	0	0	0.5
btl	Dhc64C	2	6	0	0	0.5
Cyt.c.d	Dhc64C	2	6	0	0	0.5
tok	Dhc64C	2	6	3e-04	0	0.5
ttk	Dhc64C	2	6	0.0011	0	0.5
tamo	Dhc64C	2	6	3e-04	0	0.5
CG6416	Dhc64C	2	6	0.0013	0	0.5
flfl	Dhc64C	2	6	0.6724	0.99845	0.5
Pvr	Dhc64C	2	6	9e-04	0	0.5
kay	Dhc64C	2	6	0	0	0.5
Jra	Dhc64C	2	6	0	0	0.5
msk	Dhc64C	2	6	0	0	0.5
tll	Dhc64C	2	6	0	0	0.5
Tm1	Dhc64C	2	6	6e-04	0	0.5
srp	Dhc64C	2	6	0	0	0.5
Btk29A	Dhc64C	2	6	0	0	0.5
fred	Dhc64C	2	6	0	0	0.5
Src64B	Dhc64C	2	6	2e-04	0	0.5
Mmp1	Dhc64C	2	6	0	0	0.5
sll	Dhc64C	2	6	0	0	0.5
Hmgs	Dhc64C	2	6	7e-04	0	0.5
caps	Dhc64C	2	6	0	0	0.5
Su.var.2.10	Dhc64C	2	6	0	0	0.5
CycB	Dhc64C	2	6	0	0	0.5
spir	Dhc64C	2	6	0	0	0.5
spn.A	Dhc64C	2	6	1e-04	0	0.5
Ptpmeg	Dhc64C	2	6	0	0	0.5
