Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dif	2	6	5e-04	0	0.5
emp	Dif	2	6	0.0085	0	0.5
CG2678	Dif	2	6	1e-04	0	0.5
crc	Dif	2	6	0.002	0	0.5
pros	Dif	2	6	0	0	0.5
neur	Dif	2	6	7e-04	0	0.5
Rab5	Dif	2	6	1e-04	0	0.5
Rab7	Dif	2	6	0.004	0	0.5
Mmp2	Dif	2	6	0.001	0	0.5
W	Dif	2	6	0	0	0.5
bowl	Dif	2	6	1e-04	0	0.5
fd59A	Dif	2	6	2e-04	0	0.5
e	Dif	2	6	2e-04	0	0.5
ben	Dif	2	6	1e-04	0	0.5
rdo	Dif	2	6	0.0033	0	0.5
lin	Dif	2	6	4e-04	0	0.5
tra	Dif	2	6	0	0	0.5
tra2	Dif	2	6	0	0	0.5
cathD	Dif	2	6	0	0	0.5
d	Dif	2	6	3e-04	0	0.5
lva	Dif	2	6	0	0	0.5
pbl	Dif	2	6	1e-04	0	0.5
CG33205	Dif	2	6	0	0	0.5
da	Dif	2	6	0.0366	0	0.5
cactin	Dif	2	6	0.0044	0	0.5
hpo	Dif	2	6	0.0093	0	0.5
Sema.2a	Dif	2	6	7e-04	0	0.5
Eip74EF	Dif	2	6	3e-04	0	0.5
eg	Dif	2	6	2e-04	0	0.5
Arc42	Dif	2	6	0.0015	0	0.5
toy	Dif	2	6	0	0	0.5
Galpha73B	Dif	2	6	1e-04	0	0.5
RhoGAPp190	Dif	2	6	5e-04	0	0.5
MED11	Dif	2	6	2e-04	0	0.5
cher	Dif	2	6	3e-04	0	0.5
BicD	Dif	2	6	1e-04	0	0.5
MYPT.75D	Dif	2	6	0.0013	0	0.5
mus304	Dif	2	6	3e-04	0	0.5
CdsA	Dif	2	6	9e-04	0	0.5
btl	Dif	2	6	2e-04	0	0.5
Cyt.c.d	Dif	2	6	0.0453	0	0.5
tok	Dif	2	6	0.1366	0	0.5
ttk	Dif	2	6	8e-04	0	0.5
tamo	Dif	2	6	1e-04	0	0.5
CG6416	Dif	2	6	0	0	0.5
flfl	Dif	2	6	0.0013	0	0.5
Pvr	Dif	2	6	2e-04	0	0.5
kay	Dif	2	6	0	0	0.5
Jra	Dif	2	6	0	0	0.5
msk	Dif	2	6	7e-04	0	0.5
tll	Dif	2	6	7e-04	0	0.5
Tm1	Dif	2	6	2e-04	0	0.5
srp	Dif	2	6	1e-04	0	0.5
Btk29A	Dif	2	6	0	0	0.5
fred	Dif	2	6	1e-04	0	0.5
Src64B	Dif	2	6	1e-04	0	0.5
Mmp1	Dif	2	6	6e-04	0	0.5
sll	Dif	2	6	8e-04	0	0.5
Hmgs	Dif	2	6	3e-04	0	0.5
caps	Dif	2	6	0	0	0.5
Su.var.2.10	Dif	2	6	0	0	0.5
CycB	Dif	2	6	1e-04	0	0.5
spir	Dif	2	6	7e-04	0	0.5
spn.A	Dif	2	6	0.1473	0	0.5
Ptpmeg	Dif	2	6	0	0	0.5
qua	Dif	2	6	0.0012	0	0.5
msn	Dif	2	6	2e-04	0	0.5
ena	Dif	2	6	2e-04	0	0.5
spen	Dif	2	6	1e-04	0	0.5
emc	Dif	2	6	3e-04	0	0.5
tsh	Dif	2	6	8e-04	0	0.5
Dat	Dif	2	6	0.0026	0	0.5
Lac	Dif	2	6	0	0	0.5
dup	Dif	2	6	0	0	0.5
CG3075	Dif	2	6	1e-04	0	0.5
Akap200	Dif	2	6	0.0015	0	0.5
CG18369	Dif	2	6	0.0036	0	0.5
bnl	Dif	2	6	5e-04	0	0.5
sec23	Dif	2	6	0.0676	0	0.5
Pde8	Dif	2	6	0.0184	0	0.5
Arp66B	Dif	2	6	3e-04	0	0.5
cos	Dif	2	6	8e-04	0	0.5
Borr	Dif	2	6	0.0088	0	0.5
X140up	Dif	2	6	3e-04	0	0.5
Dhc64C	Dif	2	6	4e-04	0	0.5
Not1	Dif	2	6	5e-04	0	0.5
CG9520	Dif	2	6	0	0	0.5
bib	Dif	2	6	8e-04	0	0.5
mib1	Dif	2	6	4e-04	0	0.5
cas	Dif	2	6	5e-04	0	0.5
Abi	Dif	2	6	0.0012	0	0.5
betaTub56D	Dif	2	6	2e-04	0	0.5
nej	Dif	2	6	5e-04	0	0.5
dlg1	Dif	2	6	0	0	0.5
Lcp65Ag1	Dif	2	6	0	0	0.5
Es2	Dif	2	6	1e-04	0	0.5
MED24	Dif	2	6	6e-04	0	0.5
Vhl	Dif	2	6	0	0	0.5
tral	Dif	2	6	6e-04	0	0.5
sns	Dif	2	6	4e-04	0	0.5
mbl	Dif	2	6	1e-04	0	0.5
sav	Dif	2	6	0	0	0.5
lola	Dif	2	6	3e-04	0	0.5
robo	Dif	2	6	1e-04	0	0.5
CG32486	Dif	2	6	0	0	0.5
santa.maria	Dif	2	6	0	0	0.5
stumps	Dif	2	6	4e-04	0	0.5
abd.A	Dif	2	6	5e-04	0	0.5
dock	Dif	2	6	0.0012	0	0.5
Lar	Dif	2	6	6e-04	0	0.5
l.1.G0289	Dif	2	6	1e-04	0	0.5
Abl	Dif	2	6	4e-04	0	0.5
Syb	Dif	2	6	7e-04	0	0.5
dome	Dif	2	6	7e-04	0	0.5
ofs	Dif	2	6	7e-04	0	0.5
MED4	Dif	2	6	1e-04	0	0.5
scrib	Dif	2	6	6e-04	0	0.5
siz	Dif	2	6	2e-04	0	0.5
cbx	Dif	2	6	0	0	0.5
dsx	Dif	2	6	0	0	0.5
Sb	Dif	2	6	6e-04	0	0.5
sax	Dif	2	6	0	0	0.5
foxo	Dif	2	6	9e-04	0	0.5
Cyp1	Dif	2	6	0	0	0.5
brm	Dif	2	6	2e-04	0	0.5
rad50	Dif	2	6	0.0013	0	0.5
chico	Dif	2	6	0.0013	0	0.5
cp309	Dif	2	6	2e-04	0	0.5
hdc	Dif	2	6	9e-04	0	0.5
Axn	Dif	2	6	9e-04	0	0.5
Apc2	Dif	2	6	0.0015	0	0.5
PhKgamma	Dif	2	6	2e-04	0	0.5
eya	Dif	2	6	7e-04	0	0.5
sktl	Dif	2	6	0.001	0	0.5
sqd	Dif	2	6	0.0036	0	0.5
Akt1	Dif	2	6	3e-04	0	0.5
scyl	Dif	2	6	9e-04	0	0.5
cnk	Dif	2	6	5e-04	0	0.5
CG8149	Dif	2	6	5e-04	0	0.5
CG34379	Dif	2	6	8e-04	0	0.5
Yp1	Dif	2	6	6e-04	0	0.5
yrt	Dif	2	6	2e-04	0	0.5
bap	Dif	2	6	1e-04	0	0.5
tud	Dif	2	6	0	0	0.5
ct	Dif	2	6	0	0	0.5
tup	Dif	2	6	3e-04	0	0.5
G.ialpha65A	Dif	2	6	0.0011	0	0.5
knrl	Dif	2	6	1e-04	0	0.5
Pkn	Dif	2	6	3e-04	0	0.5
Sry.delta	Dif	2	6	6e-04	0	0.5
Alh	Dif	2	6	0.0024	0	0.5
pnut	Dif	2	6	3e-04	0	0.5
phyl	Dif	2	6	6e-04	0	0.5
CG17739	Dif	2	6	4e-04	0	0.5
B4	Dif	2	6	0	0	0.5
CG2681	Dif	2	6	6e-04	0	0.5
tow	Dif	2	6	1e-04	0	0.5
hkl	Dif	2	6	0	0	0.5
sina	Dif	2	6	0.001	0	0.5
ry	Dif	2	6	0	0	0.5
rux	Dif	2	6	0	0	0.5
boss	Dif	2	6	0.0013	0	0.5
Mkp3	Dif	2	6	9e-04	0	0.5
inaC	Dif	2	6	0.0015	0	0.5
sno	Dif	2	6	0	0	0.5
jagn	Dif	2	6	0.0011	0	0.5
dpn	Dif	2	6	0.001	0	0.5
wrapper	Dif	2	6	0	0	0.5
Ca.alpha1D	Dif	2	6	0.0013	0	0.5
E2f	Dif	2	6	3e-04	0	0.5
Dp	Dif	2	6	5e-04	0	0.5
l.2.efl	Dif	2	6	0	0	0.5
cnc	Dif	2	6	0.0021	0	0.5
Atg5	Dif	2	6	4e-04	0	0.5
acj6	Dif	2	6	3e-04	0	0.5
Trl	Dif	2	6	4e-04	0	0.5
d4	Dif	2	6	0	0	0.5
CG16719	Dif	2	6	0.0095	0	0.5
CadN	Dif	2	6	0	0	0.5
gro	Dif	2	6	3e-04	0	0.5
sec13	Dif	2	6	2e-04	0	0.5
klar	Dif	2	6	7e-04	0	0.5
Rack1	Dif	2	6	0	0	0.5
Sobp	Dif	2	6	0.001	0	0.5
ash1	Dif	2	6	0.0012	0	0.5
inv	Dif	2	6	0.0011	0	0.5
shot	Dif	2	6	3e-04	0	0.5
Oseg1	Dif	2	6	9e-04	0	0.5
Spred	Dif	2	6	0	0	0.5
