Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dlic2	2	6	0	0	0.5
emp	Dlic2	2	6	0	0	0.5
CG2678	Dlic2	2	6	4e-04	0	0.5
crc	Dlic2	2	6	0	0	0.5
pros	Dlic2	2	6	0	0	0.5
neur	Dlic2	2	6	0	0	0.5
Rab5	Dlic2	2	6	1e-04	0	0.5
Rab7	Dlic2	2	6	1e-04	0	0.5
Mmp2	Dlic2	2	6	2e-04	0	0.5
W	Dlic2	2	6	1e-04	0	0.5
bowl	Dlic2	2	6	0	0	0.5
fd59A	Dlic2	2	6	0	0	0.5
e	Dlic2	2	6	5e-04	0	0.5
ben	Dlic2	2	6	0	0	0.5
rdo	Dlic2	2	6	0	0	0.5
lin	Dlic2	2	6	0	0	0.5
tra	Dlic2	2	6	0	0	0.5
tra2	Dlic2	2	6	1e-04	0	0.5
cathD	Dlic2	2	6	0	0	0.5
d	Dlic2	2	6	0	0	0.5
lva	Dlic2	2	6	5e-04	0	0.5
pbl	Dlic2	2	6	7e-04	0	0.5
CG33205	Dlic2	2	6	0	0	0.5
da	Dlic2	2	6	0	0	0.5
cactin	Dlic2	2	6	0	0	0.5
hpo	Dlic2	2	6	0	0	0.5
Sema.2a	Dlic2	2	6	2e-04	0	0.5
Eip74EF	Dlic2	2	6	3e-04	0	0.5
eg	Dlic2	2	6	0	0	0.5
Arc42	Dlic2	2	6	0	0	0.5
toy	Dlic2	2	6	0	0	0.5
Galpha73B	Dlic2	2	6	0	0	0.5
RhoGAPp190	Dlic2	2	6	0	0	0.5
MED11	Dlic2	2	6	2e-04	0	0.5
cher	Dlic2	2	6	2e-04	0	0.5
BicD	Dlic2	2	6	0	0	0.5
MYPT.75D	Dlic2	2	6	0	0	0.5
mus304	Dlic2	2	6	7e-04	0	0.5
CdsA	Dlic2	2	6	1e-04	0	0.5
btl	Dlic2	2	6	2e-04	0	0.5
Cyt.c.d	Dlic2	2	6	0	0	0.5
tok	Dlic2	2	6	3e-04	0	0.5
ttk	Dlic2	2	6	0	0	0.5
tamo	Dlic2	2	6	0	0	0.5
CG6416	Dlic2	2	6	7e-04	0	0.5
flfl	Dlic2	2	6	3e-04	0	0.5
Pvr	Dlic2	2	6	0	0	0.5
kay	Dlic2	2	6	2e-04	0	0.5
Jra	Dlic2	2	6	0	0	0.5
msk	Dlic2	2	6	0	0	0.5
tll	Dlic2	2	6	0	0	0.5
Tm1	Dlic2	2	6	5e-04	0	0.5
srp	Dlic2	2	6	0	0	0.5
Btk29A	Dlic2	2	6	0	0	0.5
fred	Dlic2	2	6	1e-04	0	0.5
Src64B	Dlic2	2	6	0	0	0.5
Mmp1	Dlic2	2	6	0	0	0.5
sll	Dlic2	2	6	1e-04	0	0.5
Hmgs	Dlic2	2	6	0	0	0.5
caps	Dlic2	2	6	0	0	0.5
Su.var.2.10	Dlic2	2	6	1e-04	0	0.5
CycB	Dlic2	2	6	9e-04	0	0.5
spir	Dlic2	2	6	0	0	0.5
spn.A	Dlic2	2	6	0	0	0.5
Ptpmeg	Dlic2	2	6	0	0	0.5
qua	Dlic2	2	6	0	0	0.5
msn	Dlic2	2	6	0	0	0.5
ena	Dlic2	2	6	0.0015	0	0.5
spen	Dlic2	2	6	4e-04	0	0.5
emc	Dlic2	2	6	3e-04	0	0.5
tsh	Dlic2	2	6	0	0	0.5
Dat	Dlic2	2	6	0	0	0.5
Lac	Dlic2	2	6	1e-04	0	0.5
dup	Dlic2	2	6	7e-04	0	0.5
CG3075	Dlic2	2	6	0	0	0.5
Akap200	Dlic2	2	6	2e-04	0	0.5
CG18369	Dlic2	2	6	0	0	0.5
bnl	Dlic2	2	6	2e-04	0	0.5
sec23	Dlic2	2	6	0.0013	0	0.5
Pde8	Dlic2	2	6	0	0	0.5
Arp66B	Dlic2	2	6	0	0	0.5
cos	Dlic2	2	6	0	0	0.5
Borr	Dlic2	2	6	0	0	0.5
X140up	Dlic2	2	6	3e-04	0	0.5
Dhc64C	Dlic2	2	6	0	0	0.5
Not1	Dlic2	2	6	0	0	0.5
CG9520	Dlic2	2	6	9e-04	0	0.5
bib	Dlic2	2	6	0	0	0.5
mib1	Dlic2	2	6	0	0	0.5
cas	Dlic2	2	6	0	0	0.5
Abi	Dlic2	2	6	1e-04	0	0.5
betaTub56D	Dlic2	2	6	0	0	0.5
nej	Dlic2	2	6	0	0	0.5
dlg1	Dlic2	2	6	0	0	0.5
Lcp65Ag1	Dlic2	2	6	2e-04	0	0.5
Es2	Dlic2	2	6	6e-04	0	0.5
MED24	Dlic2	2	6	1e-04	0	0.5
Vhl	Dlic2	2	6	0	0	0.5
tral	Dlic2	2	6	0	0	0.5
sns	Dlic2	2	6	3e-04	0	0.5
mbl	Dlic2	2	6	0	0	0.5
sav	Dlic2	2	6	0	0	0.5
lola	Dlic2	2	6	0	0	0.5
robo	Dlic2	2	6	0	0	0.5
CG32486	Dlic2	2	6	0.0011	0	0.5
santa.maria	Dlic2	2	6	3e-04	0	0.5
stumps	Dlic2	2	6	0	0	0.5
abd.A	Dlic2	2	6	4e-04	0	0.5
dock	Dlic2	2	6	0	0	0.5
Lar	Dlic2	2	6	2e-04	0	0.5
l.1.G0289	Dlic2	2	6	0	0	0.5
Abl	Dlic2	2	6	4e-04	0	0.5
Syb	Dlic2	2	6	0	0	0.5
dome	Dlic2	2	6	0	0	0.5
ofs	Dlic2	2	6	2e-04	0	0.5
MED4	Dlic2	2	6	1e-04	0	0.5
scrib	Dlic2	2	6	0	0	0.5
siz	Dlic2	2	6	0	0	0.5
cbx	Dlic2	2	6	0	0	0.5
dsx	Dlic2	2	6	0	0	0.5
Sb	Dlic2	2	6	1e-04	0	0.5
