Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dscam	2	6	0	0	0.5
emp	Dscam	2	6	3e-04	0	0.5
CG2678	Dscam	2	6	0	0	0.5
crc	Dscam	2	6	0	0	0.5
pros	Dscam	2	6	0	0	0.5
neur	Dscam	2	6	9e-04	0	0.5
Rab5	Dscam	2	6	0	0	0.5
Rab7	Dscam	2	6	0	0	0.5
Mmp2	Dscam	2	6	0	0	0.5
W	Dscam	2	6	4e-04	0	0.5
bowl	Dscam	2	6	3e-04	0	0.5
fd59A	Dscam	2	6	0	0	0.5
e	Dscam	2	6	2e-04	0	0.5
ben	Dscam	2	6	0	0	0.5
rdo	Dscam	2	6	0	0	0.5
lin	Dscam	2	6	0	0	0.5
tra	Dscam	2	6	0	0	0.5
tra2	Dscam	2	6	2e-04	0	0.5
cathD	Dscam	2	6	0	0	0.5
d	Dscam	2	6	0	0	0.5
lva	Dscam	2	6	0	0	0.5
pbl	Dscam	2	6	0	0	0.5
CG33205	Dscam	2	6	0	0	0.5
da	Dscam	2	6	0	0	0.5
cactin	Dscam	2	6	0	0	0.5
hpo	Dscam	2	6	0	0	0.5
Sema.2a	Dscam	2	6	0	0	0.5
Eip74EF	Dscam	2	6	0	0	0.5
eg	Dscam	2	6	0	0	0.5
Arc42	Dscam	2	6	0.0011	0	0.5
toy	Dscam	2	6	3e-04	0	0.5
Galpha73B	Dscam	2	6	1e-04	0	0.5
RhoGAPp190	Dscam	2	6	0	0	0.5
MED11	Dscam	2	6	0	0	0.5
cher	Dscam	2	6	3e-04	0	0.5
BicD	Dscam	2	6	0	0	0.5
MYPT.75D	Dscam	2	6	0	0	0.5
mus304	Dscam	2	6	0	0	0.5
CdsA	Dscam	2	6	1e-04	0	0.5
btl	Dscam	2	6	6e-04	0	0.5
Cyt.c.d	Dscam	2	6	1e-04	0	0.5
tok	Dscam	2	6	1e-04	0	0.5
ttk	Dscam	2	6	6e-04	0	0.5
tamo	Dscam	2	6	0	0	0.5
CG6416	Dscam	2	6	1e-04	0	0.5
flfl	Dscam	2	6	0	0	0.5
Pvr	Dscam	2	6	0	0	0.5
kay	Dscam	2	6	0	0	0.5
Jra	Dscam	2	6	0	0	0.5
msk	Dscam	2	6	0	0	0.5
tll	Dscam	2	6	0	0	0.5
Tm1	Dscam	2	6	0	0	0.5
srp	Dscam	2	6	1e-04	0	0.5
Btk29A	Dscam	2	6	4e-04	0	0.5
fred	Dscam	2	6	0	0	0.5
Src64B	Dscam	2	6	0	0	0.5
Mmp1	Dscam	2	6	0	0	0.5
sll	Dscam	2	6	2e-04	0	0.5
Hmgs	Dscam	2	6	2e-04	0	0.5
caps	Dscam	2	6	0	0	0.5
Su.var.2.10	Dscam	2	6	0	0	0.5
CycB	Dscam	2	6	0	0	0.5
spir	Dscam	2	6	0	0	0.5
spn.A	Dscam	2	6	0	0	0.5
Ptpmeg	Dscam	2	6	0	0	0.5
qua	Dscam	2	6	0	0	0.5
