Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Dys	2	6	0.0016	0	0.5
emp	Dys	2	6	6e-04	0	0.5
CG2678	Dys	2	6	0.005	0	0.5
crc	Dys	2	6	2e-04	0	0.5
pros	Dys	2	6	2e-04	0	0.5
neur	Dys	2	6	0.0012	0	0.5
Rab5	Dys	2	6	0	0	0.5
Rab7	Dys	2	6	0.0107	0	0.5
Mmp2	Dys	2	6	6e-04	0	0.5
W	Dys	2	6	0.0034	0	0.5
bowl	Dys	2	6	0.0018	0	0.5
fd59A	Dys	2	6	6e-04	0	0.5
e	Dys	2	6	3e-04	0	0.5
ben	Dys	2	6	6e-04	0	0.5
rdo	Dys	2	6	0.0072	0	0.5
lin	Dys	2	6	6e-04	0	0.5
tra	Dys	2	6	8e-04	0	0.5
tra2	Dys	2	6	0.0014	0	0.5
cathD	Dys	2	6	0	0	0.5
d	Dys	2	6	0.0037	0	0.5
lva	Dys	2	6	0.0127	0	0.5
pbl	Dys	2	6	1e-04	0	0.5
CG33205	Dys	2	6	0.002	0	0.5
da	Dys	2	6	9e-04	0	0.5
cactin	Dys	2	6	1e-04	0	0.5
hpo	Dys	2	6	0.001	0	0.5
Sema.2a	Dys	2	6	0.0143	0	0.5
Eip74EF	Dys	2	6	2e-04	0	0.5
eg	Dys	2	6	2e-04	0	0.5
Arc42	Dys	2	6	0.0085	0	0.5
toy	Dys	2	6	9e-04	0	0.5
Galpha73B	Dys	2	6	0.0014	0	0.5
RhoGAPp190	Dys	2	6	0.0028	0	0.5
MED11	Dys	2	6	4e-04	0	0.5
cher	Dys	2	6	0.006	0	0.5
BicD	Dys	2	6	0	0	0.5
MYPT.75D	Dys	2	6	5e-04	0	0.5
mus304	Dys	2	6	2e-04	0	0.5
CdsA	Dys	2	6	2e-04	0	0.5
btl	Dys	2	6	4e-04	0	0.5
Cyt.c.d	Dys	2	6	6e-04	0	0.5
tok	Dys	2	6	0.0011	0	0.5
ttk	Dys	2	6	0.0021	0	0.5
tamo	Dys	2	6	6e-04	0	0.5
CG6416	Dys	2	6	2e-04	0	0.5
flfl	Dys	2	6	4e-04	0	0.5
Pvr	Dys	2	6	0.0018	0	0.5
kay	Dys	2	6	0.0021	0	0.5
Jra	Dys	2	6	0.0011	0	0.5
msk	Dys	2	6	8e-04	0	0.5
tll	Dys	2	6	0	0	0.5
Tm1	Dys	2	6	6e-04	0	0.5
srp	Dys	2	6	0.0015	0	0.5
Btk29A	Dys	2	6	0.001	0	0.5
fred	Dys	2	6	6e-04	0	0.5
Src64B	Dys	2	6	0.0016	0	0.5
Mmp1	Dys	2	6	8e-04	0	0.5
sll	Dys	2	6	2e-04	0	0.5
Hmgs	Dys	2	6	4e-04	0	0.5
caps	Dys	2	6	8e-04	0	0.5
Su.var.2.10	Dys	2	6	0.0017	0	0.5
CycB	Dys	2	6	0.0014	0	0.5
spir	Dys	2	6	4e-04	0	0.5
spn.A	Dys	2	6	2e-04	0	0.5
Ptpmeg	Dys	2	6	0.0013	0	0.5
qua	Dys	2	6	0.001	0	0.5
msn	Dys	2	6	0.0012	0	0.5
ena	Dys	2	6	0.0014	0	0.5
spen	Dys	2	6	8e-04	0	0.5
emc	Dys	2	6	3e-04	0	0.5
tsh	Dys	2	6	5e-04	0	0.5
Dat	Dys	2	6	0	0	0.5
Lac	Dys	2	6	3e-04	0	0.5
dup	Dys	2	6	0.0025	0	0.5
CG3075	Dys	2	6	0.0013	0	0.5
Akap200	Dys	2	6	0.0126	0	0.5
CG18369	Dys	2	6	0.0029	0	0.5
bnl	Dys	2	6	2e-04	0	0.5
sec23	Dys	2	6	0.0063	0	0.5
Pde8	Dys	2	6	4e-04	0	0.5
Arp66B	Dys	2	6	4e-04	0	0.5
cos	Dys	2	6	5e-04	0	0.5
Borr	Dys	2	6	0.0033	0	0.5
X140up	Dys	2	6	1e-04	0	0.5
Dhc64C	Dys	2	6	0.0016	0	0.5
Not1	Dys	2	6	6e-04	0	0.5
CG9520	Dys	2	6	4e-04	0	0.5
bib	Dys	2	6	9e-04	0	0.5
mib1	Dys	2	6	0.0025	0	0.5
cas	Dys	2	6	0.001	0	0.5
Abi	Dys	2	6	2e-04	0	0.5
betaTub56D	Dys	2	6	3e-04	0	0.5
nej	Dys	2	6	0.0019	0	0.5
dlg1	Dys	2	6	6e-04	0	0.5
Lcp65Ag1	Dys	2	6	0.0015	0	0.5
Es2	Dys	2	6	4e-04	0	0.5
MED24	Dys	2	6	0.0022	0	0.5
Vhl	Dys	2	6	0	0	0.5
tral	Dys	2	6	0.0021	0	0.5
sns	Dys	2	6	3e-04	0	0.5
mbl	Dys	2	6	0.0222	0	0.5
sav	Dys	2	6	0.0054	0	0.5
lola	Dys	2	6	0.0036	0	0.5
robo	Dys	2	6	0.0014	0	0.5
CG32486	Dys	2	6	1e-04	0	0.5
santa.maria	Dys	2	6	0.0035	0	0.5
stumps	Dys	2	6	8e-04	0	0.5
abd.A	Dys	2	6	0.0044	0	0.5
dock	Dys	2	6	0.0018	0	0.5
Lar	Dys	2	6	7e-04	0	0.5
l.1.G0289	Dys	2	6	0.0015	0	0.5
Abl	Dys	2	6	8e-04	0	0.5
Syb	Dys	2	6	8e-04	0	0.5
dome	Dys	2	6	6e-04	0	0.5
ofs	Dys	2	6	5e-04	0	0.5
MED4	Dys	2	6	0.0015	0	0.5
scrib	Dys	2	6	0.0023	0	0.5
siz	Dys	2	6	0	0	0.5
cbx	Dys	2	6	0.001	0	0.5
dsx	Dys	2	6	0.0012	0	0.5
Sb	Dys	2	6	4e-04	0	0.5
sax	Dys	2	6	0.0018	0	0.5
foxo	Dys	2	6	9e-04	0	0.5
Cyp1	Dys	2	6	9e-04	0	0.5
brm	Dys	2	6	0.0016	0	0.5
rad50	Dys	2	6	0.0016	0	0.5
chico	Dys	2	6	0	0	0.5
cp309	Dys	2	6	7e-04	0	0.5
hdc	Dys	2	6	9e-04	0	0.5
Axn	Dys	2	6	8e-04	0	0.5
Apc2	Dys	2	6	0.001	0	0.5
PhKgamma	Dys	2	6	1e-04	0	0.5
eya	Dys	2	6	2e-04	0	0.5
sktl	Dys	2	6	5e-04	0	0.5
sqd	Dys	2	6	8e-04	0	0.5
Akt1	Dys	2	6	4e-04	0	0.5
scyl	Dys	2	6	3e-04	0	0.5
cnk	Dys	2	6	0.0013	0	0.5
CG8149	Dys	2	6	8e-04	0	0.5
CG34379	Dys	2	6	1e-04	0	0.5
Yp1	Dys	2	6	5e-04	0	0.5
yrt	Dys	2	6	0.0028	0	0.5
bap	Dys	2	6	8e-04	0	0.5
tud	Dys	2	6	0	0	0.5
ct	Dys	2	6	0.001	0	0.5
tup	Dys	2	6	0.0015	0	0.5
G.ialpha65A	Dys	2	6	5e-04	0	0.5
knrl	Dys	2	6	1e-04	0	0.5
Pkn	Dys	2	6	0.0019	0	0.5
Sry.delta	Dys	2	6	8e-04	0	0.5
Alh	Dys	2	6	0.0013	0	0.5
pnut	Dys	2	6	0.0012	0	0.5
phyl	Dys	2	6	0	0	0.5
CG17739	Dys	2	6	4e-04	0	0.5
B4	Dys	2	6	0.0079	0	0.5
CG2681	Dys	2	6	0.0047	0	0.5
tow	Dys	2	6	0.0026	0	0.5
hkl	Dys	2	6	2e-04	0	0.5
sina	Dys	2	6	0.0018	0	0.5
ry	Dys	2	6	0	0	0.5
rux	Dys	2	6	0.0015	0	0.5
boss	Dys	2	6	0.001	0	0.5
Mkp3	Dys	2	6	0.0015	0	0.5
inaC	Dys	2	6	0.0014	0	0.5
sno	Dys	2	6	0.0017	0	0.5
jagn	Dys	2	6	0.0015	0	0.5
dpn	Dys	2	6	0.0022	0	0.5
wrapper	Dys	2	6	0.0036	0	0.5
Ca.alpha1D	Dys	2	6	0.001	0	0.5
E2f	Dys	2	6	0.0014	0	0.5
Dp	Dys	2	6	6e-04	0	0.5
l.2.efl	Dys	2	6	1e-04	0	0.5
cnc	Dys	2	6	0.0013	0	0.5
Atg5	Dys	2	6	0.0012	0	0.5
acj6	Dys	2	6	0.0017	0	0.5
Trl	Dys	2	6	4e-04	0	0.5
d4	Dys	2	6	6e-04	0	0.5
CG16719	Dys	2	6	0.0012	0	0.5
CadN	Dys	2	6	0.0013	0	0.5
gro	Dys	2	6	0.0015	0	0.5
sec13	Dys	2	6	0.0014	0	0.5
klar	Dys	2	6	4e-04	0	0.5
Rack1	Dys	2	6	3e-04	0	0.5
Sobp	Dys	2	6	0.0032	0	0.5
ash1	Dys	2	6	0.0011	0	0.5
inv	Dys	2	6	1e-04	0	0.5
shot	Dys	2	6	1e-04	0	0.5
Oseg1	Dys	2	6	6e-04	0	0.5
Spred	Dys	2	6	0.001	0	0.5
puc	Dys	2	6	0.0074	0	0.5
Atg6	Dys	2	6	0.0013	0	0.5
CG3829	Dys	2	6	0.0066	0	0.5
sle	Dys	2	6	8e-04	0	0.5
Cka	Dys	2	6	3e-04	0	0.5
form3	Dys	2	6	0.0015	0	0.5
Pk61C	Dys	2	6	5e-04	0	0.5
Pcaf	Dys	2	6	6e-04	0	0.5
sbb	Dys	2	6	0	0	0.5
Ef1gamma	Dys	2	6	0.0023	0	0.5
FKBP59	Dys	2	6	2e-04	0	0.5
Eip71CD	Dys	2	6	8e-04	0	0.5
xmas.2	Dys	2	6	0.0128	0	0.5
ppan	Dys	2	6	0.005	0	0.5
Iswi	Dys	2	6	7e-04	0	0.5
ine	Dys	2	6	7e-04	0	0.5
Tina.1	Dys	2	6	0.001	0	0.5
bon	Dys	2	6	1e-04	0	0.5
pot	Dys	2	6	0.0081	0	0.5
chic	Dys	2	6	4e-04	0	0.5
Hem	Dys	2	6	2e-04	0	0.5
chif	Dys	2	6	1e-04	0	0.5
S6kII	Dys	2	6	6e-04	0	0.5
wal	Dys	2	6	9e-04	0	0.5
wls	Dys	2	6	5e-04	0	0.5
Ddx1	Dys	2	6	7e-04	0	0.5
Sulf1	Dys	2	6	4e-04	0	0.5
CG3987	Dys	2	6	5e-04	0	0.5
Abd.B	Dys	2	6	7e-04	0	0.5
Uba1	Dys	2	6	0.001	0	0.5
bigmax	Dys	2	6	0.001	0	0.5
NAT1	Dys	2	6	0.0017	0	0.5
wupA	Dys	2	6	3e-04	0	0.5
Vps28	Dys	2	6	4e-04	0	0.5
G.oalpha47A	Dys	2	6	3e-04	0	0.5
G.salpha60A	Dys	2	6	1e-04	0	0.5
dsf	Dys	2	6	6e-04	0	0.5
Khc	Dys	2	6	0.0026	0	0.5
CG10641	Dys	2	6	2e-04	0	0.5
Alk	Dys	2	6	2e-04	0	0.5
ey	Dys	2	6	0	0	0.5
noc	Dys	2	6	4e-04	0	0.5
ix	Dys	2	6	5e-04	0	0.5
Optix	Dys	2	6	7e-04	0	0.5
sdt	Dys	2	6	8e-04	0	0.5
Sxl	Dys	2	6	4e-04	0	0.5
rib	Dys	2	6	1e-04	0	0.5
sas	Dys	2	6	9e-04	0	0.5
Scgdelta	Dys	2	6	0.001	0	0.5
sw	Dys	2	6	0.0074	0	0.5
fal	Dys	2	6	0.0013	0	0.5
ea	Dys	2	6	1e-04	0	0.5
Ice	Dys	2	6	0.0011	0	0.5
cic	Dys	2	6	2e-04	0	0.5
Dok	Dys	2	6	8e-04	0	0.5
rhea	Dys	2	6	0.0015	0	0.5
Glycogenin	Dys	2	6	6e-04	0	0.5
cin	Dys	2	6	0.016	0	0.5
chp	Dys	2	6	6e-04	0	0.5
Dlic2	Dys	2	6	8e-04	0	0.5
