Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	E.bx.	2	6	3e-04	0	0.5
emp	E.bx.	2	6	0.0016	0	0.5
CG2678	E.bx.	2	6	0	0	0.5
crc	E.bx.	2	6	0	0	0.5
pros	E.bx.	2	6	9e-04	0	0.5
neur	E.bx.	2	6	0	0	0.5
Rab5	E.bx.	2	6	0	0	0.5
Rab7	E.bx.	2	6	1e-04	0	0.5
Mmp2	E.bx.	2	6	0	0	0.5
W	E.bx.	2	6	9e-04	0	0.5
bowl	E.bx.	2	6	3e-04	0	0.5
fd59A	E.bx.	2	6	0	0	0.5
e	E.bx.	2	6	4e-04	0	0.5
ben	E.bx.	2	6	0	0	0.5
rdo	E.bx.	2	6	1e-04	0	0.5
lin	E.bx.	2	6	0	0	0.5
tra	E.bx.	2	6	5e-04	0	0.5
tra2	E.bx.	2	6	3e-04	0	0.5
cathD	E.bx.	2	6	4e-04	0	0.5
d	E.bx.	2	6	3e-04	0	0.5
lva	E.bx.	2	6	0	0	0.5
pbl	E.bx.	2	6	0	0	0.5
CG33205	E.bx.	2	6	0.0014	0	0.5
da	E.bx.	2	6	9e-04	0	0.5
cactin	E.bx.	2	6	0	0	0.5
hpo	E.bx.	2	6	6e-04	0	0.5
Sema.2a	E.bx.	2	6	0	0	0.5
Eip74EF	E.bx.	2	6	0	0	0.5
eg	E.bx.	2	6	3e-04	0	0.5
Arc42	E.bx.	2	6	0	0	0.5
toy	E.bx.	2	6	8e-04	0	0.5
Galpha73B	E.bx.	2	6	1e-04	0	0.5
RhoGAPp190	E.bx.	2	6	0	0	0.5
MED11	E.bx.	2	6	1e-04	0	0.5
cher	E.bx.	2	6	1e-04	0	0.5
BicD	E.bx.	2	6	4e-04	0	0.5
MYPT.75D	E.bx.	2	6	0	0	0.5
mus304	E.bx.	2	6	0	0	0.5
CdsA	E.bx.	2	6	1e-04	0	0.5
btl	E.bx.	2	6	1e-04	0	0.5
Cyt.c.d	E.bx.	2	6	1e-04	0	0.5
tok	E.bx.	2	6	6e-04	0	0.5
ttk	E.bx.	2	6	0	0	0.5
tamo	E.bx.	2	6	6e-04	0	0.5
CG6416	E.bx.	2	6	5e-04	0	0.5
flfl	E.bx.	2	6	0.0016	0	0.5
Pvr	E.bx.	2	6	0	0	0.5
kay	E.bx.	2	6	6e-04	0	0.5
Jra	E.bx.	2	6	9e-04	0	0.5
msk	E.bx.	2	6	9e-04	0	0.5
tll	E.bx.	2	6	1e-04	0	0.5
Tm1	E.bx.	2	6	4e-04	0	0.5
srp	E.bx.	2	6	0	0	0.5
Btk29A	E.bx.	2	6	0.0012	0	0.5
fred	E.bx.	2	6	3e-04	0	0.5
Src64B	E.bx.	2	6	2e-04	0	0.5
Mmp1	E.bx.	2	6	6e-04	0	0.5
sll	E.bx.	2	6	0	0	0.5
Hmgs	E.bx.	2	6	4e-04	0	0.5
caps	E.bx.	2	6	4e-04	0	0.5
Su.var.2.10	E.bx.	2	6	0.009	0	0.5
CycB	E.bx.	2	6	0.0029	0	0.5
spir	E.bx.	2	6	0.001	0	0.5
spn.A	E.bx.	2	6	1e-04	0	0.5
Ptpmeg	E.bx.	2	6	0.0026	0	0.5
qua	E.bx.	2	6	2e-04	0	0.5
msn	E.bx.	2	6	0.0042	0	0.5
ena	E.bx.	2	6	0.002	0	0.5
spen	E.bx.	2	6	3e-04	0	0.5
emc	E.bx.	2	6	8e-04	0	0.5
tsh	E.bx.	2	6	4e-04	0	0.5
Dat	E.bx.	2	6	0.0075	0	0.5
Lac	E.bx.	2	6	0	0	0.5
dup	E.bx.	2	6	9e-04	0	0.5
CG3075	E.bx.	2	6	9e-04	0	0.5
Akap200	E.bx.	2	6	1e-04	0	0.5
CG18369	E.bx.	2	6	0	0	0.5
bnl	E.bx.	2	6	2e-04	0	0.5
sec23	E.bx.	2	6	0.004	0	0.5
Pde8	E.bx.	2	6	0	0	0.5
Arp66B	E.bx.	2	6	0	0	0.5
cos	E.bx.	2	6	0	0	0.5
Borr	E.bx.	2	6	0.0013	0	0.5
X140up	E.bx.	2	6	1e-04	0	0.5
Dhc64C	E.bx.	2	6	1e-04	0	0.5
Not1	E.bx.	2	6	0.0023	0	0.5
CG9520	E.bx.	2	6	3e-04	0	0.5
bib	E.bx.	2	6	2e-04	0	0.5
mib1	E.bx.	2	6	1e-04	0	0.5
cas	E.bx.	2	6	7e-04	0	0.5
Abi	E.bx.	2	6	6e-04	0	0.5
betaTub56D	E.bx.	2	6	5e-04	0	0.5
nej	E.bx.	2	6	2e-04	0	0.5
dlg1	E.bx.	2	6	0	0	0.5
Lcp65Ag1	E.bx.	2	6	0.0016	0	0.5
Es2	E.bx.	2	6	1e-04	0	0.5
MED24	E.bx.	2	6	9e-04	0	0.5
Vhl	E.bx.	2	6	0	0	0.5
tral	E.bx.	2	6	5e-04	0	0.5
sns	E.bx.	2	6	8e-04	0	0.5
mbl	E.bx.	2	6	1e-04	0	0.5
sav	E.bx.	2	6	0	0	0.5
lola	E.bx.	2	6	4e-04	0	0.5
robo	E.bx.	2	6	0	0	0.5
CG32486	E.bx.	2	6	7e-04	0	0.5
santa.maria	E.bx.	2	6	3e-04	0	0.5
stumps	E.bx.	2	6	9e-04	0	0.5
abd.A	E.bx.	2	6	4e-04	0	0.5
dock	E.bx.	2	6	4e-04	0	0.5
Lar	E.bx.	2	6	0	0	0.5
l.1.G0289	E.bx.	2	6	3e-04	0	0.5
Abl	E.bx.	2	6	0	0	0.5
Syb	E.bx.	2	6	0	0	0.5
dome	E.bx.	2	6	0	0	0.5
ofs	E.bx.	2	6	6e-04	0	0.5
MED4	E.bx.	2	6	1e-04	0	0.5
scrib	E.bx.	2	6	0	0	0.5
siz	E.bx.	2	6	0	0	0.5
cbx	E.bx.	2	6	0	0	0.5
dsx	E.bx.	2	6	0.0058	0	0.5
Sb	E.bx.	2	6	4e-04	0	0.5
sax	E.bx.	2	6	0	0	0.5
foxo	E.bx.	2	6	2e-04	0	0.5
Cyp1	E.bx.	2	6	0	0	0.5
brm	E.bx.	2	6	5e-04	0	0.5
rad50	E.bx.	2	6	0	0	0.5
chico	E.bx.	2	6	6e-04	0	0.5
cp309	E.bx.	2	6	0	0	0.5
hdc	E.bx.	2	6	5e-04	0	0.5
Axn	E.bx.	2	6	3e-04	0	0.5
Apc2	E.bx.	2	6	1e-04	0	0.5
PhKgamma	E.bx.	2	6	0	0	0.5
eya	E.bx.	2	6	6e-04	0	0.5
sktl	E.bx.	2	6	0.001	0	0.5
sqd	E.bx.	2	6	0.023	0	0.5
Akt1	E.bx.	2	6	4e-04	0	0.5
scyl	E.bx.	2	6	0	0	0.5
cnk	E.bx.	2	6	2e-04	0	0.5
CG8149	E.bx.	2	6	0	0	0.5
CG34379	E.bx.	2	6	0	0	0.5
Yp1	E.bx.	2	6	3e-04	0	0.5
yrt	E.bx.	2	6	1e-04	0	0.5
bap	E.bx.	2	6	6e-04	0	0.5
tud	E.bx.	2	6	2e-04	0	0.5
ct	E.bx.	2	6	0.0011	0	0.5
tup	E.bx.	2	6	0	0	0.5
G.ialpha65A	E.bx.	2	6	3e-04	0	0.5
knrl	E.bx.	2	6	0	0	0.5
Pkn	E.bx.	2	6	2e-04	0	0.5
Sry.delta	E.bx.	2	6	0.0028	0	0.5
Alh	E.bx.	2	6	3e-04	0	0.5
pnut	E.bx.	2	6	8e-04	0	0.5
phyl	E.bx.	2	6	1e-04	0	0.5
CG17739	E.bx.	2	6	2e-04	0	0.5
B4	E.bx.	2	6	0.0011	0	0.5
CG2681	E.bx.	2	6	0.0011	0	0.5
tow	E.bx.	2	6	0	0	0.5
hkl	E.bx.	2	6	1e-04	0	0.5
sina	E.bx.	2	6	0.0024	0	0.5
ry	E.bx.	2	6	9e-04	0	0.5
rux	E.bx.	2	6	0	0	0.5
boss	E.bx.	2	6	1e-04	0	0.5
Mkp3	E.bx.	2	6	0	0	0.5
inaC	E.bx.	2	6	1e-04	0	0.5
sno	E.bx.	2	6	0.001	0	0.5
jagn	E.bx.	2	6	2e-04	0	0.5
dpn	E.bx.	2	6	0	0	0.5
wrapper	E.bx.	2	6	0	0	0.5
Ca.alpha1D	E.bx.	2	6	5e-04	0	0.5
E2f	E.bx.	2	6	1e-04	0	0.5
Dp	E.bx.	2	6	0.0923	0	0.5
l.2.efl	E.bx.	2	6	7e-04	0	0.5
cnc	E.bx.	2	6	0.006	0	0.5
Atg5	E.bx.	2	6	1e-04	0	0.5
acj6	E.bx.	2	6	7e-04	0	0.5
Trl	E.bx.	2	6	1e-04	0	0.5
d4	E.bx.	2	6	3e-04	0	0.5
CG16719	E.bx.	2	6	4e-04	0	0.5
CadN	E.bx.	2	6	0	0	0.5
gro	E.bx.	2	6	4e-04	0	0.5
sec13	E.bx.	2	6	1e-04	0	0.5
klar	E.bx.	2	6	8e-04	0	0.5
Rack1	E.bx.	2	6	3e-04	0	0.5
Sobp	E.bx.	2	6	0	0	0.5
ash1	E.bx.	2	6	6e-04	0	0.5
inv	E.bx.	2	6	1e-04	0	0.5
shot	E.bx.	2	6	3e-04	0	0.5
Oseg1	E.bx.	2	6	2e-04	0	0.5
Spred	E.bx.	2	6	9e-04	0	0.5
puc	E.bx.	2	6	2e-04	0	0.5
Atg6	E.bx.	2	6	1e-04	0	0.5
CG3829	E.bx.	2	6	4e-04	0	0.5
sle	E.bx.	2	6	0	0	0.5
Cka	E.bx.	2	6	8e-04	0	0.5
form3	E.bx.	2	6	8e-04	0	0.5
Pk61C	E.bx.	2	6	3e-04	0	0.5
Pcaf	E.bx.	2	6	0.0012	0	0.5
sbb	E.bx.	2	6	0	0	0.5
Ef1gamma	E.bx.	2	6	0	0	0.5
FKBP59	E.bx.	2	6	0	0	0.5
Eip71CD	E.bx.	2	6	1e-04	0	0.5
xmas.2	E.bx.	2	6	0	0	0.5
ppan	E.bx.	2	6	2e-04	0	0.5
Iswi	E.bx.	2	6	2e-04	0	0.5
ine	E.bx.	2	6	3e-04	0	0.5
Tina.1	E.bx.	2	6	7e-04	0	0.5
bon	E.bx.	2	6	3e-04	0	0.5
pot	E.bx.	2	6	4e-04	0	0.5
chic	E.bx.	2	6	3e-04	0	0.5
Hem	E.bx.	2	6	0	0	0.5
chif	E.bx.	2	6	6e-04	0	0.5
S6kII	E.bx.	2	6	0.0072	0	0.5
wal	E.bx.	2	6	8e-04	0	0.5
wls	E.bx.	2	6	0.0032	0	0.5
Ddx1	E.bx.	2	6	8e-04	0	0.5
Sulf1	E.bx.	2	6	2e-04	0	0.5
CG3987	E.bx.	2	6	0	0	0.5
Abd.B	E.bx.	2	6	0	0	0.5
Uba1	E.bx.	2	6	0	0	0.5
bigmax	E.bx.	2	6	8e-04	0	0.5
NAT1	E.bx.	2	6	1e-04	0	0.5
wupA	E.bx.	2	6	0.001	0	0.5
Vps28	E.bx.	2	6	1e-04	0	0.5
G.oalpha47A	E.bx.	2	6	1e-04	0	0.5
G.salpha60A	E.bx.	2	6	0	0	0.5
dsf	E.bx.	2	6	0	0	0.5
Khc	E.bx.	2	6	2e-04	0	0.5
CG10641	E.bx.	2	6	4e-04	0	0.5
Alk	E.bx.	2	6	8e-04	0	0.5
ey	E.bx.	2	6	8e-04	0	0.5
noc	E.bx.	2	6	7e-04	0	0.5
ix	E.bx.	2	6	0	0	0.5
Optix	E.bx.	2	6	0	0	0.5
sdt	E.bx.	2	6	0	0	0.5
Sxl	E.bx.	2	6	4e-04	0	0.5
rib	E.bx.	2	6	5e-04	0	0.5
sas	E.bx.	2	6	8e-04	0	0.5
Scgdelta	E.bx.	2	6	1e-04	0	0.5
sw	E.bx.	2	6	1e-04	0	0.5
fal	E.bx.	2	6	0	0	0.5
ea	E.bx.	2	6	0	0	0.5
Ice	E.bx.	2	6	0.0011	0	0.5
cic	E.bx.	2	6	0	0	0.5
Dok	E.bx.	2	6	0.0091	0	0.5
rhea	E.bx.	2	6	5e-04	0	0.5
Glycogenin	E.bx.	2	6	0.0012	0	0.5
cin	E.bx.	2	6	0.0011	0	0.5
chp	E.bx.	2	6	0	0	0.5
Dlic2	E.bx.	2	6	0.0011	0	0.5
Pk92B	E.bx.	2	6	7e-04	0	0.5
Pak	E.bx.	2	6	0	0	0.5
Lim1	E.bx.	2	6	0.0017	0	0.5
CG34450	E.bx.	2	6	0	0	0.5
Su.H.	E.bx.	2	6	0	0	0.5
CG12301	E.bx.	2	6	0	0	0.5
lilli	E.bx.	2	6	7e-04	0	0.5
toe	E.bx.	2	6	0	0	0.5
qkr58E.3	E.bx.	2	6	0	0	0.5
up	E.bx.	2	6	0.001	0	0.5
hep	E.bx.	2	6	0	0	0.5
Dap160	E.bx.	2	6	1e-04	0	0.5
l.2.gd1	E.bx.	2	6	0.0017	0	0.5
hkb	E.bx.	2	6	0	0	0.5
beta4GalNAcTA	E.bx.	2	6	1e-04	0	0.5
Mer	E.bx.	2	6	0.0012	0	0.5
Mtl	E.bx.	2	6	9e-04	0	0.5
spin	E.bx.	2	6	1e-04	0	0.5
mfas	E.bx.	2	6	3e-04	0	0.5
frc	E.bx.	2	6	3e-04	0	0.5
Krn	E.bx.	2	6	9e-04	0	0.5
mam	E.bx.	2	6	0	0	0.5
brk	E.bx.	2	6	0	0	0.5
Ark	E.bx.	2	6	3e-04	0	0.5
mmy	E.bx.	2	6	0	0	0.5
mri	E.bx.	2	6	8e-04	0	0.5
Crk	E.bx.	2	6	1e-04	0	0.5
ssh	E.bx.	2	6	1e-04	0	0.5
fs.1.K10	E.bx.	2	6	0.0942	0	0.5
Psn	E.bx.	2	6	3e-04	0	0.5
CG9509	E.bx.	2	6	0.0018	0	0.5
CkIIalpha	E.bx.	2	6	3e-04	0	0.5
car	E.bx.	2	6	0	0	0.5
capu	E.bx.	2	6	2e-04	0	0.5
cact	E.bx.	2	6	5e-04	0	0.5
Patj	E.bx.	2	6	0	0	0.5
dpp	E.bx.	2	6	5e-04	0	0.5
xl6	E.bx.	2	6	0	0	0.5
dally	E.bx.	2	6	0.001	0	0.5
Pi3K92E	E.bx.	2	6	0	0	0.5
E.bx.	E.bx.	2	6	0	0	0.5
emb	E.bx.	2	6	8e-04	0	0.5
CtBP	E.bx.	2	6	2e-04	0	0.5
Dad	E.bx.	2	6	4e-04	0	0.5
