Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	E2f	2	6	0	0	0.5
emp	E2f	2	6	1e-04	0	0.5
CG2678	E2f	2	6	0	0	0.5
crc	E2f	2	6	0	0	0.5
pros	E2f	2	6	0	0	0.5
neur	E2f	2	6	0	0	0.5
Rab5	E2f	2	6	0	0	0.5
Rab7	E2f	2	6	0	0	0.5
Mmp2	E2f	2	6	5e-04	0	0.5
W	E2f	2	6	0	0	0.5
bowl	E2f	2	6	0	0	0.5
fd59A	E2f	2	6	0	0	0.5
e	E2f	2	6	0	0	0.5
ben	E2f	2	6	1e-04	0	0.5
rdo	E2f	2	6	2e-04	0	0.5
lin	E2f	2	6	3e-04	0	0.5
tra	E2f	2	6	5e-04	0	0.5
tra2	E2f	2	6	0	0	0.5
cathD	E2f	2	6	0	0	0.5
d	E2f	2	6	0	0	0.5
lva	E2f	2	6	0	0	0.5
pbl	E2f	2	6	2e-04	0	0.5
CG33205	E2f	2	6	2e-04	0	0.5
da	E2f	2	6	0	0	0.5
cactin	E2f	2	6	0	0	0.5
hpo	E2f	2	6	0	0	0.5
Sema.2a	E2f	2	6	0	0	0.5
Eip74EF	E2f	2	6	1e-04	0	0.5
eg	E2f	2	6	0	0	0.5
Arc42	E2f	2	6	0	0	0.5
toy	E2f	2	6	0	0	0.5
Galpha73B	E2f	2	6	2e-04	0	0.5
RhoGAPp190	E2f	2	6	2e-04	0	0.5
MED11	E2f	2	6	0	0	0.5
cher	E2f	2	6	0	0	0.5
BicD	E2f	2	6	0	0	0.5
MYPT.75D	E2f	2	6	0	0	0.5
mus304	E2f	2	6	3e-04	0	0.5
CdsA	E2f	2	6	1e-04	0	0.5
btl	E2f	2	6	0	0	0.5
Cyt.c.d	E2f	2	6	0	0	0.5
tok	E2f	2	6	0	0	0.5
ttk	E2f	2	6	1e-04	0	0.5
tamo	E2f	2	6	1e-04	0	0.5
CG6416	E2f	2	6	0	0	0.5
flfl	E2f	2	6	5e-04	0	0.5
Pvr	E2f	2	6	0	0	0.5
kay	E2f	2	6	0	0	0.5
Jra	E2f	2	6	0	0	0.5
msk	E2f	2	6	0	0	0.5
tll	E2f	2	6	0	0	0.5
Tm1	E2f	2	6	0	0	0.5
