Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Eip63E	2	6	1e-04	0	0.5
emp	Eip63E	2	6	0	0	0.5
CG2678	Eip63E	2	6	0	0	0.5
crc	Eip63E	2	6	1e-04	0	0.5
pros	Eip63E	2	6	0	0	0.5
neur	Eip63E	2	6	5e-04	0	0.5
Rab5	Eip63E	2	6	9e-04	0	0.5
Rab7	Eip63E	2	6	1e-04	0	0.5
Mmp2	Eip63E	2	6	2e-04	0	0.5
W	Eip63E	2	6	0	0	0.5
bowl	Eip63E	2	6	7e-04	0	0.5
fd59A	Eip63E	2	6	0	0	0.5
e	Eip63E	2	6	0	0	0.5
ben	Eip63E	2	6	8e-04	0	0.5
rdo	Eip63E	2	6	1e-04	0	0.5
lin	Eip63E	2	6	1e-04	0	0.5
tra	Eip63E	2	6	1e-04	0	0.5
tra2	Eip63E	2	6	0	0	0.5
cathD	Eip63E	2	6	1e-04	0	0.5
d	Eip63E	2	6	6e-04	0	0.5
lva	Eip63E	2	6	4e-04	0	0.5
pbl	Eip63E	2	6	1e-04	0	0.5
CG33205	Eip63E	2	6	2e-04	0	0.5
da	Eip63E	2	6	0	0	0.5
cactin	Eip63E	2	6	1e-04	0	0.5
hpo	Eip63E	2	6	5e-04	0	0.5
Sema.2a	Eip63E	2	6	0	0	0.5
Eip74EF	Eip63E	2	6	0	0	0.5
eg	Eip63E	2	6	0	0	0.5
Arc42	Eip63E	2	6	2e-04	0	0.5
toy	Eip63E	2	6	0	0	0.5
Galpha73B	Eip63E	2	6	0	0	0.5
RhoGAPp190	Eip63E	2	6	0	0	0.5
MED11	Eip63E	2	6	0	0	0.5
cher	Eip63E	2	6	1e-04	0	0.5
BicD	Eip63E	2	6	0	0	0.5
MYPT.75D	Eip63E	2	6	4e-04	0	0.5
mus304	Eip63E	2	6	0.0013	0	0.5
CdsA	Eip63E	2	6	2e-04	0	0.5
btl	Eip63E	2	6	1e-04	0	0.5
Cyt.c.d	Eip63E	2	6	0	0	0.5
tok	Eip63E	2	6	0.3707	0	0.5
ttk	Eip63E	2	6	5e-04	0	0.5
tamo	Eip63E	2	6	1e-04	0	0.5
CG6416	Eip63E	2	6	2e-04	0	0.5
flfl	Eip63E	2	6	0	0	0.5
Pvr	Eip63E	2	6	0	0	0.5
kay	Eip63E	2	6	5e-04	0	0.5
Jra	Eip63E	2	6	0.0011	0	0.5
msk	Eip63E	2	6	0	0	0.5
tll	Eip63E	2	6	0	0	0.5
Tm1	Eip63E	2	6	0	0	0.5
srp	Eip63E	2	6	0	0	0.5
Btk29A	Eip63E	2	6	0	0	0.5
fred	Eip63E	2	6	2e-04	0	0.5
Src64B	Eip63E	2	6	0	0	0.5
Mmp1	Eip63E	2	6	6e-04	0	0.5
sll	Eip63E	2	6	5e-04	0	0.5
Hmgs	Eip63E	2	6	0	0	0.5
caps	Eip63E	2	6	0	0	0.5
Su.var.2.10	Eip63E	2	6	0	0	0.5
CycB	Eip63E	2	6	0.001	0	0.5
spir	Eip63E	2	6	0	0	0.5
spn.A	Eip63E	2	6	0	0	0.5
Ptpmeg	Eip63E	2	6	0	0	0.5
qua	Eip63E	2	6	2e-04	0	0.5
msn	Eip63E	2	6	0	0	0.5
ena	Eip63E	2	6	0	0	0.5
spen	Eip63E	2	6	0	0	0.5
emc	Eip63E	2	6	3e-04	0	0.5
tsh	Eip63E	2	6	4e-04	0	0.5
Dat	Eip63E	2	6	0	0	0.5
Lac	Eip63E	2	6	0.0019	0	0.5
dup	Eip63E	2	6	0.0019	0	0.5
CG3075	Eip63E	2	6	6e-04	0	0.5
Akap200	Eip63E	2	6	0	0	0.5
CG18369	Eip63E	2	6	0.001	0	0.5
bnl	Eip63E	2	6	2e-04	0	0.5
sec23	Eip63E	2	6	0.0555	0	0.5
Pde8	Eip63E	2	6	5e-04	0	0.5
Arp66B	Eip63E	2	6	0	0	0.5
cos	Eip63E	2	6	0	0	0.5
Borr	Eip63E	2	6	1e-04	0	0.5
X140up	Eip63E	2	6	1e-04	0	0.5
Dhc64C	Eip63E	2	6	0	0	0.5
Not1	Eip63E	2	6	0	0	0.5
CG9520	Eip63E	2	6	0.9366	0.99807	0.5
bib	Eip63E	2	6	0	0	0.5
mib1	Eip63E	2	6	0	0	0.5
cas	Eip63E	2	6	0	0	0.5
Abi	Eip63E	2	6	0.0032	0	0.5
betaTub56D	Eip63E	2	6	1e-04	0	0.5
nej	Eip63E	2	6	1e-04	0	0.5
dlg1	Eip63E	2	6	0	0	0.5
Lcp65Ag1	Eip63E	2	6	0	0	0.5
Es2	Eip63E	2	6	0	0	0.5
MED24	Eip63E	2	6	7e-04	0	0.5
Vhl	Eip63E	2	6	0.001	0	0.5
tral	Eip63E	2	6	0	0	0.5
sns	Eip63E	2	6	2e-04	0	0.5
mbl	Eip63E	2	6	1e-04	0	0.5
sav	Eip63E	2	6	5e-04	0	0.5
lola	Eip63E	2	6	0	0	0.5
robo	Eip63E	2	6	0.001	0	0.5
CG32486	Eip63E	2	6	0	0	0.5
santa.maria	Eip63E	2	6	0	0	0.5
stumps	Eip63E	2	6	0	0	0.5
abd.A	Eip63E	2	6	0	0	0.5
dock	Eip63E	2	6	0	0	0.5
Lar	Eip63E	2	6	0	0	0.5
l.1.G0289	Eip63E	2	6	1e-04	0	0.5
Abl	Eip63E	2	6	0.0015	0	0.5
Syb	Eip63E	2	6	0	0	0.5
dome	Eip63E	2	6	2e-04	0	0.5
ofs	Eip63E	2	6	3e-04	0	0.5
MED4	Eip63E	2	6	2e-04	0	0.5
scrib	Eip63E	2	6	0	0	0.5
siz	Eip63E	2	6	0	0	0.5
cbx	Eip63E	2	6	0	0	0.5
dsx	Eip63E	2	6	0	0	0.5
Sb	Eip63E	2	6	0	0	0.5
sax	Eip63E	2	6	1e-04	0	0.5
foxo	Eip63E	2	6	0	0	0.5
Cyp1	Eip63E	2	6	0	0	0.5
brm	Eip63E	2	6	6e-04	0	0.5
rad50	Eip63E	2	6	1e-04	0	0.5
chico	Eip63E	2	6	0	0	0.5
cp309	Eip63E	2	6	0	0	0.5
hdc	Eip63E	2	6	1e-04	0	0.5
Axn	Eip63E	2	6	0	0	0.5
Apc2	Eip63E	2	6	0	0	0.5
PhKgamma	Eip63E	2	6	0	0	0.5
eya	Eip63E	2	6	0	0	0.5
sktl	Eip63E	2	6	0	0	0.5
sqd	Eip63E	2	6	0	0	0.5
Akt1	Eip63E	2	6	0	0	0.5
scyl	Eip63E	2	6	0	0	0.5
cnk	Eip63E	2	6	0	0	0.5
CG8149	Eip63E	2	6	0	0	0.5
CG34379	Eip63E	2	6	0	0	0.5
Yp1	Eip63E	2	6	1e-04	0	0.5
yrt	Eip63E	2	6	0	0	0.5
bap	Eip63E	2	6	0.0025	0	0.5
tud	Eip63E	2	6	1e-04	0	0.5
ct	Eip63E	2	6	0	0	0.5
tup	Eip63E	2	6	0	0	0.5
G.ialpha65A	Eip63E	2	6	1e-04	0	0.5
knrl	Eip63E	2	6	0.001	0	0.5
Pkn	Eip63E	2	6	0	0	0.5
Sry.delta	Eip63E	2	6	2e-04	0	0.5
Alh	Eip63E	2	6	0	0	0.5
pnut	Eip63E	2	6	6e-04	0	0.5
phyl	Eip63E	2	6	0	0	0.5
CG17739	Eip63E	2	6	0	0	0.5
B4	Eip63E	2	6	5e-04	0	0.5
CG2681	Eip63E	2	6	0	0	0.5
tow	Eip63E	2	6	0	0	0.5
hkl	Eip63E	2	6	2e-04	0	0.5
sina	Eip63E	2	6	2e-04	0	0.5
ry	Eip63E	2	6	3e-04	0	0.5
rux	Eip63E	2	6	4e-04	0	0.5
boss	Eip63E	2	6	0	0	0.5
Mkp3	Eip63E	2	6	1e-04	0	0.5
inaC	Eip63E	2	6	0	0	0.5
sno	Eip63E	2	6	0	0	0.5
jagn	Eip63E	2	6	0	0	0.5
dpn	Eip63E	2	6	7e-04	0	0.5
wrapper	Eip63E	2	6	0	0	0.5
Ca.alpha1D	Eip63E	2	6	2e-04	0	0.5
E2f	Eip63E	2	6	4e-04	0	0.5
Dp	Eip63E	2	6	0	0	0.5
l.2.efl	Eip63E	2	6	2e-04	0	0.5
cnc	Eip63E	2	6	0	0	0.5
Atg5	Eip63E	2	6	0.0013	0	0.5
acj6	Eip63E	2	6	0	0	0.5
Trl	Eip63E	2	6	0	0	0.5
d4	Eip63E	2	6	0	0	0.5
CG16719	Eip63E	2	6	6e-04	0	0.5
CadN	Eip63E	2	6	0	0	0.5
gro	Eip63E	2	6	2e-04	0	0.5
sec13	Eip63E	2	6	8e-04	0	0.5
klar	Eip63E	2	6	0	0	0.5
Rack1	Eip63E	2	6	3e-04	0	0.5
Sobp	Eip63E	2	6	0	0	0.5
ash1	Eip63E	2	6	0.8097	0.99779	0.5
inv	Eip63E	2	6	1e-04	0	0.5
shot	Eip63E	2	6	1e-04	0	0.5
Oseg1	Eip63E	2	6	0	0	0.5
Spred	Eip63E	2	6	0	0	0.5
puc	Eip63E	2	6	8e-04	0	0.5
Atg6	Eip63E	2	6	0	0	0.5
CG3829	Eip63E	2	6	3e-04	0	0.5
sle	Eip63E	2	6	0	0	0.5
Cka	Eip63E	2	6	0.0011	0	0.5
form3	Eip63E	2	6	0	0	0.5
Pk61C	Eip63E	2	6	0	0	0.5
Pcaf	Eip63E	2	6	0	0	0.5
sbb	Eip63E	2	6	0.0011	0	0.5
Ef1gamma	Eip63E	2	6	3e-04	0	0.5
FKBP59	Eip63E	2	6	6e-04	0	0.5
Eip71CD	Eip63E	2	6	0	0	0.5
xmas.2	Eip63E	2	6	0	0	0.5
ppan	Eip63E	2	6	0	0	0.5
Iswi	Eip63E	2	6	5e-04	0	0.5
ine	Eip63E	2	6	0	0	0.5
Tina.1	Eip63E	2	6	0	0	0.5
bon	Eip63E	2	6	3e-04	0	0.5
pot	Eip63E	2	6	9e-04	0	0.5
chic	Eip63E	2	6	4e-04	0	0.5
Hem	Eip63E	2	6	0	0	0.5
chif	Eip63E	2	6	0	0	0.5
S6kII	Eip63E	2	6	0	0	0.5
wal	Eip63E	2	6	0	0	0.5
wls	Eip63E	2	6	0	0	0.5
Ddx1	Eip63E	2	6	2e-04	0	0.5
Sulf1	Eip63E	2	6	0	0	0.5
CG3987	Eip63E	2	6	0	0	0.5
Abd.B	Eip63E	2	6	0	0	0.5
Uba1	Eip63E	2	6	9e-04	0	0.5
bigmax	Eip63E	2	6	0	0	0.5
NAT1	Eip63E	2	6	0	0	0.5
wupA	Eip63E	2	6	1e-04	0	0.5
Vps28	Eip63E	2	6	1e-04	0	0.5
G.oalpha47A	Eip63E	2	6	4e-04	0	0.5
G.salpha60A	Eip63E	2	6	3e-04	0	0.5
dsf	Eip63E	2	6	6e-04	0	0.5
Khc	Eip63E	2	6	5e-04	0	0.5
CG10641	Eip63E	2	6	2e-04	0	0.5
Alk	Eip63E	2	6	0	0	0.5
ey	Eip63E	2	6	4e-04	0	0.5
noc	Eip63E	2	6	0	0	0.5
ix	Eip63E	2	6	0	0	0.5
Optix	Eip63E	2	6	2e-04	0	0.5
sdt	Eip63E	2	6	0	0	0.5
Sxl	Eip63E	2	6	2e-04	0	0.5
rib	Eip63E	2	6	0	0	0.5
sas	Eip63E	2	6	0	0	0.5
Scgdelta	Eip63E	2	6	1e-04	0	0.5
sw	Eip63E	2	6	0	0	0.5
fal	Eip63E	2	6	0	0	0.5
ea	Eip63E	2	6	4e-04	0	0.5
Ice	Eip63E	2	6	0	0	0.5
cic	Eip63E	2	6	0	0	0.5
Dok	Eip63E	2	6	2e-04	0	0.5
rhea	Eip63E	2	6	7e-04	0	0.5
Glycogenin	Eip63E	2	6	1e-04	0	0.5
cin	Eip63E	2	6	4e-04	0	0.5
chp	Eip63E	2	6	9e-04	0	0.5
Dlic2	Eip63E	2	6	7e-04	0	0.5
Pk92B	Eip63E	2	6	8e-04	0	0.5
Pak	Eip63E	2	6	8e-04	0	0.5
Lim1	Eip63E	2	6	1e-04	0	0.5
CG34450	Eip63E	2	6	0.0011	0	0.5
Su.H.	Eip63E	2	6	0	0	0.5
CG12301	Eip63E	2	6	0	0	0.5
lilli	Eip63E	2	6	5e-04	0	0.5
toe	Eip63E	2	6	0	0	0.5
qkr58E.3	Eip63E	2	6	0	0	0.5
up	Eip63E	2	6	0	0	0.5
hep	Eip63E	2	6	6e-04	0	0.5
Dap160	Eip63E	2	6	0	0	0.5
l.2.gd1	Eip63E	2	6	1e-04	0	0.5
hkb	Eip63E	2	6	0	0	0.5
beta4GalNAcTA	Eip63E	2	6	0	0	0.5
Mer	Eip63E	2	6	2e-04	0	0.5
