Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Eip71CD	2	6	2e-04	0	0.5
emp	Eip71CD	2	6	4e-04	0	0.5
CG2678	Eip71CD	2	6	0.0021	0	0.5
crc	Eip71CD	2	6	1e-04	0	0.5
pros	Eip71CD	2	6	4e-04	0	0.5
neur	Eip71CD	2	6	6e-04	0	0.5
Rab5	Eip71CD	2	6	2e-04	0	0.5
Rab7	Eip71CD	2	6	7e-04	0	0.5
Mmp2	Eip71CD	2	6	3e-04	0	0.5
W	Eip71CD	2	6	1e-04	0	0.5
bowl	Eip71CD	2	6	0	0	0.5
fd59A	Eip71CD	2	6	1e-04	0	0.5
e	Eip71CD	2	6	3e-04	0	0.5
ben	Eip71CD	2	6	4e-04	0	0.5
rdo	Eip71CD	2	6	7e-04	0	0.5
lin	Eip71CD	2	6	8e-04	0	0.5
tra	Eip71CD	2	6	1e-04	0	0.5
tra2	Eip71CD	2	6	1e-04	0	0.5
cathD	Eip71CD	2	6	7e-04	0	0.5
d	Eip71CD	2	6	1e-04	0	0.5
lva	Eip71CD	2	6	4e-04	0	0.5
pbl	Eip71CD	2	6	7e-04	0	0.5
CG33205	Eip71CD	2	6	2e-04	0	0.5
da	Eip71CD	2	6	0.002	0	0.5
cactin	Eip71CD	2	6	8e-04	0	0.5
hpo	Eip71CD	2	6	6e-04	0	0.5
Sema.2a	Eip71CD	2	6	1e-04	0	0.5
Eip74EF	Eip71CD	2	6	3e-04	0	0.5
eg	Eip71CD	2	6	3e-04	0	0.5
Arc42	Eip71CD	2	6	8e-04	0	0.5
toy	Eip71CD	2	6	0	0	0.5
Galpha73B	Eip71CD	2	6	5e-04	0	0.5
RhoGAPp190	Eip71CD	2	6	0.0014	0	0.5
MED11	Eip71CD	2	6	1e-04	0	0.5
cher	Eip71CD	2	6	0	0	0.5
BicD	Eip71CD	2	6	1e-04	0	0.5
MYPT.75D	Eip71CD	2	6	4e-04	0	0.5
mus304	Eip71CD	2	6	4e-04	0	0.5
CdsA	Eip71CD	2	6	0	0	0.5
btl	Eip71CD	2	6	3e-04	0	0.5
Cyt.c.d	Eip71CD	2	6	3e-04	0	0.5
tok	Eip71CD	2	6	0.0011	0	0.5
ttk	Eip71CD	2	6	4e-04	0	0.5
tamo	Eip71CD	2	6	5e-04	0	0.5
CG6416	Eip71CD	2	6	1e-04	0	0.5
flfl	Eip71CD	2	6	3e-04	0	0.5
Pvr	Eip71CD	2	6	4e-04	0	0.5
kay	Eip71CD	2	6	1e-04	0	0.5
Jra	Eip71CD	2	6	0	0	0.5
msk	Eip71CD	2	6	2e-04	0	0.5
tll	Eip71CD	2	6	4e-04	0	0.5
Tm1	Eip71CD	2	6	0	0	0.5
srp	Eip71CD	2	6	2e-04	0	0.5
Btk29A	Eip71CD	2	6	5e-04	0	0.5
fred	Eip71CD	2	6	3e-04	0	0.5
Src64B	Eip71CD	2	6	7e-04	0	0.5
Mmp1	Eip71CD	2	6	0.0014	0	0.5
sll	Eip71CD	2	6	4e-04	0	0.5
Hmgs	Eip71CD	2	6	3e-04	0	0.5
