Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Eip74EF	2	6	8e-04	0	0.5
emp	Eip74EF	2	6	0	0	0.5
CG2678	Eip74EF	2	6	0	0	0.5
crc	Eip74EF	2	6	2e-04	0	0.5
pros	Eip74EF	2	6	2e-04	0	0.5
neur	Eip74EF	2	6	0.0023	0	0.5
Rab5	Eip74EF	2	6	4e-04	0	0.5
Rab7	Eip74EF	2	6	0	0	0.5
Mmp2	Eip74EF	2	6	5e-04	0	0.5
W	Eip74EF	2	6	7e-04	0	0.5
bowl	Eip74EF	2	6	1e-04	0	0.5
fd59A	Eip74EF	2	6	0	0	0.5
e	Eip74EF	2	6	2e-04	0	0.5
ben	Eip74EF	2	6	7e-04	0	0.5
rdo	Eip74EF	2	6	1e-04	0	0.5
lin	Eip74EF	2	6	0.0027	0	0.5
tra	Eip74EF	2	6	9e-04	0	0.5
tra2	Eip74EF	2	6	0	0	0.5
cathD	Eip74EF	2	6	1e-04	0	0.5
d	Eip74EF	2	6	1e-04	0	0.5
lva	Eip74EF	2	6	4e-04	0	0.5
pbl	Eip74EF	2	6	0	0	0.5
CG33205	Eip74EF	2	6	1e-04	0	0.5
da	Eip74EF	2	6	0.002	0	0.5
cactin	Eip74EF	2	6	4e-04	0	0.5
hpo	Eip74EF	2	6	7e-04	0	0.5
Sema.2a	Eip74EF	2	6	3e-04	0	0.5
Eip74EF	Eip74EF	2	6	0	0	0.5
eg	Eip74EF	2	6	0.7271	-0.99503	0.5
Arc42	Eip74EF	2	6	3e-04	0	0.5
toy	Eip74EF	2	6	0.0026	0	0.5
Galpha73B	Eip74EF	2	6	2e-04	0	0.5
RhoGAPp190	Eip74EF	2	6	1e-04	0	0.5
MED11	Eip74EF	2	6	8e-04	0	0.5
cher	Eip74EF	2	6	0	0	0.5
BicD	Eip74EF	2	6	3e-04	0	0.5
MYPT.75D	Eip74EF	2	6	0	0	0.5
mus304	Eip74EF	2	6	0.0139	0	0.5
CdsA	Eip74EF	2	6	0.001	0	0.5
btl	Eip74EF	2	6	0	0	0.5
Cyt.c.d	Eip74EF	2	6	7e-04	0	0.5
tok	Eip74EF	2	6	2e-04	0	0.5
ttk	Eip74EF	2	6	6e-04	0	0.5
tamo	Eip74EF	2	6	0	0	0.5
CG6416	Eip74EF	2	6	0.001	0	0.5
flfl	Eip74EF	2	6	0	0	0.5
Pvr	Eip74EF	2	6	1e-04	0	0.5
kay	Eip74EF	2	6	0	0	0.5
Jra	Eip74EF	2	6	0	0	0.5
msk	Eip74EF	2	6	0	0	0.5
tll	Eip74EF	2	6	1e-04	0	0.5
Tm1	Eip74EF	2	6	5e-04	0	0.5
srp	Eip74EF	2	6	1e-04	0	0.5
Btk29A	Eip74EF	2	6	0	0	0.5
