Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Ephrin	2	6	0	0	0.5
emp	Ephrin	2	6	2e-04	0	0.5
CG2678	Ephrin	2	6	0	0	0.5
crc	Ephrin	2	6	1e-04	0	0.5
pros	Ephrin	2	6	0	0	0.5
neur	Ephrin	2	6	0.0013	0	0.5
Rab5	Ephrin	2	6	1e-04	0	0.5
Rab7	Ephrin	2	6	0	0	0.5
Mmp2	Ephrin	2	6	0	0	0.5
W	Ephrin	2	6	0	0	0.5
bowl	Ephrin	2	6	0	0	0.5
fd59A	Ephrin	2	6	0	0	0.5
e	Ephrin	2	6	0	0	0.5
ben	Ephrin	2	6	4e-04	0	0.5
rdo	Ephrin	2	6	0.0027	0	0.5
lin	Ephrin	2	6	3e-04	0	0.5
tra	Ephrin	2	6	0	0	0.5
tra2	Ephrin	2	6	3e-04	0	0.5
cathD	Ephrin	2	6	0	0	0.5
d	Ephrin	2	6	2e-04	0	0.5
lva	Ephrin	2	6	0	0	0.5
pbl	Ephrin	2	6	5e-04	0	0.5
CG33205	Ephrin	2	6	4e-04	0	0.5
da	Ephrin	2	6	0	0	0.5
cactin	Ephrin	2	6	4e-04	0	0.5
hpo	Ephrin	2	6	0	0	0.5
Sema.2a	Ephrin	2	6	0	0	0.5
Eip74EF	Ephrin	2	6	0	0	0.5
eg	Ephrin	2	6	0	0	0.5
Arc42	Ephrin	2	6	5e-04	0	0.5
toy	Ephrin	2	6	0.0017	0	0.5
Galpha73B	Ephrin	2	6	5e-04	0	0.5
RhoGAPp190	Ephrin	2	6	0	0	0.5
MED11	Ephrin	2	6	0	0	0.5
cher	Ephrin	2	6	4e-04	0	0.5
BicD	Ephrin	2	6	0	0	0.5
MYPT.75D	Ephrin	2	6	0	0	0.5
mus304	Ephrin	2	6	0	0	0.5
CdsA	Ephrin	2	6	0	0	0.5
btl	Ephrin	2	6	0	0	0.5
Cyt.c.d	Ephrin	2	6	7e-04	0	0.5
tok	Ephrin	2	6	0	0	0.5
ttk	Ephrin	2	6	0	0	0.5
tamo	Ephrin	2	6	2e-04	0	0.5
CG6416	Ephrin	2	6	0	0	0.5
flfl	Ephrin	2	6	0	0	0.5
Pvr	Ephrin	2	6	4e-04	0	0.5
kay	Ephrin	2	6	0	0	0.5
Jra	Ephrin	2	6	0	0	0.5
msk	Ephrin	2	6	0	0	0.5
tll	Ephrin	2	6	5e-04	0	0.5
Tm1	Ephrin	2	6	0	0	0.5
srp	Ephrin	2	6	1e-04	0	0.5
Btk29A	Ephrin	2	6	0	0	0.5
fred	Ephrin	2	6	9e-04	0	0.5
Src64B	Ephrin	2	6	1e-04	0	0.5
Mmp1	Ephrin	2	6	0	0	0.5
sll	Ephrin	2	6	0	0	0.5
Hmgs	Ephrin	2	6	0	0	0.5
caps	Ephrin	2	6	0	0	0.5
Su.var.2.10	Ephrin	2	6	0	0	0.5
CycB	Ephrin	2	6	0	0	0.5
spir	Ephrin	2	6	0	0	0.5
spn.A	Ephrin	2	6	0	0	0.5
Ptpmeg	Ephrin	2	6	1e-04	0	0.5
qua	Ephrin	2	6	0	0	0.5
msn	Ephrin	2	6	3e-04	0	0.5
ena	Ephrin	2	6	0	0	0.5
spen	Ephrin	2	6	0	0	0.5
emc	Ephrin	2	6	0	0	0.5
tsh	Ephrin	2	6	0	0	0.5
Dat	Ephrin	2	6	0	0	0.5
Lac	Ephrin	2	6	6e-04	0	0.5
dup	Ephrin	2	6	0	0	0.5
CG3075	Ephrin	2	6	0	0	0.5
Akap200	Ephrin	2	6	3e-04	0	0.5
CG18369	Ephrin	2	6	3e-04	0	0.5
bnl	Ephrin	2	6	3e-04	0	0.5
sec23	Ephrin	2	6	0	0	0.5
Pde8	Ephrin	2	6	0	0	0.5
Arp66B	Ephrin	2	6	3e-04	0	0.5
cos	Ephrin	2	6	0	0	0.5
Borr	Ephrin	2	6	0	0	0.5
X140up	Ephrin	2	6	0.0017	0	0.5
Dhc64C	Ephrin	2	6	0.0012	0	0.5
Not1	Ephrin	2	6	0	0	0.5
CG9520	Ephrin	2	6	3e-04	0	0.5
bib	Ephrin	2	6	2e-04	0	0.5
mib1	Ephrin	2	6	6e-04	0	0.5
cas	Ephrin	2	6	9e-04	0	0.5
Abi	Ephrin	2	6	0	0	0.5
betaTub56D	Ephrin	2	6	1e-04	0	0.5
nej	Ephrin	2	6	0.0014	0	0.5
dlg1	Ephrin	2	6	2e-04	0	0.5
Lcp65Ag1	Ephrin	2	6	0	0	0.5
Es2	Ephrin	2	6	1e-04	0	0.5
MED24	Ephrin	2	6	0	0	0.5
