Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	FKBP59	2	6	0	0	0.5
emp	FKBP59	2	6	0.4326	0	0.5
CG2678	FKBP59	2	6	3e-04	0	0.5
crc	FKBP59	2	6	0	0	0.5
pros	FKBP59	2	6	8e-04	0	0.5
neur	FKBP59	2	6	4e-04	0	0.5
Rab5	FKBP59	2	6	1e-04	0	0.5
Rab7	FKBP59	2	6	0	0	0.5
Mmp2	FKBP59	2	6	0	0	0.5
W	FKBP59	2	6	0	0	0.5
bowl	FKBP59	2	6	0	0	0.5
fd59A	FKBP59	2	6	0	0	0.5
e	FKBP59	2	6	3e-04	0	0.5
ben	FKBP59	2	6	0	0	0.5
rdo	FKBP59	2	6	6e-04	0	0.5
lin	FKBP59	2	6	2e-04	0	0.5
tra	FKBP59	2	6	0	0	0.5
tra2	FKBP59	2	6	3e-04	0	0.5
cathD	FKBP59	2	6	0	0	0.5
d	FKBP59	2	6	2e-04	0	0.5
lva	FKBP59	2	6	0	0	0.5
pbl	FKBP59	2	6	0	0	0.5
CG33205	FKBP59	2	6	0	0	0.5
da	FKBP59	2	6	0	0	0.5
cactin	FKBP59	2	6	0	0	0.5
hpo	FKBP59	2	6	0	0	0.5
Sema.2a	FKBP59	2	6	6e-04	0	0.5
Eip74EF	FKBP59	2	6	9e-04	0	0.5
eg	FKBP59	2	6	3e-04	0	0.5
Arc42	FKBP59	2	6	0	0	0.5
toy	FKBP59	2	6	0	0	0.5
Galpha73B	FKBP59	2	6	0	0	0.5
RhoGAPp190	FKBP59	2	6	3e-04	0	0.5
MED11	FKBP59	2	6	0	0	0.5
cher	FKBP59	2	6	0	0	0.5
BicD	FKBP59	2	6	0	0	0.5
MYPT.75D	FKBP59	2	6	4e-04	0	0.5
mus304	FKBP59	2	6	1e-04	0	0.5
CdsA	FKBP59	2	6	0	0	0.5
btl	FKBP59	2	6	7e-04	0	0.5
Cyt.c.d	FKBP59	2	6	0.0011	0	0.5
tok	FKBP59	2	6	0	0	0.5
ttk	FKBP59	2	6	0	0	0.5
tamo	FKBP59	2	6	0	0	0.5
CG6416	FKBP59	2	6	0	0	0.5
flfl	FKBP59	2	6	0	0	0.5
Pvr	FKBP59	2	6	0	0	0.5
kay	FKBP59	2	6	4e-04	0	0.5
Jra	FKBP59	2	6	0	0	0.5
msk	FKBP59	2	6	0	0	0.5
tll	FKBP59	2	6	0	0	0.5
Tm1	FKBP59	2	6	1e-04	0	0.5
srp	FKBP59	2	6	0	0	0.5
Btk29A	FKBP59	2	6	0	0	0.5
fred	FKBP59	2	6	0	0	0.5
Src64B	FKBP59	2	6	5e-04	0	0.5
Mmp1	FKBP59	2	6	0	0	0.5
sll	FKBP59	2	6	4e-04	0	0.5
Hmgs	FKBP59	2	6	1e-04	0	0.5
caps	FKBP59	2	6	3e-04	0	0.5
Su.var.2.10	FKBP59	2	6	0	0	0.5
CycB	FKBP59	2	6	0	0	0.5
spir	FKBP59	2	6	0	0	0.5
spn.A	FKBP59	2	6	4e-04	0	0.5
Ptpmeg	FKBP59	2	6	0	0	0.5
qua	FKBP59	2	6	0	0	0.5
msn	FKBP59	2	6	0	0	0.5
ena	FKBP59	2	6	0	0	0.5
spen	FKBP59	2	6	8e-04	0	0.5
emc	FKBP59	2	6	1e-04	0	0.5
tsh	FKBP59	2	6	2e-04	0	0.5
Dat	FKBP59	2	6	0	0	0.5
Lac	FKBP59	2	6	0.0015	0	0.5
dup	FKBP59	2	6	6e-04	0	0.5
CG3075	FKBP59	2	6	0	0	0.5
Akap200	FKBP59	2	6	0	0	0.5
CG18369	FKBP59	2	6	0	0	0.5
bnl	FKBP59	2	6	0.0019	0	0.5
sec23	FKBP59	2	6	2e-04	0	0.5
Pde8	FKBP59	2	6	0	0	0.5
Arp66B	FKBP59	2	6	0	0	0.5
cos	FKBP59	2	6	0.0322	0	0.5
Borr	FKBP59	2	6	0	0	0.5
X140up	FKBP59	2	6	0	0	0.5
Dhc64C	FKBP59	2	6	4e-04	0	0.5
Not1	FKBP59	2	6	0	0	0.5
CG9520	FKBP59	2	6	0	0	0.5
bib	FKBP59	2	6	0	0	0.5
mib1	FKBP59	2	6	0	0	0.5
cas	FKBP59	2	6	0	0	0.5
Abi	FKBP59	2	6	0	0	0.5
betaTub56D	FKBP59	2	6	2e-04	0	0.5
nej	FKBP59	2	6	1e-04	0	0.5
dlg1	FKBP59	2	6	0	0	0.5
Lcp65Ag1	FKBP59	2	6	1e-04	0	0.5
Es2	FKBP59	2	6	0	0	0.5
MED24	FKBP59	2	6	0	0	0.5
Vhl	FKBP59	2	6	0	0	0.5
tral	FKBP59	2	6	0	0	0.5
sns	FKBP59	2	6	0	0	0.5
mbl	FKBP59	2	6	0	0	0.5
sav	FKBP59	2	6	5e-04	0	0.5
lola	FKBP59	2	6	0	0	0.5
robo	FKBP59	2	6	0	0	0.5
CG32486	FKBP59	2	6	0	0	0.5
santa.maria	FKBP59	2	6	0	0	0.5
stumps	FKBP59	2	6	0	0	0.5
abd.A	FKBP59	2	6	2e-04	0	0.5
dock	FKBP59	2	6	0	0	0.5
Lar	FKBP59	2	6	4e-04	0	0.5
l.1.G0289	FKBP59	2	6	0	0	0.5
Abl	FKBP59	2	6	0	0	0.5
Syb	FKBP59	2	6	9e-04	0	0.5
dome	FKBP59	2	6	1e-04	0	0.5
ofs	FKBP59	2	6	7e-04	0	0.5
MED4	FKBP59	2	6	0	0	0.5
scrib	FKBP59	2	6	0	0	0.5
siz	FKBP59	2	6	0	0	0.5
cbx	FKBP59	2	6	0	0	0.5
dsx	FKBP59	2	6	1e-04	0	0.5
Sb	FKBP59	2	6	0	0	0.5
sax	FKBP59	2	6	0	0	0.5
foxo	FKBP59	2	6	0	0	0.5
Cyp1	FKBP59	2	6	0	0	0.5
brm	FKBP59	2	6	2e-04	0	0.5
rad50	FKBP59	2	6	0	0	0.5
chico	FKBP59	2	6	2e-04	0	0.5
cp309	FKBP59	2	6	2e-04	0	0.5
hdc	FKBP59	2	6	2e-04	0	0.5
Axn	FKBP59	2	6	0	0	0.5
Apc2	FKBP59	2	6	0	0	0.5
PhKgamma	FKBP59	2	6	0	0	0.5
eya	FKBP59	2	6	0	0	0.5
sktl	FKBP59	2	6	4e-04	0	0.5
sqd	FKBP59	2	6	2e-04	0	0.5
Akt1	FKBP59	2	6	0	0	0.5
scyl	FKBP59	2	6	0	0	0.5
cnk	FKBP59	2	6	0	0	0.5
CG8149	FKBP59	2	6	0	0	0.5
CG34379	FKBP59	2	6	7e-04	0	0.5
Yp1	FKBP59	2	6	3e-04	0	0.5
yrt	FKBP59	2	6	0	0	0.5
bap	FKBP59	2	6	5e-04	0	0.5
tud	FKBP59	2	6	0	0	0.5
ct	FKBP59	2	6	2e-04	0	0.5
tup	FKBP59	2	6	7e-04	0	0.5
G.ialpha65A	FKBP59	2	6	7e-04	0	0.5
knrl	FKBP59	2	6	0	0	0.5
Pkn	FKBP59	2	6	0	0	0.5
Sry.delta	FKBP59	2	6	0	0	0.5
Alh	FKBP59	2	6	0	0	0.5
pnut	FKBP59	2	6	0	0	0.5
phyl	FKBP59	2	6	0	0	0.5
CG17739	FKBP59	2	6	0	0	0.5
B4	FKBP59	2	6	1e-04	0	0.5
CG2681	FKBP59	2	6	3e-04	0	0.5
tow	FKBP59	2	6	0.0013	0	0.5
hkl	FKBP59	2	6	3e-04	0	0.5
sina	FKBP59	2	6	5e-04	0	0.5
ry	FKBP59	2	6	0	0	0.5
rux	FKBP59	2	6	2e-04	0	0.5
boss	FKBP59	2	6	0	0	0.5
Mkp3	FKBP59	2	6	0	0	0.5
inaC	FKBP59	2	6	0	0	0.5
sno	FKBP59	2	6	0	0	0.5
jagn	FKBP59	2	6	3e-04	0	0.5
dpn	FKBP59	2	6	5e-04	0	0.5
wrapper	FKBP59	2	6	3e-04	0	0.5
Ca.alpha1D	FKBP59	2	6	0	0	0.5
E2f	FKBP59	2	6	0	0	0.5
Dp	FKBP59	2	6	0	0	0.5
l.2.efl	FKBP59	2	6	0.0012	0	0.5
cnc	FKBP59	2	6	0	0	0.5
Atg5	FKBP59	2	6	0	0	0.5
acj6	FKBP59	2	6	0	0	0.5
Trl	FKBP59	2	6	1	-0.99873	0.5
d4	FKBP59	2	6	0	0	0.5
CG16719	FKBP59	2	6	0.338	0	0.5
CadN	FKBP59	2	6	4e-04	0	0.5
gro	FKBP59	2	6	6e-04	0	0.5
sec13	FKBP59	2	6	0	0	0.5
klar	FKBP59	2	6	1e-04	0	0.5
Rack1	FKBP59	2	6	9e-04	0	0.5
Sobp	FKBP59	2	6	0	0	0.5
ash1	FKBP59	2	6	2e-04	0	0.5
inv	FKBP59	2	6	8e-04	0	0.5
shot	FKBP59	2	6	6e-04	0	0.5
Oseg1	FKBP59	2	6	3e-04	0	0.5
Spred	FKBP59	2	6	1e-04	0	0.5
puc	FKBP59	2	6	0.0012	0	0.5
Atg6	FKBP59	2	6	0	0	0.5
CG3829	FKBP59	2	6	0	0	0.5
sle	FKBP59	2	6	2e-04	0	0.5
Cka	FKBP59	2	6	4e-04	0	0.5
form3	FKBP59	2	6	0	0	0.5
Pk61C	FKBP59	2	6	0	0	0.5
Pcaf	FKBP59	2	6	0	0	0.5
sbb	FKBP59	2	6	0	0	0.5
Ef1gamma	FKBP59	2	6	6e-04	0	0.5
FKBP59	FKBP59	2	6	0	0	0.5
Eip71CD	FKBP59	2	6	7e-04	0	0.5
xmas.2	FKBP59	2	6	0	0	0.5
ppan	FKBP59	2	6	0	0	0.5
Iswi	FKBP59	2	6	2e-04	0	0.5
ine	FKBP59	2	6	1e-04	0	0.5
Tina.1	FKBP59	2	6	4e-04	0	0.5
bon	FKBP59	2	6	1e-04	0	0.5
pot	FKBP59	2	6	1e-04	0	0.5
chic	FKBP59	2	6	0	0	0.5
Hem	FKBP59	2	6	0.001	0	0.5
chif	FKBP59	2	6	0.0011	0	0.5
S6kII	FKBP59	2	6	0	0	0.5
wal	FKBP59	2	6	0	0	0.5
wls	FKBP59	2	6	3e-04	0	0.5
