Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Fas3	2	6	0.0024	0	0.5
emp	Fas3	2	6	9e-04	0	0.5
CG2678	Fas3	2	6	1e-04	0	0.5
crc	Fas3	2	6	1e-04	0	0.5
pros	Fas3	2	6	0.0017	0	0.5
neur	Fas3	2	6	3e-04	0	0.5
Rab5	Fas3	2	6	0	0	0.5
Rab7	Fas3	2	6	4e-04	0	0.5
Mmp2	Fas3	2	6	0.0013	0	0.5
W	Fas3	2	6	0.0025	0	0.5
bowl	Fas3	2	6	0.0012	0	0.5
fd59A	Fas3	2	6	4e-04	0	0.5
e	Fas3	2	6	5e-04	0	0.5
ben	Fas3	2	6	2e-04	0	0.5
rdo	Fas3	2	6	7e-04	0	0.5
lin	Fas3	2	6	6e-04	0	0.5
tra	Fas3	2	6	0.0061	0	0.5
tra2	Fas3	2	6	2e-04	0	0.5
cathD	Fas3	2	6	4e-04	0	0.5
d	Fas3	2	6	0.0013	0	0.5
lva	Fas3	2	6	0.0015	0	0.5
pbl	Fas3	2	6	1e-04	0	0.5
CG33205	Fas3	2	6	0.001	0	0.5
da	Fas3	2	6	1e-04	0	0.5
cactin	Fas3	2	6	0.0012	0	0.5
hpo	Fas3	2	6	2e-04	0	0.5
Sema.2a	Fas3	2	6	0.0014	0	0.5
Eip74EF	Fas3	2	6	5e-04	0	0.5
eg	Fas3	2	6	2e-04	0	0.5
Arc42	Fas3	2	6	3e-04	0	0.5
toy	Fas3	2	6	3e-04	0	0.5
Galpha73B	Fas3	2	6	6e-04	0	0.5
RhoGAPp190	Fas3	2	6	1e-04	0	0.5
MED11	Fas3	2	6	5e-04	0	0.5
cher	Fas3	2	6	0.004	0	0.5
BicD	Fas3	2	6	1e-04	0	0.5
MYPT.75D	Fas3	2	6	3e-04	0	0.5
mus304	Fas3	2	6	2e-04	0	0.5
CdsA	Fas3	2	6	1e-04	0	0.5
btl	Fas3	2	6	1e-04	0	0.5
Cyt.c.d	Fas3	2	6	3e-04	0	0.5
tok	Fas3	2	6	6e-04	0	0.5
ttk	Fas3	2	6	0.0627	0	0.5
tamo	Fas3	2	6	1e-04	0	0.5
CG6416	Fas3	2	6	0.0054	0	0.5
flfl	Fas3	2	6	0.0013	0	0.5
Pvr	Fas3	2	6	0.0023	0	0.5
kay	Fas3	2	6	5e-04	0	0.5
Jra	Fas3	2	6	1e-04	0	0.5
msk	Fas3	2	6	0.001	0	0.5
tll	Fas3	2	6	8e-04	0	0.5
