Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Fmr1	2	6	0.001	0	0.5
emp	Fmr1	2	6	2e-04	0	0.5
CG2678	Fmr1	2	6	5e-04	0	0.5
crc	Fmr1	2	6	8e-04	0	0.5
pros	Fmr1	2	6	9e-04	0	0.5
neur	Fmr1	2	6	7e-04	0	0.5
Rab5	Fmr1	2	6	0.0022	0	0.5
Rab7	Fmr1	2	6	8e-04	0	0.5
Mmp2	Fmr1	2	6	2e-04	0	0.5
W	Fmr1	2	6	7e-04	0	0.5
bowl	Fmr1	2	6	0.0026	0	0.5
fd59A	Fmr1	2	6	5e-04	0	0.5
e	Fmr1	2	6	0	0	0.5
ben	Fmr1	2	6	5e-04	0	0.5
rdo	Fmr1	2	6	0	0	0.5
lin	Fmr1	2	6	5e-04	0	0.5
tra	Fmr1	2	6	1e-04	0	0.5
tra2	Fmr1	2	6	0.0024	0	0.5
cathD	Fmr1	2	6	1e-04	0	0.5
d	Fmr1	2	6	4e-04	0	0.5
lva	Fmr1	2	6	9e-04	0	0.5
pbl	Fmr1	2	6	4e-04	0	0.5
CG33205	Fmr1	2	6	3e-04	0	0.5
da	Fmr1	2	6	8e-04	0	0.5
cactin	Fmr1	2	6	0.0011	0	0.5
hpo	Fmr1	2	6	9e-04	0	0.5
Sema.2a	Fmr1	2	6	2e-04	0	0.5
Eip74EF	Fmr1	2	6	0.0013	0	0.5
eg	Fmr1	2	6	0.0015	0	0.5
Arc42	Fmr1	2	6	0.0021	0	0.5
toy	Fmr1	2	6	0.0014	0	0.5
Galpha73B	Fmr1	2	6	0.0011	0	0.5
RhoGAPp190	Fmr1	2	6	0.0555	0	0.5
MED11	Fmr1	2	6	0.0026	0	0.5
cher	Fmr1	2	6	0.0021	0	0.5
BicD	Fmr1	2	6	5e-04	0	0.5
MYPT.75D	Fmr1	2	6	4e-04	0	0.5
mus304	Fmr1	2	6	0.0015	0	0.5
CdsA	Fmr1	2	6	2e-04	0	0.5
btl	Fmr1	2	6	7e-04	0	0.5
Cyt.c.d	Fmr1	2	6	5e-04	0	0.5
tok	Fmr1	2	6	0.0012	0	0.5
ttk	Fmr1	2	6	0.0013	0	0.5
tamo	Fmr1	2	6	9e-04	0	0.5
CG6416	Fmr1	2	6	4e-04	0	0.5
flfl	Fmr1	2	6	6e-04	0	0.5
Pvr	Fmr1	2	6	4e-04	0	0.5
kay	Fmr1	2	6	9e-04	0	0.5
Jra	Fmr1	2	6	7e-04	0	0.5
msk	Fmr1	2	6	1e-04	0	0.5
tll	Fmr1	2	6	2e-04	0	0.5
Tm1	Fmr1	2	6	0	0	0.5
srp	Fmr1	2	6	0	0	0.5
Btk29A	Fmr1	2	6	6e-04	0	0.5
fred	Fmr1	2	6	0.05	0	0.5
Src64B	Fmr1	2	6	5e-04	0	0.5
Mmp1	Fmr1	2	6	4e-04	0	0.5
sll	Fmr1	2	6	0.001	0	0.5
Hmgs	Fmr1	2	6	3e-04	0	0.5
caps	Fmr1	2	6	9e-04	0	0.5
Su.var.2.10	Fmr1	2	6	2e-04	0	0.5
CycB	Fmr1	2	6	1e-04	0	0.5
spir	Fmr1	2	6	2e-04	0	0.5
spn.A	Fmr1	2	6	7e-04	0	0.5
Ptpmeg	Fmr1	2	6	0.001	0	0.5
qua	Fmr1	2	6	6e-04	0	0.5
msn	Fmr1	2	6	8e-04	0	0.5
ena	Fmr1	2	6	5e-04	0	0.5
spen	Fmr1	2	6	2e-04	0	0.5
emc	Fmr1	2	6	0.0018	0	0.5
tsh	Fmr1	2	6	2e-04	0	0.5
Dat	Fmr1	2	6	2e-04	0	0.5
Lac	Fmr1	2	6	1e-04	0	0.5
dup	Fmr1	2	6	7e-04	0	0.5
CG3075	Fmr1	2	6	0	0	0.5
Akap200	Fmr1	2	6	4e-04	0	0.5
CG18369	Fmr1	2	6	0.0024	0	0.5
bnl	Fmr1	2	6	0.0015	0	0.5
sec23	Fmr1	2	6	1e-04	0	0.5
Pde8	Fmr1	2	6	3e-04	0	0.5
Arp66B	Fmr1	2	6	2e-04	0	0.5
cos	Fmr1	2	6	0.0011	0	0.5
Borr	Fmr1	2	6	3e-04	0	0.5
X140up	Fmr1	2	6	0	0	0.5
Dhc64C	Fmr1	2	6	0.002	0	0.5
Not1	Fmr1	2	6	9e-04	0	0.5
CG9520	Fmr1	2	6	1e-04	0	0.5
bib	Fmr1	2	6	4e-04	0	0.5
mib1	Fmr1	2	6	4e-04	0	0.5
cas	Fmr1	2	6	4e-04	0	0.5
Abi	Fmr1	2	6	2e-04	0	0.5
betaTub56D	Fmr1	2	6	1e-04	0	0.5
nej	Fmr1	2	6	7e-04	0	0.5
dlg1	Fmr1	2	6	0.0011	0	0.5
Lcp65Ag1	Fmr1	2	6	0.0017	0	0.5
Es2	Fmr1	2	6	1e-04	0	0.5
MED24	Fmr1	2	6	5e-04	0	0.5
Vhl	Fmr1	2	6	5e-04	0	0.5
tral	Fmr1	2	6	6e-04	0	0.5
sns	Fmr1	2	6	0.0024	0	0.5
mbl	Fmr1	2	6	1e-04	0	0.5
sav	Fmr1	2	6	4e-04	0	0.5
lola	Fmr1	2	6	1e-04	0	0.5
robo	Fmr1	2	6	4e-04	0	0.5
CG32486	Fmr1	2	6	3e-04	0	0.5
santa.maria	Fmr1	2	6	5e-04	0	0.5
stumps	Fmr1	2	6	1e-04	0	0.5
abd.A	Fmr1	2	6	4e-04	0	0.5
dock	Fmr1	2	6	3e-04	0	0.5
Lar	Fmr1	2	6	3e-04	0	0.5
l.1.G0289	Fmr1	2	6	0	0	0.5
Abl	Fmr1	2	6	2e-04	0	0.5
Syb	Fmr1	2	6	1e-04	0	0.5
dome	Fmr1	2	6	0	0	0.5
ofs	Fmr1	2	6	1e-04	0	0.5
MED4	Fmr1	2	6	4e-04	0	0.5
scrib	Fmr1	2	6	5e-04	0	0.5
siz	Fmr1	2	6	8e-04	0	0.5
cbx	Fmr1	2	6	2e-04	0	0.5
dsx	Fmr1	2	6	0	0	0.5
Sb	Fmr1	2	6	1e-04	0	0.5
sax	Fmr1	2	6	0	0	0.5
foxo	Fmr1	2	6	8e-04	0	0.5
Cyp1	Fmr1	2	6	0.0011	0	0.5
brm	Fmr1	2	6	5e-04	0	0.5
rad50	Fmr1	2	6	3e-04	0	0.5
chico	Fmr1	2	6	0.0106	0	0.5
cp309	Fmr1	2	6	4e-04	0	0.5
hdc	Fmr1	2	6	6e-04	0	0.5
Axn	Fmr1	2	6	4e-04	0	0.5
Apc2	Fmr1	2	6	0.0051	0	0.5
PhKgamma	Fmr1	2	6	0	0	0.5
eya	Fmr1	2	6	6e-04	0	0.5
sktl	Fmr1	2	6	7e-04	0	0.5
sqd	Fmr1	2	6	8e-04	0	0.5
Akt1	Fmr1	2	6	5e-04	0	0.5
scyl	Fmr1	2	6	4e-04	0	0.5
cnk	Fmr1	2	6	3e-04	0	0.5
CG8149	Fmr1	2	6	0.0018	0	0.5
CG34379	Fmr1	2	6	5e-04	0	0.5
Yp1	Fmr1	2	6	4e-04	0	0.5
yrt	Fmr1	2	6	1e-04	0	0.5
bap	Fmr1	2	6	4e-04	0	0.5
tud	Fmr1	2	6	3e-04	0	0.5
ct	Fmr1	2	6	7e-04	0	0.5
tup	Fmr1	2	6	2e-04	0	0.5
G.ialpha65A	Fmr1	2	6	0.0011	0	0.5
knrl	Fmr1	2	6	6e-04	0	0.5
Pkn	Fmr1	2	6	6e-04	0	0.5
Sry.delta	Fmr1	2	6	0.0169	0	0.5
Alh	Fmr1	2	6	4e-04	0	0.5
pnut	Fmr1	2	6	1e-04	0	0.5
phyl	Fmr1	2	6	0.0038	0	0.5
CG17739	Fmr1	2	6	2e-04	0	0.5
B4	Fmr1	2	6	0	0	0.5
CG2681	Fmr1	2	6	8e-04	0	0.5
tow	Fmr1	2	6	5e-04	0	0.5
hkl	Fmr1	2	6	3e-04	0	0.5
sina	Fmr1	2	6	3e-04	0	0.5
ry	Fmr1	2	6	0.0209	0	0.5
rux	Fmr1	2	6	0	0	0.5
boss	Fmr1	2	6	0.0016	0	0.5
Mkp3	Fmr1	2	6	6e-04	0	0.5
inaC	Fmr1	2	6	5e-04	0	0.5
sno	Fmr1	2	6	2e-04	0	0.5
jagn	Fmr1	2	6	6e-04	0	0.5
dpn	Fmr1	2	6	3e-04	0	0.5
wrapper	Fmr1	2	6	1e-04	0	0.5
Ca.alpha1D	Fmr1	2	6	0.0018	0	0.5
E2f	Fmr1	2	6	1e-04	0	0.5
Dp	Fmr1	2	6	4e-04	0	0.5
l.2.efl	Fmr1	2	6	0	0	0.5
cnc	Fmr1	2	6	0.0085	0	0.5
Atg5	Fmr1	2	6	3e-04	0	0.5
acj6	Fmr1	2	6	2e-04	0	0.5
Trl	Fmr1	2	6	1e-04	0	0.5
d4	Fmr1	2	6	1e-04	0	0.5
CG16719	Fmr1	2	6	6e-04	0	0.5
CadN	Fmr1	2	6	1e-04	0	0.5
gro	Fmr1	2	6	1e-04	0	0.5
sec13	Fmr1	2	6	2e-04	0	0.5
klar	Fmr1	2	6	0	0	0.5
Rack1	Fmr1	2	6	0.0011	0	0.5
Sobp	Fmr1	2	6	5e-04	0	0.5
ash1	Fmr1	2	6	2e-04	0	0.5
inv	Fmr1	2	6	0.0032	0	0.5
shot	Fmr1	2	6	0.0013	0	0.5
Oseg1	Fmr1	2	6	6e-04	0	0.5
Spred	Fmr1	2	6	4e-04	0	0.5
puc	Fmr1	2	6	0.0013	0	0.5
Atg6	Fmr1	2	6	6e-04	0	0.5
CG3829	Fmr1	2	6	5e-04	0	0.5
sle	Fmr1	2	6	4e-04	0	0.5
Cka	Fmr1	2	6	0.0011	0	0.5
form3	Fmr1	2	6	3e-04	0	0.5
Pk61C	Fmr1	2	6	1e-04	0	0.5
Pcaf	Fmr1	2	6	9e-04	0	0.5
sbb	Fmr1	2	6	5e-04	0	0.5
Ef1gamma	Fmr1	2	6	1e-04	0	0.5
FKBP59	Fmr1	2	6	0.0054	0	0.5
Eip71CD	Fmr1	2	6	5e-04	0	0.5
xmas.2	Fmr1	2	6	4e-04	0	0.5
ppan	Fmr1	2	6	0.0011	0	0.5
Iswi	Fmr1	2	6	4e-04	0	0.5
ine	Fmr1	2	6	2e-04	0	0.5
Tina.1	Fmr1	2	6	2e-04	0	0.5
bon	Fmr1	2	6	2e-04	0	0.5
pot	Fmr1	2	6	1e-04	0	0.5
chic	Fmr1	2	6	1e-04	0	0.5
Hem	Fmr1	2	6	0.001	0	0.5
chif	Fmr1	2	6	0.001	0	0.5
S6kII	Fmr1	2	6	2e-04	0	0.5
wal	Fmr1	2	6	0	0	0.5
wls	Fmr1	2	6	5e-04	0	0.5
Ddx1	Fmr1	2	6	8e-04	0	0.5
Sulf1	Fmr1	2	6	2e-04	0	0.5
CG3987	Fmr1	2	6	3e-04	0	0.5
Abd.B	Fmr1	2	6	1e-04	0	0.5
Uba1	Fmr1	2	6	1e-04	0	0.5
bigmax	Fmr1	2	6	0.0062	0	0.5
NAT1	Fmr1	2	6	0.001	0	0.5
wupA	Fmr1	2	6	5e-04	0	0.5
Vps28	Fmr1	2	6	4e-04	0	0.5
G.oalpha47A	Fmr1	2	6	4e-04	0	0.5
G.salpha60A	Fmr1	2	6	0.0011	0	0.5
dsf	Fmr1	2	6	0.0014	0	0.5
Khc	Fmr1	2	6	0.0033	0	0.5
CG10641	Fmr1	2	6	1e-04	0	0.5
Alk	Fmr1	2	6	0.0014	0	0.5
