Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	G.ialpha65A	2	6	1e-04	0	0.5
emp	G.ialpha65A	2	6	0	0	0.5
CG2678	G.ialpha65A	2	6	0.0303	0	0.5
crc	G.ialpha65A	2	6	3e-04	0	0.5
pros	G.ialpha65A	2	6	4e-04	0	0.5
neur	G.ialpha65A	2	6	4e-04	0	0.5
Rab5	G.ialpha65A	2	6	0	0	0.5
Rab7	G.ialpha65A	2	6	3e-04	0	0.5
Mmp2	G.ialpha65A	2	6	0.0017	0	0.5
W	G.ialpha65A	2	6	2e-04	0	0.5
bowl	G.ialpha65A	2	6	0	0	0.5
fd59A	G.ialpha65A	2	6	8e-04	0	0.5
e	G.ialpha65A	2	6	0	0	0.5
ben	G.ialpha65A	2	6	0.0037	0	0.5
rdo	G.ialpha65A	2	6	2e-04	0	0.5
lin	G.ialpha65A	2	6	5e-04	0	0.5
tra	G.ialpha65A	2	6	0	0	0.5
tra2	G.ialpha65A	2	6	0	0	0.5
cathD	G.ialpha65A	2	6	2e-04	0	0.5
d	G.ialpha65A	2	6	8e-04	0	0.5
lva	G.ialpha65A	2	6	0	0	0.5
pbl	G.ialpha65A	2	6	0	0	0.5
CG33205	G.ialpha65A	2	6	2e-04	0	0.5
da	G.ialpha65A	2	6	0	0	0.5
cactin	G.ialpha65A	2	6	1e-04	0	0.5
hpo	G.ialpha65A	2	6	0	0	0.5
Sema.2a	G.ialpha65A	2	6	8e-04	0	0.5
Eip74EF	G.ialpha65A	2	6	0	0	0.5
eg	G.ialpha65A	2	6	5e-04	0	0.5
Arc42	G.ialpha65A	2	6	0	0	0.5
toy	G.ialpha65A	2	6	0	0	0.5
Galpha73B	G.ialpha65A	2	6	0	0	0.5
RhoGAPp190	G.ialpha65A	2	6	0	0	0.5
MED11	G.ialpha65A	2	6	0	0	0.5
cher	G.ialpha65A	2	6	0	0	0.5
BicD	G.ialpha65A	2	6	0	0	0.5
MYPT.75D	G.ialpha65A	2	6	0	0	0.5
mus304	G.ialpha65A	2	6	2e-04	0	0.5
CdsA	G.ialpha65A	2	6	9e-04	0	0.5
btl	G.ialpha65A	2	6	0	0	0.5
Cyt.c.d	G.ialpha65A	2	6	1e-04	0	0.5
tok	G.ialpha65A	2	6	7e-04	0	0.5
ttk	G.ialpha65A	2	6	0.0019	0	0.5
tamo	G.ialpha65A	2	6	0	0	0.5
CG6416	G.ialpha65A	2	6	0.0012	0	0.5
flfl	G.ialpha65A	2	6	3e-04	0	0.5
Pvr	G.ialpha65A	2	6	6e-04	0	0.5
kay	G.ialpha65A	2	6	4e-04	0	0.5
Jra	G.ialpha65A	2	6	1e-04	0	0.5
msk	G.ialpha65A	2	6	0.0021	0	0.5
tll	G.ialpha65A	2	6	0	0	0.5
Tm1	G.ialpha65A	2	6	0	0	0.5
srp	G.ialpha65A	2	6	0.0013	0	0.5
Btk29A	G.ialpha65A	2	6	2e-04	0	0.5
fred	G.ialpha65A	2	6	0	0	0.5
Src64B	G.ialpha65A	2	6	0	0	0.5
Mmp1	G.ialpha65A	2	6	3e-04	0	0.5
sll	G.ialpha65A	2	6	0	0	0.5
Hmgs	G.ialpha65A	2	6	4e-04	0	0.5
caps	G.ialpha65A	2	6	0	0	0.5
Su.var.2.10	G.ialpha65A	2	6	0	0	0.5
CycB	G.ialpha65A	2	6	1e-04	0	0.5
spir	G.ialpha65A	2	6	1e-04	0	0.5
spn.A	G.ialpha65A	2	6	0	0	0.5
Ptpmeg	G.ialpha65A	2	6	0	0	0.5
qua	G.ialpha65A	2	6	4e-04	0	0.5
msn	G.ialpha65A	2	6	2e-04	0	0.5
ena	G.ialpha65A	2	6	2e-04	0	0.5
spen	G.ialpha65A	2	6	0.0014	0	0.5
emc	G.ialpha65A	2	6	4e-04	0	0.5
tsh	G.ialpha65A	2	6	0.001	0	0.5
Dat	G.ialpha65A	2	6	1e-04	0	0.5
Lac	G.ialpha65A	2	6	2e-04	0	0.5
dup	G.ialpha65A	2	6	1e-04	0	0.5
CG3075	G.ialpha65A	2	6	0.0035	0	0.5
Akap200	G.ialpha65A	2	6	2e-04	0	0.5
CG18369	G.ialpha65A	2	6	0	0	0.5
bnl	G.ialpha65A	2	6	5e-04	0	0.5
sec23	G.ialpha65A	2	6	2e-04	0	0.5
Pde8	G.ialpha65A	2	6	0	0	0.5
Arp66B	G.ialpha65A	2	6	3e-04	0	0.5
cos	G.ialpha65A	2	6	3e-04	0	0.5
Borr	G.ialpha65A	2	6	0	0	0.5
X140up	G.ialpha65A	2	6	6e-04	0	0.5
Dhc64C	G.ialpha65A	2	6	0	0	0.5
Not1	G.ialpha65A	2	6	5e-04	0	0.5
CG9520	G.ialpha65A	2	6	4e-04	0	0.5
bib	G.ialpha65A	2	6	0	0	0.5
mib1	G.ialpha65A	2	6	0.0015	0	0.5
cas	G.ialpha65A	2	6	0	0	0.5
Abi	G.ialpha65A	2	6	0.0331	0	0.5
betaTub56D	G.ialpha65A	2	6	1e-04	0	0.5
nej	G.ialpha65A	2	6	0	0	0.5
dlg1	G.ialpha65A	2	6	0	0	0.5
Lcp65Ag1	G.ialpha65A	2	6	1e-04	0	0.5
Es2	G.ialpha65A	2	6	0	0	0.5
MED24	G.ialpha65A	2	6	0.0012	0	0.5
Vhl	G.ialpha65A	2	6	0	0	0.5
tral	G.ialpha65A	2	6	5e-04	0	0.5
sns	G.ialpha65A	2	6	7e-04	0	0.5
mbl	G.ialpha65A	2	6	2e-04	0	0.5
sav	G.ialpha65A	2	6	0.0022	0	0.5
