Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	G.oalpha47A	2	6	0	0	0.5
emp	G.oalpha47A	2	6	0	0	0.5
CG2678	G.oalpha47A	2	6	0	0	0.5
crc	G.oalpha47A	2	6	0	0	0.5
pros	G.oalpha47A	2	6	0	0	0.5
neur	G.oalpha47A	2	6	0	0	0.5
Rab5	G.oalpha47A	2	6	0	0	0.5
Rab7	G.oalpha47A	2	6	0	0	0.5
Mmp2	G.oalpha47A	2	6	1e-04	0	0.5
W	G.oalpha47A	2	6	0	0	0.5
bowl	G.oalpha47A	2	6	0	0	0.5
fd59A	G.oalpha47A	2	6	0	0	0.5
e	G.oalpha47A	2	6	1e-04	0	0.5
ben	G.oalpha47A	2	6	0	0	0.5
rdo	G.oalpha47A	2	6	1e-04	0	0.5
lin	G.oalpha47A	2	6	0	0	0.5
tra	G.oalpha47A	2	6	0	0	0.5
tra2	G.oalpha47A	2	6	0	0	0.5
cathD	G.oalpha47A	2	6	0	0	0.5
d	G.oalpha47A	2	6	0	0	0.5
lva	G.oalpha47A	2	6	0	0	0.5
pbl	G.oalpha47A	2	6	0	0	0.5
CG33205	G.oalpha47A	2	6	0	0	0.5
da	G.oalpha47A	2	6	0	0	0.5
cactin	G.oalpha47A	2	6	0	0	0.5
hpo	G.oalpha47A	2	6	0	0	0.5
Sema.2a	G.oalpha47A	2	6	0	0	0.5
Eip74EF	G.oalpha47A	2	6	0	0	0.5
eg	G.oalpha47A	2	6	1e-04	0	0.5
Arc42	G.oalpha47A	2	6	0	0	0.5
toy	G.oalpha47A	2	6	1e-04	0	0.5
Galpha73B	G.oalpha47A	2	6	0	0	0.5
RhoGAPp190	G.oalpha47A	2	6	0	0	0.5
MED11	G.oalpha47A	2	6	0	0	0.5
cher	G.oalpha47A	2	6	0	0	0.5
BicD	G.oalpha47A	2	6	0	0	0.5
MYPT.75D	G.oalpha47A	2	6	0	0	0.5
mus304	G.oalpha47A	2	6	0	0	0.5
CdsA	G.oalpha47A	2	6	0	0	0.5
btl	G.oalpha47A	2	6	0	0	0.5
Cyt.c.d	G.oalpha47A	2	6	0	0	0.5
tok	G.oalpha47A	2	6	0	0	0.5
ttk	G.oalpha47A	2	6	0	0	0.5
tamo	G.oalpha47A	2	6	0	0	0.5
CG6416	G.oalpha47A	2	6	1e-04	0	0.5
flfl	G.oalpha47A	2	6	0	0	0.5
Pvr	G.oalpha47A	2	6	0	0	0.5
kay	G.oalpha47A	2	6	0	0	0.5
Jra	G.oalpha47A	2	6	0	0	0.5
msk	G.oalpha47A	2	6	0	0	0.5
tll	G.oalpha47A	2	6	0	0	0.5
Tm1	G.oalpha47A	2	6	0	0	0.5
srp	G.oalpha47A	2	6	0	0	0.5
Btk29A	G.oalpha47A	2	6	0	0	0.5
fred	G.oalpha47A	2	6	0	0	0.5
Src64B	G.oalpha47A	2	6	1e-04	0	0.5
Mmp1	G.oalpha47A	2	6	2e-04	0	0.5
sll	G.oalpha47A	2	6	4e-04	0	0.5
Hmgs	G.oalpha47A	2	6	0	0	0.5
caps	G.oalpha47A	2	6	0	0	0.5
Su.var.2.10	G.oalpha47A	2	6	0	0	0.5
CycB	G.oalpha47A	2	6	5e-04	0	0.5
spir	G.oalpha47A	2	6	0	0	0.5
spn.A	G.oalpha47A	2	6	0	0	0.5
Ptpmeg	G.oalpha47A	2	6	0	0	0.5
qua	G.oalpha47A	2	6	1e-04	0	0.5
msn	G.oalpha47A	2	6	0	0	0.5
ena	G.oalpha47A	2	6	0	0	0.5
spen	G.oalpha47A	2	6	0	0	0.5
emc	G.oalpha47A	2	6	0	0	0.5
tsh	G.oalpha47A	2	6	0	0	0.5
Dat	G.oalpha47A	2	6	0	0	0.5
Lac	G.oalpha47A	2	6	3e-04	0	0.5
dup	G.oalpha47A	2	6	0	0	0.5
CG3075	G.oalpha47A	2	6	0	0	0.5
Akap200	G.oalpha47A	2	6	0	0	0.5
CG18369	G.oalpha47A	2	6	3e-04	0	0.5
bnl	G.oalpha47A	2	6	0	0	0.5
sec23	G.oalpha47A	2	6	0	0	0.5
Pde8	G.oalpha47A	2	6	0	0	0.5
Arp66B	G.oalpha47A	2	6	0	0	0.5
cos	G.oalpha47A	2	6	0	0	0.5
Borr	G.oalpha47A	2	6	0	0	0.5
X140up	G.oalpha47A	2	6	3e-04	0	0.5
Dhc64C	G.oalpha47A	2	6	0	0	0.5
Not1	G.oalpha47A	2	6	7e-04	0	0.5
CG9520	G.oalpha47A	2	6	0	0	0.5
bib	G.oalpha47A	2	6	0	0	0.5
mib1	G.oalpha47A	2	6	2e-04	0	0.5
cas	G.oalpha47A	2	6	0	0	0.5
Abi	G.oalpha47A	2	6	3e-04	0	0.5
betaTub56D	G.oalpha47A	2	6	0	0	0.5
nej	G.oalpha47A	2	6	0	0	0.5
dlg1	G.oalpha47A	2	6	5e-04	0	0.5
Lcp65Ag1	G.oalpha47A	2	6	0	0	0.5
Es2	G.oalpha47A	2	6	1e-04	0	0.5
MED24	G.oalpha47A	2	6	1e-04	0	0.5
Vhl	G.oalpha47A	2	6	0	0	0.5
tral	G.oalpha47A	2	6	0	0	0.5
sns	G.oalpha47A	2	6	0	0	0.5
mbl	G.oalpha47A	2	6	5e-04	0	0.5
sav	G.oalpha47A	2	6	0	0	0.5
lola	G.oalpha47A	2	6	0	0	0.5
robo	G.oalpha47A	2	6	0	0	0.5
CG32486	G.oalpha47A	2	6	7e-04	0	0.5
santa.maria	G.oalpha47A	2	6	5e-04	0	0.5
stumps	G.oalpha47A	2	6	0	0	0.5
abd.A	G.oalpha47A	2	6	0	0	0.5
dock	G.oalpha47A	2	6	0	0	0.5
Lar	G.oalpha47A	2	6	2e-04	0	0.5
l.1.G0289	G.oalpha47A	2	6	0	0	0.5
Abl	G.oalpha47A	2	6	0	0	0.5
Syb	G.oalpha47A	2	6	0	0	0.5
dome	G.oalpha47A	2	6	1e-04	0	0.5
ofs	G.oalpha47A	2	6	0	0	0.5
MED4	G.oalpha47A	2	6	0	0	0.5
scrib	G.oalpha47A	2	6	0	0	0.5
siz	G.oalpha47A	2	6	0.0565	0	0.5
cbx	G.oalpha47A	2	6	0	0	0.5
dsx	G.oalpha47A	2	6	0	0	0.5
Sb	G.oalpha47A	2	6	0	0	0.5
sax	G.oalpha47A	2	6	0	0	0.5
foxo	G.oalpha47A	2	6	2e-04	0	0.5
Cyp1	G.oalpha47A	2	6	0	0	0.5
brm	G.oalpha47A	2	6	0	0	0.5
rad50	G.oalpha47A	2	6	0	0	0.5
chico	G.oalpha47A	2	6	0	0	0.5
cp309	G.oalpha47A	2	6	0	0	0.5
hdc	G.oalpha47A	2	6	0	0	0.5
Axn	G.oalpha47A	2	6	0	0	0.5
Apc2	G.oalpha47A	2	6	5e-04	0	0.5
PhKgamma	G.oalpha47A	2	6	0	0	0.5
eya	G.oalpha47A	2	6	0	0	0.5
sktl	G.oalpha47A	2	6	1e-04	0	0.5
sqd	G.oalpha47A	2	6	0	0	0.5
Akt1	G.oalpha47A	2	6	0	0	0.5
scyl	G.oalpha47A	2	6	2e-04	0	0.5
cnk	G.oalpha47A	2	6	2e-04	0	0.5
CG8149	G.oalpha47A	2	6	0	0	0.5
CG34379	G.oalpha47A	2	6	0	0	0.5
Yp1	G.oalpha47A	2	6	4e-04	0	0.5
yrt	G.oalpha47A	2	6	0	0	0.5
bap	G.oalpha47A	2	6	0	0	0.5
tud	G.oalpha47A	2	6	0	0	0.5
ct	G.oalpha47A	2	6	0	0	0.5
tup	G.oalpha47A	2	6	0.9436	0.99925	0.5
G.ialpha65A	G.oalpha47A	2	6	0	0	0.5
knrl	G.oalpha47A	2	6	0	0	0.5
Pkn	G.oalpha47A	2	6	3e-04	0	0.5
Sry.delta	G.oalpha47A	2	6	0	0	0.5
Alh	G.oalpha47A	2	6	3e-04	0	0.5
pnut	G.oalpha47A	2	6	0	0	0.5
phyl	G.oalpha47A	2	6	0	0	0.5
CG17739	G.oalpha47A	2	6	0	0	0.5
B4	G.oalpha47A	2	6	0	0	0.5
CG2681	G.oalpha47A	2	6	0	0	0.5
tow	G.oalpha47A	2	6	0	0	0.5
hkl	G.oalpha47A	2	6	0	0	0.5
sina	G.oalpha47A	2	6	0	0	0.5
ry	G.oalpha47A	2	6	0	0	0.5
rux	G.oalpha47A	2	6	0	0	0.5
boss	G.oalpha47A	2	6	1e-04	0	0.5
Mkp3	G.oalpha47A	2	6	0	0	0.5
inaC	G.oalpha47A	2	6	0	0	0.5
sno	G.oalpha47A	2	6	0	0	0.5
jagn	G.oalpha47A	2	6	0	0	0.5
dpn	G.oalpha47A	2	6	0	0	0.5
wrapper	G.oalpha47A	2	6	4e-04	0	0.5
Ca.alpha1D	G.oalpha47A	2	6	0	0	0.5
E2f	G.oalpha47A	2	6	0	0	0.5
Dp	G.oalpha47A	2	6	0	0	0.5
l.2.efl	G.oalpha47A	2	6	0	0	0.5
cnc	G.oalpha47A	2	6	0	0	0.5
Atg5	G.oalpha47A	2	6	0	0	0.5
acj6	G.oalpha47A	2	6	0	0	0.5
Trl	G.oalpha47A	2	6	1e-04	0	0.5
d4	G.oalpha47A	2	6	0	0	0.5
CG16719	G.oalpha47A	2	6	0	0	0.5
CadN	G.oalpha47A	2	6	0	0	0.5
gro	G.oalpha47A	2	6	0	0	0.5
sec13	G.oalpha47A	2	6	4e-04	0	0.5
klar	G.oalpha47A	2	6	0	0	0.5
Rack1	G.oalpha47A	2	6	0	0	0.5
Sobp	G.oalpha47A	2	6	0	0	0.5
ash1	G.oalpha47A	2	6	0	0	0.5
inv	G.oalpha47A	2	6	0	0	0.5
shot	G.oalpha47A	2	6	0	0	0.5
Oseg1	G.oalpha47A	2	6	0	0	0.5
Spred	G.oalpha47A	2	6	0	0	0.5
puc	G.oalpha47A	2	6	0	0	0.5
Atg6	G.oalpha47A	2	6	0	0	0.5
CG3829	G.oalpha47A	2	6	1e-04	0	0.5
sle	G.oalpha47A	2	6	2e-04	0	0.5
Cka	G.oalpha47A	2	6	0	0	0.5
form3	G.oalpha47A	2	6	0	0	0.5
Pk61C	G.oalpha47A	2	6	1e-04	0	0.5
Pcaf	G.oalpha47A	2	6	0	0	0.5
sbb	G.oalpha47A	2	6	0	0	0.5
Ef1gamma	G.oalpha47A	2	6	0	0	0.5
FKBP59	G.oalpha47A	2	6	1e-04	0	0.5
Eip71CD	G.oalpha47A	2	6	2e-04	0	0.5
xmas.2	G.oalpha47A	2	6	0	0	0.5
ppan	G.oalpha47A	2	6	0	0	0.5
Iswi	G.oalpha47A	2	6	9e-04	0	0.5
ine	G.oalpha47A	2	6	0	0	0.5
Tina.1	G.oalpha47A	2	6	0	0	0.5
bon	G.oalpha47A	2	6	0	0	0.5
pot	G.oalpha47A	2	6	0	0	0.5
chic	G.oalpha47A	2	6	0	0	0.5
Hem	G.oalpha47A	2	6	0	0	0.5
chif	G.oalpha47A	2	6	0	0	0.5
S6kII	G.oalpha47A	2	6	0	0	0.5
wal	G.oalpha47A	2	6	0	0	0.5
wls	G.oalpha47A	2	6	0	0	0.5
Ddx1	G.oalpha47A	2	6	0	0	0.5
Sulf1	G.oalpha47A	2	6	2e-04	0	0.5
CG3987	G.oalpha47A	2	6	0	0	0.5
Abd.B	G.oalpha47A	2	6	1e-04	0	0.5
Uba1	G.oalpha47A	2	6	0	0	0.5
bigmax	G.oalpha47A	2	6	0	0	0.5
NAT1	G.oalpha47A	2	6	0	0	0.5
wupA	G.oalpha47A	2	6	2e-04	0	0.5
Vps28	G.oalpha47A	2	6	0	0	0.5
G.oalpha47A	G.oalpha47A	2	6	0	0	0.5
G.salpha60A	G.oalpha47A	2	6	0	0	0.5
dsf	G.oalpha47A	2	6	0	0	0.5
Khc	G.oalpha47A	2	6	0	0	0.5
CG10641	G.oalpha47A	2	6	0	0	0.5
Alk	G.oalpha47A	2	6	0	0	0.5
