Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Galpha73B	2	6	3e-04	0	0.5
emp	Galpha73B	2	6	8e-04	0	0.5
CG2678	Galpha73B	2	6	0.0137	0	0.5
crc	Galpha73B	2	6	0	0	0.5
pros	Galpha73B	2	6	2e-04	0	0.5
neur	Galpha73B	2	6	3e-04	0	0.5
Rab5	Galpha73B	2	6	1e-04	0	0.5
Rab7	Galpha73B	2	6	3e-04	0	0.5
Mmp2	Galpha73B	2	6	8e-04	0	0.5
W	Galpha73B	2	6	1e-04	0	0.5
bowl	Galpha73B	2	6	5e-04	0	0.5
fd59A	Galpha73B	2	6	2e-04	0	0.5
e	Galpha73B	2	6	0.0012	0	0.5
ben	Galpha73B	2	6	0.0019	0	0.5
rdo	Galpha73B	2	6	8e-04	0	0.5
lin	Galpha73B	2	6	1e-04	0	0.5
tra	Galpha73B	2	6	0.0027	0	0.5
tra2	Galpha73B	2	6	0	0	0.5
cathD	Galpha73B	2	6	4e-04	0	0.5
d	Galpha73B	2	6	6e-04	0	0.5
lva	Galpha73B	2	6	9e-04	0	0.5
pbl	Galpha73B	2	6	2e-04	0	0.5
CG33205	Galpha73B	2	6	1e-04	0	0.5
da	Galpha73B	2	6	0.0013	0	0.5
cactin	Galpha73B	2	6	7e-04	0	0.5
hpo	Galpha73B	2	6	2e-04	0	0.5
Sema.2a	Galpha73B	2	6	5e-04	0	0.5
Eip74EF	Galpha73B	2	6	0.0012	0	0.5
eg	Galpha73B	2	6	0	0	0.5
Arc42	Galpha73B	2	6	5e-04	0	0.5
toy	Galpha73B	2	6	0	0	0.5
Galpha73B	Galpha73B	2	6	0	0	0.5
RhoGAPp190	Galpha73B	2	6	1e-04	0	0.5
MED11	Galpha73B	2	6	3e-04	0	0.5
cher	Galpha73B	2	6	4e-04	0	0.5
BicD	Galpha73B	2	6	2e-04	0	0.5
MYPT.75D	Galpha73B	2	6	7e-04	0	0.5
mus304	Galpha73B	2	6	0.003	0	0.5
CdsA	Galpha73B	2	6	0	0	0.5
btl	Galpha73B	2	6	0.0014	0	0.5
Cyt.c.d	Galpha73B	2	6	1e-04	0	0.5
tok	Galpha73B	2	6	0.0013	0	0.5
ttk	Galpha73B	2	6	0	0	0.5
tamo	Galpha73B	2	6	0	0	0.5
CG6416	Galpha73B	2	6	0.0028	0	0.5
flfl	Galpha73B	2	6	0.0029	0	0.5
Pvr	Galpha73B	2	6	0.001	0	0.5
kay	Galpha73B	2	6	1e-04	0	0.5
Jra	Galpha73B	2	6	2e-04	0	0.5
msk	Galpha73B	2	6	2e-04	0	0.5
tll	Galpha73B	2	6	3e-04	0	0.5
Tm1	Galpha73B	2	6	0	0	0.5
srp	Galpha73B	2	6	8e-04	0	0.5
Btk29A	Galpha73B	2	6	1e-04	0	0.5
fred	Galpha73B	2	6	2e-04	0	0.5
Src64B	Galpha73B	2	6	3e-04	0	0.5
Mmp1	Galpha73B	2	6	0	0	0.5
sll	Galpha73B	2	6	0	0	0.5
Hmgs	Galpha73B	2	6	7e-04	0	0.5
caps	Galpha73B	2	6	2e-04	0	0.5
Su.var.2.10	Galpha73B	2	6	0	0	0.5
CycB	Galpha73B	2	6	2e-04	0	0.5
spir	Galpha73B	2	6	9e-04	0	0.5
spn.A	Galpha73B	2	6	5e-04	0	0.5
Ptpmeg	Galpha73B	2	6	0	0	0.5
qua	Galpha73B	2	6	1e-04	0	0.5
msn	Galpha73B	2	6	1e-04	0	0.5
ena	Galpha73B	2	6	3e-04	0	0.5
spen	Galpha73B	2	6	0.001	0	0.5
emc	Galpha73B	2	6	7e-04	0	0.5
tsh	Galpha73B	2	6	0.0011	0	0.5
Dat	Galpha73B	2	6	0.0089	0	0.5
Lac	Galpha73B	2	6	4e-04	0	0.5
dup	Galpha73B	2	6	0.002	0	0.5
CG3075	Galpha73B	2	6	3e-04	0	0.5
Akap200	Galpha73B	2	6	9e-04	0	0.5
CG18369	Galpha73B	2	6	2e-04	0	0.5
bnl	Galpha73B	2	6	1e-04	0	0.5
sec23	Galpha73B	2	6	4e-04	0	0.5
Pde8	Galpha73B	2	6	7e-04	0	0.5
Arp66B	Galpha73B	2	6	3e-04	0	0.5
cos	Galpha73B	2	6	8e-04	0	0.5
Borr	Galpha73B	2	6	1e-04	0	0.5
X140up	Galpha73B	2	6	9e-04	0	0.5
Dhc64C	Galpha73B	2	6	0.001	0	0.5
Not1	Galpha73B	2	6	0.0011	0	0.5
CG9520	Galpha73B	2	6	0	0	0.5
bib	Galpha73B	2	6	1e-04	0	0.5
mib1	Galpha73B	2	6	3e-04	0	0.5
cas	Galpha73B	2	6	9e-04	0	0.5
Abi	Galpha73B	2	6	2e-04	0	0.5
betaTub56D	Galpha73B	2	6	6e-04	0	0.5
nej	Galpha73B	2	6	5e-04	0	0.5
dlg1	Galpha73B	2	6	0.0017	0	0.5
Lcp65Ag1	Galpha73B	2	6	0.0012	0	0.5
Es2	Galpha73B	2	6	8e-04	0	0.5
MED24	Galpha73B	2	6	0.0023	0	0.5
Vhl	Galpha73B	2	6	0.0017	0	0.5
tral	Galpha73B	2	6	2e-04	0	0.5
sns	Galpha73B	2	6	1e-04	0	0.5
mbl	Galpha73B	2	6	4e-04	0	0.5
sav	Galpha73B	2	6	7e-04	0	0.5
lola	Galpha73B	2	6	0.0012	0	0.5
robo	Galpha73B	2	6	6e-04	0	0.5
CG32486	Galpha73B	2	6	1e-04	0	0.5
santa.maria	Galpha73B	2	6	0	0	0.5
stumps	Galpha73B	2	6	0.001	0	0.5
abd.A	Galpha73B	2	6	1e-04	0	0.5
dock	Galpha73B	2	6	8e-04	0	0.5
Lar	Galpha73B	2	6	3e-04	0	0.5
l.1.G0289	Galpha73B	2	6	1e-04	0	0.5
Abl	Galpha73B	2	6	1e-04	0	0.5
Syb	Galpha73B	2	6	4e-04	0	0.5
dome	Galpha73B	2	6	0.0023	0	0.5
ofs	Galpha73B	2	6	0	0	0.5
MED4	Galpha73B	2	6	5e-04	0	0.5
scrib	Galpha73B	2	6	1e-04	0	0.5
siz	Galpha73B	2	6	0	0	0.5
cbx	Galpha73B	2	6	8e-04	0	0.5
dsx	Galpha73B	2	6	9e-04	0	0.5
Sb	Galpha73B	2	6	0.0011	0	0.5
sax	Galpha73B	2	6	3e-04	0	0.5
foxo	Galpha73B	2	6	4e-04	0	0.5
Cyp1	Galpha73B	2	6	6e-04	0	0.5
brm	Galpha73B	2	6	7e-04	0	0.5
rad50	Galpha73B	2	6	9e-04	0	0.5
chico	Galpha73B	2	6	5e-04	0	0.5
cp309	Galpha73B	2	6	5e-04	0	0.5
hdc	Galpha73B	2	6	1e-04	0	0.5
Axn	Galpha73B	2	6	0	0	0.5
Apc2	Galpha73B	2	6	8e-04	0	0.5
PhKgamma	Galpha73B	2	6	1e-04	0	0.5
eya	Galpha73B	2	6	0	0	0.5
sktl	Galpha73B	2	6	1e-04	0	0.5
sqd	Galpha73B	2	6	2e-04	0	0.5
Akt1	Galpha73B	2	6	6e-04	0	0.5
scyl	Galpha73B	2	6	1e-04	0	0.5
cnk	Galpha73B	2	6	3e-04	0	0.5
CG8149	Galpha73B	2	6	1e-04	0	0.5
CG34379	Galpha73B	2	6	0.0018	0	0.5
Yp1	Galpha73B	2	6	0.0015	0	0.5
yrt	Galpha73B	2	6	9e-04	0	0.5
bap	Galpha73B	2	6	5e-04	0	0.5
