Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Glycogenin	2	6	4e-04	0	0.5
emp	Glycogenin	2	6	3e-04	0	0.5
CG2678	Glycogenin	2	6	0	0	0.5
crc	Glycogenin	2	6	0	0	0.5
pros	Glycogenin	2	6	0	0	0.5
neur	Glycogenin	2	6	1e-04	0	0.5
Rab5	Glycogenin	2	6	0	0	0.5
Rab7	Glycogenin	2	6	7e-04	0	0.5
Mmp2	Glycogenin	2	6	1e-04	0	0.5
W	Glycogenin	2	6	0	0	0.5
bowl	Glycogenin	2	6	0	0	0.5
fd59A	Glycogenin	2	6	0	0	0.5
e	Glycogenin	2	6	0	0	0.5
ben	Glycogenin	2	6	0	0	0.5
rdo	Glycogenin	2	6	0	0	0.5
lin	Glycogenin	2	6	0	0	0.5
tra	Glycogenin	2	6	4e-04	0	0.5
tra2	Glycogenin	2	6	2e-04	0	0.5
cathD	Glycogenin	2	6	0	0	0.5
d	Glycogenin	2	6	0	0	0.5
lva	Glycogenin	2	6	3e-04	0	0.5
pbl	Glycogenin	2	6	0	0	0.5
CG33205	Glycogenin	2	6	0	0	0.5
da	Glycogenin	2	6	0	0	0.5
cactin	Glycogenin	2	6	4e-04	0	0.5
hpo	Glycogenin	2	6	1e-04	0	0.5
Sema.2a	Glycogenin	2	6	0	0	0.5
Eip74EF	Glycogenin	2	6	3e-04	0	0.5
eg	Glycogenin	2	6	0	0	0.5
Arc42	Glycogenin	2	6	0	0	0.5
toy	Glycogenin	2	6	0	0	0.5
Galpha73B	Glycogenin	2	6	0	0	0.5
RhoGAPp190	Glycogenin	2	6	0	0	0.5
MED11	Glycogenin	2	6	7e-04	0	0.5
cher	Glycogenin	2	6	0	0	0.5
BicD	Glycogenin	2	6	0	0	0.5
MYPT.75D	Glycogenin	2	6	3e-04	0	0.5
mus304	Glycogenin	2	6	0	0	0.5
CdsA	Glycogenin	2	6	0	0	0.5
btl	Glycogenin	2	6	0	0	0.5
Cyt.c.d	Glycogenin	2	6	5e-04	0	0.5
tok	Glycogenin	2	6	0	0	0.5
ttk	Glycogenin	2	6	0	0	0.5
tamo	Glycogenin	2	6	0	0	0.5
CG6416	Glycogenin	2	6	0	0	0.5
flfl	Glycogenin	2	6	0	0	0.5
Pvr	Glycogenin	2	6	9e-04	0	0.5
kay	Glycogenin	2	6	0	0	0.5
Jra	Glycogenin	2	6	1e-04	0	0.5
msk	Glycogenin	2	6	0	0	0.5
tll	Glycogenin	2	6	1e-04	0	0.5
Tm1	Glycogenin	2	6	0	0	0.5
srp	Glycogenin	2	6	0	0	0.5
Btk29A	Glycogenin	2	6	1e-04	0	0.5
fred	Glycogenin	2	6	0	0	0.5
Src64B	Glycogenin	2	6	9e-04	0	0.5
Mmp1	Glycogenin	2	6	0	0	0.5
sll	Glycogenin	2	6	0.0011	0	0.5
Hmgs	Glycogenin	2	6	5e-04	0	0.5
caps	Glycogenin	2	6	4e-04	0	0.5
Su.var.2.10	Glycogenin	2	6	0	0	0.5
CycB	Glycogenin	2	6	0	0	0.5
spir	Glycogenin	2	6	0	0	0.5
spn.A	Glycogenin	2	6	0	0	0.5
Ptpmeg	Glycogenin	2	6	0	0	0.5
qua	Glycogenin	2	6	0	0	0.5
msn	Glycogenin	2	6	3e-04	0	0.5
ena	Glycogenin	2	6	2e-04	0	0.5
spen	Glycogenin	2	6	0	0	0.5
emc	Glycogenin	2	6	0	0	0.5
tsh	Glycogenin	2	6	0	0	0.5
Dat	Glycogenin	2	6	0	0	0.5
Lac	Glycogenin	2	6	0	0	0.5
dup	Glycogenin	2	6	1e-04	0	0.5
CG3075	Glycogenin	2	6	3e-04	0	0.5
Akap200	Glycogenin	2	6	0	0	0.5
CG18369	Glycogenin	2	6	0	0	0.5
bnl	Glycogenin	2	6	2e-04	0	0.5
sec23	Glycogenin	2	6	2e-04	0	0.5
Pde8	Glycogenin	2	6	0	0	0.5
Arp66B	Glycogenin	2	6	0	0	0.5
cos	Glycogenin	2	6	0	0	0.5
Borr	Glycogenin	2	6	0	0	0.5
X140up	Glycogenin	2	6	0	0	0.5
Dhc64C	Glycogenin	2	6	0	0	0.5
Not1	Glycogenin	2	6	6e-04	0	0.5
CG9520	Glycogenin	2	6	0	0	0.5
bib	Glycogenin	2	6	0	0	0.5
mib1	Glycogenin	2	6	3e-04	0	0.5
cas	Glycogenin	2	6	0	0	0.5
Abi	Glycogenin	2	6	0	0	0.5
betaTub56D	Glycogenin	2	6	0	0	0.5
nej	Glycogenin	2	6	4e-04	0	0.5
dlg1	Glycogenin	2	6	0	0	0.5
Lcp65Ag1	Glycogenin	2	6	0	0	0.5
Es2	Glycogenin	2	6	1e-04	0	0.5
MED24	Glycogenin	2	6	2e-04	0	0.5
Vhl	Glycogenin	2	6	0	0	0.5
tral	Glycogenin	2	6	4e-04	0	0.5
sns	Glycogenin	2	6	2e-04	0	0.5
mbl	Glycogenin	2	6	3e-04	0	0.5
sav	Glycogenin	2	6	4e-04	0	0.5
lola	Glycogenin	2	6	7e-04	0	0.5
robo	Glycogenin	2	6	0.0019	0	0.5
CG32486	Glycogenin	2	6	0	0	0.5
santa.maria	Glycogenin	2	6	0	0	0.5
stumps	Glycogenin	2	6	3e-04	0	0.5
abd.A	Glycogenin	2	6	0	0	0.5
dock	Glycogenin	2	6	0	0	0.5
Lar	Glycogenin	2	6	0	0	0.5
l.1.G0289	Glycogenin	2	6	4e-04	0	0.5
Abl	Glycogenin	2	6	0.0014	0	0.5
Syb	Glycogenin	2	6	0	0	0.5
dome	Glycogenin	2	6	0	0	0.5
