Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Gtp.bp	2	6	5e-04	0	0.5
emp	Gtp.bp	2	6	2e-04	0	0.5
CG2678	Gtp.bp	2	6	6e-04	0	0.5
crc	Gtp.bp	2	6	6e-04	0	0.5
pros	Gtp.bp	2	6	1e-04	0	0.5
neur	Gtp.bp	2	6	0.001	0	0.5
Rab5	Gtp.bp	2	6	8e-04	0	0.5
Rab7	Gtp.bp	2	6	1e-04	0	0.5
Mmp2	Gtp.bp	2	6	7e-04	0	0.5
W	Gtp.bp	2	6	0.001	0	0.5
bowl	Gtp.bp	2	6	8e-04	0	0.5
fd59A	Gtp.bp	2	6	4e-04	0	0.5
e	Gtp.bp	2	6	8e-04	0	0.5
ben	Gtp.bp	2	6	6e-04	0	0.5
rdo	Gtp.bp	2	6	3e-04	0	0.5
lin	Gtp.bp	2	6	5e-04	0	0.5
tra	Gtp.bp	2	6	6e-04	0	0.5
tra2	Gtp.bp	2	6	2e-04	0	0.5
cathD	Gtp.bp	2	6	1e-04	0	0.5
d	Gtp.bp	2	6	0.0015	0	0.5
lva	Gtp.bp	2	6	0.0339	0	0.5
pbl	Gtp.bp	2	6	0.001	0	0.5
CG33205	Gtp.bp	2	6	9e-04	0	0.5
da	Gtp.bp	2	6	4e-04	0	0.5
cactin	Gtp.bp	2	6	1e-04	0	0.5
hpo	Gtp.bp	2	6	0.001	0	0.5
Sema.2a	Gtp.bp	2	6	0.0015	0	0.5
Eip74EF	Gtp.bp	2	6	0.0012	0	0.5
eg	Gtp.bp	2	6	1e-04	0	0.5
Arc42	Gtp.bp	2	6	0.004	0	0.5
toy	Gtp.bp	2	6	4e-04	0	0.5
Galpha73B	Gtp.bp	2	6	0	0	0.5
RhoGAPp190	Gtp.bp	2	6	9e-04	0	0.5
MED11	Gtp.bp	2	6	0	0	0.5
cher	Gtp.bp	2	6	0.0178	0	0.5
BicD	Gtp.bp	2	6	7e-04	0	0.5
MYPT.75D	Gtp.bp	2	6	0.0014	0	0.5
mus304	Gtp.bp	2	6	4e-04	0	0.5
CdsA	Gtp.bp	2	6	0.0017	0	0.5
btl	Gtp.bp	2	6	0.0017	0	0.5
Cyt.c.d	Gtp.bp	2	6	6e-04	0	0.5
tok	Gtp.bp	2	6	0	0	0.5
ttk	Gtp.bp	2	6	0.0014	0	0.5
tamo	Gtp.bp	2	6	5e-04	0	0.5
CG6416	Gtp.bp	2	6	0.001	0	0.5
flfl	Gtp.bp	2	6	2e-04	0	0.5
Pvr	Gtp.bp	2	6	0.0017	0	0.5
kay	Gtp.bp	2	6	0.0014	0	0.5
Jra	Gtp.bp	2	6	4e-04	0	0.5
msk	Gtp.bp	2	6	0.0053	0	0.5
tll	Gtp.bp	2	6	6e-04	0	0.5
Tm1	Gtp.bp	2	6	0	0	0.5
srp	Gtp.bp	2	6	2e-04	0	0.5
Btk29A	Gtp.bp	2	6	6e-04	0	0.5
fred	Gtp.bp	2	6	1e-04	0	0.5
Src64B	Gtp.bp	2	6	9e-04	0	0.5
Mmp1	Gtp.bp	2	6	0	0	0.5
sll	Gtp.bp	2	6	0.0078	0	0.5
Hmgs	Gtp.bp	2	6	4e-04	0	0.5
caps	Gtp.bp	2	6	2e-04	0	0.5
Su.var.2.10	Gtp.bp	2	6	3e-04	0	0.5
CycB	Gtp.bp	2	6	0.0028	0	0.5
spir	Gtp.bp	2	6	0.0346	0	0.5
spn.A	Gtp.bp	2	6	1e-04	0	0.5
Ptpmeg	Gtp.bp	2	6	0.0018	0	0.5
qua	Gtp.bp	2	6	1e-04	0	0.5
msn	Gtp.bp	2	6	1e-04	0	0.5
ena	Gtp.bp	2	6	7e-04	0	0.5
spen	Gtp.bp	2	6	7e-04	0	0.5
emc	Gtp.bp	2	6	3e-04	0	0.5
tsh	Gtp.bp	2	6	2e-04	0	0.5
Dat	Gtp.bp	2	6	7e-04	0	0.5
Lac	Gtp.bp	2	6	0.0019	0	0.5
dup	Gtp.bp	2	6	0.0011	0	0.5
CG3075	Gtp.bp	2	6	0	0	0.5
Akap200	Gtp.bp	2	6	3e-04	0	0.5
CG18369	Gtp.bp	2	6	2e-04	0	0.5
bnl	Gtp.bp	2	6	2e-04	0	0.5
sec23	Gtp.bp	2	6	3e-04	0	0.5
Pde8	Gtp.bp	2	6	3e-04	0	0.5
Arp66B	Gtp.bp	2	6	0	0	0.5
cos	Gtp.bp	2	6	0.0019	0	0.5
Borr	Gtp.bp	2	6	2e-04	0	0.5
X140up	Gtp.bp	2	6	5e-04	0	0.5
Dhc64C	Gtp.bp	2	6	9e-04	0	0.5
Not1	Gtp.bp	2	6	0.0011	0	0.5
CG9520	Gtp.bp	2	6	3e-04	0	0.5
bib	Gtp.bp	2	6	8e-04	0	0.5
mib1	Gtp.bp	2	6	0.0018	0	0.5
cas	Gtp.bp	2	6	4e-04	0	0.5
Abi	Gtp.bp	2	6	4e-04	0	0.5
betaTub56D	Gtp.bp	2	6	4e-04	0	0.5
nej	Gtp.bp	2	6	0.0679	0	0.5
dlg1	Gtp.bp	2	6	9e-04	0	0.5
Lcp65Ag1	Gtp.bp	2	6	0.0025	0	0.5
Es2	Gtp.bp	2	6	2e-04	0	0.5
MED24	Gtp.bp	2	6	0.0011	0	0.5
Vhl	Gtp.bp	2	6	5e-04	0	0.5
tral	Gtp.bp	2	6	3e-04	0	0.5
sns	Gtp.bp	2	6	1e-04	0	0.5
mbl	Gtp.bp	2	6	6e-04	0	0.5
