Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Hem	2	6	3e-04	0	0.5
emp	Hem	2	6	9e-04	0	0.5
CG2678	Hem	2	6	0.0046	0	0.5
crc	Hem	2	6	0.0014	0	0.5
pros	Hem	2	6	0	0	0.5
neur	Hem	2	6	5e-04	0	0.5
Rab5	Hem	2	6	0.0019	0	0.5
Rab7	Hem	2	6	0.0017	0	0.5
Mmp2	Hem	2	6	5e-04	0	0.5
W	Hem	2	6	0.001	0	0.5
bowl	Hem	2	6	6e-04	0	0.5
fd59A	Hem	2	6	0.0015	0	0.5
e	Hem	2	6	5e-04	0	0.5
ben	Hem	2	6	7e-04	0	0.5
rdo	Hem	2	6	0.0012	0	0.5
lin	Hem	2	6	0.0017	0	0.5
tra	Hem	2	6	1e-04	0	0.5
tra2	Hem	2	6	8e-04	0	0.5
cathD	Hem	2	6	0.0014	0	0.5
d	Hem	2	6	4e-04	0	0.5
lva	Hem	2	6	0.001	0	0.5
pbl	Hem	2	6	0.0011	0	0.5
CG33205	Hem	2	6	7e-04	0	0.5
da	Hem	2	6	0.006	0	0.5
cactin	Hem	2	6	4e-04	0	0.5
hpo	Hem	2	6	0.0054	0	0.5
Sema.2a	Hem	2	6	3e-04	0	0.5
Eip74EF	Hem	2	6	0.0013	0	0.5
eg	Hem	2	6	2e-04	0	0.5
Arc42	Hem	2	6	6e-04	0	0.5
toy	Hem	2	6	5e-04	0	0.5
Galpha73B	Hem	2	6	0.0018	0	0.5
RhoGAPp190	Hem	2	6	0.0049	0	0.5
MED11	Hem	2	6	4e-04	0	0.5
cher	Hem	2	6	4e-04	0	0.5
BicD	Hem	2	6	0.0012	0	0.5
MYPT.75D	Hem	2	6	7e-04	0	0.5
mus304	Hem	2	6	0.0425	0	0.5
CdsA	Hem	2	6	0.0021	0	0.5
btl	Hem	2	6	4e-04	0	0.5
Cyt.c.d	Hem	2	6	0.0051	0	0.5
tok	Hem	2	6	0.0049	0	0.5
ttk	Hem	2	6	5e-04	0	0.5
tamo	Hem	2	6	0.0029	0	0.5
CG6416	Hem	2	6	4e-04	0	0.5
flfl	Hem	2	6	0.0011	0	0.5
Pvr	Hem	2	6	0.0011	0	0.5
kay	Hem	2	6	6e-04	0	0.5
Jra	Hem	2	6	0.0027	0	0.5
msk	Hem	2	6	0.0014	0	0.5
tll	Hem	2	6	1e-04	0	0.5
Tm1	Hem	2	6	6e-04	0	0.5
srp	Hem	2	6	3e-04	0	0.5
Btk29A	Hem	2	6	0.0079	0	0.5
fred	Hem	2	6	0.0153	0	0.5
Src64B	Hem	2	6	0.0055	0	0.5
Mmp1	Hem	2	6	3e-04	0	0.5
sll	Hem	2	6	0	0	0.5
Hmgs	Hem	2	6	0.0033	0	0.5
caps	Hem	2	6	4e-04	0	0.5
Su.var.2.10	Hem	2	6	9e-04	0	0.5
CycB	Hem	2	6	3e-04	0	0.5
spir	Hem	2	6	6e-04	0	0.5
spn.A	Hem	2	6	0.0024	0	0.5
Ptpmeg	Hem	2	6	8e-04	0	0.5
qua	Hem	2	6	2e-04	0	0.5
msn	Hem	2	6	1e-04	0	0.5
