Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Hmgs	2	6	2e-04	0	0.5
emp	Hmgs	2	6	0.0031	0	0.5
CG2678	Hmgs	2	6	0.0026	0	0.5
crc	Hmgs	2	6	0.0022	0	0.5
pros	Hmgs	2	6	8e-04	0	0.5
neur	Hmgs	2	6	0	0	0.5
Rab5	Hmgs	2	6	2e-04	0	0.5
Rab7	Hmgs	2	6	4e-04	0	0.5
Mmp2	Hmgs	2	6	8e-04	0	0.5
W	Hmgs	2	6	7e-04	0	0.5
bowl	Hmgs	2	6	0.0018	0	0.5
fd59A	Hmgs	2	6	1e-04	0	0.5
e	Hmgs	2	6	5e-04	0	0.5
ben	Hmgs	2	6	6e-04	0	0.5
rdo	Hmgs	2	6	4e-04	0	0.5
lin	Hmgs	2	6	0.0018	0	0.5
tra	Hmgs	2	6	1e-04	0	0.5
tra2	Hmgs	2	6	3e-04	0	0.5
cathD	Hmgs	2	6	0.0025	0	0.5
d	Hmgs	2	6	4e-04	0	0.5
lva	Hmgs	2	6	8e-04	0	0.5
pbl	Hmgs	2	6	0.0012	0	0.5
CG33205	Hmgs	2	6	2e-04	0	0.5
da	Hmgs	2	6	0.0021	0	0.5
cactin	Hmgs	2	6	0.0011	0	0.5
hpo	Hmgs	2	6	0.0015	0	0.5
Sema.2a	Hmgs	2	6	6e-04	0	0.5
Eip74EF	Hmgs	2	6	2e-04	0	0.5
eg	Hmgs	2	6	3e-04	0	0.5
Arc42	Hmgs	2	6	7e-04	0	0.5
toy	Hmgs	2	6	0.0014	0	0.5
Galpha73B	Hmgs	2	6	0.0018	0	0.5
RhoGAPp190	Hmgs	2	6	0.0024	0	0.5
MED11	Hmgs	2	6	1e-04	0	0.5
cher	Hmgs	2	6	0.0015	0	0.5
BicD	Hmgs	2	6	2e-04	0	0.5
MYPT.75D	Hmgs	2	6	0.0012	0	0.5
mus304	Hmgs	2	6	0.0041	0	0.5
CdsA	Hmgs	2	6	0.0019	0	0.5
btl	Hmgs	2	6	6e-04	0	0.5
Cyt.c.d	Hmgs	2	6	5e-04	0	0.5
tok	Hmgs	2	6	9e-04	0	0.5
ttk	Hmgs	2	6	9e-04	0	0.5
tamo	Hmgs	2	6	7e-04	0	0.5
CG6416	Hmgs	2	6	2e-04	0	0.5
flfl	Hmgs	2	6	3e-04	0	0.5
Pvr	Hmgs	2	6	0.0025	0	0.5
kay	Hmgs	2	6	0.0017	0	0.5
Jra	Hmgs	2	6	0.0012	0	0.5
msk	Hmgs	2	6	9e-04	0	0.5
tll	Hmgs	2	6	4e-04	0	0.5
Tm1	Hmgs	2	6	4e-04	0	0.5
srp	Hmgs	2	6	1e-04	0	0.5
Btk29A	Hmgs	2	6	2e-04	0	0.5
fred	Hmgs	2	6	4e-04	0	0.5
Src64B	Hmgs	2	6	0.0032	0	0.5
Mmp1	Hmgs	2	6	8e-04	0	0.5
sll	Hmgs	2	6	0.0019	0	0.5
Hmgs	Hmgs	2	6	0.0012	0	0.5
caps	Hmgs	2	6	0.001	0	0.5
Su.var.2.10	Hmgs	2	6	1e-04	0	0.5
CycB	Hmgs	2	6	8e-04	0	0.5
spir	Hmgs	2	6	0	0	0.5
spn.A	Hmgs	2	6	0.0017	0	0.5
Ptpmeg	Hmgs	2	6	0.0012	0	0.5
qua	Hmgs	2	6	0.0029	0	0.5
msn	Hmgs	2	6	0	0	0.5
ena	Hmgs	2	6	5e-04	0	0.5
spen	Hmgs	2	6	0	0	0.5
emc	Hmgs	2	6	0.0025	0	0.5
tsh	Hmgs	2	6	8e-04	0	0.5
Dat	Hmgs	2	6	8e-04	0	0.5
Lac	Hmgs	2	6	0.001	0	0.5
dup	Hmgs	2	6	2e-04	0	0.5
CG3075	Hmgs	2	6	1e-04	0	0.5
Akap200	Hmgs	2	6	0.0029	0	0.5
CG18369	Hmgs	2	6	0.0084	0	0.5
bnl	Hmgs	2	6	9e-04	0	0.5
sec23	Hmgs	2	6	0.0042	0	0.5
Pde8	Hmgs	2	6	8e-04	0	0.5
Arp66B	Hmgs	2	6	2e-04	0	0.5
cos	Hmgs	2	6	6e-04	0	0.5
Borr	Hmgs	2	6	6e-04	0	0.5
X140up	Hmgs	2	6	2e-04	0	0.5
Dhc64C	Hmgs	2	6	7e-04	0	0.5
Not1	Hmgs	2	6	0.0159	0	0.5
CG9520	Hmgs	2	6	6e-04	0	0.5
bib	Hmgs	2	6	1e-04	0	0.5
mib1	Hmgs	2	6	0.0013	0	0.5
cas	Hmgs	2	6	0.001	0	0.5
Abi	Hmgs	2	6	4e-04	0	0.5
betaTub56D	Hmgs	2	6	9e-04	0	0.5
nej	Hmgs	2	6	0.0012	0	0.5
dlg1	Hmgs	2	6	6e-04	0	0.5
Lcp65Ag1	Hmgs	2	6	4e-04	0	0.5
Es2	Hmgs	2	6	0.0025	0	0.5
MED24	Hmgs	2	6	0.0018	0	0.5
Vhl	Hmgs	2	6	5e-04	0	0.5
tral	Hmgs	2	6	7e-04	0	0.5
sns	Hmgs	2	6	1e-04	0	0.5
mbl	Hmgs	2	6	0.0017	0	0.5
sav	Hmgs	2	6	0.0014	0	0.5
lola	Hmgs	2	6	0.001	0	0.5
robo	Hmgs	2	6	1e-04	0	0.5
CG32486	Hmgs	2	6	0	0	0.5
santa.maria	Hmgs	2	6	0.0019	0	0.5
stumps	Hmgs	2	6	1e-04	0	0.5
abd.A	Hmgs	2	6	0.0011	0	0.5
dock	Hmgs	2	6	8e-04	0	0.5
Lar	Hmgs	2	6	3e-04	0	0.5
l.1.G0289	Hmgs	2	6	0.0017	0	0.5
Abl	Hmgs	2	6	2e-04	0	0.5
Syb	Hmgs	2	6	8e-04	0	0.5
dome	Hmgs	2	6	1e-04	0	0.5
ofs	Hmgs	2	6	2e-04	0	0.5
