Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Hph	2	6	0	0	0.5
emp	Hph	2	6	0	0	0.5
CG2678	Hph	2	6	0.6946	-0.99888	0.5
crc	Hph	2	6	0	0	0.5
pros	Hph	2	6	0	0	0.5
neur	Hph	2	6	0	0	0.5
Rab5	Hph	2	6	0	0	0.5
Rab7	Hph	2	6	0	0	0.5
Mmp2	Hph	2	6	9e-04	0	0.5
W	Hph	2	6	0	0	0.5
bowl	Hph	2	6	7e-04	0	0.5
fd59A	Hph	2	6	5e-04	0	0.5
e	Hph	2	6	0	0	0.5
ben	Hph	2	6	1e-04	0	0.5
rdo	Hph	2	6	0	0	0.5
lin	Hph	2	6	1e-04	0	0.5
tra	Hph	2	6	0	0	0.5
tra2	Hph	2	6	0	0	0.5
cathD	Hph	2	6	1e-04	0	0.5
d	Hph	2	6	0	0	0.5
lva	Hph	2	6	0	0	0.5
pbl	Hph	2	6	0	0	0.5
CG33205	Hph	2	6	0	0	0.5
da	Hph	2	6	0	0	0.5
cactin	Hph	2	6	0	0	0.5
hpo	Hph	2	6	0	0	0.5
Sema.2a	Hph	2	6	2e-04	0	0.5
Eip74EF	Hph	2	6	5e-04	0	0.5
eg	Hph	2	6	5e-04	0	0.5
Arc42	Hph	2	6	1e-04	0	0.5
toy	Hph	2	6	2e-04	0	0.5
Galpha73B	Hph	2	6	0	0	0.5
RhoGAPp190	Hph	2	6	0	0	0.5
MED11	Hph	2	6	0	0	0.5
cher	Hph	2	6	2e-04	0	0.5
BicD	Hph	2	6	0	0	0.5
MYPT.75D	Hph	2	6	0	0	0.5
mus304	Hph	2	6	0	0	0.5
CdsA	Hph	2	6	3e-04	0	0.5
btl	Hph	2	6	0	0	0.5
Cyt.c.d	Hph	2	6	0	0	0.5
tok	Hph	2	6	0	0	0.5
ttk	Hph	2	6	5e-04	0	0.5
tamo	Hph	2	6	1e-04	0	0.5
CG6416	Hph	2	6	4e-04	0	0.5
flfl	Hph	2	6	1e-04	0	0.5
Pvr	Hph	2	6	0.0027	0	0.5
kay	Hph	2	6	0	0	0.5
Jra	Hph	2	6	7e-04	0	0.5
msk	Hph	2	6	0	0	0.5
tll	Hph	2	6	0	0	0.5
Tm1	Hph	2	6	5e-04	0	0.5
srp	Hph	2	6	0	0	0.5
Btk29A	Hph	2	6	0	0	0.5
fred	Hph	2	6	9e-04	0	0.5
Src64B	Hph	2	6	2e-04	0	0.5
Mmp1	Hph	2	6	0.0012	0	0.5
sll	Hph	2	6	3e-04	0	0.5
Hmgs	Hph	2	6	1e-04	0	0.5
caps	Hph	2	6	2e-04	0	0.5
Su.var.2.10	Hph	2	6	1e-04	0	0.5
CycB	Hph	2	6	0	0	0.5
spir	Hph	2	6	0	0	0.5
spn.A	Hph	2	6	2e-04	0	0.5
Ptpmeg	Hph	2	6	0	0	0.5
qua	Hph	2	6	0	0	0.5
msn	Hph	2	6	0	0	0.5
ena	Hph	2	6	0	0	0.5
spen	Hph	2	6	0	0	0.5
emc	Hph	2	6	0	0	0.5
tsh	Hph	2	6	1e-04	0	0.5
Dat	Hph	2	6	0	0	0.5
Lac	Hph	2	6	2e-04	0	0.5
dup	Hph	2	6	3e-04	0	0.5
CG3075	Hph	2	6	0	0	0.5
Akap200	Hph	2	6	0	0	0.5
CG18369	Hph	2	6	1e-04	0	0.5
bnl	Hph	2	6	1e-04	0	0.5
sec23	Hph	2	6	0	0	0.5
Pde8	Hph	2	6	0	0	0.5
Arp66B	Hph	2	6	0.0019	0	0.5
cos	Hph	2	6	1e-04	0	0.5
Borr	Hph	2	6	0	0	0.5
X140up	Hph	2	6	3e-04	0	0.5
Dhc64C	Hph	2	6	0	0	0.5
Not1	Hph	2	6	1e-04	0	0.5
CG9520	Hph	2	6	6e-04	0	0.5
bib	Hph	2	6	0	0	0.5
mib1	Hph	2	6	1e-04	0	0.5
cas	Hph	2	6	0	0	0.5
Abi	Hph	2	6	0	0	0.5
betaTub56D	Hph	2	6	1e-04	0	0.5
nej	Hph	2	6	3e-04	0	0.5
dlg1	Hph	2	6	1e-04	0	0.5
Lcp65Ag1	Hph	2	6	3e-04	0	0.5
Es2	Hph	2	6	0	0	0.5
MED24	Hph	2	6	2e-04	0	0.5
Vhl	Hph	2	6	3e-04	0	0.5
tral	Hph	2	6	0.0011	0	0.5
sns	Hph	2	6	8e-04	0	0.5
mbl	Hph	2	6	1e-04	0	0.5
sav	Hph	2	6	0	0	0.5
lola	Hph	2	6	0.8869	-0.99812	0.5
robo	Hph	2	6	1e-04	0	0.5
CG32486	Hph	2	6	3e-04	0	0.5
santa.maria	Hph	2	6	9e-04	0	0.5
