Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Hr46	2	6	0.0022	0	0.5
emp	Hr46	2	6	0.0051	0	0.5
CG2678	Hr46	2	6	0.0025	0	0.5
crc	Hr46	2	6	6e-04	0	0.5
pros	Hr46	2	6	1e-04	0	0.5
neur	Hr46	2	6	9e-04	0	0.5
Rab5	Hr46	2	6	0.0033	0	0.5
Rab7	Hr46	2	6	0	0	0.5
Mmp2	Hr46	2	6	8e-04	0	0.5
W	Hr46	2	6	1e-04	0	0.5
bowl	Hr46	2	6	0	0	0.5
fd59A	Hr46	2	6	0	0	0.5
e	Hr46	2	6	5e-04	0	0.5
ben	Hr46	2	6	3e-04	0	0.5
rdo	Hr46	2	6	0	0	0.5
lin	Hr46	2	6	0	0	0.5
tra	Hr46	2	6	9e-04	0	0.5
tra2	Hr46	2	6	0	0	0.5
cathD	Hr46	2	6	0	0	0.5
d	Hr46	2	6	1e-04	0	0.5
lva	Hr46	2	6	9e-04	0	0.5
pbl	Hr46	2	6	4e-04	0	0.5
CG33205	Hr46	2	6	1e-04	0	0.5
da	Hr46	2	6	0	0	0.5
cactin	Hr46	2	6	0.0043	0	0.5
hpo	Hr46	2	6	5e-04	0	0.5
Sema.2a	Hr46	2	6	0.0031	0	0.5
Eip74EF	Hr46	2	6	3e-04	0	0.5
eg	Hr46	2	6	0.002	0	0.5
Arc42	Hr46	2	6	1e-04	0	0.5
toy	Hr46	2	6	9e-04	0	0.5
Galpha73B	Hr46	2	6	9e-04	0	0.5
RhoGAPp190	Hr46	2	6	6e-04	0	0.5
MED11	Hr46	2	6	3e-04	0	0.5
cher	Hr46	2	6	0	0	0.5
BicD	Hr46	2	6	7e-04	0	0.5
MYPT.75D	Hr46	2	6	0	0	0.5
mus304	Hr46	2	6	0	0	0.5
CdsA	Hr46	2	6	0.001	0	0.5
btl	Hr46	2	6	3e-04	0	0.5
Cyt.c.d	Hr46	2	6	5e-04	0	0.5
tok	Hr46	2	6	0.001	0	0.5
ttk	Hr46	2	6	0	0	0.5
tamo	Hr46	2	6	7e-04	0	0.5
CG6416	Hr46	2	6	0	0	0.5
flfl	Hr46	2	6	0.0018	0	0.5
Pvr	Hr46	2	6	0	0	0.5
kay	Hr46	2	6	3e-04	0	0.5
Jra	Hr46	2	6	2e-04	0	0.5
msk	Hr46	2	6	7e-04	0	0.5
tll	Hr46	2	6	2e-04	0	0.5
Tm1	Hr46	2	6	0	0	0.5
srp	Hr46	2	6	0.0015	0	0.5
Btk29A	Hr46	2	6	0	0	0.5
fred	Hr46	2	6	5e-04	0	0.5
Src64B	Hr46	2	6	4e-04	0	0.5
Mmp1	Hr46	2	6	5e-04	0	0.5
sll	Hr46	2	6	0	0	0.5
Hmgs	Hr46	2	6	6e-04	0	0.5
caps	Hr46	2	6	0.0012	0	0.5
Su.var.2.10	Hr46	2	6	2e-04	0	0.5
CycB	Hr46	2	6	5e-04	0	0.5
spir	Hr46	2	6	0	0	0.5
spn.A	Hr46	2	6	0.0015	0	0.5
Ptpmeg	Hr46	2	6	0.001	0	0.5
qua	Hr46	2	6	1e-04	0	0.5
msn	Hr46	2	6	0	0	0.5
ena	Hr46	2	6	0	0	0.5
spen	Hr46	2	6	0.0017	0	0.5
emc	Hr46	2	6	0	0	0.5
tsh	Hr46	2	6	0	0	0.5
Dat	Hr46	2	6	5e-04	0	0.5
Lac	Hr46	2	6	1e-04	0	0.5
dup	Hr46	2	6	3e-04	0	0.5
CG3075	Hr46	2	6	0	0	0.5
Akap200	Hr46	2	6	0	0	0.5
CG18369	Hr46	2	6	0.0013	0	0.5
bnl	Hr46	2	6	0	0	0.5
sec23	Hr46	2	6	0.002	0	0.5
Pde8	Hr46	2	6	2e-04	0	0.5
Arp66B	Hr46	2	6	0	0	0.5
cos	Hr46	2	6	1e-04	0	0.5
Borr	Hr46	2	6	0.0034	0	0.5
X140up	Hr46	2	6	5e-04	0	0.5
Dhc64C	Hr46	2	6	0	0	0.5
Not1	Hr46	2	6	0.0031	0	0.5
CG9520	Hr46	2	6	0	0	0.5
bib	Hr46	2	6	9e-04	0	0.5
mib1	Hr46	2	6	0	0	0.5
cas	Hr46	2	6	0	0	0.5
Abi	Hr46	2	6	0	0	0.5
betaTub56D	Hr46	2	6	0	0	0.5
nej	Hr46	2	6	0	0	0.5
dlg1	Hr46	2	6	0	0	0.5
Lcp65Ag1	Hr46	2	6	5e-04	0	0.5
Es2	Hr46	2	6	9e-04	0	0.5
MED24	Hr46	2	6	0.0051	0	0.5
Vhl	Hr46	2	6	2e-04	0	0.5
tral	Hr46	2	6	3e-04	0	0.5
sns	Hr46	2	6	5e-04	0	0.5
mbl	Hr46	2	6	6e-04	0	0.5
sav	Hr46	2	6	9e-04	0	0.5
lola	Hr46	2	6	0.0631	0	0.5
robo	Hr46	2	6	4e-04	0	0.5
CG32486	Hr46	2	6	2e-04	0	0.5
santa.maria	Hr46	2	6	2e-04	0	0.5
stumps	Hr46	2	6	0	0	0.5
abd.A	Hr46	2	6	3e-04	0	0.5
dock	Hr46	2	6	0	0	0.5
Lar	Hr46	2	6	5e-04	0	0.5
l.1.G0289	Hr46	2	6	0	0	0.5
Abl	Hr46	2	6	2e-04	0	0.5
Syb	Hr46	2	6	0.003	0	0.5
dome	Hr46	2	6	5e-04	0	0.5
ofs	Hr46	2	6	5e-04	0	0.5
MED4	Hr46	2	6	1e-04	0	0.5
scrib	Hr46	2	6	2e-04	0	0.5
siz	Hr46	2	6	0	0	0.5
cbx	Hr46	2	6	4e-04	0	0.5
dsx	Hr46	2	6	1e-04	0	0.5
Sb	Hr46	2	6	5e-04	0	0.5
sax	Hr46	2	6	0	0	0.5
foxo	Hr46	2	6	4e-04	0	0.5
Cyp1	Hr46	2	6	2e-04	0	0.5
brm	Hr46	2	6	0	0	0.5
rad50	Hr46	2	6	0	0	0.5
chico	Hr46	2	6	5e-04	0	0.5
cp309	Hr46	2	6	0	0	0.5
hdc	Hr46	2	6	1e-04	0	0.5
Axn	Hr46	2	6	0	0	0.5
Apc2	Hr46	2	6	2e-04	0	0.5
PhKgamma	Hr46	2	6	1e-04	0	0.5
eya	Hr46	2	6	0	0	0.5
sktl	Hr46	2	6	2e-04	0	0.5
sqd	Hr46	2	6	0.0018	0	0.5
Akt1	Hr46	2	6	3e-04	0	0.5
scyl	Hr46	2	6	5e-04	0	0.5
cnk	Hr46	2	6	0.001	0	0.5
CG8149	Hr46	2	6	8e-04	0	0.5
CG34379	Hr46	2	6	0	0	0.5
Yp1	Hr46	2	6	0	0	0.5
yrt	Hr46	2	6	0.0018	0	0.5
bap	Hr46	2	6	3e-04	0	0.5
tud	Hr46	2	6	2e-04	0	0.5
ct	Hr46	2	6	0	0	0.5
tup	Hr46	2	6	0	0	0.5
G.ialpha65A	Hr46	2	6	8e-04	0	0.5
knrl	Hr46	2	6	5e-04	0	0.5
Pkn	Hr46	2	6	0	0	0.5
Sry.delta	Hr46	2	6	4e-04	0	0.5
Alh	Hr46	2	6	1e-04	0	0.5
pnut	Hr46	2	6	1e-04	0	0.5
phyl	Hr46	2	6	3e-04	0	0.5
CG17739	Hr46	2	6	0	0	0.5
B4	Hr46	2	6	1e-04	0	0.5
CG2681	Hr46	2	6	0	0	0.5
tow	Hr46	2	6	0	0	0.5
hkl	Hr46	2	6	2e-04	0	0.5
sina	Hr46	2	6	8e-04	0	0.5
ry	Hr46	2	6	0	0	0.5
rux	Hr46	2	6	4e-04	0	0.5
boss	Hr46	2	6	2e-04	0	0.5
Mkp3	Hr46	2	6	5e-04	0	0.5
inaC	Hr46	2	6	0	0	0.5
sno	Hr46	2	6	6e-04	0	0.5
jagn	Hr46	2	6	8e-04	0	0.5
dpn	Hr46	2	6	7e-04	0	0.5
wrapper	Hr46	2	6	6e-04	0	0.5
Ca.alpha1D	Hr46	2	6	2e-04	0	0.5
E2f	Hr46	2	6	6e-04	0	0.5
Dp	Hr46	2	6	0.001	0	0.5
l.2.efl	Hr46	2	6	1e-04	0	0.5
cnc	Hr46	2	6	0.001	0	0.5
Atg5	Hr46	2	6	0	0	0.5
acj6	Hr46	2	6	3e-04	0	0.5
Trl	Hr46	2	6	0	0	0.5
d4	Hr46	2	6	0	0	0.5
CG16719	Hr46	2	6	3e-04	0	0.5
CadN	Hr46	2	6	0	0	0.5
gro	Hr46	2	6	5e-04	0	0.5
sec13	Hr46	2	6	6e-04	0	0.5
klar	Hr46	2	6	7e-04	0	0.5
Rack1	Hr46	2	6	3e-04	0	0.5
Sobp	Hr46	2	6	0	0	0.5
ash1	Hr46	2	6	0.0021	0	0.5
inv	Hr46	2	6	6e-04	0	0.5
shot	Hr46	2	6	0	0	0.5
Oseg1	Hr46	2	6	3e-04	0	0.5
Spred	Hr46	2	6	1e-04	0	0.5
puc	Hr46	2	6	0.0019	0	0.5
Atg6	Hr46	2	6	1e-04	0	0.5
CG3829	Hr46	2	6	0	0	0.5
sle	Hr46	2	6	0	0	0.5
Cka	Hr46	2	6	0	0	0.5
form3	Hr46	2	6	2e-04	0	0.5
Pk61C	Hr46	2	6	0	0	0.5
Pcaf	Hr46	2	6	1e-04	0	0.5
sbb	Hr46	2	6	3e-04	0	0.5
Ef1gamma	Hr46	2	6	0	0	0.5
FKBP59	Hr46	2	6	1e-04	0	0.5
Eip71CD	Hr46	2	6	0	0	0.5
xmas.2	Hr46	2	6	0.1333	0	0.5
ppan	Hr46	2	6	0	0	0.5
Iswi	Hr46	2	6	0	0	0.5
ine	Hr46	2	6	0	0	0.5
Tina.1	Hr46	2	6	0.0012	0	0.5
bon	Hr46	2	6	0.0018	0	0.5
pot	Hr46	2	6	8e-04	0	0.5
chic	Hr46	2	6	0	0	0.5
Hem	Hr46	2	6	3e-04	0	0.5
chif	Hr46	2	6	5e-04	0	0.5
S6kII	Hr46	2	6	2e-04	0	0.5
wal	Hr46	2	6	4e-04	0	0.5
wls	Hr46	2	6	4e-04	0	0.5
Ddx1	Hr46	2	6	0	0	0.5
Sulf1	Hr46	2	6	0	0	0.5
CG3987	Hr46	2	6	0	0	0.5
Abd.B	Hr46	2	6	0	0	0.5
Uba1	Hr46	2	6	0	0	0.5
bigmax	Hr46	2	6	0	0	0.5
NAT1	Hr46	2	6	5e-04	0	0.5
wupA	Hr46	2	6	0	0	0.5
Vps28	Hr46	2	6	8e-04	0	0.5
G.oalpha47A	Hr46	2	6	3e-04	0	0.5
G.salpha60A	Hr46	2	6	1e-04	0	0.5
dsf	Hr46	2	6	1e-04	0	0.5
Khc	Hr46	2	6	0	0	0.5
CG10641	Hr46	2	6	6e-04	0	0.5
Alk	Hr46	2	6	5e-04	0	0.5
ey	Hr46	2	6	0.0011	0	0.5
noc	Hr46	2	6	9e-04	0	0.5
ix	Hr46	2	6	0.0013	0	0.5
Optix	Hr46	2	6	0	0	0.5
sdt	Hr46	2	6	0	0	0.5
Sxl	Hr46	2	6	1e-04	0	0.5
rib	Hr46	2	6	3e-04	0	0.5
sas	Hr46	2	6	0	0	0.5
Scgdelta	Hr46	2	6	7e-04	0	0.5
sw	Hr46	2	6	2e-04	0	0.5
fal	Hr46	2	6	4e-04	0	0.5
ea	Hr46	2	6	4e-04	0	0.5
Ice	Hr46	2	6	0.0019	0	0.5
cic	Hr46	2	6	0	0	0.5
Dok	Hr46	2	6	0.006	0	0.5
rhea	Hr46	2	6	3e-04	0	0.5
Glycogenin	Hr46	2	6	3e-04	0	0.5
cin	Hr46	2	6	0	0	0.5
chp	Hr46	2	6	0.0213	0	0.5
Dlic2	Hr46	2	6	1e-04	0	0.5
Pk92B	Hr46	2	6	4e-04	0	0.5
Pak	Hr46	2	6	6e-04	0	0.5
Lim1	Hr46	2	6	2e-04	0	0.5
CG34450	Hr46	2	6	8e-04	0	0.5
Su.H.	Hr46	2	6	5e-04	0	0.5
CG12301	Hr46	2	6	7e-04	0	0.5
lilli	Hr46	2	6	0	0	0.5
toe	Hr46	2	6	9e-04	0	0.5
qkr58E.3	Hr46	2	6	0	0	0.5
up	Hr46	2	6	1e-04	0	0.5
hep	Hr46	2	6	9e-04	0	0.5
Dap160	Hr46	2	6	0	0	0.5
l.2.gd1	Hr46	2	6	3e-04	0	0.5
hkb	Hr46	2	6	0.002	0	0.5
beta4GalNAcTA	Hr46	2	6	8e-04	0	0.5
Mer	Hr46	2	6	6e-04	0	0.5
Mtl	Hr46	2	6	0	0	0.5
spin	Hr46	2	6	0	0	0.5
mfas	Hr46	2	6	3e-04	0	0.5
frc	Hr46	2	6	0	0	0.5
Krn	Hr46	2	6	0.0024	0	0.5
mam	Hr46	2	6	0	0	0.5
brk	Hr46	2	6	0	0	0.5
Ark	Hr46	2	6	3e-04	0	0.5
mmy	Hr46	2	6	0	0	0.5
mri	Hr46	2	6	0.001	0	0.5
Crk	Hr46	2	6	0.0012	0	0.5
ssh	Hr46	2	6	0.001	0	0.5
