Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Hs6st	2	6	0	0	0.5
emp	Hs6st	2	6	0	0	0.5
CG2678	Hs6st	2	6	4e-04	0	0.5
crc	Hs6st	2	6	1e-04	0	0.5
pros	Hs6st	2	6	0	0	0.5
neur	Hs6st	2	6	4e-04	0	0.5
Rab5	Hs6st	2	6	0	0	0.5
Rab7	Hs6st	2	6	0	0	0.5
Mmp2	Hs6st	2	6	0	0	0.5
W	Hs6st	2	6	0	0	0.5
bowl	Hs6st	2	6	0	0	0.5
fd59A	Hs6st	2	6	1e-04	0	0.5
e	Hs6st	2	6	1e-04	0	0.5
ben	Hs6st	2	6	1e-04	0	0.5
rdo	Hs6st	2	6	1e-04	0	0.5
lin	Hs6st	2	6	1e-04	0	0.5
tra	Hs6st	2	6	0	0	0.5
tra2	Hs6st	2	6	0.001	0	0.5
cathD	Hs6st	2	6	0	0	0.5
d	Hs6st	2	6	0	0	0.5
lva	Hs6st	2	6	5e-04	0	0.5
pbl	Hs6st	2	6	0	0	0.5
CG33205	Hs6st	2	6	9e-04	0	0.5
da	Hs6st	2	6	0	0	0.5
cactin	Hs6st	2	6	0	0	0.5
hpo	Hs6st	2	6	0	0	0.5
Sema.2a	Hs6st	2	6	0	0	0.5
Eip74EF	Hs6st	2	6	0	0	0.5
eg	Hs6st	2	6	0	0	0.5
Arc42	Hs6st	2	6	0	0	0.5
toy	Hs6st	2	6	2e-04	0	0.5
Galpha73B	Hs6st	2	6	0	0	0.5
RhoGAPp190	Hs6st	2	6	1e-04	0	0.5
MED11	Hs6st	2	6	1e-04	0	0.5
cher	Hs6st	2	6	2e-04	0	0.5
BicD	Hs6st	2	6	0	0	0.5
MYPT.75D	Hs6st	2	6	0	0	0.5
mus304	Hs6st	2	6	1e-04	0	0.5
CdsA	Hs6st	2	6	0	0	0.5
btl	Hs6st	2	6	4e-04	0	0.5
Cyt.c.d	Hs6st	2	6	0	0	0.5
tok	Hs6st	2	6	1e-04	0	0.5
ttk	Hs6st	2	6	0	0	0.5
tamo	Hs6st	2	6	1e-04	0	0.5
CG6416	Hs6st	2	6	1e-04	0	0.5
flfl	Hs6st	2	6	0	0	0.5
Pvr	Hs6st	2	6	0	0	0.5
kay	Hs6st	2	6	1e-04	0	0.5
Jra	Hs6st	2	6	0	0	0.5
msk	Hs6st	2	6	0	0	0.5
tll	Hs6st	2	6	0	0	0.5
Tm1	Hs6st	2	6	0	0	0.5
srp	Hs6st	2	6	0	0	0.5
Btk29A	Hs6st	2	6	0	0	0.5
fred	Hs6st	2	6	0	0	0.5
Src64B	Hs6st	2	6	5e-04	0	0.5
Mmp1	Hs6st	2	6	0	0	0.5
sll	Hs6st	2	6	1e-04	0	0.5
Hmgs	Hs6st	2	6	2e-04	0	0.5
caps	Hs6st	2	6	0	0	0.5
Su.var.2.10	Hs6st	2	6	0	0	0.5
CycB	Hs6st	2	6	1e-04	0	0.5
spir	Hs6st	2	6	0	0	0.5
spn.A	Hs6st	2	6	0	0	0.5
Ptpmeg	Hs6st	2	6	0.0019	0	0.5
