Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Ice	2	6	1e-04	0	0.5
emp	Ice	2	6	0	0	0.5
CG2678	Ice	2	6	2e-04	0	0.5
crc	Ice	2	6	0	0	0.5
pros	Ice	2	6	0	0	0.5
neur	Ice	2	6	0	0	0.5
Rab5	Ice	2	6	0	0	0.5
Rab7	Ice	2	6	0	0	0.5
Mmp2	Ice	2	6	0	0	0.5
W	Ice	2	6	0	0	0.5
bowl	Ice	2	6	0	0	0.5
fd59A	Ice	2	6	0	0	0.5
e	Ice	2	6	0	0	0.5
ben	Ice	2	6	7e-04	0	0.5
rdo	Ice	2	6	0	0	0.5
lin	Ice	2	6	0	0	0.5
tra	Ice	2	6	0	0	0.5
tra2	Ice	2	6	0	0	0.5
cathD	Ice	2	6	2e-04	0	0.5
d	Ice	2	6	0	0	0.5
lva	Ice	2	6	2e-04	0	0.5
pbl	Ice	2	6	0	0	0.5
CG33205	Ice	2	6	0	0	0.5
da	Ice	2	6	0	0	0.5
cactin	Ice	2	6	4e-04	0	0.5
hpo	Ice	2	6	0	0	0.5
Sema.2a	Ice	2	6	0	0	0.5
Eip74EF	Ice	2	6	0	0	0.5
eg	Ice	2	6	2e-04	0	0.5
Arc42	Ice	2	6	0	0	0.5
toy	Ice	2	6	0	0	0.5
Galpha73B	Ice	2	6	2e-04	0	0.5
RhoGAPp190	Ice	2	6	4e-04	0	0.5
MED11	Ice	2	6	2e-04	0	0.5
cher	Ice	2	6	0	0	0.5
BicD	Ice	2	6	0	0	0.5
MYPT.75D	Ice	2	6	0.0015	0	0.5
mus304	Ice	2	6	3e-04	0	0.5
CdsA	Ice	2	6	5e-04	0	0.5
btl	Ice	2	6	0.0013	0	0.5
Cyt.c.d	Ice	2	6	0	0	0.5
tok	Ice	2	6	0	0	0.5
ttk	Ice	2	6	0	0	0.5
tamo	Ice	2	6	0	0	0.5
CG6416	Ice	2	6	1e-04	0	0.5
flfl	Ice	2	6	0	0	0.5
Pvr	Ice	2	6	0	0	0.5
kay	Ice	2	6	0	0	0.5
Jra	Ice	2	6	0	0	0.5
msk	Ice	2	6	0	0	0.5
tll	Ice	2	6	0	0	0.5
Tm1	Ice	2	6	0	0	0.5
srp	Ice	2	6	2e-04	0	0.5
Btk29A	Ice	2	6	0	0	0.5
fred	Ice	2	6	0	0	0.5
Src64B	Ice	2	6	3e-04	0	0.5
Mmp1	Ice	2	6	6e-04	0	0.5
sll	Ice	2	6	2e-04	0	0.5
Hmgs	Ice	2	6	0	0	0.5
caps	Ice	2	6	0	0	0.5
Su.var.2.10	Ice	2	6	3e-04	0	0.5
CycB	Ice	2	6	5e-04	0	0.5
spir	Ice	2	6	0	0	0.5
spn.A	Ice	2	6	1	0.99943	0.5
Ptpmeg	Ice	2	6	0	0	0.5
qua	Ice	2	6	0	0	0.5
msn	Ice	2	6	0	0	0.5
ena	Ice	2	6	1e-04	0	0.5
spen	Ice	2	6	0	0	0.5
emc	Ice	2	6	0	0	0.5
tsh	Ice	2	6	6e-04	0	0.5
Dat	Ice	2	6	1e-04	0	0.5
Lac	Ice	2	6	0	0	0.5
dup	Ice	2	6	6e-04	0	0.5
CG3075	Ice	2	6	0	0	0.5
Akap200	Ice	2	6	9e-04	0	0.5
CG18369	Ice	2	6	0	0	0.5
bnl	Ice	2	6	0	0	0.5
sec23	Ice	2	6	0	0	0.5
Pde8	Ice	2	6	0	0	0.5
Arp66B	Ice	2	6	3e-04	0	0.5
cos	Ice	2	6	0	0	0.5
Borr	Ice	2	6	0	0	0.5
X140up	Ice	2	6	0	0	0.5
Dhc64C	Ice	2	6	0	0	0.5
Not1	Ice	2	6	0	0	0.5
CG9520	Ice	2	6	0	0	0.5
bib	Ice	2	6	0	0	0.5
mib1	Ice	2	6	0	0	0.5
cas	Ice	2	6	0	0	0.5
Abi	Ice	2	6	2e-04	0	0.5
betaTub56D	Ice	2	6	0	0	0.5
nej	Ice	2	6	0	0	0.5
dlg1	Ice	2	6	1e-04	0	0.5
Lcp65Ag1	Ice	2	6	0	0	0.5
Es2	Ice	2	6	6e-04	0	0.5
MED24	Ice	2	6	2e-04	0	0.5
Vhl	Ice	2	6	7e-04	0	0.5
tral	Ice	2	6	0	0	0.5
sns	Ice	2	6	0	0	0.5
mbl	Ice	2	6	0	0	0.5
sav	Ice	2	6	0	0	0.5
lola	Ice	2	6	0	0	0.5
robo	Ice	2	6	0	0	0.5
CG32486	Ice	2	6	0	0	0.5
santa.maria	Ice	2	6	0	0	0.5
stumps	Ice	2	6	0	0	0.5
abd.A	Ice	2	6	1e-04	0	0.5
dock	Ice	2	6	0	0	0.5
Lar	Ice	2	6	0	0	0.5
l.1.G0289	Ice	2	6	0	0	0.5
Abl	Ice	2	6	0	0	0.5
Syb	Ice	2	6	0	0	0.5
dome	Ice	2	6	0	0	0.5
ofs	Ice	2	6	0	0	0.5
MED4	Ice	2	6	0	0	0.5
scrib	Ice	2	6	0	0	0.5
siz	Ice	2	6	4e-04	0	0.5
cbx	Ice	2	6	0	0	0.5
dsx	Ice	2	6	0	0	0.5
Sb	Ice	2	6	0	0	0.5
sax	Ice	2	6	0	0	0.5
foxo	Ice	2	6	0	0	0.5
Cyp1	Ice	2	6	0	0	0.5
brm	Ice	2	6	1e-04	0	0.5
rad50	Ice	2	6	3e-04	0	0.5
chico	Ice	2	6	0	0	0.5
cp309	Ice	2	6	0	0	0.5
hdc	Ice	2	6	1e-04	0	0.5
Axn	Ice	2	6	7e-04	0	0.5
Apc2	Ice	2	6	0	0	0.5
PhKgamma	Ice	2	6	0	0	0.5
eya	Ice	2	6	0	0	0.5
sktl	Ice	2	6	7e-04	0	0.5
sqd	Ice	2	6	0	0	0.5
Akt1	Ice	2	6	2e-04	0	0.5
scyl	Ice	2	6	0	0	0.5
cnk	Ice	2	6	5e-04	0	0.5
CG8149	Ice	2	6	0	0	0.5
CG34379	Ice	2	6	1e-04	0	0.5
Yp1	Ice	2	6	0	0	0.5
yrt	Ice	2	6	3e-04	0	0.5
bap	Ice	2	6	1e-04	0	0.5
tud	Ice	2	6	2e-04	0	0.5
ct	Ice	2	6	2e-04	0	0.5
tup	Ice	2	6	4e-04	0	0.5
G.ialpha65A	Ice	2	6	0	0	0.5
knrl	Ice	2	6	0	0	0.5
Pkn	Ice	2	6	0	0	0.5
Sry.delta	Ice	2	6	1e-04	0	0.5
Alh	Ice	2	6	0.0011	0	0.5
pnut	Ice	2	6	0	0	0.5
phyl	Ice	2	6	0	0	0.5
CG17739	Ice	2	6	0	0	0.5
B4	Ice	2	6	3e-04	0	0.5
CG2681	Ice	2	6	0	0	0.5
tow	Ice	2	6	4e-04	0	0.5
hkl	Ice	2	6	0	0	0.5
sina	Ice	2	6	3e-04	0	0.5
ry	Ice	2	6	2e-04	0	0.5
rux	Ice	2	6	0	0	0.5
boss	Ice	2	6	1e-04	0	0.5
Mkp3	Ice	2	6	0	0	0.5
inaC	Ice	2	6	1e-04	0	0.5
sno	Ice	2	6	0	0	0.5
jagn	Ice	2	6	0	0	0.5
dpn	Ice	2	6	2e-04	0	0.5
wrapper	Ice	2	6	0	0	0.5
Ca.alpha1D	Ice	2	6	0	0	0.5
E2f	Ice	2	6	0	0	0.5
Dp	Ice	2	6	0	0	0.5
l.2.efl	Ice	2	6	0	0	0.5
cnc	Ice	2	6	2e-04	0	0.5
Atg5	Ice	2	6	0	0	0.5
acj6	Ice	2	6	1e-04	0	0.5
Trl	Ice	2	6	0	0	0.5
d4	Ice	2	6	0	0	0.5
CG16719	Ice	2	6	0	0	0.5
CadN	Ice	2	6	0	0	0.5
gro	Ice	2	6	0	0	0.5
sec13	Ice	2	6	1e-04	0	0.5
klar	Ice	2	6	1e-04	0	0.5
Rack1	Ice	2	6	0	0	0.5
Sobp	Ice	2	6	1e-04	0	0.5
ash1	Ice	2	6	0	0	0.5
inv	Ice	2	6	8e-04	0	0.5
shot	Ice	2	6	0	0	0.5
Oseg1	Ice	2	6	5e-04	0	0.5
Spred	Ice	2	6	1e-04	0	0.5
puc	Ice	2	6	0	0	0.5
Atg6	Ice	2	6	0	0	0.5
CG3829	Ice	2	6	0	0	0.5
sle	Ice	2	6	0	0	0.5
Cka	Ice	2	6	1e-04	0	0.5
form3	Ice	2	6	5e-04	0	0.5
Pk61C	Ice	2	6	0	0	0.5
Pcaf	Ice	2	6	0	0	0.5
sbb	Ice	2	6	4e-04	0	0.5
Ef1gamma	Ice	2	6	0	0	0.5
FKBP59	Ice	2	6	0	0	0.5
Eip71CD	Ice	2	6	0	0	0.5
xmas.2	Ice	2	6	5e-04	0	0.5
ppan	Ice	2	6	1e-04	0	0.5
Iswi	Ice	2	6	0	0	0.5
ine	Ice	2	6	0	0	0.5
Tina.1	Ice	2	6	0.0013	0	0.5
bon	Ice	2	6	0	0	0.5
pot	Ice	2	6	0	0	0.5
chic	Ice	2	6	0	0	0.5
Hem	Ice	2	6	0	0	0.5
chif	Ice	2	6	2e-04	0	0.5
S6kII	Ice	2	6	2e-04	0	0.5
wal	Ice	2	6	0	0	0.5
wls	Ice	2	6	0	0	0.5
Ddx1	Ice	2	6	0	0	0.5
Sulf1	Ice	2	6	0	0	0.5
CG3987	Ice	2	6	0	0	0.5
Abd.B	Ice	2	6	6e-04	0	0.5
Uba1	Ice	2	6	0	0	0.5
bigmax	Ice	2	6	2e-04	0	0.5
NAT1	Ice	2	6	3e-04	0	0.5
wupA	Ice	2	6	0	0	0.5
Vps28	Ice	2	6	0	0	0.5
G.oalpha47A	Ice	2	6	0	0	0.5
G.salpha60A	Ice	2	6	0	0	0.5
dsf	Ice	2	6	2e-04	0	0.5
Khc	Ice	2	6	0	0	0.5
CG10641	Ice	2	6	0	0	0.5
Alk	Ice	2	6	0	0	0.5
ey	Ice	2	6	0	0	0.5
noc	Ice	2	6	7e-04	0	0.5
ix	Ice	2	6	0	0	0.5
Optix	Ice	2	6	2e-04	0	0.5
sdt	Ice	2	6	1e-04	0	0.5
Sxl	Ice	2	6	2e-04	0	0.5
rib	Ice	2	6	0	0	0.5
sas	Ice	2	6	0	0	0.5
Scgdelta	Ice	2	6	0	0	0.5
sw	Ice	2	6	0	0	0.5
fal	Ice	2	6	0	0	0.5
ea	Ice	2	6	0	0	0.5
Ice	Ice	2	6	0	0	0.5
cic	Ice	2	6	0	0	0.5
Dok	Ice	2	6	0	0	0.5
rhea	Ice	2	6	4e-04	0	0.5
Glycogenin	Ice	2	6	3e-04	0	0.5
cin	Ice	2	6	0	0	0.5
chp	Ice	2	6	1e-04	0	0.5
Dlic2	Ice	2	6	0	0	0.5
Pk92B	Ice	2	6	5e-04	0	0.5
Pak	Ice	2	6	0	0	0.5
Lim1	Ice	2	6	0	0	0.5
CG34450	Ice	2	6	0	0	0.5
Su.H.	Ice	2	6	0	0	0.5
CG12301	Ice	2	6	0	0	0.5
lilli	Ice	2	6	0	0	0.5
toe	Ice	2	6	0	0	0.5
qkr58E.3	Ice	2	6	2e-04	0	0.5
up	Ice	2	6	6e-04	0	0.5
hep	Ice	2	6	0	0	0.5
Dap160	Ice	2	6	5e-04	0	0.5
l.2.gd1	Ice	2	6	0	0	0.5
hkb	Ice	2	6	7e-04	0	0.5
beta4GalNAcTA	Ice	2	6	3e-04	0	0.5
Mer	Ice	2	6	0	0	0.5
Mtl	Ice	2	6	3e-04	0	0.5
spin	Ice	2	6	6e-04	0	0.5
mfas	Ice	2	6	0	0	0.5
frc	Ice	2	6	4e-04	0	0.5
Krn	Ice	2	6	1e-04	0	0.5
mam	Ice	2	6	0	0	0.5
