Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Idgf1	2	6	5e-04	0	0.5
emp	Idgf1	2	6	8e-04	0	0.5
CG2678	Idgf1	2	6	0	0	0.5
crc	Idgf1	2	6	0	0	0.5
pros	Idgf1	2	6	0	0	0.5
neur	Idgf1	2	6	2e-04	0	0.5
Rab5	Idgf1	2	6	0	0	0.5
Rab7	Idgf1	2	6	0	0	0.5
Mmp2	Idgf1	2	6	0	0	0.5
W	Idgf1	2	6	0.0021	0	0.5
bowl	Idgf1	2	6	0	0	0.5
fd59A	Idgf1	2	6	5e-04	0	0.5
e	Idgf1	2	6	0	0	0.5
ben	Idgf1	2	6	0	0	0.5
rdo	Idgf1	2	6	0	0	0.5
lin	Idgf1	2	6	0	0	0.5
tra	Idgf1	2	6	0	0	0.5
tra2	Idgf1	2	6	0	0	0.5
cathD	Idgf1	2	6	1e-04	0	0.5
d	Idgf1	2	6	5e-04	0	0.5
lva	Idgf1	2	6	6e-04	0	0.5
pbl	Idgf1	2	6	0	0	0.5
CG33205	Idgf1	2	6	3e-04	0	0.5
da	Idgf1	2	6	0	0	0.5
cactin	Idgf1	2	6	0	0	0.5
hpo	Idgf1	2	6	0	0	0.5
Sema.2a	Idgf1	2	6	1e-04	0	0.5
Eip74EF	Idgf1	2	6	6e-04	0	0.5
eg	Idgf1	2	6	0.0018	0	0.5
Arc42	Idgf1	2	6	0	0	0.5
toy	Idgf1	2	6	0	0	0.5
Galpha73B	Idgf1	2	6	1e-04	0	0.5
RhoGAPp190	Idgf1	2	6	0	0	0.5
MED11	Idgf1	2	6	1e-04	0	0.5
cher	Idgf1	2	6	0	0	0.5
BicD	Idgf1	2	6	4e-04	0	0.5
MYPT.75D	Idgf1	2	6	0	0	0.5
mus304	Idgf1	2	6	0	0	0.5
CdsA	Idgf1	2	6	0	0	0.5
btl	Idgf1	2	6	0	0	0.5
Cyt.c.d	Idgf1	2	6	0	0	0.5
tok	Idgf1	2	6	1e-04	0	0.5
ttk	Idgf1	2	6	0	0	0.5
tamo	Idgf1	2	6	1e-04	0	0.5
CG6416	Idgf1	2	6	0	0	0.5
flfl	Idgf1	2	6	6e-04	0	0.5
Pvr	Idgf1	2	6	0	0	0.5
kay	Idgf1	2	6	0.0012	0	0.5
Jra	Idgf1	2	6	0	0	0.5
msk	Idgf1	2	6	0	0	0.5
tll	Idgf1	2	6	0	0	0.5
Tm1	Idgf1	2	6	1e-04	0	0.5
srp	Idgf1	2	6	0	0	0.5
Btk29A	Idgf1	2	6	5e-04	0	0.5
fred	Idgf1	2	6	0	0	0.5
Src64B	Idgf1	2	6	7e-04	0	0.5
Mmp1	Idgf1	2	6	0	0	0.5
sll	Idgf1	2	6	0	0	0.5
Hmgs	Idgf1	2	6	0	0	0.5
caps	Idgf1	2	6	0	0	0.5
Su.var.2.10	Idgf1	2	6	0	0	0.5
CycB	Idgf1	2	6	1e-04	0	0.5
spir	Idgf1	2	6	7e-04	0	0.5
spn.A	Idgf1	2	6	0	0	0.5
Ptpmeg	Idgf1	2	6	0	0	0.5
qua	Idgf1	2	6	1e-04	0	0.5
msn	Idgf1	2	6	9e-04	0	0.5
ena	Idgf1	2	6	2e-04	0	0.5
spen	Idgf1	2	6	0	0	0.5
emc	Idgf1	2	6	0	0	0.5
tsh	Idgf1	2	6	0	0	0.5
Dat	Idgf1	2	6	0	0	0.5
Lac	Idgf1	2	6	0	0	0.5
dup	Idgf1	2	6	0	0	0.5
CG3075	Idgf1	2	6	0	0	0.5
Akap200	Idgf1	2	6	0	0	0.5
CG18369	Idgf1	2	6	1e-04	0	0.5
bnl	Idgf1	2	6	0	0	0.5
sec23	Idgf1	2	6	0	0	0.5
Pde8	Idgf1	2	6	0.0011	0	0.5
Arp66B	Idgf1	2	6	5e-04	0	0.5
cos	Idgf1	2	6	0	0	0.5
Borr	Idgf1	2	6	0	0	0.5
X140up	Idgf1	2	6	3e-04	0	0.5
Dhc64C	Idgf1	2	6	0	0	0.5
Not1	Idgf1	2	6	4e-04	0	0.5
CG9520	Idgf1	2	6	0	0	0.5
bib	Idgf1	2	6	1e-04	0	0.5
mib1	Idgf1	2	6	0	0	0.5
cas	Idgf1	2	6	0	0	0.5
Abi	Idgf1	2	6	0	0	0.5
betaTub56D	Idgf1	2	6	0	0	0.5
nej	Idgf1	2	6	0	0	0.5
dlg1	Idgf1	2	6	7e-04	0	0.5
Lcp65Ag1	Idgf1	2	6	8e-04	0	0.5
Es2	Idgf1	2	6	0.0018	0	0.5
MED24	Idgf1	2	6	0	0	0.5
Vhl	Idgf1	2	6	0	0	0.5
tral	Idgf1	2	6	4e-04	0	0.5
sns	Idgf1	2	6	0	0	0.5
mbl	Idgf1	2	6	0	0	0.5
sav	Idgf1	2	6	0.0016	0	0.5
lola	Idgf1	2	6	2e-04	0	0.5
robo	Idgf1	2	6	0	0	0.5
CG32486	Idgf1	2	6	1e-04	0	0.5
santa.maria	Idgf1	2	6	3e-04	0	0.5
stumps	Idgf1	2	6	2e-04	0	0.5
abd.A	Idgf1	2	6	0	0	0.5
dock	Idgf1	2	6	0	0	0.5
Lar	Idgf1	2	6	6e-04	0	0.5
l.1.G0289	Idgf1	2	6	0	0	0.5
Abl	Idgf1	2	6	2e-04	0	0.5
Syb	Idgf1	2	6	0.0034	0	0.5
dome	Idgf1	2	6	0	0	0.5
ofs	Idgf1	2	6	0	0	0.5
MED4	Idgf1	2	6	0	0	0.5
scrib	Idgf1	2	6	5e-04	0	0.5
siz	Idgf1	2	6	0	0	0.5
cbx	Idgf1	2	6	0	0	0.5
dsx	Idgf1	2	6	0	0	0.5
Sb	Idgf1	2	6	0	0	0.5
sax	Idgf1	2	6	0	0	0.5
foxo	Idgf1	2	6	0	0	0.5
Cyp1	Idgf1	2	6	0.0013	0	0.5
brm	Idgf1	2	6	0	0	0.5
rad50	Idgf1	2	6	0	0	0.5
chico	Idgf1	2	6	0	0	0.5
cp309	Idgf1	2	6	0	0	0.5
hdc	Idgf1	2	6	0	0	0.5
Axn	Idgf1	2	6	0	0	0.5
Apc2	Idgf1	2	6	3e-04	0	0.5
PhKgamma	Idgf1	2	6	0	0	0.5
eya	Idgf1	2	6	0	0	0.5
sktl	Idgf1	2	6	0	0	0.5
sqd	Idgf1	2	6	0	0	0.5
Akt1	Idgf1	2	6	6e-04	0	0.5
scyl	Idgf1	2	6	0.0013	0	0.5
