Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ImpE3	2	6	0	0	0.5
emp	ImpE3	2	6	0	0	0.5
CG2678	ImpE3	2	6	0	0	0.5
crc	ImpE3	2	6	2e-04	0	0.5
pros	ImpE3	2	6	1e-04	0	0.5
neur	ImpE3	2	6	0	0	0.5
Rab5	ImpE3	2	6	0	0	0.5
Rab7	ImpE3	2	6	0	0	0.5
Mmp2	ImpE3	2	6	3e-04	0	0.5
W	ImpE3	2	6	0	0	0.5
bowl	ImpE3	2	6	0	0	0.5
fd59A	ImpE3	2	6	1e-04	0	0.5
e	ImpE3	2	6	0	0	0.5
ben	ImpE3	2	6	1e-04	0	0.5
rdo	ImpE3	2	6	4e-04	0	0.5
lin	ImpE3	2	6	0	0	0.5
tra	ImpE3	2	6	0	0	0.5
tra2	ImpE3	2	6	9e-04	0	0.5
cathD	ImpE3	2	6	2e-04	0	0.5
d	ImpE3	2	6	0	0	0.5
lva	ImpE3	2	6	5e-04	0	0.5
pbl	ImpE3	2	6	0	0	0.5
CG33205	ImpE3	2	6	4e-04	0	0.5
da	ImpE3	2	6	0	0	0.5
cactin	ImpE3	2	6	0	0	0.5
hpo	ImpE3	2	6	0	0	0.5
Sema.2a	ImpE3	2	6	5e-04	0	0.5
Eip74EF	ImpE3	2	6	1e-04	0	0.5
eg	ImpE3	2	6	2e-04	0	0.5
Arc42	ImpE3	2	6	0	0	0.5
toy	ImpE3	2	6	5e-04	0	0.5
Galpha73B	ImpE3	2	6	0	0	0.5
RhoGAPp190	ImpE3	2	6	0	0	0.5
MED11	ImpE3	2	6	0	0	0.5
cher	ImpE3	2	6	2e-04	0	0.5
BicD	ImpE3	2	6	0	0	0.5
MYPT.75D	ImpE3	2	6	0	0	0.5
mus304	ImpE3	2	6	1e-04	0	0.5
CdsA	ImpE3	2	6	1e-04	0	0.5
btl	ImpE3	2	6	0	0	0.5
Cyt.c.d	ImpE3	2	6	0	0	0.5
tok	ImpE3	2	6	0	0	0.5
ttk	ImpE3	2	6	3e-04	0	0.5
tamo	ImpE3	2	6	0	0	0.5
CG6416	ImpE3	2	6	0	0	0.5
flfl	ImpE3	2	6	0	0	0.5
Pvr	ImpE3	2	6	0	0	0.5
kay	ImpE3	2	6	1e-04	0	0.5
Jra	ImpE3	2	6	0	0	0.5
msk	ImpE3	2	6	0.4105	0	0.5
tll	ImpE3	2	6	5e-04	0	0.5
Tm1	ImpE3	2	6	0	0	0.5
srp	ImpE3	2	6	0	0	0.5
Btk29A	ImpE3	2	6	1e-04	0	0.5
fred	ImpE3	2	6	0	0	0.5
Src64B	ImpE3	2	6	6e-04	0	0.5
Mmp1	ImpE3	2	6	0	0	0.5
sll	ImpE3	2	6	0	0	0.5
Hmgs	ImpE3	2	6	2e-04	0	0.5
caps	ImpE3	2	6	0	0	0.5
Su.var.2.10	ImpE3	2	6	2e-04	0	0.5
CycB	ImpE3	2	6	0	0	0.5
spir	ImpE3	2	6	0	0	0.5
spn.A	ImpE3	2	6	2e-04	0	0.5
Ptpmeg	ImpE3	2	6	0	0	0.5
qua	ImpE3	2	6	0	0	0.5
msn	ImpE3	2	6	1e-04	0	0.5
ena	ImpE3	2	6	3e-04	0	0.5
spen	ImpE3	2	6	0	0	0.5
emc	ImpE3	2	6	0	0	0.5
tsh	ImpE3	2	6	2e-04	0	0.5
Dat	ImpE3	2	6	0	0	0.5
Lac	ImpE3	2	6	4e-04	0	0.5
dup	ImpE3	2	6	1e-04	0	0.5
CG3075	ImpE3	2	6	0	0	0.5
Akap200	ImpE3	2	6	0	0	0.5
CG18369	ImpE3	2	6	4e-04	0	0.5
bnl	ImpE3	2	6	0	0	0.5
sec23	ImpE3	2	6	0	0	0.5
Pde8	ImpE3	2	6	0	0	0.5
Arp66B	ImpE3	2	6	1e-04	0	0.5
cos	ImpE3	2	6	2e-04	0	0.5
Borr	ImpE3	2	6	7e-04	0	0.5
X140up	ImpE3	2	6	0.0011	0	0.5
Dhc64C	ImpE3	2	6	0	0	0.5
Not1	ImpE3	2	6	0	0	0.5
CG9520	ImpE3	2	6	6e-04	0	0.5
bib	ImpE3	2	6	5e-04	0	0.5
mib1	ImpE3	2	6	0	0	0.5
cas	ImpE3	2	6	0	0	0.5
Abi	ImpE3	2	6	0	0	0.5
betaTub56D	ImpE3	2	6	0	0	0.5
nej	ImpE3	2	6	0	0	0.5
dlg1	ImpE3	2	6	0	0	0.5
Lcp65Ag1	ImpE3	2	6	6e-04	0	0.5
Es2	ImpE3	2	6	0	0	0.5
MED24	ImpE3	2	6	0	0	0.5
Vhl	ImpE3	2	6	0	0	0.5
tral	ImpE3	2	6	0	0	0.5
sns	ImpE3	2	6	0	0	0.5
mbl	ImpE3	2	6	1e-04	0	0.5
sav	ImpE3	2	6	0	0	0.5
lola	ImpE3	2	6	5e-04	0	0.5
robo	ImpE3	2	6	3e-04	0	0.5
CG32486	ImpE3	2	6	0	0	0.5
santa.maria	ImpE3	2	6	3e-04	0	0.5
stumps	ImpE3	2	6	0.0014	0	0.5
abd.A	ImpE3	2	6	0	0	0.5
dock	ImpE3	2	6	0	0	0.5
Lar	ImpE3	2	6	0	0	0.5
l.1.G0289	ImpE3	2	6	0	0	0.5
Abl	ImpE3	2	6	0	0	0.5
Syb	ImpE3	2	6	0	0	0.5
dome	ImpE3	2	6	0	0	0.5
ofs	ImpE3	2	6	1e-04	0	0.5
MED4	ImpE3	2	6	1e-04	0	0.5
scrib	ImpE3	2	6	0	0	0.5
siz	ImpE3	2	6	0	0	0.5
cbx	ImpE3	2	6	0	0	0.5
dsx	ImpE3	2	6	0	0	0.5
Sb	ImpE3	2	6	1e-04	0	0.5
sax	ImpE3	2	6	0	0	0.5
foxo	ImpE3	2	6	0	0	0.5
Cyp1	ImpE3	2	6	1e-04	0	0.5
brm	ImpE3	2	6	3e-04	0	0.5
rad50	ImpE3	2	6	0	0	0.5
chico	ImpE3	2	6	2e-04	0	0.5
cp309	ImpE3	2	6	0	0	0.5
hdc	ImpE3	2	6	0	0	0.5
Axn	ImpE3	2	6	6e-04	0	0.5
Apc2	ImpE3	2	6	0	0	0.5
PhKgamma	ImpE3	2	6	0.0013	0	0.5
eya	ImpE3	2	6	2e-04	0	0.5
sktl	ImpE3	2	6	0	0	0.5
sqd	ImpE3	2	6	0	0	0.5
Akt1	ImpE3	2	6	3e-04	0	0.5
scyl	ImpE3	2	6	0	0	0.5
cnk	ImpE3	2	6	0	0	0.5
CG8149	ImpE3	2	6	0	0	0.5
CG34379	ImpE3	2	6	6e-04	0	0.5
Yp1	ImpE3	2	6	0	0	0.5
yrt	ImpE3	2	6	0	0	0.5
bap	ImpE3	2	6	8e-04	0	0.5
tud	ImpE3	2	6	2e-04	0	0.5
ct	ImpE3	2	6	0	0	0.5
tup	ImpE3	2	6	7e-04	0	0.5
G.ialpha65A	ImpE3	2	6	0	0	0.5
knrl	ImpE3	2	6	1e-04	0	0.5
Pkn	ImpE3	2	6	0	0	0.5
Sry.delta	ImpE3	2	6	0	0	0.5
Alh	ImpE3	2	6	0	0	0.5
pnut	ImpE3	2	6	0	0	0.5
phyl	ImpE3	2	6	0	0	0.5
CG17739	ImpE3	2	6	0	0	0.5
B4	ImpE3	2	6	3e-04	0	0.5
CG2681	ImpE3	2	6	2e-04	0	0.5
tow	ImpE3	2	6	3e-04	0	0.5
hkl	ImpE3	2	6	0	0	0.5
sina	ImpE3	2	6	7e-04	0	0.5
ry	ImpE3	2	6	0.0013	0	0.5
rux	ImpE3	2	6	1e-04	0	0.5
boss	ImpE3	2	6	9e-04	0	0.5
Mkp3	ImpE3	2	6	1e-04	0	0.5
inaC	ImpE3	2	6	2e-04	0	0.5
sno	ImpE3	2	6	1e-04	0	0.5
jagn	ImpE3	2	6	6e-04	0	0.5
dpn	ImpE3	2	6	0	0	0.5
wrapper	ImpE3	2	6	1e-04	0	0.5
Ca.alpha1D	ImpE3	2	6	1e-04	0	0.5
E2f	ImpE3	2	6	0	0	0.5
Dp	ImpE3	2	6	2e-04	0	0.5
l.2.efl	ImpE3	2	6	0	0	0.5
cnc	ImpE3	2	6	3e-04	0	0.5
Atg5	ImpE3	2	6	1e-04	0	0.5
acj6	ImpE3	2	6	0	0	0.5
Trl	ImpE3	2	6	0	0	0.5
d4	ImpE3	2	6	0	0	0.5
CG16719	ImpE3	2	6	0	0	0.5
CadN	ImpE3	2	6	6e-04	0	0.5
gro	ImpE3	2	6	0	0	0.5
sec13	ImpE3	2	6	2e-04	0	0.5
klar	ImpE3	2	6	2e-04	0	0.5
Rack1	ImpE3	2	6	1e-04	0	0.5
Sobp	ImpE3	2	6	0	0	0.5
ash1	ImpE3	2	6	0	0	0.5
inv	ImpE3	2	6	0	0	0.5
shot	ImpE3	2	6	4e-04	0	0.5
Oseg1	ImpE3	2	6	0	0	0.5
Spred	ImpE3	2	6	0	0	0.5
puc	ImpE3	2	6	0	0	0.5
Atg6	ImpE3	2	6	0	0	0.5
CG3829	ImpE3	2	6	0	0	0.5
sle	ImpE3	2	6	0	0	0.5
Cka	ImpE3	2	6	0	0	0.5
form3	ImpE3	2	6	0	0	0.5
Pk61C	ImpE3	2	6	0	0	0.5
Pcaf	ImpE3	2	6	4e-04	0	0.5
sbb	ImpE3	2	6	2e-04	0	0.5
Ef1gamma	ImpE3	2	6	0	0	0.5
FKBP59	ImpE3	2	6	3e-04	0	0.5
