Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Iswi	2	6	0	0	0.5
emp	Iswi	2	6	0	0	0.5
CG2678	Iswi	2	6	0	0	0.5
crc	Iswi	2	6	0	0	0.5
pros	Iswi	2	6	5e-04	0	0.5
neur	Iswi	2	6	1e-04	0	0.5
Rab5	Iswi	2	6	0	0	0.5
Rab7	Iswi	2	6	0	0	0.5
Mmp2	Iswi	2	6	0	0	0.5
W	Iswi	2	6	0	0	0.5
bowl	Iswi	2	6	0	0	0.5
fd59A	Iswi	2	6	0	0	0.5
e	Iswi	2	6	1e-04	0	0.5
ben	Iswi	2	6	0	0	0.5
rdo	Iswi	2	6	0	0	0.5
lin	Iswi	2	6	0	0	0.5
tra	Iswi	2	6	0	0	0.5
tra2	Iswi	2	6	0	0	0.5
cathD	Iswi	2	6	0	0	0.5
d	Iswi	2	6	0	0	0.5
lva	Iswi	2	6	0	0	0.5
pbl	Iswi	2	6	0	0	0.5
CG33205	Iswi	2	6	0	0	0.5
da	Iswi	2	6	0	0	0.5
cactin	Iswi	2	6	0	0	0.5
hpo	Iswi	2	6	0	0	0.5
Sema.2a	Iswi	2	6	1e-04	0	0.5
Eip74EF	Iswi	2	6	1e-04	0	0.5
eg	Iswi	2	6	1e-04	0	0.5
Arc42	Iswi	2	6	1e-04	0	0.5
toy	Iswi	2	6	5e-04	0	0.5
Galpha73B	Iswi	2	6	0	0	0.5
RhoGAPp190	Iswi	2	6	0	0	0.5
MED11	Iswi	2	6	0	0	0.5
cher	Iswi	2	6	0	0	0.5
BicD	Iswi	2	6	0	0	0.5
MYPT.75D	Iswi	2	6	1e-04	0	0.5
mus304	Iswi	2	6	0	0	0.5
CdsA	Iswi	2	6	0	0	0.5
btl	Iswi	2	6	0	0	0.5
Cyt.c.d	Iswi	2	6	1e-04	0	0.5
tok	Iswi	2	6	0	0	0.5
ttk	Iswi	2	6	1e-04	0	0.5
tamo	Iswi	2	6	0	0	0.5
CG6416	Iswi	2	6	0	0	0.5
flfl	Iswi	2	6	1e-04	0	0.5
Pvr	Iswi	2	6	4e-04	0	0.5
kay	Iswi	2	6	0	0	0.5
Jra	Iswi	2	6	0	0	0.5
msk	Iswi	2	6	0	0	0.5
tll	Iswi	2	6	0	0	0.5
Tm1	Iswi	2	6	1e-04	0	0.5
srp	Iswi	2	6	0	0	0.5
Btk29A	Iswi	2	6	0	0	0.5
fred	Iswi	2	6	0	0	0.5
Src64B	Iswi	2	6	0	0	0.5
Mmp1	Iswi	2	6	0	0	0.5
sll	Iswi	2	6	0	0	0.5
Hmgs	Iswi	2	6	3e-04	0	0.5
caps	Iswi	2	6	0	0	0.5
Su.var.2.10	Iswi	2	6	0	0	0.5
CycB	Iswi	2	6	0	0	0.5
spir	Iswi	2	6	0	0	0.5
spn.A	Iswi	2	6	0	0	0.5
Ptpmeg	Iswi	2	6	0	0	0.5
qua	Iswi	2	6	0	0	0.5
msn	Iswi	2	6	0	0	0.5
ena	Iswi	2	6	0	0	0.5
spen	Iswi	2	6	0	0	0.5
emc	Iswi	2	6	4e-04	0	0.5
