Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Jafrac2	2	6	0	0	0.5
emp	Jafrac2	2	6	0	0	0.5
CG2678	Jafrac2	2	6	0	0	0.5
crc	Jafrac2	2	6	0	0	0.5
pros	Jafrac2	2	6	0	0	0.5
neur	Jafrac2	2	6	0	0	0.5
Rab5	Jafrac2	2	6	4e-04	0	0.5
Rab7	Jafrac2	2	6	0	0	0.5
Mmp2	Jafrac2	2	6	0	0	0.5
W	Jafrac2	2	6	2e-04	0	0.5
bowl	Jafrac2	2	6	0	0	0.5
fd59A	Jafrac2	2	6	0	0	0.5
e	Jafrac2	2	6	0	0	0.5
ben	Jafrac2	2	6	0	0	0.5
rdo	Jafrac2	2	6	0	0	0.5
lin	Jafrac2	2	6	0	0	0.5
tra	Jafrac2	2	6	0	0	0.5
tra2	Jafrac2	2	6	0	0	0.5
cathD	Jafrac2	2	6	0	0	0.5
d	Jafrac2	2	6	0	0	0.5
lva	Jafrac2	2	6	0	0	0.5
pbl	Jafrac2	2	6	0	0	0.5
CG33205	Jafrac2	2	6	0	0	0.5
da	Jafrac2	2	6	0	0	0.5
cactin	Jafrac2	2	6	0	0	0.5
hpo	Jafrac2	2	6	0	0	0.5
Sema.2a	Jafrac2	2	6	3e-04	0	0.5
Eip74EF	Jafrac2	2	6	0	0	0.5
eg	Jafrac2	2	6	0	0	0.5
Arc42	Jafrac2	2	6	0	0	0.5
toy	Jafrac2	2	6	1e-04	0	0.5
Galpha73B	Jafrac2	2	6	0	0	0.5
RhoGAPp190	Jafrac2	2	6	0	0	0.5
MED11	Jafrac2	2	6	0	0	0.5
cher	Jafrac2	2	6	0	0	0.5
BicD	Jafrac2	2	6	0	0	0.5
MYPT.75D	Jafrac2	2	6	0	0	0.5
mus304	Jafrac2	2	6	6e-04	0	0.5
CdsA	Jafrac2	2	6	0	0	0.5
btl	Jafrac2	2	6	0	0	0.5
Cyt.c.d	Jafrac2	2	6	1e-04	0	0.5
tok	Jafrac2	2	6	0	0	0.5
ttk	Jafrac2	2	6	0	0	0.5
tamo	Jafrac2	2	6	0	0	0.5
CG6416	Jafrac2	2	6	1e-04	0	0.5
flfl	Jafrac2	2	6	0	0	0.5
Pvr	Jafrac2	2	6	0	0	0.5
kay	Jafrac2	2	6	0	0	0.5
Jra	Jafrac2	2	6	0	0	0.5
msk	Jafrac2	2	6	0	0	0.5
tll	Jafrac2	2	6	0	0	0.5
Tm1	Jafrac2	2	6	0	0	0.5
srp	Jafrac2	2	6	1e-04	0	0.5
Btk29A	Jafrac2	2	6	3e-04	0	0.5
fred	Jafrac2	2	6	0	0	0.5
Src64B	Jafrac2	2	6	0	0	0.5
Mmp1	Jafrac2	2	6	1e-04	0	0.5
sll	Jafrac2	2	6	0	0	0.5
Hmgs	Jafrac2	2	6	0	0	0.5
caps	Jafrac2	2	6	3e-04	0	0.5
Su.var.2.10	Jafrac2	2	6	0	0	0.5
CycB	Jafrac2	2	6	0	0	0.5
spir	Jafrac2	2	6	2e-04	0	0.5
spn.A	Jafrac2	2	6	0	0	0.5
Ptpmeg	Jafrac2	2	6	0	0	0.5
qua	Jafrac2	2	6	0	0	0.5
msn	Jafrac2	2	6	0	0	0.5
ena	Jafrac2	2	6	0	0	0.5
spen	Jafrac2	2	6	0	0	0.5
emc	Jafrac2	2	6	1e-04	0	0.5
tsh	Jafrac2	2	6	0	0	0.5
