Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	LIMK1	2	6	3e-04	0	0.5
emp	LIMK1	2	6	0	0	0.5
CG2678	LIMK1	2	6	9e-04	0	0.5
crc	LIMK1	2	6	0	0	0.5
pros	LIMK1	2	6	0	0	0.5
neur	LIMK1	2	6	0	0	0.5
Rab5	LIMK1	2	6	2e-04	0	0.5
Rab7	LIMK1	2	6	3e-04	0	0.5
Mmp2	LIMK1	2	6	0	0	0.5
W	LIMK1	2	6	0	0	0.5
bowl	LIMK1	2	6	3e-04	0	0.5
fd59A	LIMK1	2	6	0	0	0.5
e	LIMK1	2	6	0	0	0.5
ben	LIMK1	2	6	1e-04	0	0.5
rdo	LIMK1	2	6	0	0	0.5
lin	LIMK1	2	6	7e-04	0	0.5
tra	LIMK1	2	6	1e-04	0	0.5
tra2	LIMK1	2	6	0	0	0.5
cathD	LIMK1	2	6	0	0	0.5
d	LIMK1	2	6	3e-04	0	0.5
lva	LIMK1	2	6	0	0	0.5
pbl	LIMK1	2	6	2e-04	0	0.5
CG33205	LIMK1	2	6	0.0023	0	0.5
da	LIMK1	2	6	0	0	0.5
cactin	LIMK1	2	6	0	0	0.5
hpo	LIMK1	2	6	0	0	0.5
Sema.2a	LIMK1	2	6	0	0	0.5
Eip74EF	LIMK1	2	6	0	0	0.5
eg	LIMK1	2	6	1e-04	0	0.5
Arc42	LIMK1	2	6	9e-04	0	0.5
toy	LIMK1	2	6	4e-04	0	0.5
Galpha73B	LIMK1	2	6	0.001	0	0.5
RhoGAPp190	LIMK1	2	6	0	0	0.5
MED11	LIMK1	2	6	4e-04	0	0.5
cher	LIMK1	2	6	3e-04	0	0.5
BicD	LIMK1	2	6	0	0	0.5
MYPT.75D	LIMK1	2	6	0.0018	0	0.5
mus304	LIMK1	2	6	1e-04	0	0.5
CdsA	LIMK1	2	6	0	0	0.5
btl	LIMK1	2	6	3e-04	0	0.5
Cyt.c.d	LIMK1	2	6	0	0	0.5
tok	LIMK1	2	6	5e-04	0	0.5
ttk	LIMK1	2	6	0	0	0.5
tamo	LIMK1	2	6	0.0017	0	0.5
CG6416	LIMK1	2	6	2e-04	0	0.5
flfl	LIMK1	2	6	5e-04	0	0.5
Pvr	LIMK1	2	6	3e-04	0	0.5
kay	LIMK1	2	6	0	0	0.5
Jra	LIMK1	2	6	0	0	0.5
msk	LIMK1	2	6	7e-04	0	0.5
tll	LIMK1	2	6	0	0	0.5
Tm1	LIMK1	2	6	2e-04	0	0.5
srp	LIMK1	2	6	0	0	0.5
Btk29A	LIMK1	2	6	0	0	0.5
fred	LIMK1	2	6	0	0	0.5
Src64B	LIMK1	2	6	0	0	0.5
Mmp1	LIMK1	2	6	0	0	0.5
sll	LIMK1	2	6	0	0	0.5
Hmgs	LIMK1	2	6	0	0	0.5
caps	LIMK1	2	6	0.0015	0	0.5
Su.var.2.10	LIMK1	2	6	2e-04	0	0.5
CycB	LIMK1	2	6	9e-04	0	0.5
spir	LIMK1	2	6	0	0	0.5
spn.A	LIMK1	2	6	2e-04	0	0.5
Ptpmeg	LIMK1	2	6	0	0	0.5
qua	LIMK1	2	6	0	0	0.5
msn	LIMK1	2	6	0.0023	0	0.5
ena	LIMK1	2	6	2e-04	0	0.5
spen	LIMK1	2	6	0	0	0.5
emc	LIMK1	2	6	1e-04	0	0.5
tsh	LIMK1	2	6	2e-04	0	0.5
Dat	LIMK1	2	6	0.0486	0	0.5
Lac	LIMK1	2	6	0	0	0.5
dup	LIMK1	2	6	0	0	0.5
CG3075	LIMK1	2	6	0	0	0.5
Akap200	LIMK1	2	6	0.001	0	0.5
CG18369	LIMK1	2	6	0.0013	0	0.5
bnl	LIMK1	2	6	0.0013	0	0.5
sec23	LIMK1	2	6	0	0	0.5
