Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	LanB2	2	6	0	0	0.5
emp	LanB2	2	6	0	0	0.5
CG2678	LanB2	2	6	2e-04	0	0.5
crc	LanB2	2	6	0	0	0.5
pros	LanB2	2	6	0	0	0.5
neur	LanB2	2	6	0	0	0.5
Rab5	LanB2	2	6	0	0	0.5
Rab7	LanB2	2	6	2e-04	0	0.5
Mmp2	LanB2	2	6	0	0	0.5
W	LanB2	2	6	0	0	0.5
bowl	LanB2	2	6	0	0	0.5
fd59A	LanB2	2	6	0	0	0.5
e	LanB2	2	6	3e-04	0	0.5
ben	LanB2	2	6	0	0	0.5
rdo	LanB2	2	6	0	0	0.5
lin	LanB2	2	6	2e-04	0	0.5
tra	LanB2	2	6	4e-04	0	0.5
tra2	LanB2	2	6	0	0	0.5
cathD	LanB2	2	6	0	0	0.5
d	LanB2	2	6	0	0	0.5
lva	LanB2	2	6	0	0	0.5
pbl	LanB2	2	6	0	0	0.5
CG33205	LanB2	2	6	1e-04	0	0.5
da	LanB2	2	6	1e-04	0	0.5
cactin	LanB2	2	6	0	0	0.5
hpo	LanB2	2	6	1e-04	0	0.5
Sema.2a	LanB2	2	6	0	0	0.5
Eip74EF	LanB2	2	6	1e-04	0	0.5
eg	LanB2	2	6	0	0	0.5
Arc42	LanB2	2	6	0	0	0.5
toy	LanB2	2	6	0	0	0.5
Galpha73B	LanB2	2	6	0	0	0.5
RhoGAPp190	LanB2	2	6	0	0	0.5
MED11	LanB2	2	6	0	0	0.5
cher	LanB2	2	6	0	0	0.5
BicD	LanB2	2	6	0	0	0.5
MYPT.75D	LanB2	2	6	0	0	0.5
mus304	LanB2	2	6	0	0	0.5
CdsA	LanB2	2	6	6e-04	0	0.5
btl	LanB2	2	6	0	0	0.5
Cyt.c.d	LanB2	2	6	0	0	0.5
tok	LanB2	2	6	0	0	0.5
ttk	LanB2	2	6	0	0	0.5
tamo	LanB2	2	6	4e-04	0	0.5
CG6416	LanB2	2	6	0	0	0.5
flfl	LanB2	2	6	1e-04	0	0.5
Pvr	LanB2	2	6	0	0	0.5
kay	LanB2	2	6	4e-04	0	0.5
Jra	LanB2	2	6	5e-04	0	0.5
msk	LanB2	2	6	1e-04	0	0.5
tll	LanB2	2	6	0	0	0.5
Tm1	LanB2	2	6	4e-04	0	0.5
srp	LanB2	2	6	1e-04	0	0.5
Btk29A	LanB2	2	6	3e-04	0	0.5
fred	LanB2	2	6	2e-04	0	0.5
Src64B	LanB2	2	6	0	0	0.5
Mmp1	LanB2	2	6	0	0	0.5
sll	LanB2	2	6	1e-04	0	0.5
Hmgs	LanB2	2	6	5e-04	0	0.5
caps	LanB2	2	6	0	0	0.5
Su.var.2.10	LanB2	2	6	0	0	0.5
CycB	LanB2	2	6	0	0	0.5
spir	LanB2	2	6	2e-04	0	0.5
spn.A	LanB2	2	6	0	0	0.5
Ptpmeg	LanB2	2	6	7e-04	0	0.5
qua	LanB2	2	6	1e-04	0	0.5
msn	LanB2	2	6	2e-04	0	0.5
ena	LanB2	2	6	0	0	0.5
spen	LanB2	2	6	0	0	0.5
emc	LanB2	2	6	0	0	0.5
tsh	LanB2	2	6	0	0	0.5
Dat	LanB2	2	6	0	0	0.5
Lac	LanB2	2	6	0.001	0	0.5
dup	LanB2	2	6	0	0	0.5
CG3075	LanB2	2	6	0	0	0.5
Akap200	LanB2	2	6	0	0	0.5
CG18369	LanB2	2	6	0	0	0.5
bnl	LanB2	2	6	0	0	0.5
sec23	LanB2	2	6	0	0	0.5
Pde8	LanB2	2	6	9e-04	0	0.5
Arp66B	LanB2	2	6	1e-04	0	0.5
cos	LanB2	2	6	0	0	0.5
Borr	LanB2	2	6	0	0	0.5
X140up	LanB2	2	6	2e-04	0	0.5
Dhc64C	LanB2	2	6	1e-04	0	0.5
Not1	LanB2	2	6	0	0	0.5
CG9520	LanB2	2	6	3e-04	0	0.5
bib	LanB2	2	6	0	0	0.5
mib1	LanB2	2	6	0.0061	0	0.5
cas	LanB2	2	6	0	0	0.5
Abi	LanB2	2	6	0	0	0.5
betaTub56D	LanB2	2	6	0	0	0.5
nej	LanB2	2	6	0	0	0.5
dlg1	LanB2	2	6	0	0	0.5
Lcp65Ag1	LanB2	2	6	0	0	0.5
Es2	LanB2	2	6	0	0	0.5
MED24	LanB2	2	6	3e-04	0	0.5
Vhl	LanB2	2	6	0	0	0.5
tral	LanB2	2	6	2e-04	0	0.5
sns	LanB2	2	6	0	0	0.5
mbl	LanB2	2	6	0	0	0.5
sav	LanB2	2	6	0	0	0.5
lola	LanB2	2	6	0	0	0.5
robo	LanB2	2	6	4e-04	0	0.5
CG32486	LanB2	2	6	0	0	0.5
santa.maria	LanB2	2	6	0	0	0.5
stumps	LanB2	2	6	0	0	0.5
abd.A	LanB2	2	6	3e-04	0	0.5
dock	LanB2	2	6	0.001	0	0.5
Lar	LanB2	2	6	0.0011	0	0.5
l.1.G0289	LanB2	2	6	1e-04	0	0.5
Abl	LanB2	2	6	0	0	0.5
Syb	LanB2	2	6	1e-04	0	0.5
dome	LanB2	2	6	0	0	0.5
ofs	LanB2	2	6	2e-04	0	0.5
MED4	LanB2	2	6	0	0	0.5
scrib	LanB2	2	6	0	0	0.5
siz	LanB2	2	6	0	0	0.5
cbx	LanB2	2	6	0	0	0.5
dsx	LanB2	2	6	0	0	0.5
Sb	LanB2	2	6	0	0	0.5
sax	LanB2	2	6	0	0	0.5
foxo	LanB2	2	6	7e-04	0	0.5
Cyp1	LanB2	2	6	0	0	0.5
brm	LanB2	2	6	7e-04	0	0.5
rad50	LanB2	2	6	0	0	0.5
chico	LanB2	2	6	0	0	0.5
cp309	LanB2	2	6	0	0	0.5
hdc	LanB2	2	6	2e-04	0	0.5
Axn	LanB2	2	6	0	0	0.5
Apc2	LanB2	2	6	0	0	0.5
PhKgamma	LanB2	2	6	0	0	0.5
eya	LanB2	2	6	0	0	0.5
sktl	LanB2	2	6	3e-04	0	0.5
sqd	LanB2	2	6	0	0	0.5
Akt1	LanB2	2	6	0	0	0.5
scyl	LanB2	2	6	0	0	0.5
cnk	LanB2	2	6	0	0	0.5
CG8149	LanB2	2	6	2e-04	0	0.5
CG34379	LanB2	2	6	7e-04	0	0.5
Yp1	LanB2	2	6	0	0	0.5
yrt	LanB2	2	6	1e-04	0	0.5
bap	LanB2	2	6	0	0	0.5
tud	LanB2	2	6	0	0	0.5
ct	LanB2	2	6	0	0	0.5
tup	LanB2	2	6	0	0	0.5
G.ialpha65A	LanB2	2	6	2e-04	0	0.5
knrl	LanB2	2	6	6e-04	0	0.5
Pkn	LanB2	2	6	0	0	0.5
Sry.delta	LanB2	2	6	0	0	0.5
Alh	LanB2	2	6	0	0	0.5
pnut	LanB2	2	6	0	0	0.5
phyl	LanB2	2	6	0	0	0.5
CG17739	LanB2	2	6	0	0	0.5
B4	LanB2	2	6	0	0	0.5
CG2681	LanB2	2	6	0	0	0.5
tow	LanB2	2	6	0	0	0.5
hkl	LanB2	2	6	0	0	0.5
sina	LanB2	2	6	2e-04	0	0.5
ry	LanB2	2	6	0	0	0.5
rux	LanB2	2	6	8e-04	0	0.5
boss	LanB2	2	6	4e-04	0	0.5
Mkp3	LanB2	2	6	0	0	0.5
inaC	LanB2	2	6	0	0	0.5
sno	LanB2	2	6	2e-04	0	0.5
jagn	LanB2	2	6	0	0	0.5
dpn	LanB2	2	6	0	0	0.5
wrapper	LanB2	2	6	0	0	0.5
Ca.alpha1D	LanB2	2	6	0	0	0.5
E2f	LanB2	2	6	0	0	0.5
Dp	LanB2	2	6	1e-04	0	0.5
l.2.efl	LanB2	2	6	0	0	0.5
cnc	LanB2	2	6	2e-04	0	0.5
Atg5	LanB2	2	6	0	0	0.5
acj6	LanB2	2	6	0	0	0.5
Trl	LanB2	2	6	3e-04	0	0.5
d4	LanB2	2	6	0	0	0.5
CG16719	LanB2	2	6	0	0	0.5
CadN	LanB2	2	6	4e-04	0	0.5
gro	LanB2	2	6	0	0	0.5
sec13	LanB2	2	6	7e-04	0	0.5
klar	LanB2	2	6	3e-04	0	0.5
Rack1	LanB2	2	6	0	0	0.5
Sobp	LanB2	2	6	0	0	0.5
ash1	LanB2	2	6	0	0	0.5
inv	LanB2	2	6	0	0	0.5
shot	LanB2	2	6	0	0	0.5
Oseg1	LanB2	2	6	0	0	0.5
Spred	LanB2	2	6	0	0	0.5
puc	LanB2	2	6	0	0	0.5
Atg6	LanB2	2	6	0	0	0.5
CG3829	LanB2	2	6	5e-04	0	0.5
sle	LanB2	2	6	1e-04	0	0.5
