Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Lcp65Ag1	2	6	2e-04	0	0.5
emp	Lcp65Ag1	2	6	0	0	0.5
CG2678	Lcp65Ag1	2	6	0	0	0.5
crc	Lcp65Ag1	2	6	0	0	0.5
pros	Lcp65Ag1	2	6	0	0	0.5
neur	Lcp65Ag1	2	6	0.5115	-0.99779	0.5
Rab5	Lcp65Ag1	2	6	4e-04	0	0.5
Rab7	Lcp65Ag1	2	6	0	0	0.5
Mmp2	Lcp65Ag1	2	6	4e-04	0	0.5
W	Lcp65Ag1	2	6	0	0	0.5
bowl	Lcp65Ag1	2	6	0	0	0.5
fd59A	Lcp65Ag1	2	6	2e-04	0	0.5
e	Lcp65Ag1	2	6	0	0	0.5
ben	Lcp65Ag1	2	6	1e-04	0	0.5
rdo	Lcp65Ag1	2	6	0	0	0.5
lin	Lcp65Ag1	2	6	0	0	0.5
tra	Lcp65Ag1	2	6	0	0	0.5
tra2	Lcp65Ag1	2	6	0.0011	0	0.5
cathD	Lcp65Ag1	2	6	5e-04	0	0.5
d	Lcp65Ag1	2	6	7e-04	0	0.5
lva	Lcp65Ag1	2	6	8e-04	0	0.5
pbl	Lcp65Ag1	2	6	1e-04	0	0.5
CG33205	Lcp65Ag1	2	6	2e-04	0	0.5
da	Lcp65Ag1	2	6	1e-04	0	0.5
cactin	Lcp65Ag1	2	6	6e-04	0	0.5
hpo	Lcp65Ag1	2	6	0	0	0.5
Sema.2a	Lcp65Ag1	2	6	1e-04	0	0.5
Eip74EF	Lcp65Ag1	2	6	2e-04	0	0.5
eg	Lcp65Ag1	2	6	0	0	0.5
Arc42	Lcp65Ag1	2	6	0	0	0.5
toy	Lcp65Ag1	2	6	0	0	0.5
Galpha73B	Lcp65Ag1	2	6	0	0	0.5
RhoGAPp190	Lcp65Ag1	2	6	0	0	0.5
MED11	Lcp65Ag1	2	6	0	0	0.5
cher	Lcp65Ag1	2	6	0	0	0.5
BicD	Lcp65Ag1	2	6	5e-04	0	0.5
MYPT.75D	Lcp65Ag1	2	6	0	0	0.5
mus304	Lcp65Ag1	2	6	0.001	0	0.5
CdsA	Lcp65Ag1	2	6	5e-04	0	0.5
btl	Lcp65Ag1	2	6	0	0	0.5
Cyt.c.d	Lcp65Ag1	2	6	0	0	0.5
tok	Lcp65Ag1	2	6	0	0	0.5
ttk	Lcp65Ag1	2	6	8e-04	0	0.5
tamo	Lcp65Ag1	2	6	0	0	0.5
CG6416	Lcp65Ag1	2	6	0	0	0.5
flfl	Lcp65Ag1	2	6	0	0	0.5
Pvr	Lcp65Ag1	2	6	0	0	0.5
kay	Lcp65Ag1	2	6	0	0	0.5
Jra	Lcp65Ag1	2	6	0	0	0.5
msk	Lcp65Ag1	2	6	6e-04	0	0.5
tll	Lcp65Ag1	2	6	4e-04	0	0.5
Tm1	Lcp65Ag1	2	6	0	0	0.5
srp	Lcp65Ag1	2	6	0	0	0.5
Btk29A	Lcp65Ag1	2	6	0	0	0.5
fred	Lcp65Ag1	2	6	7e-04	0	0.5
Src64B	Lcp65Ag1	2	6	6e-04	0	0.5
Mmp1	Lcp65Ag1	2	6	6e-04	0	0.5
sll	Lcp65Ag1	2	6	0	0	0.5
Hmgs	Lcp65Ag1	2	6	0	0	0.5
caps	Lcp65Ag1	2	6	2e-04	0	0.5
Su.var.2.10	Lcp65Ag1	2	6	0	0	0.5
CycB	Lcp65Ag1	2	6	0	0	0.5
spir	Lcp65Ag1	2	6	0	0	0.5
spn.A	Lcp65Ag1	2	6	2e-04	0	0.5
Ptpmeg	Lcp65Ag1	2	6	1e-04	0	0.5
qua	Lcp65Ag1	2	6	0	0	0.5
msn	Lcp65Ag1	2	6	1e-04	0	0.5
ena	Lcp65Ag1	2	6	3e-04	0	0.5
spen	Lcp65Ag1	2	6	0	0	0.5
emc	Lcp65Ag1	2	6	0	0	0.5
tsh	Lcp65Ag1	2	6	0	0	0.5
Dat	Lcp65Ag1	2	6	5e-04	0	0.5
Lac	Lcp65Ag1	2	6	5e-04	0	0.5
dup	Lcp65Ag1	2	6	0	0	0.5
CG3075	Lcp65Ag1	2	6	0	0	0.5
Akap200	Lcp65Ag1	2	6	9e-04	0	0.5
CG18369	Lcp65Ag1	2	6	0	0	0.5
bnl	Lcp65Ag1	2	6	0	0	0.5
sec23	Lcp65Ag1	2	6	0	0	0.5
Pde8	Lcp65Ag1	2	6	4e-04	0	0.5
Arp66B	Lcp65Ag1	2	6	2e-04	0	0.5
cos	Lcp65Ag1	2	6	0	0	0.5
Borr	Lcp65Ag1	2	6	0	0	0.5
X140up	Lcp65Ag1	2	6	0.0011	0	0.5
Dhc64C	Lcp65Ag1	2	6	3e-04	0	0.5
Not1	Lcp65Ag1	2	6	2e-04	0	0.5
CG9520	Lcp65Ag1	2	6	0	0	0.5
bib	Lcp65Ag1	2	6	0	0	0.5
mib1	Lcp65Ag1	2	6	0	0	0.5
cas	Lcp65Ag1	2	6	2e-04	0	0.5
Abi	Lcp65Ag1	2	6	2e-04	0	0.5
betaTub56D	Lcp65Ag1	2	6	3e-04	0	0.5
nej	Lcp65Ag1	2	6	0	0	0.5
dlg1	Lcp65Ag1	2	6	0.0014	0	0.5
Lcp65Ag1	Lcp65Ag1	2	6	0	0	0.5
Es2	Lcp65Ag1	2	6	5e-04	0	0.5
MED24	Lcp65Ag1	2	6	0	0	0.5
Vhl	Lcp65Ag1	2	6	0	0	0.5
tral	Lcp65Ag1	2	6	0	0	0.5
sns	Lcp65Ag1	2	6	0	0	0.5
mbl	Lcp65Ag1	2	6	0	0	0.5
sav	Lcp65Ag1	2	6	0	0	0.5
lola	Lcp65Ag1	2	6	0	0	0.5
robo	Lcp65Ag1	2	6	0	0	0.5
CG32486	Lcp65Ag1	2	6	8e-04	0	0.5
santa.maria	Lcp65Ag1	2	6	3e-04	0	0.5
stumps	Lcp65Ag1	2	6	0.0011	0	0.5
abd.A	Lcp65Ag1	2	6	4e-04	0	0.5
dock	Lcp65Ag1	2	6	0.0014	0	0.5
Lar	Lcp65Ag1	2	6	0	0	0.5
l.1.G0289	Lcp65Ag1	2	6	0	0	0.5
Abl	Lcp65Ag1	2	6	0	0	0.5
Syb	Lcp65Ag1	2	6	0	0	0.5
dome	Lcp65Ag1	2	6	3e-04	0	0.5
ofs	Lcp65Ag1	2	6	0	0	0.5
MED4	Lcp65Ag1	2	6	0	0	0.5
scrib	Lcp65Ag1	2	6	3e-04	0	0.5
siz	Lcp65Ag1	2	6	2e-04	0	0.5
cbx	Lcp65Ag1	2	6	0	0	0.5
dsx	Lcp65Ag1	2	6	0	0	0.5
Sb	Lcp65Ag1	2	6	0	0	0.5
sax	Lcp65Ag1	2	6	4e-04	0	0.5
foxo	Lcp65Ag1	2	6	2e-04	0	0.5
Cyp1	Lcp65Ag1	2	6	1e-04	0	0.5
brm	Lcp65Ag1	2	6	0	0	0.5
rad50	Lcp65Ag1	2	6	0	0	0.5
chico	Lcp65Ag1	2	6	6e-04	0	0.5
cp309	Lcp65Ag1	2	6	0	0	0.5
hdc	Lcp65Ag1	2	6	1	0.99871	0.5
Axn	Lcp65Ag1	2	6	0	0	0.5
Apc2	Lcp65Ag1	2	6	0	0	0.5
PhKgamma	Lcp65Ag1	2	6	0	0	0.5
eya	Lcp65Ag1	2	6	0	0	0.5
sktl	Lcp65Ag1	2	6	0	0	0.5
sqd	Lcp65Ag1	2	6	0	0	0.5
Akt1	Lcp65Ag1	2	6	1e-04	0	0.5
scyl	Lcp65Ag1	2	6	3e-04	0	0.5
cnk	Lcp65Ag1	2	6	0	0	0.5
CG8149	Lcp65Ag1	2	6	0	0	0.5
CG34379	Lcp65Ag1	2	6	0	0	0.5
Yp1	Lcp65Ag1	2	6	0	0	0.5
yrt	Lcp65Ag1	2	6	4e-04	0	0.5
bap	Lcp65Ag1	2	6	2e-04	0	0.5
tud	Lcp65Ag1	2	6	0	0	0.5
ct	Lcp65Ag1	2	6	8e-04	0	0.5
tup	Lcp65Ag1	2	6	2e-04	0	0.5
G.ialpha65A	Lcp65Ag1	2	6	0	0	0.5
knrl	Lcp65Ag1	2	6	1e-04	0	0.5
Pkn	Lcp65Ag1	2	6	2e-04	0	0.5
Sry.delta	Lcp65Ag1	2	6	0	0	0.5
Alh	Lcp65Ag1	2	6	0	0	0.5
pnut	Lcp65Ag1	2	6	3e-04	0	0.5
phyl	Lcp65Ag1	2	6	1e-04	0	0.5
CG17739	Lcp65Ag1	2	6	0	0	0.5
B4	Lcp65Ag1	2	6	7e-04	0	0.5
CG2681	Lcp65Ag1	2	6	0	0	0.5
tow	Lcp65Ag1	2	6	3e-04	0	0.5
hkl	Lcp65Ag1	2	6	1e-04	0	0.5
sina	Lcp65Ag1	2	6	9e-04	0	0.5
ry	Lcp65Ag1	2	6	0	0	0.5
rux	Lcp65Ag1	2	6	1e-04	0	0.5
boss	Lcp65Ag1	2	6	8e-04	0	0.5
Mkp3	Lcp65Ag1	2	6	3e-04	0	0.5
inaC	Lcp65Ag1	2	6	0	0	0.5
sno	Lcp65Ag1	2	6	0	0	0.5
jagn	Lcp65Ag1	2	6	2e-04	0	0.5
dpn	Lcp65Ag1	2	6	0	0	0.5
wrapper	Lcp65Ag1	2	6	2e-04	0	0.5
Ca.alpha1D	Lcp65Ag1	2	6	6e-04	0	0.5
E2f	Lcp65Ag1	2	6	3e-04	0	0.5
Dp	Lcp65Ag1	2	6	0	0	0.5
l.2.efl	Lcp65Ag1	2	6	4e-04	0	0.5
cnc	Lcp65Ag1	2	6	0	0	0.5
Atg5	Lcp65Ag1	2	6	0	0	0.5
acj6	Lcp65Ag1	2	6	0	0	0.5
Trl	Lcp65Ag1	2	6	5e-04	0	0.5
d4	Lcp65Ag1	2	6	0	0	0.5
CG16719	Lcp65Ag1	2	6	1e-04	0	0.5
CadN	Lcp65Ag1	2	6	0.0015	0	0.5
gro	Lcp65Ag1	2	6	8e-04	0	0.5
sec13	Lcp65Ag1	2	6	0	0	0.5
klar	Lcp65Ag1	2	6	6e-04	0	0.5
Rack1	Lcp65Ag1	2	6	0	0	0.5
Sobp	Lcp65Ag1	2	6	0	0	0.5
ash1	Lcp65Ag1	2	6	0	0	0.5
inv	Lcp65Ag1	2	6	2e-04	0	0.5
shot	Lcp65Ag1	2	6	0	0	0.5
Oseg1	Lcp65Ag1	2	6	0	0	0.5
Spred	Lcp65Ag1	2	6	0	0	0.5
puc	Lcp65Ag1	2	6	0	0	0.5
Atg6	Lcp65Ag1	2	6	0	0	0.5
CG3829	Lcp65Ag1	2	6	0	0	0.5
sle	Lcp65Ag1	2	6	0	0	0.5
Cka	Lcp65Ag1	2	6	0.001	0	0.5
form3	Lcp65Ag1	2	6	0	0	0.5
Pk61C	Lcp65Ag1	2	6	4e-04	0	0.5
Pcaf	Lcp65Ag1	2	6	0	0	0.5
sbb	Lcp65Ag1	2	6	2e-04	0	0.5
Ef1gamma	Lcp65Ag1	2	6	0	0	0.5
FKBP59	Lcp65Ag1	2	6	0	0	0.5
Eip71CD	Lcp65Ag1	2	6	6e-04	0	0.5
xmas.2	Lcp65Ag1	2	6	0	0	0.5
ppan	Lcp65Ag1	2	6	1e-04	0	0.5
Iswi	Lcp65Ag1	2	6	0	0	0.5
ine	Lcp65Ag1	2	6	0	0	0.5
Tina.1	Lcp65Ag1	2	6	0	0	0.5
bon	Lcp65Ag1	2	6	1e-04	0	0.5
pot	Lcp65Ag1	2	6	0	0	0.5
chic	Lcp65Ag1	2	6	0.0012	0	0.5
Hem	Lcp65Ag1	2	6	6e-04	0	0.5
chif	Lcp65Ag1	2	6	2e-04	0	0.5
S6kII	Lcp65Ag1	2	6	0.0011	0	0.5
wal	Lcp65Ag1	2	6	0.0015	0	0.5
wls	Lcp65Ag1	2	6	4e-04	0	0.5
Ddx1	Lcp65Ag1	2	6	2e-04	0	0.5
Sulf1	Lcp65Ag1	2	6	0	0	0.5
CG3987	Lcp65Ag1	2	6	3e-04	0	0.5
Abd.B	Lcp65Ag1	2	6	0	0	0.5
Uba1	Lcp65Ag1	2	6	1e-04	0	0.5
bigmax	Lcp65Ag1	2	6	0	0	0.5
NAT1	Lcp65Ag1	2	6	5e-04	0	0.5
wupA	Lcp65Ag1	2	6	8e-04	0	0.5
Vps28	Lcp65Ag1	2	6	9e-04	0	0.5
G.oalpha47A	Lcp65Ag1	2	6	0	0	0.5
G.salpha60A	Lcp65Ag1	2	6	2e-04	0	0.5
dsf	Lcp65Ag1	2	6	0	0	0.5
Khc	Lcp65Ag1	2	6	0	0	0.5
CG10641	Lcp65Ag1	2	6	0	0	0.5
Alk	Lcp65Ag1	2	6	6e-04	0	0.5
ey	Lcp65Ag1	2	6	0	0	0.5
noc	Lcp65Ag1	2	6	0	0	0.5
ix	Lcp65Ag1	2	6	0	0	0.5
Optix	Lcp65Ag1	2	6	4e-04	0	0.5
sdt	Lcp65Ag1	2	6	0	0	0.5
Sxl	Lcp65Ag1	2	6	0	0	0.5
rib	Lcp65Ag1	2	6	0	0	0.5
sas	Lcp65Ag1	2	6	1e-04	0	0.5
Scgdelta	Lcp65Ag1	2	6	0	0	0.5
sw	Lcp65Ag1	2	6	1e-04	0	0.5
fal	Lcp65Ag1	2	6	0	0	0.5
ea	Lcp65Ag1	2	6	0	0	0.5
Ice	Lcp65Ag1	2	6	3e-04	0	0.5
cic	Lcp65Ag1	2	6	0	0	0.5
Dok	Lcp65Ag1	2	6	0	0	0.5
rhea	Lcp65Ag1	2	6	5e-04	0	0.5
Glycogenin	Lcp65Ag1	2	6	0	0	0.5
cin	Lcp65Ag1	2	6	0	0	0.5
chp	Lcp65Ag1	2	6	0.0011	0	0.5
Dlic2	Lcp65Ag1	2	6	0	0	0.5
Pk92B	Lcp65Ag1	2	6	2e-04	0	0.5
Pak	Lcp65Ag1	2	6	1e-04	0	0.5
Lim1	Lcp65Ag1	2	6	7e-04	0	0.5
CG34450	Lcp65Ag1	2	6	0.0015	0	0.5
Su.H.	Lcp65Ag1	2	6	9e-04	0	0.5
